"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adharpa","","","","","1","1","10","2","8","20.00"
"Adpha","","","","","1","1","329","0","329","0.00"
"Ahirauli","1","1","0","0","1","1","1389","995","394","71.63"
"Ahiyapur","","","","","1","1","38","11","27","28.95"
"Ahladpur","","","","","1","1","1","0","1","0.00"
"Akaurhi","","","","","1","1","97","71","26","73.20"
"Akbarpur","","","","","1","1","139","13","126","9.35"
"Akhauripur","","","","","1","1","287","118","169","41.11"
"Akorhi","","","","","1","1","101","48","53","47.52"
"Alampur","","","","","1","1","46","13","33","28.26"
"Alampur","","","","","1","1","78","19","59","24.36"
"Alawalpur","","","","","1","1","15","1","14","6.67"
"Amarpur","","","","","1","1","324","110","214","33.95"
"Ammadarhi","","","","","1","1","96","84","12","87.50"
"Amsari","","","","","1","1","370","281","89","75.95"
"Amthua","","","","","1","1","324","242","82","74.69"
"Araila","","","","","1","1","167","161","6","96.41"
"Arak","","","","","1","5","671","596","75","88.82"
"Arap Khurd","","","","","1","1","86","31","55","36.05"
"Arazi Kashi Shingan Pura","","","","","1","1","1","0","1","0.00"
"Arazi Kashi Singhanpura","","","","","1","1","2","2","0","100.00"
"Ariyawon","","","","","1","1","923","367","556","39.76"
"Arjunpur","","","","","1","1","213","152","61","71.36"
"Arjunpur","","","","","1","1","493","337","156","68.36"
"Athaon","","","","","1","2","497","199","298","40.04"
"Athar","","","","","1","1","1061","275","786","25.92"
"Atmi","","","","","1","1","657","59","598","8.98"
"Atraulia","","","","","1","1","49","22","27","44.90"
"Atrauna","","","","","1","1","368","184","184","50.00"
"Babanbandh Gauri","","","","","1","1","18","5","13","27.78"
"Babanbandh Manrajgir","","","","","1","1","79","17","62","21.52"
"Babhani","1","1","0","0","1","1","161","84","77","52.17"
"Babuganj English","","","","","1","1","295","125","170","42.37"
"Bagahipatti","","","","","1","1","227","60","167","26.43"
"Bagen","","","","","1","1","783","292","491","37.29"
"Baghaunch           (Ditto)","","","","","1","1","19","2","17","10.53"
"Baghelwa","1","1","0","0","1","1","158","99","59","62.66"
"Baghelwa","1","1","0","0","1","1","159","78","81","49.06"
"Bahadurpur","","","","","1","1","18","18","0","100.00"
"Bahrampur","","","","","1","1","22","7","15","31.82"
"Bahuara","","","","","1","1","46","29","17","63.04"
"Bahuwara","","","","","1","1","233","42","191","18.03"
"Baida","","","","","1","1","169","126","43","74.56"
"Baijnathpur","1","1","0","0","1","1","189","17","172","8.99"
"Bairi","","","","","1","1","88","46","42","52.27"
"Bairia","","","","","1","2","63","1","62","1.59"
"Bairia","","","","","1","1","26","7","19","26.92"
"Baksara","","","","","1","1","350","350","0","100.00"
"Baladewa","","","","","1","1","145","49","96","33.79"
"Balapur","","","","","1","1","71","49","22","69.01"
"Balihar","","","","","1","1","688","313","375","45.49"
"Balua","","","","","1","1","356","129","227","36.24"
"Baluwa","","","","","1","2","197","158","39","80.20"
"Bamhani","","","","","1","2","267","226","41","84.64"
"Bamhnaulia","","","","","1","1","110","43","67","39.09"
"Banarpur","","","","","1","1","939","553","386","58.89"
"Baniapatpur","","","","","1","1","31","17","14","54.84"
"Bankat","","","","","1","1","58","46","12","79.31"
"Banni","","","","","1","2","1005","432","573","42.99"
"Bara Dih","","","","","1","1","105","80","25","76.19"
"Barahra","","","","","1","1","44","36","8","81.82"
"Baraleo","","","","","1","1","98","46","52","46.94"
"Baraon","","","","","1","1","1689","97","1592","5.74"
"Bararhi","","","","","1","1","361","124","237","34.35"
"Bararhi","","","","","1","1","142","15","127","10.56"
"Barasath","","","","","1","1","62","6","56","9.68"
"Barbatara","","","","","1","1","70","67","3","95.71"
"Barhampur","","","","","1","1","1948","674","1274","34.60"
"Barhana","","","","","1","1","126","69","57","54.76"
"Barhauna","","","","","1","1","19","8","11","42.11"
"Barka Nuawan","","","","","1","1","262","118","144","45.04"
"Barkagaon","","","","","1","1","680","350","330","51.47"
"Barki Puraini","","","","","1","1","118","85","33","72.03"
"Baruhan","","","","","1","1","431","164","267","38.05"
"Baruna","1","1","0","0","1","1","148","109","39","73.65"
"Baruna","1","1","0","0","1","1","681","327","354","48.02"
"Barupur","","","","","1","1","237","55","182","23.21"
"Basahi","","","","","1","1","465","117","348","25.16"
"Basantpur","","","","","1","1","209","125","84","59.81"
"Basao","1","1","0","0","1","1","638","638","0","100.00"
"Basaon","","","","","1","1","333","102","231","30.63"
"Basauli","1","1","0","0","1","1","463","276","187","59.61"
"Basdewa","","","","","1","1","442","99","343","22.40"
"Basgitiya","","","","","1","2","179","132","47","73.74"
"Basgitiya","","","","","1","1","17","1","16","5.88"
"Basudhar","1","1","0","0","1","1","836","466","370","55.74"
"Baswar","","","","","1","1","191","90","101","47.12"
"Bechanpurwa","1","1","0","0","1","1","101","13","88","12.87"
"Bedauli","","","","","1","1","111","93","18","83.78"
"Belahi","","","","","1","1","128","84","44","65.63"
"Belahri","","","","","1","1","487","132","355","27.10"
"Belahri","","","","","1","1","161","116","45","72.05"
"Belamohan","","","","","1","1","97","9","88","9.28"
"Belaon","","","","","1","1","870","96","774","11.03"
"Belaur","","","","","1","1","155","105","50","67.74"
"Bhabhuar","","","","","1","1","117","0","117","0.00"
"Bhada","","","","","1","1","675","133","542","19.70"
"Bhadar","","","","","1","1","962","155","807","16.11"
"Bhadi","","","","","1","1","182","47","135","25.82"
"Bhadsari","","","","","1","1","182","74","108","40.66"
"Bhadwar","","","","","1","1","780","355","425","45.51"
"Bhagwanpur","","","","","1","1","26","16","10","61.54"
"Bhagwanpur","","","","","1","1","245","61","184","24.90"
"Bhakhwa","","","","","1","1","222","146","76","65.77"
"Bhakura","","","","","1","1","486","478","8","98.35"
"Bhaluha","","","","","1","1","101","28","73","27.72"
"Bhaluha","","","","","1","1","119","88","31","73.95"
"Bhan Bahrauli","","","","","1","1","65","53","12","81.54"
"Bhar Chakia","","","","","1","1","69","41","28","59.42"
"Bharathpa","","","","","1","1","64","46","18","71.88"
"Bhariar","","","","","1","1","502","389","113","77.49"
"Bharkhar","","","","","1","1","105","37","68","35.24"
"Bharkhara","","","","","1","1","111","75","36","67.57"
"Bhatauli","","","","","1","1","863","190","673","22.02"
"Bhatauliya","","","","","1","2","426","159","267","37.32"
"Bhaudatahi","","","","","1","1","88","23","65","26.14"
"Bhelwaniya","","","","","1","1","91","32","59","35.16"
"Bhikhanpur","","","","","1","1","32","10","22","31.25"
"Bhikhanpura","","","","","1","1","65","34","31","52.31"
"Bhinikpura","","","","","1","1","119","87","32","73.11"
"Bhitihara","","","","","1","1","241","107","134","44.40"
"Bhojpur Jadid","","","","","1","1","2855","2222","633","77.83"
"Bhojpur Kadim","","","","","1","1","2852","1127","1725","39.52"
"Bibiganj","","","","","1","1","72","70","2","97.22"
"Bijauli","","","","","1","1","87","50","37","57.47"
"Bijhaura","","","","","1","1","372","141","231","37.90"
"Bikrampur","","","","","1","1","62","53","9","85.48"
"Birbalpur","","","","","1","1","68","10","58","14.71"
"Birna","","","","","1","1","175","71","104","40.57"
"Birpur","","","","","1","1","135","38","97","28.15"
"Bishunpur","1","1","0","0","1","1","98","1","97","1.02"
"Bisupur","","","","","1","1","49","16","33","32.65"
"Bisuwa","","","","","1","1","91","48","43","52.75"
"Bojhwalia","","","","","1","1","55","44","11","80.00"
"Boksa","","","","","1","1","980","500","480","51.02"
"Burhadih","","","","","1","1","314","122","192","38.85"
"Burhaila","","","","","1","1","199","114","85","57.29"
"Chacharia","","","","","1","1","103","68","35","66.02"
"Chakani","","","","","1","1","101","37","64","36.63"
"Chakani","","","","","1","1","177","97","80","54.80"
"Chakaura","","","","","1","1","157","44","113","28.03"
"Chakia","","","","","1","1","119","49","70","41.18"
"Chamela","","","","","1","1","102","93","9","91.18"
"Chameli","","","","","1","1","136","50","86","36.76"
"Chanda","","","","","1","1","124","100","24","80.65"
"Chanda","","","","","1","1","557","458","99","82.23"
"Chandarpura","","","","","1","2","463","123","340","26.57"
"Chandi","","","","","1","1","32","18","14","56.25"
"Chandpali","","","","","1","1","796","367","429","46.11"
"Chandpur","1","1","0","0","1","1","32","0","32","0.00"
"Chandpur","1","1","0","0","1","1","10","1","9","10.00"
"Chandu Dehra","1","1","0","0","1","1","122","84","38","68.85"
"Chanwath","","","","","1","1","486","115","371","23.66"
"Charaia Tikar","","","","","1","1","21","0","21","0.00"
"Charkhi","","","","","1","11","2112","1846","266","87.41"
"Chaube Chak","","","","","1","1","31","9","22","29.03"
"Chaubepur","","","","","1","1","28","24","4","85.71"
"Chaugain","","","","","1","1","1916","1024","892","53.44"
"Chaukiya","","","","","1","1","212","186","26","87.74"
"Chausa","","","","","1","2","1247","797","450","63.91"
"Chhatanwar","","","","","1","3","869","419","450","48.22"
"Chhatauna","","","","","1","1","223","138","85","61.88"
"Chhatrdhariganj","","","","","1","1","20","2","18","10.00"
"Chhatupur","","","","","1","1","166","90","76","54.22"
"Chhitan Dehra","","","","","1","2","96","11","85","11.46"
"Chhitan Dehra","","","","","1","1","108","35","73","32.41"
"Chhotka Dih","1","1","0","0","1","1","108","76","32","70.37"
"Chhotka Nuawan","","","","","1","1","368","122","246","33.15"
"Chhotki Puraini","1","1","0","0","1","1","156","131","25","83.97"
"Chilbila","","","","","1","1","195","60","135","30.77"
"Chilbili","1","1","0","0","1","1","166","77","89","46.39"
"Chilhar","","","","","1","1","256","89","167","34.77"
"Chilhari","","","","","1","1","826","402","424","48.67"
"Chintamanpur","","","","","1","1","18","16","2","88.89"
"Chuar","","","","","1","1","104","87","17","83.65"
"Chundi","","","","","1","1","580","306","274","52.76"
"Chunidanr","","","","","1","1","99","93","6","93.94"
"Churamanpur","","","","","1","1","1","1","0","100.00"
"Churamanpur","","","","","1","1","808","540","268","66.83"
"Dadura","","","","","1","1","142","76","66","53.52"
"Dafar Dehri","","","","","1","1","158","63","95","39.87"
"Dahigana","","","","","1","1","49","23","26","46.94"
"Dahiwar","","","","","1","1","333","253","80","75.98"
"Dakhinawan","","","","","1","1","232","161","71","69.40"
"Dallupur","1","1","0","0","1","1","164","106","58","64.63"
"Dalsagar","","","","","1","1","784","312","472","39.80"
"Dangauli","","","","","1","1","151","67","84","44.37"
"Darappur","1","1","0","0","1","1","68","59","9","86.76"
"Dariyapur","","","","","1","1","32","22","10","68.75"
"Daru Dehri","","","","","1","1","15","15","0","100.00"
"Dasiyawan","","","","","1","1","123","68","55","55.28"
"Daunpura","","","","","1","1","53","37","16","69.81"
"Debi Dehra","","","","","1","1","43","43","0","100.00"
"Debkali Dharampura","","","","","1","2","230","41","189","17.83"
