"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aadharpur","","","","","1","2","889","203","686","22.83"
"Abdullahpur","","","","","1","1","285","169","116","59.30"
"Aber","","","","","1","1","125","83","42","66.40"
"Aber urf Rambari","","","","","1","1","187","26","161","13.90"
"Achalpur","","","","","1","1","179","91","88","50.84"
"Adalpur","","","","","1","1","1571","855","716","54.42"
"Adalpur","","","","","1","2","95","0","95","0.00"
"Adharpur","","","","","1","2","325","86","239","26.46"
"Adhlar","","","","","1","1","97","1","96","1.03"
"Adhloam","","","","","1","1","910","469","441","51.54"
"Afzala","","","","","1","8","1107","546","561","49.32"
"Ahiari","","","","","1","9","2114","991","1123","46.88"
"Ahisa","","","","","1","1","180","0","180","0.00"
"Ahmad Sujawal","","","","","1","1","140","130","10","92.86"
"Akbarpur","","","","","1","1","131","130","1","99.24"
"Akbarpur Baik","","","","","1","1","1169","402","767","34.39"
"Akhtwara","","","","","1","1","452","36","416","7.96"
"Aliabad","","","","","1","2","178","125","53","70.22"
"Alinagar","","","","","1","4","1153","204","949","17.69"
"Ama Dih","","","","","1","2","215","22","193","10.23"
"Amahi","","","","","1","1","98","1","97","1.02"
"Amaithi","","","","","1","3","1092","811","281","74.27"
"Amapatti","","","","","1","1","236","97","139","41.10"
"Amdiha","","","","","1","1","323","103","220","31.89"
"Ami","","","","","1","1","414","285","129","68.84"
"Amta","","","","","1","1","484","267","217","55.17"
"Amtahi","","","","","1","1","87","60","27","68.97"
"Anantpur","","","","","1","3","445","306","139","68.76"
"Anar","","","","","1","1","402","214","188","53.23"
"Andama","","","","","1","1","345","159","186","46.09"
"Andauli","","","","","1","1","596","291","305","48.83"
"Andhiari","","","","","1","1","3","1","2","33.33"
"Andhri","","","","","1","1","605","535","70","88.43"
"Anpatti Bishunpur","","","","","1","1","231","107","124","46.32"
"Anrahi","","","","","1","1","179","2","177","1.12"
"Antaur","","","","","1","1","364","223","141","61.26"
"Arai","","","","","1","1","741","253","488","34.14"
"Araila","","","","","1","3","902","366","536","40.58"
"Aran Pokhram","","","","","1","1","22","5","17","22.73"
"Arazi Bangrasi","","","","","1","1","145","0","145","0.00"
"Arjuna Bijulia","","","","","1","1","219","60","159","27.40"
"Aropur","","","","","1","1","68","31","37","45.59"
"Asgaon","","","","","1","1","302","124","178","41.06"
"Asi","","","","","1","4","930","381","549","40.97"
"Askaul","","","","","1","1","198","147","51","74.24"
"Asma","","","","","1","1","259","0","259","0.00"
"Asman","","","","","1","1","169","58","111","34.32"
"Aso","","","","","1","1","223","108","115","48.43"
"Asrafpur","","","","","1","6","403","161","242","39.95"
"Asraha","","","","","1","1","956","726","230","75.94"
"Asthua","","","","","1","1","569","243","326","42.71"
"Atarbel","","","","","1","1","26","19","7","73.08"
"Atarbel Ramchaura","","","","","1","1","80","47","33","58.75"
"Athar","","","","","1","6","3015","80","2935","2.65"
"Athar","","","","","1","1","114","86","28","75.44"
"Atihar","","","","","1","2","718","264","454","36.77"
"Atraha","","","","","1","1","14","2","12","14.29"
"Aurahi","","","","","1","1","91","31","60","34.07"
"Auranga Usuri","","","","","1","1","1013","158","855","15.60"
"Awam","","","","","1","1","514","306","208","59.53"
"Awan","","","","","1","1","60","20","40","33.33"
"Az Rakbe Basdeopur","","","","","1","1","63","46","17","73.02"
"Az Rakbe Gobindpur","","","","","1","1","103","21","82","20.39"
"Az Rakbe Hardwarpur","","","","","1","1","133","1","132","0.75"
"Az Rakbe Kotma","","","","","1","1","48","25","23","52.08"
"Az Rakbe Purkhotimpur","","","","","1","1","61","10","51","16.39"
"Badea","","","","","1","1","113","94","19","83.19"
"Badh Basti","","","","","1","1","311","64","247","20.58"
"Badh Marauna","","","","","1","1","168","147","21","87.50"
"Badhipur","","","","","1","1","105","87","18","82.86"
"Badri","","","","","1","1","41","29","12","70.73"
"Baghant","","","","","1","1","1263","574","689","45.45"
"Baghaul","","","","","1","1","143","124","19","86.71"
"Baghauni","","","","","1","1","1441","763","678","52.95"
"Baghela","","","","","1","1","8","5","3","62.50"
"Baghela","","","","","1","1","112","97","15","86.61"
"Baghela","","","","","1","1","152","98","54","64.47"
"Baghra","","","","","1","1","385","159","226","41.30"
"Bahadurpur","","","","","1","1","21","17","4","80.95"
"Bahadurpur (CT)","","","","","1","2","514","335","179","65.18"
"Baheri","","","","","1","6","2249","1245","1004","55.36"
"Bahrampur urf Masankhon","","","","","1","1","886","207","679","23.36"
"Bahuara Buzurg","","","","","1","1","401","259","142","64.59"
"Bahuarwa","","","","","1","1","277","103","174","37.18"
"Bahupatti","","","","","1","1","264","89","175","33.71"
"Baigani","","","","","1","1","485","119","366","24.54"
"Baijnathpur","","","","","1","1","138","0","138","0.00"
"Baika","","","","","1","1","301","132","169","43.85"
"Bairo","","","","","1","1","102","0","102","0.00"
"Bakmandar","","","","","1","2","231","146","85","63.20"
"Balaha","","","","","1","5","481","208","273","43.24"
"Balaha","","","","","1","1","128","91","37","71.09"
"Balaha","","","","","1","2","1128","254","874","22.52"
"Balaha","","","","","1","1","284","143","141","50.35"
"Balgaon","","","","","1","1","421","139","282","33.02"
"Bali Bagraul","","","","","1","1","226","122","104","53.98"
"Balia","1","1","0","0","1","1","18","14","4","77.78"
"Balia","1","1","0","0","1","1","411","218","193","53.04"
"Balia","1","1","0","0","1","1","180","146","34","81.11"
