"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Katahri","","","","","1","1","145","28","117","19.31"
"Abgila","1","1","0","0","1","2","825","354","471","42.91"
"Abhaipur","","","","","1","1","127","108","19","85.04"
"Achhwan","","","","","1","1","160","160","0","100.00"
"Achuki","","","","","1","1","182","0","182","0.00"
"Adai","","","","","1","6","455","68","387","14.95"
"Adalpur","","","","","1","1","119","66","53","55.46"
"Adampur","","","","","1","3","306","46","260","15.03"
"Adar","","","","","1","1","225","97","128","43.11"
"Addapur","","","","","1","2","130","1","129","0.77"
"Adham khap","","","","","1","1","12","0","12","0.00"
"Adman","","","","","1","1","34","29","5","85.29"
"Aer","1","1","0","0","1","2","132","2","130","1.52"
"Afzalpur","","","","","1","1","181","17","164","9.39"
"Aganda","","","","","1","4","280","13","267","4.64"
"Aganda","","","","","1","1","86","32","54","37.21"
"Agani","","","","","1","1","166","62","104","37.35"
"Agar","","","","","1","1","114","36","78","31.58"
"Agni","","","","","1","2","190","42","148","22.11"
"Agnuwadih","","","","","1","1","43","0","43","0.00"
"Agraili","","","","","1","1","10","2","8","20.00"
"Agraili","","","","","1","1","2","0","2","0.00"
"Aila","","","","","1","1","42","5","37","11.90"
"Aiwan","1","1","0","0","1","1","231","0","231","0.00"
"Aiwan","1","1","0","0","1","3","484","7","477","1.45"
"Ajnawan","","","","","1","1","246","119","127","48.37"
"Akauni","","","","","1","1","88","16","72","18.18"
"Akbarpur","","","","","1","1","162","35","127","21.60"
"Akhanpur","","","","","1","1","76","23","53","30.26"
"Akhtiarpur","","","","","1","1","46","32","14","69.57"
"Akori Khap","","","","","1","1","46","42","4","91.30"
"Akothara","","","","","1","1","99","27","72","27.27"
"Akurahwan","","","","","1","7","533","0","533","0.00"
"Alahua Chak","1","1","0","0","1","1","17","16","1","94.12"
"Alakdiha","","","","","1","2","207","0","207","0.00"
"Alalpur","","","","","1","1","125","59","66","47.20"
"Alalpur Bishunpur","","","","","1","2","84","21","63","25.00"
"Alam Bigha","","","","","1","1","78","1","77","1.28"
"Alampur","","","","","1","1","73","42","31","57.53"
"Alawal Chak","","","","","1","1","81","53","28","65.43"
"Alawalpur","","","","","1","1","164","68","96","41.46"
"Alinagar","1","1","0","0","1","1","142","19","123","13.38"
"Alipur","","","","","1","1","146","8","138","5.48"
"Alpa","","","","","1","1","105","78","27","74.29"
"Alwadi Chak","1","1","0","0","1","1","22","18","4","81.82"
"Amahna","","","","","1","1","28","1","27","3.57"
"Amaitha","","","","","1","1","180","180","0","100.00"
"Amar Bigha","","","","","1","1","29","0","29","0.00"
"Amar Bigha","","","","","1","1","20","18","2","90.00"
"Amari","","","","","1","2","156","149","7","95.51"
"Amarpur","","","","","1","1","77","23","54","29.87"
"Amarpur","","","","","1","1","57","28","29","49.12"
"Amarua","","","","","1","1","45","16","29","35.56"
"Amarut","","","","","1","1","287","123","164","42.86"
"Amas","","","","","1","11","563","270","293","47.96"
"Amatari","","","","","1","2","177","18","159","10.17"
"Amauna","","","","","1","1","69","40","29","57.97"
"Amauni","","","","","1","1","44","0","44","0.00"
"Amaur","","","","","1","2","230","0","230","0.00"
"Amawan","","","","","1","1","34","2","32","5.88"
"Amethi","","","","","1","7","554","55","499","9.93"
"Amhara","","","","","1","1","75","57","18","76.00"
"Amin","","","","","1","2","97","83","14","85.57"
"Amjhar","1","1","0","0","1","2","164","114","50","69.51"
"Amkola","","","","","1","1","189","30","159","15.87"
"Amma Bar","","","","","1","1","118","69","49","58.47"
"Amma Kuan","","","","","1","1","78","27","51","34.62"
"Ammakhar","","","","","1","1","89","87","2","97.75"
"Ammakuan","","","","","1","6","306","110","196","35.95"
"Amra","","","","","1","1","83","83","0","100.00"
"Amra","","","","","1","1","127","0","127","0.00"
"Amraha","1","1","0","0","1","2","479","232","247","48.43"
"Amsot","","","","","1","1","153","26","127","16.99"
"Amukhap","","","","","1","1","24","7","17","29.17"
"Amwan","","","","","1","2","160","44","116","27.50"
"Anantpur","","","","","1","1","40","21","19","52.50"
"Anarbansalea","","","","","1","1","33","0","33","0.00"
"Andhar","","","","","1","1","64","42","22","65.63"
"Andhu Somani","","","","","1","1","209","0","209","0.00"
"Angra","1","1","0","0","1","1","128","36","92","28.13"
"Angra","1","1","0","0","1","5","566","86","480","15.19"
"Anjan","","","","","1","1","195","0","195","0.00"
"Ansara","","","","","1","1","24","0","24","0.00"
"Anti","","","","","1","3","546","160","386","29.30"
"Antiya","","","","","1","5","167","42","125","25.15"
"Anuradhi","","","","","1","1","26","26","0","100.00"
"Anwara dohar","","","","","1","1","17","0","17","0.00"
"Aradih","","","","","1","1","122","65","57","53.28"
"Arai","","","","","1","5","443","40","403","9.03"
"Aranga","","","","","1","1","125","0","125","0.00"
"Arhanpura","","","","","1","1","128","94","34","73.44"
"Arhwan","1","1","0","0","1","1","412","255","157","61.89"
"Arjun Bigha","1","1","0","0","1","1","139","58","81","41.73"
"Arjuna","","","","","1","1","93","57","36","61.29"
"Aropur","1","1","0","0","1","7","339","152","187","44.84"
"Aropur","1","1","0","0","1","1","114","114","0","100.00"
"Arsi Kalan","","","","","1","1","81","65","16","80.25"
"Arsi Khurd","","","","","1","1","94","14","80","14.89"
"Asani","","","","","1","3","490","13","477","2.65"
"Asarhia","","","","","1","2","192","24","168","12.50"
"Ashrafpur","","","","","1","1","138","6","132","4.35"
"Asnauli","1","1","0","0","1","1","59","38","21","64.41"
"Asni","","","","","1","1","124","10","114","8.06"
"Asurain","","","","","1","1","133","29","104","21.80"
"Atiya","1","1","0","0","1","1","189","179","10","94.71"
"Atopur","","","","","1","1","103","7","96","6.80"
"Aunra","1","1","0","0","1","1","122","34","88","27.87"
"Aunradih","","","","","1","1","170","59","111","34.71"
"Aunrwadohar","","","","","1","1","291","31","260","10.65"
"Aurawan","1","1","0","0","1","2","531","253","278","47.65"
"Azamgarh","","","","","1","2","404","208","196","51.49"
"Azmatganj","1","1","0","0","1","3","385","169","216","43.90"
"Babhandewa","","","","","1","1","246","231","15","93.90"
"Babhandih","","","","","1","1","183","48","135","26.23"
"Babhandih","","","","","1","2","504","284","220","56.35"
"Babhandih Wajirganj","1","1","0","0","1","1","516","210","306","40.70"
"Babhani","","","","","1","1","151","61","90","40.40"
"Babhaniwan","","","","","1","1","42","5","37","11.90"
"Babhni","1","1","0","0","1","1","357","182","175","50.98"
"Baburi Chak","1","1","0","0","1","1","38","29","9","76.32"
"Badahpur","","","","","1","1","255","111","144","43.53"
"Badauan","","","","","1","1","51","0","51","0.00"
"Baddi","1","1","0","0","1","2","600","119","481","19.83"
"Badra","","","","","1","1","239","41","198","17.15"
"Badwa","","","","","1","1","44","31","13","70.45"
"Bagaha","","","","","1","1","147","76","71","51.70"
"Bagahi","","","","","1","6","402","38","364","9.45"
"Bagahi","","","","","1","1","57","1","56","1.75"
"Bagahi","","","","","1","1","77","24","53","31.17"
"Bagahi","","","","","1","1","45","0","45","0.00"
"Bagahi Kalan","","","","","1","1","94","92","2","97.87"
"Bagahi Khurd","","","","","1","1","43","42","1","97.67"
"Bagai","","","","","1","1","132","0","132","0.00"
"Bagdaha","","","","","1","1","84","45","39","53.57"
"Bagdiha","","","","","1","1","147","103","44","70.07"
"Bage Bar","","","","","1","1","20","18","2","90.00"
"Bagea","","","","","1","1","117","31","86","26.50"
"Bagha Khap","","","","","1","2","27","15","12","55.56"
"Baghauta","","","","","1","1","252","178","74","70.63"
"Baghlatti","","","","","1","1","159","89","70","55.97"
"Baghnagri","","","","","1","1","11","2","9","18.18"
"Baghpur","","","","","1","1","138","50","88","36.23"
"Bagsoti","","","","","1","1","16","13","3","81.25"
"Bagula","","","","","1","1","317","146","171","46.06"
"Baha","","","","","1","1","30","25","5","83.33"
"Bahabalpur","1","1","0","0","1","2","602","352","250","58.47"
"Bahadra","","","","","1","1","30","24","6","80.00"
"Bahadur Bigha","1","1","0","0","1","2","206","160","46","77.67"
"Bahadurpur","","","","","1","1","20","0","20","0.00"
"Bahak","","","","","1","1","13","11","2","84.62"
"Bahargara","","","","","1","1","72","46","26","63.89"
"Bahbalpur","","","","","1","1","78","8","70","10.26"
"Bahbalpur","","","","","1","1","93","41","52","44.09"
"Bahbalpur","","","","","1","2","62","49","13","79.03"
"Baher","","","","","1","2","51","1","50","1.96"
"Bahera","","","","","1","1","193","55","138","28.50"
"Bahera","","","","","1","1","74","50","24","67.57"
"Bahera","","","","","1","1","94","2","92","2.13"
"Bahera","","","","","1","1","110","3","107","2.73"
"Bahera","","","","","1","1","214","15","199","7.01"
"Bahera","","","","","1","1","170","106","64","62.35"
"Bahera Bhurkunda","","","","","1","1","125","70","55","56.00"
"Bahera Dih","","","","","1","1","69","65","4","94.20"
"Bahera Khurd","","","","","1","1","21","0","21","0.00"
"Bahhni","","","","","1","1","165","0","165","0.00"
"Bahorma","","","","","1","1","150","42","108","28.00"
"Bahsa Pipra","","","","","1","3","367","0","367","0.00"
"Bahuara","1","1","0","0","1","1","89","61","28","68.54"
"Bahuara","1","1","0","0","1","1","104","0","104","0.00"
"Baid Bigha","","","","","1","2","343","235","108","68.51"
"Baida","","","","","1","1","146","104","42","71.23"
"Baida","","","","","1","1","152","92","60","60.53"
"Baida Saida","","","","","1","1","115","56","59","48.70"
"Baidpura","1","1","0","0","1","1","80","76","4","95.00"
"Baigoman","","","","","1","1","217","45","172","20.74"
"Baijal Tetariya","","","","","1","1","120","1","119","0.83"
"Baijnathpur","","","","","1","1","137","6","131","4.38"
"Baijnathpur Tal","","","","","1","1","51","21","30","41.18"
"Baiju Bigha","1","1","0","0","1","1","316","22","294","6.96"
"Baikatpur","","","","","1","1","121","71","50","58.68"
"Baikatpur","","","","","1","1","75","6","69","8.00"
"Bailo","","","","","1","1","108","108","0","100.00"
"Bair Bigha","","","","","1","1","23","19","4","82.61"
"Bairi Banbas","","","","","1","1","130","41","89","31.54"
"Bairi chak","","","","","1","1","93","31","62","33.33"
"Bairiya","","","","","1","1","32","31","1","96.88"
"Baital","","","","","1","2","234","11","223","4.70"
"Baja Bigha","","","","","1","1","34","5","29","14.71"
"Bajarkar","","","","","1","1","63","56","7","88.89"
"Bajaul","","","","","1","1","88","61","27","69.32"
"Bajaura","","","","","1","12","776","629","147","81.06"
"Bajda","","","","","1","1","100","46","54","46.00"
"Bajpura","","","","","1","1","104","80","24","76.92"
"Bajraha","","","","","1","1","102","0","102","0.00"
"Bakhari","","","","","1","1","104","96","8","92.31"
"Bakhtawarpur","","","","","1","2","84","0","84","0.00"
"Bakraur","1","1","0","0","1","1","501","335","166","66.87"
"Bakri","","","","","1","1","58","54","4","93.10"
"Bakthar","","","","","1","2","172","135","37","78.49"
"Bala Bigha","","","","","1","2","228","55","173","24.12"
"Balabigha","","","","","1","1","26","22","4","84.62"
"Balapur","","","","","1","1","161","8","153","4.97"
"Balaset","","","","","1","1","151","53","98","35.10"
"Balganwan","","","","","1","1","238","166","72","69.75"
"Balia","","","","","1","1","117","14","103","11.97"
"Balia","","","","","1","1","161","60","101","37.27"
"Baliari","","","","","1","1","153","30","123","19.61"
"Baliari","","","","","1","1","78","8","70","10.26"
"Baliyari","","","","","1","1","190","86","104","45.26"
"Baliyari","","","","","1","1","278","56","222","20.14"
"Balkhora","","","","","1","2","97","51","46","52.58"
"Balkoa","","","","","1","1","112","19","93","16.96"
"Balna","","","","","1","1","125","12","113","9.60"
"Balsora","","","","","1","1","14","4","10","28.57"
"Balsot","","","","","1","2","199","76","123","38.19"
"Balthar","","","","","1","1","98","95","3","96.94"
"Bana","","","","","1","5","238","90","148","37.82"
"Bana Bigha","","","","","1","1","56","47","9","83.93"
"Banahi","","","","","1","1","77","1","76","1.30"
"Banahi","","","","","1","1","104","78","26","75.00"
"Banara","","","","","1","1","31","20","11","64.52"
"Banarsi Bigha","1","1","0","0","1","1","38","14","24","36.84"
"Banaul","","","","","1","1","176","0","176","0.00"
"Banbasi","","","","","1","1","1","1","0","100.00"
"Banchar","","","","","1","1","28","21","7","75.00"
"Banda","","","","","1","2","255","0","255","0.00"
"Bandegara","","","","","1","1","59","44","15","74.58"
"Bandhuwa","1","1","0","0","1","6","386","331","55","85.75"
"Baniadih","","","","","1","1","111","27","84","24.32"
"Banian Baraun","","","","","1","1","164","79","85","48.17"
"Baniyadih","1","1","0","0","1","1","139","69","70","49.64"
"Bank","","","","","1","1","78","39","39","50.00"
"Bankat","1","1","0","0","1","1","34","17","17","50.00"
"Bankat","1","1","0","0","1","1","210","52","158","24.76"
"Banki","","","","","1","1","60","22","38","36.67"
"Banki Chak","","","","","1","1","90","0","90","0.00"
"Banra","","","","","1","1","58","0","58","0.00"
"Bansi","","","","","1","1","155","136","19","87.74"
"Bansi Bigha","","","","","1","1","134","37","97","27.61"
"Banwan Goshain Math","","","","","1","2","67","0","67","0.00"
"Banwara","","","","","1","1","34","21","13","61.76"
"Bar","","","","","1","10","727","694","33","95.46"
"Bara","1","1","0","0","1","1","39","1","38","2.56"
"Bara","1","1","0","0","1","3","178","60","118","33.71"
"Bara","1","1","0","0","1","3","408","254","154","62.25"
"Bara","1","1","0","0","1","1","530","157","373","29.62"
"Bara","1","1","0","0","1","1","75","72","3","96.00"
"Bara","1","1","0","0","1","1","144","92","52","63.89"
"Bara","1","1","0","0","1","1","108","61","47","56.48"
"Bara","1","1","0","0","1","3","137","34","103","24.82"
"Bara","1","1","0","0","1","1","92","28","64","30.43"
"Bara","1","1","0","0","1","1","201","118","83","58.71"
"Bara","1","1","0","0","1","1","21","18","3","85.71"
"Bara","1","1","0","0","1","1","73","71","2","97.26"
"Bara","1","1","0","0","1","2","48","27","21","56.25"
"Bara","1","1","0","0","1","2","155","0","155","0.00"
"Bara","1","1","0","0","1","1","36","36","0","100.00"
"Bara","1","1","0","0","1","1","63","61","2","96.83"
"Bara","1","1","0","0","1","1","149","56","93","37.58"
"Bara","1","1","0","0","1","1","153","63","90","41.18"
"Bara","1","1","0","0","1","1","261","140","121","53.64"
"Bara (CT)","","","","","1","1","318","245","73","77.04"
"Bara Khar","","","","","1","1","89","0","89","0.00"
"Baraha","","","","","1","2","359","104","255","28.97"
"Baraheta","","","","","1","1","92","46","46","50.00"
"Barahi Bigha","","","","","1","1","74","47","27","63.51"
"Barahkurwa","","","","","1","1","30","30","0","100.00"
"Barahmoria","","","","","1","2","74","42","32","56.76"
"Barahtarwa","","","","","1","1","76","28","48","36.84"
"Barahuria","","","","","1","1","132","61","71","46.21"
"Barai","","","","","1","1","173","17","156","9.83"
"Baraila","","","","","1","1","40","40","0","100.00"
