"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adhmauli","","","","","1","1","56","44","12","78.57"
"Adhmauli","","","","","1","1","37","1","36","2.70"
"Admapur","","","","","1","2","320","256","64","80.00"
"Aghaila Misir","","","","","1","1","134","46","88","34.33"
"Ahiapur","","","","","1","6","503","377","126","74.95"
"Ahirauli","","","","","1","2","219","72","147","32.88"
"Ahirauli Dubauli","","","","","1","1","281","111","170","39.50"
"Ahiraulia","","","","","1","1","279","132","147","47.31"
"Ahiyapur","","","","","1","1","163","92","71","56.44"
"Ainthi","","","","","1","2","221","62","159","28.05"
"Ajab Chhapra","","","","","1","1","13","1","12","7.69"
"Ajbi Nagar","","","","","1","1","437","305","132","69.79"
"Alapur","","","","","1","1","88","35","53","39.77"
"Alapur","","","","","1","1","137","2","135","1.46"
"Alapur","","","","","1","1","225","97","128","43.11"
"Amahi  Banke","","","","","1","1","91","57","34","62.64"
"Amahi Misir","1","1","0","0","1","1","127","103","24","81.10"
"Amahi Shukul","","","","","1","1","151","88","63","58.28"
"Amaithi Kalan","","","","","1","1","219","122","97","55.71"
"Amaithi Khurd","","","","","1","1","230","159","71","69.13"
"Amarpura","","","","","1","3","687","356","331","51.82"
"Amawa","","","","","1","1","117","54","63","46.15"
"Amea","","","","","1","1","293","114","179","38.91"
"Amtha Bhuwan","","","","","1","1","86","29","57","33.72"
"Amwa","","","","","1","1","136","73","63","53.68"
"Amwa","","","","","1","1","71","57","14","80.28"
"Amwa Bijaypur","","","","","1","1","304","297","7","97.70"
"Amwa Ghat","","","","","1","1","114","104","10","91.23"
"Amwa Moazzam","","","","","1","1","187","144","43","77.01"
"Amwa nakchhed","","","","","1","1","230","154","76","66.96"
"Arazi Bikrampur","","","","","1","1","123","117","6","95.12"
"Arazi Dharam Parsa","","","","","1","1","62","47","15","75.81"
"Arazi Korea","","","","","1","1","43","14","29","32.56"
"Arazi Math Hankar","","","","","1","1","42","15","27","35.71"
"Arazi Motipur","","","","","1","1","41","32","9","78.05"
"Arazi Rudarpur","","","","","1","1","8","0","8","0.00"
"Arazipur","","","","","1","1","33","15","18","45.45"
"Arna","","","","","1","2","367","129","238","35.15"
"Asandapur","","","","","1","2","43","40","3","93.02"
"Asandi","","","","","1","1","93","66","27","70.97"
"Atwa Durg","","","","","1","2","219","97","122","44.29"
"Atwa Karan urf Mahadewa","","","","","1","1","75","40","35","53.33"
"Babhanike Bhum","","","","","1","1","18","11","7","61.11"
"Babhnauli","","","","","1","1","78","72","6","92.31"
"Babhnauli","","","","","1","1","20","18","2","90.00"
"Babhneti","","","","","1","1","14","10","4","71.43"
"Babhni","","","","","1","1","103","14","89","13.59"
"Bagaha Nizamat","","","","","1","1","221","183","38","82.81"
"Bagaha Saida","","","","","1","1","145","129","16","88.97"
"Bagahi Bairisal","","","","","1","3","137","55","82","40.15"
"Bagahi Dih","","","","","1","2","59","18","41","30.51"
"Bagahwa","","","","","1","1","25","13","12","52.00"
"Bagahwa Jagirdari","","","","","1","1","10","8","2","80.00"
"Bagahwa Misir","","","","","1","1","256","49","207","19.14"
"Bagahwa Tiwari","","","","","1","1","44","25","19","56.82"
"Baghauch","","","","","1","2","190","155","35","81.58"
"Bagheji","","","","","1","1","538","242","296","44.98"
"Baghwar Nizamat","","","","","1","1","155","149","6","96.13"
"Bahadura","","","","","1","1","299","171","128","57.19"
"Baherwa","","","","","1","1","131","74","57","56.49"
"Baherwa","","","","","1","1","102","62","40","60.78"
"Bahora Tola","","","","","1","1","263","209","54","79.47"
"Bahrampur","","","","","1","1","86","66","20","76.74"
"Baidauli","","","","","1","1","129","108","21","83.72"
"Baidauli","","","","","1","1","45","19","26","42.22"
"Baijalha","","","","","1","2","113","90","23","79.65"
"Baikunth Pur","","","","","1","3","267","192","75","71.91"
"Baikunthpur","","","","","1","4","296","264","32","89.19"
"Baikunthpur","","","","","1","2","128","56","72","43.75"
"Bairagi Tola","","","","","1","4","528","355","173","67.23"
"Bairia","","","","","1","10","1101","462","639","41.96"
"Bairia Durg","","","","","1","2","217","148","69","68.20"
"Bairia Thakurai","","","","","1","3","105","57","48","54.29"
"Bairona","","","","","1","1","78","39","39","50.00"
"Bairya Dhorhan","","","","","1","4","137","98","39","71.53"
"Bakainiyan","","","","","1","1","10","6","4","60.00"
"Bakharia","","","","","1","1","151","118","33","78.15"
"Bakhraur","","","","","1","2","813","680","133","83.64"
"Bakhraur Jaddi","","","","","1","1","141","103","38","73.05"
"Bakhraur Pachpatia","","","","","1","1","171","112","59","65.50"
"Bakhraur Tola Birt","1","1","0","0","1","1","13","11","2","84.62"
"Bakhri","","","","","1","2","160","157","3","98.13"
"Bakhri","","","","","1","1","171","148","23","86.55"
"Balbhadar Parsa","","","","","1","1","117","105","12","89.74"
"Balbhaddar Patti","","","","","1","1","117","68","49","58.12"
"Balepur","","","","","1","1","218","161","57","73.85"
"Balha","","","","","1","1","450","389","61","86.44"
"Balha","","","","","1","1","143","114","29","79.72"
"Baliwan Raemel","","","","","1","1","429","351","78","81.82"
"Baliwan Sagar","","","","","1","1","606","329","277","54.29"
"Balra","","","","","1","1","571","219","352","38.35"
"Balwa","","","","","1","1","311","56","255","18.01"
"Bamhnauli","","","","","1","1","173","159","14","91.91"
"Bamhnauli","","","","","1","1","5","3","2","60.00"
"Bamon","1","1","0","0","1","1","137","114","23","83.21"
"Bandarha Baikunthpur","","","","","1","1","93","52","41","55.91"
"Bande","","","","","1","1","2","1","1","50.00"
"Bandhaura Ghat","","","","","1","3","665","379","286","56.99"
"Bandhwa","","","","","1","1","42","23","19","54.76"
"Bangal Khand","","","","","1","2","144","105","39","72.92"
"Bangra","","","","","1","3","247","160","87","64.78"
