"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhaipur","","","","","1","1","187","32","155","17.11"
"Achambho","","","","","1","1","99","54","45","54.55"
"Acharajdih","","","","","1","1","207","58","149","28.02"
"Achari","","","","","1","1","67","32","35","47.76"
"Achhra","","","","","1","1","59","10","49","16.95"
"Agabara Barwata","","","","","1","7","993","651","342","65.56"
"Akauni Marthumbha","","","","","1","1","193","128","65","66.32"
"Akhane","","","","","1","1","71","16","55","22.54"
"Alagjara","","","","","1","1","16","13","3","81.25"
"Aliganj","","","","","1","5","780","397","383","50.90"
"Amari","","","","","1","2","349","77","272","22.06"
"Amba","1","1","0","0","1","1","82","54","28","65.85"
"Amin","","","","","1","1","203","98","105","48.28"
"Amma Sarari","1","1","0","0","1","3","440","268","172","60.91"
"Amrath","","","","","1","5","644","360","284","55.90"
"Anantpur","","","","","1","9","1542","1532","10","99.35"
"Arha","","","","","1","1","732","264","468","36.07"
"Arnawan Bank","","","","","1","14","1167","136","1031","11.65"
"Arsar","","","","","1","1","499","275","224","55.11"
"Asnaha","","","","","1","2","196","27","169","13.78"
"Asota","","","","","1","1","89","40","49","44.94"
"Badidih","","","","","1","2","66","59","7","89.39"
"Baghakhanr","1","1","0","0","1","1","43","27","16","62.79"
"Bahadurpur","","","","","1","2","415","212","203","51.08"
"Bahchha","","","","","1","1","132","99","33","75.00"
"Bahera","","","","","1","5","587","285","302","48.55"
"Bahera Kita Alaiya","","","","","1","1","1","0","1","0.00"
"Bahera Kita Pathlautia","","","","","1","1","1","0","1","0.00"
"Bakshanpur","","","","","1","1","17","13","4","76.47"
"Bala Pursanda","","","","","1","1","230","95","135","41.30"
"Balda","","","","","1","1","244","149","95","61.07"
"Ballopur","","","","","1","1","166","74","92","44.58"
"Bandhaura","","","","","1","1","212","164","48","77.36"
"Bangardih","","","","","1","2","79","79","0","100.00"
"Bangawan","1","1","0","0","1","3","231","164","67","71.00"
"Banjhulia","","","","","1","1","111","54","57","48.65"
"Banpur","","","","","1","1","451","234","217","51.88"
"Bara","","","","","1","1","173","90","83","52.02"
"Barar","","","","","1","1","71","62","9","87.32"
"Bardih","","","","","1","1","417","235","182","56.35"
"Barhat","","","","","1","6","741","259","482","34.95"
"Bariarpur","","","","","1","2","313","123","190","39.30"
"Bariarpur","","","","","1","2","155","155","0","100.00"
"Baribag Jaljoga","","","","","1","1","89","1","88","1.12"
"Basaia","","","","","1","1","124","38","86","30.65"
"Basbutti","","","","","1","1","44","14","30","31.82"
"Bela","","","","","1","3","398","180","218","45.23"
"Bela","","","","","1","1","81","81","0","100.00"
"Bhajour","","","","","1","1","96","82","14","85.42"
"Bhalua","1","1","0","0","1","1","9","6","3","66.67"
"Bhaluka","","","","","1","1","220","220","0","100.00"
"Bhalwana","","","","","1","1","460","23","437","5.00"
"Bhandara","1","1","0","0","1","2","435","175","260","40.23"
"Bhandari","","","","","1","1","105","91","14","86.67"
"Bhandra","","","","","1","1","127","45","82","35.43"
"Bhanta","","","","","1","1","70","47","23","67.14"
"Bhar Ghara","","","","","1","1","9","7","2","77.78"
"Bhat Chak","","","","","1","1","236","227","9","96.19"
"Bhaunr","","","","","1","3","344","13","331","3.78"
"Bhojpur","","","","","1","1","153","60","93","39.22"
"Bhullo","","","","","1","2","420","170","250","40.48"
"Bichhwa","","","","","1","2","298","263","35","88.26"
"Bigwa","","","","","1","1","32","2","30","6.25"
"Bijuahi","","","","","1","1","70","70","0","100.00"
"Bishunpur","","","","","1","17","1114","645","469","57.90"
"Bishunpur","","","","","1","1","185","160","25","86.49"
"Bishunpur","","","","","1","1","109","39","70","35.78"
"Bohrama","","","","","1","1","43","25","18","58.14"
"Bojhait","","","","","1","10","624","189","435","30.29"
"Brahmania","","","","","1","1","146","48","98","32.88"
"Bukar","","","","","1","5","375","137","238","36.53"
"Chancho","","","","","1","1","95","32","63","33.68"
"Chandardip","","","","","1","1","218","115","103","52.75"
"Chandwara","","","","","1","1","150","27","123","18.00"
"Changodih","","","","","1","1","74","29","45","39.19"
"Charan","","","","","1","1","307","1","306","0.33"
"Chaukitanr Deyaldih","","","","","1","1","214","28","186","13.08"
"Chaurasa","","","","","1","1","360","236","124","65.56"
"Chhatarpur","","","","","1","1","24","22","2","91.67"
"Chhatiaini","","","","","1","1","174","99","75","56.90"
"Chhatthu Dhanawan","","","","","1","1","106","82","24","77.36"
"Chhitma","","","","","1","1","30","6","24","20.00"
"Chihutia","","","","","1","7","700","62","638","8.86"
"Chinmaria","","","","","1","3","675","300","375","44.44"
"Chordiha","","","","","1","1","220","92","128","41.82"
"Chuan","","","","","1","3","674","585","89","86.80"
"Churhit","","","","","1","2","422","181","241","42.89"
"Dabil","","","","","1","4","720","169","551","23.47"
"Dadpur","","","","","1","1","118","72","46","61.02"
"Daingarwaphulandih","","","","","1","1","328","24","304","7.32"
"Damdama","1","1","0","0","1","1","6","0","6","0.00"
"Danr","","","","","1","1","156","85","71","54.49"
"Darha","","","","","1","2","887","198","689","22.32"
"Darkha","","","","","1","1","711","218","493","30.66"
"Daulatpur","","","","","1","1","557","72","485","12.93"
"Dehuridih","","","","","1","2","100","2","98","2.00"
