"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abgila","","","","","1","1","101","74","27","73.27"
"Adampur Ashia","","","","","1","1","228","0","228","0.00"
"Afzalpur","","","","","1","2","213","165","48","77.46"
"Ahiasa","","","","","1","3","635","45","590","7.09"
"Ainwan","","","","","1","1","203","163","40","80.30"
"Aira","","","","","1","1","125","68","57","54.40"
"Akauna","","","","","1","5","602","180","422","29.90"
"Akhtiarpur","","","","","1","2","64","11","53","17.19"
"Alampur","","","","","1","1","106","78","28","73.58"
"Algana","","","","","1","1","227","108","119","47.58"
"Allahganj","","","","","1","3","298","99","199","33.22"
"Amain","","","","","1","4","340","192","148","56.47"
"Amarpur","","","","","1","1","104","10","94","9.62"
"Amarpur Pali","","","","","1","1","291","72","219","24.74"
"Amsara","1","1","0","0","1","2","90","68","22","75.56"
"Amthua","","","","","1","4","680","211","469","31.03"
"Anatpur","","","","","1","1","129","3","126","2.33"
"Anjani","","","","","1","1","33","7","26","21.21"
"Anjanichak","","","","","1","1","38","0","38","0.00"
"Ankupur","","","","","1","2","204","90","114","44.12"
"Arhit","","","","","1","1","107","9","98","8.41"
"Arif Chak","","","","","1","1","28","15","13","53.57"
"Asiawan","","","","","1","6","246","25","221","10.16"
"Atiawan","","","","","1","3","151","22","129","14.57"
"Aulia chak","","","","","1","17","1498","196","1302","13.08"
"Babhanpura","","","","","1","2","239","163","76","68.20"
"Badahar","","","","","1","3","322","75","247","23.29"
"Baigni","","","","","1","1","125","69","56","55.20"
"Bajidpur","","","","","1","1","37","1","36","2.70"
"Bajitpur","","","","","1","1","65","62","3","95.38"
"Bakhra","","","","","1","1","93","47","46","50.54"
"Ballopur","","","","","1","1","115","14","101","12.17"
"Balwa","","","","","1","1","10","5","5","50.00"
"Balwa","","","","","1","3","81","0","81","0.00"
"Banchhilli","","","","","1","1","110","52","58","47.27"
"Bandea","","","","","1","4","337","108","229","32.05"
"Bandhuganj","","","","","1","1","406","232","174","57.14"
"Bandipur Barheta","","","","","1","5","101","59","42","58.42"
"Bara","","","","","1","1","284","74","210","26.06"
"Bara","","","","","1","3","184","0","184","0.00"
"Bara","","","","","1","2","568","110","458","19.37"
"Barahra","","","","","1","1","228","0","228","0.00"
"Baranwan","","","","","1","4","324","18","306","5.56"
"Barchhi Bigha","","","","","1","2","65","16","49","24.62"
"Barhauna","","","","","1","1","111","35","76","31.53"
"Barhauna","","","","","1","3","384","128","256","33.33"
"Barheta","","","","","1","1","90","84","6","93.33"
"Barki Akauna","","","","","1","2","367","5","362","1.36"
"Basantpur Harahar","","","","","1","1","206","0","206","0.00"
"Basatpur","","","","","1","1","149","125","24","83.89"
"Batauli","","","","","1","2","81","8","73","9.88"
"Bauri","","","","","1","5","544","119","425","21.88"
"Bazidpur","","","","","1","1","42","0","42","0.00"
"Bazidpur","","","","","1","1","77","14","63","18.18"
"Bedauli","","","","","1","1","132","10","122","7.58"
"Bela","","","","","1","2","867","392","475","45.21"
"Bemai","","","","","1","3","160","155","5","96.88"
"Beni Chak","","","","","1","1","11","0","11","0.00"
"Berka","","","","","1","1","104","38","66","36.54"
"Berthu","","","","","1","1","132","28","104","21.21"
"Bhadsara","","","","","1","4","383","0","383","0.00"
"Bhadseri","","","","","1","4","186","18","168","9.68"
"Bhagwanpur","","","","","1","1","51","24","27","47.06"
"Bharthu","","","","","1","4","496","34","462","6.85"
"Bharthua","","","","","1","1","152","16","136","10.53"
"Bhekh","","","","","1","11","993","161","832","16.21"
"Bhelawar","","","","","1","2","156","48","108","30.77"
"Bhewar","","","","","1","1","269","180","89","66.91"
"Bhikhanpur","","","","","1","2","226","49","177","21.68"
"Bhimalpur","","","","","1","1","247","45","202","18.22"
"Bhimpura","","","","","1","2","155","97","58","62.58"
"Bibipur","","","","","1","1","325","190","135","58.46"
"Bihta","","","","","1","3","218","58","160","26.61"
"Bijulipur","","","","","1","1","59","9","50","15.25"
"Bira","","","","","1","1","124","22","102","17.74"
"Birupur","","","","","1","1","258","62","196","24.03"
"Bishunganj","","","","","1","2","355","174","181","49.01"
"Bishunpur","","","","","1","1","11","5","6","45.45"
"Bishunpur","","","","","1","1","62","22","40","35.48"
"Bishunpur","","","","","1","1","147","146","1","99.32"
"Bishunpur Jethiyara","","","","","1","3","156","71","85","45.51"
"Bishunpur okri","","","","","1","2","479","9","470","1.88"
"Bistaul","","","","","1","3","293","190","103","64.85"
"Bisunpur  Pathra","","","","","1","1","97","66","31","68.04"
"Boknari Kalan","","","","","1","2","153","33","120","21.57"
"Boknari Khurd","","","","","1","1","70","0","70","0.00"
"Bolakpur","1","1","0","0","1","4","257","64","193","24.90"
"Budhan Tali","","","","","1","1","104","5","99","4.81"
"Chagori","","","","","1","4","370","37","333","10.00"
"Chainpura","","","","","1","1","174","112","62","64.37"
"Chak Saura","","","","","1","1","177","58","119","32.77"
"Chalis kurwa","","","","","1","1","40","40","0","100.00"
"Chandai","","","","","1","3","227","117","110","51.54"
"Chandaura","","","","","1","5","378","43","335","11.38"
"Chandharia","","","","","1","1","155","139","16","89.68"
"Chandhariya","","","","","1","1","188","0","188","0.00"
"Charh","","","","","1","3","315","115","200","36.51"
"Charui","","","","","1","2","717","59","658","8.23"
"Chatar","","","","","1","2","228","53","175","23.25"
"Chatar","","","","","1","3","249","61","188","24.50"
"Chhapanna","","","","","1","1","133","22","111","16.54"
"Chhariyari","","","","","1","1","827","152","675","18.38"
"Chhatiana","","","","","1","5","528","285","243","53.98"
"Chhotki Akauna","","","","","1","1","45","25","20","55.56"
"Chilori","","","","","1","2","226","0","226","0.00"
"Chingia","","","","","1","1","68","0","68","0.00"
"Chiraiatanr","1","1","0","0","1","1","62","47","15","75.81"
"Chiri","","","","","1","2","301","42","259","13.95"
"Chopaha","","","","","1","1","96","0","96","0.00"
"Dabthu","","","","","1","5","423","75","348","17.73"
"Dachhni","","","","","1","1","106","10","96","9.43"
"Dadpur","","","","","1","1","148","69","79","46.62"
"Daharpur","","","","","1","1","169","47","122","27.81"
"Daharpur Milik","","","","","1","1","16","1","15","6.25"
"Dakra","","","","","1","4","482","157","325","32.57"
"Damaua","","","","","1","1","78","10","68","12.82"
"Damodarpur","","","","","1","1","43","29","14","67.44"
"Damuhan","","","","","1","5","441","108","333","24.49"
"Danu Bigha","","","","","1","1","271","140","131","51.66"
"Dariapur","","","","","1","2","84","20","64","23.81"
"Daroga chak","","","","","1","1","16","0","16","0.00"
"Daudpur","","","","","1","1","86","37","49","43.02"
"Daulatpur","","","","","1","1","52","24","28","46.15"
"Daulatpur","","","","","1","1","108","0","108","0.00"
"Daulatpur","","","","","1","1","96","11","85","11.46"
"Dayalpur","","","","","1","1","54","29","25","53.70"
"Dekuli","","","","","1","6","356","41","315","11.52"
"Deoghara","","","","","1","1","226","25","201","11.06"
"Derhsaiya","","","","","1","5","377","131","246","34.75"
"Dewara","","","","","1","3","418","1","417","0.24"
"Dewra Math","","","","","1","1","103","0","103","0.00"
"Dewsing Khandha","","","","","1","1","33","0","33","0.00"
"Dhamapur","","","","","1","1","141","132","9","93.62"
"Dhana Dihri","","","","","1","3","549","160","389","29.14"
"Dhanauti","","","","","1","1","162","126","36","77.78"
"Dhandhar Bigha","","","","","1","3","298","2","296","0.67"
"Dhanuki","","","","","1","1","110","35","75","31.82"
"Dharampur","","","","","1","1","236","23","213","9.75"
"Dharaut","","","","","1","4","1435","240","1195","16.72"
"Dharnai","","","","","1","3","475","226","249","47.58"
"Dhobri","","","","","1","1","155","0","155","0.00"
"Dhol Bigha","","","","","1","1","160","55","105","34.38"
"Dhonrha chak","","","","","1","2","228","172","56","75.44"
"Dhonrha Ikil","","","","","1","2","156","81","75","51.92"
"Dhorhari","","","","","1","1","98","45","53","45.92"
"Dhuria","","","","","1","1","119","0","119","0.00"
"Dhuriari","","","","","1","4","349","0","349","0.00"
"Dihuri","","","","","1","3","218","116","102","53.21"
"Dohia","","","","","1","2","171","78","93","45.61"
"Dumri","","","","","1","1","83","0","83","0.00"
"Faridpur","","","","","1","1","54","41","13","75.93"
"Faridpur","","","","","1","1","204","102","102","50.00"
"Faridpura","","","","","1","3","240","93","147","38.75"
"Fauladpur","","","","","1","1","175","117","58","66.86"
"Firoji","","","","","1","5","644","43","601","6.68"
"Galimapur","","","","","1","1","59","0","59","0.00"
"Gamharpur","","","","","1","1","119","3","116","2.52"
"Ganankura","","","","","1","1","257","66","191","25.68"
"Gandhar","","","","","1","7","380","300","80","78.95"
"Gandhar Arazi","","","","","1","1","247","75","172","30.36"
"Gangapur","","","","","1","3","266","100","166","37.59"
"Ganwan","","","","","1","4","438","205","233","46.80"
"Gappo Chak","","","","","1","1","96","34","62","35.42"
"Gaurapur","","","","","1","1","180","46","134","25.56"
"Ghatkan","","","","","1","1","191","90","101","47.12"
"Ghazipur","","","","","1","1","25","3","22","12.00"
"Ghazipur","","","","","1","1","53","39","14","73.58"
"Ghejan","","","","","1","2","223","152","71","68.16"
"Ghorahat","","","","","1","1","67","0","67","0.00"
"Ghoshi","","","","","1","5","902","267","635","29.60"
"Ghosi","","","","","1","1","6","2","4","33.33"
"Ghosi","","","","","1","1","337","213","124","63.20"
"Ginji","","","","","1","2","133","43","90","32.33"
"Gobindpur","","","","","1","1","241","0","241","0.00"
"Godiha","","","","","1","1","234","1","233","0.43"
"Godiha","","","","","1","1","81","5","76","6.17"
"Gol Bigha","","","","","1","1","78","33","45","42.31"
"Golakpur","","","","","1","1","84","16","68","19.05"
"Golakpur","","","","","1","8","901","184","717","20.42"
"Golakpur Baranwan","","","","","1","1","44","3","41","6.82"
"Gonsa","","","","","1","1","133","26","107","19.55"
"Gopalpur","","","","","1","1","121","64","57","52.89"
"Gopalpur","","","","","1","1","140","0","140","0.00"
"Gopalpur","","","","","1","2","193","105","88","54.40"
"Gorsar","","","","","1","1","259","99","160","38.22"
"Guhapakar","","","","","1","1","63","56","7","88.89"
