"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"1Bhawanipur","1","1","0","0","1","1","14","14","0","100.00"
"Abadpur","","","","","1","1","1931","753","1178","39.00"
"Abdullahpur","1","1","0","0","1","1","89","0","89","0.00"
"Abdullahpur","1","1","0","0","1","1","32","25","7","78.13"
"Achran","1","1","0","0","1","1","37","28","9","75.68"
"Adampur Kasht","1","1","0","0","1","1","440","79","361","17.95"
"Adampur Mal","1","1","0","0","1","1","183","61","122","33.33"
"Adda Milik","1","0","0","1","1","1","165","0","165","0.00"
"Ahmadabad","1","1","0","0","1","28","5017","670","4347","13.35"
"Ahmadpur","1","0","0","1","1","2","243","0","243","0.00"
"Ahmadpur","1","0","0","1","1","1","44","0","44","0.00"
"Ahuta","1","1","0","0","1","1","339","183","156","53.98"
"Ahuta Milik","1","1","0","0","1","1","41","41","0","100.00"
"Ajgaha","1","1","0","0","1","1","193","49","144","25.39"
"Alampur","","","","","1","1","367","142","225","38.69"
"Alhanda","1","1","0","0","1","1","359","22","337","6.13"
"Alhanda Milik","1","1","0","0","1","1","40","5","35","12.50"
"Aliharpur","1","1","0","0","1","1","24","0","24","0.00"
"Alinagar","","","","","1","1","88","0","88","0.00"
"Alipur","1","1","0","0","1","1","562","307","255","54.63"
"Amarsinghpur","1","1","0","0","1","10","955","2","953","0.21"
"Amdaul","1","0","0","1","1","1","230","0","230","0.00"
"Aminabad","","","","","1","7","362","169","193","46.69"
"Aminabad","","","","","1","1","147","40","107","27.21"
"Amirabad","1","1","0","0","1","2","788","2","786","0.25"
"Amirpur Hardas Milik","1","1","0","0","1","1","100","0","100","0.00"
"Amirpur Hardas Milik","1","1","0","0","1","1","359","32","327","8.91"
"Amol","1","1","0","0","1","1","113","82","31","72.57"
"Amol","1","1","0","0","1","1","309","188","121","60.84"
"Amol","1","1","0","0","1","2","470","248","222","52.77"
"Anandpur","1","1","0","0","1","1","44","37","7","84.09"
"Anarkali Patti","1","0","0","1","1","1","450","0","450","0.00"
"Ankhor","1","1","0","0","1","1","129","63","66","48.84"
"Anupnagar","1","1","0","0","1","1","140","65","75","46.43"
"Aphrail","","","","","1","1","221","99","122","44.80"
"Arazi Midhaul","1","1","0","0","1","1","20","10","10","50.00"
"Arihana","","","","","1","2","903","655","248","72.54"
"Asalatganj","1","1","0","0","1","1","123","0","123","0.00"
"Asiani","","","","","1","1","429","241","188","56.18"
"Athara","1","1","0","0","1","1","183","108","75","59.02"
"Athela","1","0","0","1","1","1","20","0","20","0.00"
"Aulia","","","","","1","1","176","3","173","1.70"
"Auranga","1","1","0","0","1","1","27","19","8","70.37"
"Azamnagar","","","","","1","2","1097","223","874","20.33"
"Azampur Shankar","1","1","0","0","1","2","514","238","276","46.30"
"Azampur Shankar Milik","1","1","0","0","1","3","201","35","166","17.41"
"Azampur Shankar Milik","1","1","0","0","1","4","209","21","188","10.05"
"Babhangaon","1","1","0","0","1","2","380","314","66","82.63"
"Babhangawan","1","1","0","0","1","1","100","56","44","56.00"
"Babhani","1","1","0","0","1","2","240","116","124","48.33"
"Babhni","1","1","0","0","1","1","304","146","158","48.03"
"Babra","1","0","0","1","1","2","217","0","217","0.00"
"Badhia","","","","","1","1","82","15","67","18.29"
