"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adabari","","","","","1","1","402","319","83","79.35"
"Agrahan","1","0","0","1","1","1","200","0","200","0.00"
"Aguani","","","","","1","1","547","406","141","74.22"
"Ahuna","","","","","1","1","186","62","124","33.33"
"Ahunasiswa","","","","","1","1","209","61","148","29.19"
"Alauli","","","","","1","1","1454","577","877","39.68"
"Amausi","1","1","0","0","1","1","295","0","295","0.00"
"Ambaicharua","","","","","1","5","1333","472","861","35.41"
"Ammadih","","","","","1","1","115","104","11","90.43"
"Amni","","","","","1","1","876","753","123","85.96"
"Ananpur Maran","1","1","0","0","1","12","1599","8","1591","0.50"
"Araria","","","","","1","1","53","15","38","28.30"
"Araria","","","","","1","1","557","177","380","31.78"
"Arnawan","1","1","0","0","1","1","183","1","182","0.55"
"Asurar","","","","","1","1","104","45","59","43.27"
"Aurahidih","1","0","0","1","1","1","109","0","109","0.00"
"Babhan Gawan","","","","","1","2","854","92","762","10.77"
"Bachhauta","","","","","1","2","1380","910","470","65.94"
"Badhchatar","","","","","1","6","932","388","544","41.63"
"Bahadurpur","","","","","1","1","767","519","248","67.67"
"Baisa","","","","","1","1","1177","613","564","52.08"
"Bakhtiarpur","","","","","1","1","82","70","12","85.37"
"Bal Kunda","1","1","0","0","1","1","52","0","52","0.00"
"Balaitha","1","1","0","0","1","8","754","87","667","11.54"
"Balha","","","","","1","7","1194","857","337","71.78"
"Balha","","","","","1","1","242","193","49","79.75"
"Baltara","","","","","1","6","1706","138","1568","8.09"
"Banni","","","","","1","1","1437","920","517","64.02"
"Barai","","","","","1","3","460","326","134","70.87"
"Barun","1","1","0","0","1","1","258","0","258","0.00"
"Basudeopur","","","","","1","4","789","565","224","71.61"
"Beldaur","","","","","1","2","2186","511","1675","23.38"
"Bhadas","","","","","1","9","3328","1503","1825","45.16"
"Bhagwan chak","","","","","1","2","492","218","274","44.31"
"Bharra","","","","","1","1","243","166","77","68.31"
"Bharson","","","","","1","1","699","668","31","95.57"
"Bhatkhar","","","","","1","2","585","203","382","34.70"
"Bhela Nauabad","","","","","1","1","789","334","455","42.33"
"Bhela Simri","","","","","1","24","2093","711","1382","33.97"
"Bhelauri","","","","","1","1","318","151","167","47.48"
