"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Akhra","1","1","0","0","1","1","50","21","29","42.00"
"Algachhia","","","","","1","7","645","332","313","51.47"
"Aliganj","","","","","1","1","36","18","18","50.00"
"Altabari","","","","","1","1","61","48","13","78.69"
"Altabari","","","","","1","15","1258","952","306","75.68"
"Ambari","","","","","1","1","407","166","241","40.79"
"Amol Jhari","","","","","1","1","384","157","227","40.89"
"Andhasur","","","","","1","1","321","229","92","71.34"
"Andhuakol","","","","","1","1","69","40","29","57.97"
"Andowakol","","","","","1","1","115","88","27","76.52"
"Arrabari","","","","","1","1","477","329","148","68.97"
"Arugaon","","","","","1","1","59","43","16","72.88"
"Asha","1","1","0","0","1","1","82","70","12","85.37"
"Asura","","","","","1","1","427","331","96","77.52"
"Babhangaon","","","","","1","1","4","2","2","50.00"
"Babhangaon","","","","","1","1","234","139","95","59.40"
"Babhangawan","1","1","0","0","1","1","201","50","151","24.88"
"Babhantola","","","","","1","1","320","278","42","86.88"
"Babhantola Laucha","","","","","1","1","63","61","2","96.83"
"Bagalbari","","","","","1","1","316","40","276","12.66"
"Bagalbari","","","","","1","4","357","269","88","75.35"
"Bahadurpur","","","","","1","1","353","205","148","58.07"
"Bahkol","","","","","1","1","254","194","60","76.38"
"Baichakutti","","","","","1","2","325","245","80","75.38"
"Baigna","","","","","1","8","844","573","271","67.89"
"Baijnath Palsa","","","","","1","1","135","12","123","8.89"
"Bairia","1","1","0","0","1","2","398","96","302","24.12"
"Baisa","","","","","1","1","404","380","24","94.06"
"Baisa Jurail","1","1","0","0","1","2","588","552","36","93.88"
"Baisagopalganj","","","","","1","1","257","220","37","85.60"
"Bakhonala","","","","","1","1","176","172","4","97.73"
"Baksa","","","","","1","2","508","422","86","83.07"
"Balia","","","","","1","1","367","291","76","79.29"
"Balia","","","","","1","9","896","722","174","80.58"
"Balua Jagir","","","","","1","1","635","597","38","94.02"
"Baluadandgi","1","1","0","0","1","1","333","253","80","75.98"
"Balubari","","","","","1","1","25","0","25","0.00"
"Banasi","","","","","1","1","40","12","28","30.00"
"Bandar Jhula","","","","","1","1","88","73","15","82.95"
"Bandar Jhula","","","","","1","1","140","73","67","52.14"
"Bandar Jhula","","","","","1","1","46","22","24","47.83"
"Bandar Jhula","","","","","1","13","1059","621","438","58.64"
"Bandar Jhula","","","","","1","1","13","12","1","92.31"
"Bangaon","","","","","1","15","1495","1065","430","71.24"
"Bansbari","1","1","0","0","1","1","30","29","1","96.67"
"Bansbari","1","1","0","0","1","1","90","79","11","87.78"
"Bansbari","1","1","0","0","1","1","42","34","8","80.95"
"Banwaria","","","","","1","1","316","227","89","71.84"
"Barab Kahunia","","","","","1","3","313","234","79","74.76"
