"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abgil Chak","","","","","1","1","18","15","3","83.33"
"Abgil Chak Abdul Fata","","","","","1","1","2","1","1","50.00"
"Abgil Rampur","","","","","1","1","1","1","0","100.00"
"Abgil Rampur","","","","","1","1","1313","919","394","69.99"
"Adupur","1","1","0","0","1","1","40","29","11","72.50"
"Adupur","1","1","0","0","1","1","163","118","45","72.39"
"Agaia","","","","","1","1","28","0","28","0.00"
"Aima Mustafapur","","","","","1","1","2","2","0","100.00"
"Ainjani Ghat","","","","","1","1","177","0","177","0.00"
"Akauni","","","","","1","1","85","57","28","67.06"
"Alakhpura","","","","","1","1","27","0","27","0.00"
"Alinagar","","","","","1","4","951","517","434","54.36"
"Amahara","","","","","1","3","652","350","302","53.68"
"Amarpur","","","","","1","3","549","250","299","45.54"
"Amarpur","","","","","1","3","4","4","0","100.00"
"Amarpur","","","","","1","4","113","47","66","41.59"
"Amwari","","","","","1","1","8","4","4","50.00"
"Anandpur","","","","","1","1","133","70","63","52.63"
"Arazi Majhiawan","","","","","1","1","88","29","59","32.95"
"Arma","","","","","1","4","832","599","233","72.00"
"Auraia","","","","","1","1","177","96","81","54.24"
"Aure","","","","","1","1","462","269","193","58.23"
"Babhanganwan","","","","","1","1","160","50","110","31.25"
"Baghaur","","","","","1","1","138","20","118","14.49"
"Bahadurpur","","","","","1","1","83","32","51","38.55"
"Bahchha","","","","","1","1","160","54","106","33.75"
"Bahranwan","","","","","1","1","215","111","104","51.63"
"Bakiabad","","","","","1","1","259","43","216","16.60"
"Balahpur","","","","","1","1","159","28","131","17.61"
"Balgudar","","","","","1","2","625","299","326","47.84"
"Ballopur","","","","","1","1","273","98","175","35.90"
"Bamuara","","","","","1","1","83","20","63","24.10"
"Banauli","","","","","1","1","38","38","0","100.00"
"Bannu Bagaicha","","","","","1","1","264","69","195","26.14"
"Bansipur","","","","","1","4","412","280","132","67.96"
"Bar","","","","","1","1","2","2","0","100.00"
"Bara","","","","","1","1","11","9","2","81.82"
"Barare","","","","","1","1","180","1","179","0.56"
"Bardokhar","","","","","1","2","190","37","153","19.47"
"Barhara","","","","","1","3","306","91","215","29.74"
"Bariarpur","1","1","0","0","1","3","648","338","310","52.16"
"Bartara","","","","","1","2","13","5","8","38.46"
"Bartara","","","","","1","3","441","250","191","56.69"
"Barui","","","","","1","1","142","50","92","35.21"
"Basauni","","","","","1","2","204","166","38","81.37"
"Basdeopur","","","","","1","1","54","46","8","85.19"
"Basgara","","","","","1","1","211","128","83","60.66"
"Baskund","","","","","1","1","45","0","45","0.00"
"Basmatia","","","","","1","1","107","93","14","86.92"
"Basua Chak","","","","","1","1","1","0","1","0.00"
"Bataspur","","","","","1","1","12","12","0","100.00"
"Batta","1","1","0","0","1","1","57","37","20","64.91"
"Bazidpur","","","","","1","1","27","2","25","7.41"
"Bela","","","","","1","1","60","39","21","65.00"
"Belaunja","","","","","1","1","69","15","54","21.74"
"Bhagatpur","","","","","1","1","78","27","51","34.62"
"Bhalui","","","","","1","2","248","62","186","25.00"
"Bhamaria","","","","","1","1","233","32","201","13.73"
"Bhanpura","","","","","1","1","89","53","36","59.55"
"Bhatta","","","","","1","1","73","0","73","0.00"
"Bhelaura","","","","","1","1","178","51","127","28.65"
"Bherha","","","","","1","2","274","263","11","95.99"
"Bhuinka","","","","","1","1","33","22","11","66.67"
"Bichhwe","","","","","1","1","163","105","58","64.42"
"Bigha Bachhia","","","","","1","1","108","1","107","0.93"
"Bihraura","","","","","1","3","229","113","116","49.34"
"Bihta","","","","","1","1","194","108","86","55.67"
"Bikam","","","","","1","1","90","7","83","7.78"
"Bikrampur","","","","","1","3","346","114","232","32.95"
"Bikrampur","","","","","1","4","269","165","104","61.34"
"Bikrampur","","","","","1","4","251","161","90","64.14"
"Bilauri","","","","","1","1","314","57","257","18.15"
"Billi","","","","","1","1","231","102","129","44.16"
"Billo","","","","","1","2","324","193","131","59.57"
"Birdaban","","","","","1","1","405","229","176","56.54"
"Bishunpur","","","","","1","1","68","66","2","97.06"
"Bishunpur","","","","","1","1","46","44","2","95.65"
"Budhauli Bankar","","","","","1","17","576","210","366","36.46"
"Chak Hasaura","","","","","1","1","1","0","1","0.00"
"Chak Salempur","","","","","1","7","906","641","265","70.75"
"Chak Salempur","","","","","1","1","1","1","0","100.00"
"Chak Tahir","","","","","1","1","64","14","50","21.88"
"chamghara","","","","","1","3","190","155","35","81.58"
"Champanagar","","","","","1","1","197","40","157","20.30"
"Chandanpur","","","","","1","3","603","513","90","85.07"
"Chaukra","","","","","1","1","154","97","57","62.99"
"Chauraman Bigha","","","","","1","1","256","1","255","0.39"
"Chauri","","","","","1","1","114","5","109","4.39"
"Chora","","","","","1","5","614","0","614","0.00"
"Dakra","","","","","1","1","110","58","52","52.73"
"Damodarpur","","","","","1","2","92","36","56","39.13"
"Damodarpur","","","","","1","4","102","12","90","11.76"
"Damodarpur","","","","","1","5","164","149","15","90.85"
"Damodarpur","","","","","1","1","43","20","23","46.51"
"Darhishir","","","","","1","1","56","30","26","53.57"
"Dariapur","","","","","1","1","299","189","110","63.21"
"Dariapur","","","","","1","1","123","42","81","34.15"
"Dhanari","","","","","1","2","320","182","138","56.88"
"Dhanwan","","","","","1","1","95","0","95","0.00"
"Dhanwo","","","","","1","1","56","43","13","76.79"
"Dharampur","","","","","1","1","92","36","56","39.13"
"Dhawokhar","","","","","1","1","86","54","32","62.79"
"Dhira","","","","","1","3","513","374","139","72.90"
"Dira","1","1","0","0","1","1","166","95","71","57.23"
"Dudi","","","","","1","1","82","22","60","26.83"
"Dumri","","","","","1","2","493","306","187","62.07"
"Fatehpur","","","","","1","1","56","56","0","100.00"
"Ganga Sarai","","","","","1","3","722","562","160","77.84"
"Gangta","","","","","1","2","199","75","124","37.69"
"Garhi Bishanpur","","","","","1","1","528","221","307","41.86"
"garsanda","","","","","1","1","149","28","121","18.79"
"Gaura","","","","","1","1","214","71","143","33.18"
"Gausabad","","","","","1","1","52","42","10","80.77"
"Gerua Pursanda","","","","","1","1","546","215","331","39.38"
"Ghoghi","","","","","1","3","406","269","137","66.26"
"Ghoghsa","","","","","1","3","236","162","74","68.64"
"Ghosi Kundi","","","","","1","1","204","194","10","95.10"
"Ghuset","","","","","1","3","259","111","148","42.86"
"Giddha","","","","","1","1","249","135","114","54.22"
"Girdharpur","1","1","0","0","1","1","61","34","27","55.74"
"Gobind Bigha","","","","","1","1","211","132","79","62.56"
"Gohri","","","","","1","3","270","13","257","4.81"
"Gopalpur","1","1","0","0","1","2","127","96","31","75.59"
"Gopalpur","1","1","0","0","1","1","507","346","161","68.24"
"Gulni","","","","","1","1","299","156","143","52.17"
"Gulni","","","","","1","1","92","39","53","42.39"
"Gurdih","","","","","1","1","131","87","44","66.41"
"Haibatganj","","","","","1","1","57","55","2","96.49"
"Haldi","","","","","1","1","130","112","18","86.15"
"Halsi","","","","","1","2","485","252","233","51.96"
"Harbanspur","","","","","1","1","32","30","2","93.75"
"Harewa","","","","","1","1","53","40","13","75.47"
"Hasanpur","","","","","1","1","180","24","156","13.33"
"Hasanpur","","","","","1","1","56","32","24","57.14"
"Hirdan Bigha","","","","","1","1","162","128","34","79.01"
"Itahara","","","","","1","1","188","26","162","13.83"
"Itaun","","","","","1","2","119","57","62","47.90"
"Itaun English Kita Awal","","","","","1","1","231","16","215","6.93"
"Itaun English Kita Doem","","","","","1","1","5","1","4","20.00"
"Jagdishpur","","","","","1","2","274","88","186","32.12"
"Jagdishpur","","","","","1","1","8","0","8","0.00"
"Jaitpur","","","","","1","2","288","153","135","53.13"
"Jaitpur","","","","","1","3","334","206","128","61.68"
"Jakarpura","","","","","1","2","377","232","145","61.54"
"Jakhaur","1","1","0","0","1","1","35","31","4","88.57"
"Jankidih","","","","","1","2","491","301","190","61.30"
"Jhakhar","","","","","1","3","118","22","96","18.64"
"Jhapani","","","","","1","1","143","119","24","83.22"
"Jhinaura","","","","","1","1","216","5","211","2.31"
"Jogpur","","","","","1","4","342","170","172","49.71"
"Juas","1","1","0","0","1","2","311","231","80","74.28"
"Kachhua","","","","","1","1","61","14","47","22.95"
"Kaini","","","","","1","3","440","414","26","94.09"
"Kaira","1","1","0","0","1","2","363","218","145","60.06"
