"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Alamnagar","","","","","1","1","946","587","359","62.05"
"Alamnagar","","","","","1","3","4941","2812","2129","56.91"
"Amanat Manullah Subedar","","","","","1","1","41","2","39","4.88"
"Amanat Sarkar","","","","","1","2","27","8","19","29.63"
"Amari Dharhra","","","","","1","1","945","477","468","50.48"
"Amauja","","","","","1","1","370","257","113","69.46"
"Anandpur","","","","","1","1","800","311","489","38.88"
"Anandpura Milik","","","","","1","1","312","208","104","66.67"
"Arajpur","","","","","1","1","1812","591","1221","32.62"
"Arazi Sukhasan","","","","","1","1","62","53","9","85.48"
"Arraha","","","","","1","1","1922","1243","679","64.67"
"Aurahi","","","","","1","1","1578","724","854","45.88"
"Aurahi","","","","","1","1","1013","660","353","65.15"
"Babhangawan","","","","","1","1","1032","558","474","54.07"
"Babhangawan","","","","","1","1","1646","1003","643","60.94"
"Babhani Bholwa","","","","","1","2","3372","2181","1191","64.68"
"Babhantoli","","","","","1","1","211","120","91","56.87"
"Bagahra","","","","","1","1","363","191","172","52.62"
"Baghmara","","","","","1","1","490","219","271","44.69"
"Bahadur Singh DakhinwariChakla","","","","","1","1","132","55","77","41.67"
"Bahadur Singh Uttarwari Chakla","","","","","1","1","228","77","151","33.77"
"Baijnathpur","","","","","1","1","1333","489","844","36.68"
"Bairbana","","","","","1","1","944","551","393","58.37"
"Bakhri","","","","","1","1","402","130","272","32.34"
"Balam","","","","","1","1","303","174","129","57.43"
"Bancholha","","","","","1","1","236","130","106","55.08"
"Bani","","","","","1","2","1676","116","1560","6.92"
"Barahi","","","","","1","1","668","270","398","40.42"
"Barahi","","","","","1","1","1557","446","1111","28.64"
"Barateni","","","","","1","1","673","231","442","34.32"
"Bardaha","","","","","1","1","857","506","351","59.04"
"Bargaon","","","","","1","1","1080","386","694","35.74"
"Barhari","","","","","1","1","297","72","225","24.24"
"Barhauna","","","","","1","1","410","129","281","31.46"
"Barhya","","","","","1","1","129","97","32","75.19"
"Basantpur","","","","","1","1","811","487","324","60.05"
"Basanwara","","","","","1","1","1134","821","313","72.40"
"Basdeopur","","","","","1","1","1101","764","337","69.39"
"Basdewa","","","","","1","1","907","618","289","68.14"
"Behrari","","","","","1","1","1871","1383","488","73.92"
"Behri","","","","","1","1","231","151","80","65.37"
"Belahi","","","","","1","1","561","488","73","86.99"
"Belari","","","","","1","1","1197","659","538","55.05"
"Belo","","","","","1","1","2042","838","1204","41.04"
"Belsandi","","","","","1","1","1141","609","532","53.37"
"Belsandi Milik","1","1","0","0","1","1","922","163","759","17.68"
"Belsarh","","","","","1","1","2318","1131","1187","48.79"
"Betauna","","","","","1","1","580","472","108","81.38"
"Bhadaul","1","1","0","0","1","1","518","289","229","55.79"
"Bhairopatti","","","","","1","1","62","43","19","69.35"
"Bhaluahi","","","","","1","1","178","139","39","78.09"
"Bhaluahi","","","","","1","1","471","344","127","73.04"
"Bhaluahi Arazi","","","","","1","1","65","58","7","89.23"
"Bhatgawan","","","","","1","1","1741","582","1159","33.43"
"Bhatkhori","","","","","1","1","1867","859","1008","46.01"
"Bhatranha","","","","","1","1","2602","1632","970","62.72"
"Bhawanandpur alias Kumarganj","","","","","1","1","402","156","246","38.81"
"Bhawanipur","","","","","1","1","451","76","375","16.85"
"Bhawantikthi","","","","","1","2","1357","769","588","56.67"
"Bhelwa","","","","","1","2","1487","811","676","54.54"
"Bihariganj","","","","","1","1","1418","878","540","61.92"
"Bindraban","","","","","1","1","515","216","299","41.94"
"Birgaon","","","","","1","1","291","277","14","95.19"
"Birgaon","","","","","1","1","637","439","198","68.92"
"Birgaon","","","","","1","1","92","53","39","57.61"
"Biri Ranpal","","","","","1","1","839","443","396","52.80"
"Bishunpur","","","","","1","1","546","176","370","32.23"
"Bishunpur","","","","","1","1","138","103","35","74.64"
"Bishunpur Amuana","","","","","1","1","973","258","715","26.52"
"Bishunpur Arar","","","","","1","1","855","606","249","70.88"
"Bishunpur Kantahi","","","","","1","1","387","289","98","74.68"
"Bishunpur Korlahi","","","","","1","1","1047","23","1024","2.20"
"Bishunpur Korlahi Chakla","","","","","1","1","2","1","1","50.00"
"Bishunpur Korlahi Chakla","","","","","1","1","213","70","143","32.86"
"Bishunpur Sundar","","","","","1","2","3918","667","3251","17.02"
"Bispatti","","","","","1","1","365","56","309","15.34"
"Biswari","","","","","1","1","401","206","195","51.37"
"Budhma","","","","","1","1","1736","1297","439","74.71"
"Budhma","","","","","1","1","459","105","354","22.88"
"Budhma Lakheraj","","","","","1","1","212","78","134","36.79"
"Burhawe","","","","","1","1","918","619","299","67.43"
"Chainpur","","","","","1","1","401","122","279","30.42"
"Chainpur Milik","","","","","1","1","2","0","2","0.00"
"Chak Faizullah","","","","","1","1","187","97","90","51.87"
"Chakla Gopal Jha","","","","","1","1","22","5","17","22.73"
"Chakla Pitambar Misra","","","","","1","1","116","97","19","83.62"
"Champanagar","","","","","1","1","269","232","37","86.25"
"Chatra Badh","","","","","1","1","37","32","5","86.49"
"Chatra Chak","","","","","1","1","317","283","34","89.27"
"Chaura","","","","","1","1","1326","611","715","46.08"
"Chausa","","","","","1","2","2986","1244","1742","41.66"
"Chausa Amanat Sarkar","","","","","1","1","8","2","6","25.00"
"Chikni","","","","","1","1","2347","1340","1007","57.09"
"Chitti","","","","","1","1","1003","844","159","84.15"
"Daha","","","","","1","1","530","430","100","81.13"
"Damar Singh Havaldar Jagir","","","","","1","1","147","122","25","82.99"
"Dardari","","","","","1","1","567","309","258","54.50"
"Debail","","","","","1","1","256","207","49","80.86"
"Depura","","","","","1","1","924","811","113","87.77"
"Dhanseshpur","","","","","1","1","689","330","359","47.90"
"Dhorgaon","","","","","1","1","2158","464","1694","21.50"
"Dighi","","","","","1","1","1418","254","1164","17.91"
"Din Mohammad Subedar Jagir","","","","","1","1","63","39","24","61.90"
"Din Mohammad Subedar Jagir","","","","","1","1","1762","1160","602","65.83"
"DInapatti","","","","","1","1","834","185","649","22.18"
"Dubiahi","","","","","1","1","439","213","226","48.52"
"Dulari","","","","","1","1","1092","182","910","16.67"
"Dumrail","","","","","1","1","624","232","392","37.18"
"Durgapur","","","","","1","1","329","156","173","47.42"
"Durgapur Arazi","","","","","1","1","324","59","265","18.21"
"English Ghosai","","","","","1","1","1996","716","1280","35.87"
"English Ghosai","","","","","1","1","1689","176","1513","10.42"
"Fakirna","","","","","1","1","83","51","32","61.45"
"Fatehpur","","","","","1","1","483","280","203","57.97"
"Gamail","","","","","1","1","1592","606","986","38.07"
"Gamharia","","","","","1","1","2160","1155","1005","53.47"
"Gamharia Ekdara","","","","","1","1","759","89","670","11.73"
"Ganeshpur","","","","","1","1","687","380","307","55.31"
"Gangapur","","","","","1","1","2055","309","1746","15.04"
"Gangapur","","","","","1","1","2666","952","1714","35.71"
"Gangaura","","","","","1","1","871","623","248","71.53"
"Garhia","","","","","1","1","992","411","581","41.43"
"Garhia","","","","","1","1","578","167","411","28.89"
"Garthan","","","","","1","1","1617","277","1340","17.13"
"Gauchi Dih","","","","","1","1","379","294","85","77.57"
"Gauripur","","","","","1","1","1920","1157","763","60.26"
"Ghailarh","","","","","1","1","1244","949","295","76.29"
"Ghordaul","","","","","1","1","171","73","98","42.69"
"Ghosai","","","","","1","1","2","1","1","50.00"
"Gidha","","","","","1","1","1834","820","1014","44.71"
"Goalpara","","","","","1","1","1414","802","612","56.72"
"Goalpara","","","","","1","1","921","427","494","46.36"
"Gohumani","","","","","1","1","1784","840","944","47.09"
"Gopalitola","","","","","1","1","380","133","247","35.00"
"Gopalpur","","","","","1","1","935","391","544","41.82"
"Gorhaila","","","","","1","1","236","164","72","69.49"
"Gorhiari","","","","","1","1","205","151","54","73.66"
"Got Bardaha","","","","","1","1","1149","823","326","71.63"
"Gothkhopaiti","","","","","1","1","314","281","33","89.49"
"Govind Ram Kumedan Jagir","","","","","1","1","2","1","1","50.00"
"Gudar Chakla","","","","","1","1","180","130","50","72.22"
"Guria","","","","","1","1","103","27","76","26.21"
"Guria Milik","","","","","1","1","454","104","350","22.91"
"Guria Milik","","","","","1","1","41","5","36","12.20"
"Guria Milik","","","","","1","1","103","16","87","15.53"
"Gurtara","","","","","1","1","57","20","37","35.09"
"Hanuman Nagar Chakla","","","","","1","1","18","11","7","61.11"
"Hanumannagar","","","","","1","1","78","60","18","76.92"
"Hanumannagar","","","","","1","1","14","14","0","100.00"
"Haraili","","","","","1","1","944","388","556","41.10"
"Harban Singh Naek Jagir","","","","","1","1","4","2","2","50.00"
"Hariharpur","","","","","1","1","906","449","457","49.56"
"Harpur","","","","","1","1","1073","711","362","66.26"
"Haru Dumra","","","","","1","1","213","87","126","40.85"
"Hatiaundha","","","","","1","1","1629","511","1118","31.37"
"Hirapatti","","","","","1","1","6","6","0","100.00"
"Israin Kalan","","","","","1","1","613","239","374","38.99"
"Israin Khurd","","","","","1","1","1815","614","1201","33.83"
"Ithari","","","","","1","1","988","810","178","81.98"
"Jagatpur","","","","","1","1","66","2","64","3.03"
"Jagbani","1","1","0","0","1","1","1098","877","221","79.87"
"Jajhat","","","","","1","1","575","271","304","47.13"
"Jalwara","","","","","1","1","510","257","253","50.39"
"Jhajhari","","","","","1","1","910","630","280","69.23"
"Jhalari","","","","","1","1","365","240","125","65.75"
"Jhitkia","","","","","1","1","207","182","25","87.92"
"Jhitkia","","","","","1","1","232","142","90","61.21"
"Jhitkia Hadi","","","","","1","1","188","110","78","58.51"
"Jirwa","","","","","1","1","2461","448","2013","18.20"
"Jitapur","","","","","1","1","1444","283","1161","19.60"
"Jitapur Arazi","","","","","1","1","14","2","12","14.29"
"Jiwachhpur","","","","","1","2","1877","1604","273","85.46"
"Jorgawan","","","","","1","1","1279","583","696","45.58"
"Jotaili","","","","","1","1","1092","117","975","10.71"
"Jotmanohar","","","","","1","1","326","222","104","68.10"
"Kalekhan Naek Jagir","","","","","1","1","102","27","75","26.47"
"Kalhautia","","","","","1","1","850","338","512","39.76"
"Kalotaha","","","","","1","1","420","324","96","77.14"
"Kalyanpatti","","","","","1","1","269","129","140","47.96"
"Kamargaon  (Part in Singheshwar) **","","","","","1","1","2162","244","1918","11.29"
"Kanhuan Goriari","","","","","1","1","764","467","297","61.13"
"Kankar","","","","","1","1","697","41","656","5.88"
"Kanwanrahi","","","","","1","1","31","13","18","41.94"
"Kapasia","1","1","0","0","1","1","912","250","662","27.41"
"Karaman","","","","","1","1","816","402","414","49.26"
"Kaurihar","","","","","1","1","437","141","296","32.27"
"Keshopur","","","","","1","1","213","79","134","37.09"
"Kewatgawan","","","","","1","1","1196","437","759","36.54"
"Khanarda","","","","","1","1","2337","754","1583","32.26"
"Khaon","","","","","1","1","658","576","82","87.54"
"Khari","","","","","1","1","1510","1069","441","70.79"
"Kherho","","","","","1","1","432","281","151","65.05"
"Khokhsi Saranpur","","","","","1","1","1417","769","648","54.27"
"Khoksi Saranpur Milik","","","","","1","1","45","23","22","51.11"
"Khopaiti","","","","","1","1","264","156","108","59.09"
"Khopaiti Badh","","","","","1","1","5","3","2","60.00"
"Khuman Milik","","","","","1","1","1824","384","1440","21.05"
"Khuranmal","","","","","1","1","936","215","721","22.97"
"Khusropatti","","","","","1","1","124","60","64","48.39"
"Khutharajai","","","","","1","1","199","115","84","57.79"
"Kishanganj","","","","","1","1","2058","1357","701","65.94"
"Kishunpur Ratwara","","","","","1","1","2322","381","1941","16.41"
