"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adhwari","","","","","1","1","291","247","44","84.88"
"Adit dih","","","","","1","1","178","112","66","62.92"
"Agai","","","","","1","1","43","32","11","74.42"
"Agaropatti","","","","","1","1","221","188","33","85.07"
"Ahpur","","","","","1","1","229","116","113","50.66"
"Ajnauli","","","","","1","3","233","190","43","81.55"
"Akaha","","","","","1","1","143","123","20","86.01"
"Akaspura","","","","","1","1","145","82","63","56.55"
"Akaur","","","","","1","1","1387","327","1060","23.58"
"Akuli","","","","","1","1","540","251","289","46.48"
"Ale","","","","","1","1","53","43","10","81.13"
"Alola","","","","","1","1","186","175","11","94.09"
"Alpura","","","","","1","2","977","317","660","32.45"
"Amahi","","","","","1","1","569","65","504","11.42"
"Amarupi","","","","","1","1","462","219","243","47.40"
"Amouja","","","","","1","1","427","265","162","62.06"
"Andah (Khajuri)","","","","","1","1","24","8","16","33.33"
"Andah (Manmohanpur)","","","","","1","1","312","165","147","52.88"
"Andah (Manoharpur)","","","","","1","1","3","0","3","0.00"
"Andauli","","","","","1","1","131","44","87","33.59"
"Andhra Tharhi","","","","","1","3","2750","1830","920","66.55"
"Andhramath","","","","","1","1","585","134","451","22.91"
"Andhri","","","","","1","1","660","148","512","22.42"
"Andipatti","","","","","1","1","261","163","98","62.45"
"Anharban","","","","","1","1","276","268","8","97.10"
"Ankusi","","","","","1","3","2153","678","1475","31.49"
"Anrer","","","","","1","1","1211","542","669","44.76"
"Arazi Anrer","","","","","1","1","1095","831","264","75.89"
"Arazi Az Rakbe Barhara","","","","","1","1","100","44","56","44.00"
"Arazi Basaitha","","","","","1","1","10","9","1","90.00"
"Arazi Basauli","1","1","0","0","1","5","1553","726","827","46.75"
"Arazi Basauli","1","1","0","0","1","1","127","94","33","74.02"
"Arazi Bhaur","1","1","0","0","1","2","1905","1523","382","79.95"
"Arazi Bhawanipur","","","","","1","1","51","19","32","37.25"
"Arazi Jagat","","","","","1","1","169","124","45","73.37"
"Arazi Parsauni","1","1","0","0","1","3","2444","2090","354","85.52"
"Arazi Rampur","","","","","1","1","2","1","1","50.00"
"Arazi Saini","","","","","1","1","76","45","31","59.21"
"Arazi Uchaith","","","","","1","1","265","118","147","44.53"
"Arazi Usauth","1","1","0","0","1","1","115","103","12","89.57"
"Arghawa","","","","","1","11","1615","898","717","55.60"
"Asam","1","1","0","0","1","1","680","290","390","42.65"
"Asurgarh","","","","","1","1","26","0","26","0.00"
"Atrauli","","","","","1","1","412","248","164","60.19"
"Atri","","","","","1","1","300","129","171","43.00"
"Aunsi Babhangawan","","","","","1","10","2783","1082","1701","38.88"
"Aura","","","","","1","1","267","195","72","73.03"
"Auraha","","","","","1","1","2","0","2","0.00"
"Awari","","","","","1","2","491","213","278","43.38"
"Awari Inamak","","","","","1","1","43","36","7","83.72"
"Az Rakbe Bhit Bhagwanpur","","","","","1","1","10","10","0","100.00"
"Az Rakbe Chaupta","","","","","1","1","358","246","112","68.72"
"Az Rakbe Desam","","","","","1","1","7","2","5","28.57"
"Az Rakbe Dip","","","","","1","1","9","5","4","55.56"
"Az Rakbe Jafra","","","","","1","1","45","13","32","28.89"
"Az Rakbe Mahindwar","","","","","1","1","142","50","92","35.21"
"Az Rakbe Maini","","","","","1","1","743","667","76","89.77"
"Az Rakbe Pauni","","","","","1","1","511","107","404","20.94"
"Az Rakbe Sankarpur","","","","","1","1","140","53","87","37.86"
"Az Rakbe Sidhi Tajpur","","","","","1","1","6","0","6","0.00"
