"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adalpur","","","","","1","1","2","2","0","100.00"
"Adalpur","","","","","1","1","10","10","0","100.00"
"Adalpur","","","","","1","1","185","178","7","96.22"
"Adampur","","","","","1","1","1","1","0","100.00"
"Adampur","","","","","1","1","1","1","0","100.00"
"Adampur","","","","","1","1","49","33","16","67.35"
"Adampur","","","","","1","1","56","45","11","80.36"
"Adampur","","","","","1","1","5","5","0","100.00"
"Adras","","","","","1","1","229","167","62","72.93"
"Afzalnagar","","","","","1","2","531","378","153","71.19"
"Agarhan","","","","","1","1","313","184","129","58.79"
"Ahmadpur","","","","","1","1","45","44","1","97.78"
"Aliganj","","","","","1","1","23","9","14","39.13"
"Amaia","","","","","1","1","444","339","105","76.35"
"Amari","","","","","1","1","506","482","24","95.26"
"Amdaha Kalan","","","","","1","1","61","43","18","70.49"
"Amdaha Khurd","","","","","1","1","11","11","0","100.00"
"Araunga","","","","","1","1","38","30","8","78.95"
"Asarganj (CT)","","","","","1","1","668","503","165","75.30"
"Atwalpur","","","","","1","1","53","41","12","77.36"
"Auraiya","","","","","1","1","24","6","18","25.00"
"Azamganj","","","","","1","1","100","86","14","86.00"
"Babhan Chakka","","","","","1","1","84","84","0","100.00"
"Badarkha","","","","","1","1","84","40","44","47.62"
"Bagesri","","","","","1","1","346","287","59","82.95"
"Bagnaulakha","","","","","1","2","68","65","3","95.59"
"Baha Chauki","","","","","1","2","340","253","87","74.41"
"Bahadurpur","","","","","1","1","114","114","0","100.00"
"Bahira","","","","","1","3","640","465","175","72.66"
"Baijalpur","","","","","1","4","155","82","73","52.90"
"Baijalpur","","","","","1","1","177","115","62","64.97"
"Baijalpur","","","","","1","1","162","97","65","59.88"
"Baijnathpur","","","","","1","1","13","12","1","92.31"
"Bakarabad","","","","","1","1","28","25","3","89.29"
"Bakarpur","","","","","1","1","217","216","1","99.54"
"Bakarpur Inglish","1","1","0","0","1","1","55","55","0","100.00"
"Balia","","","","","1","2","231","208","23","90.04"
"Bambor","","","","","1","1","216","118","98","54.63"
"Banaudhi","","","","","1","2","151","125","26","82.78"
"Bangaon","","","","","1","1","199","155","44","77.89"
"Bangawan","","","","","1","4","690","415","275","60.14"
"Bank","","","","","1","3","164","131","33","79.88"
"Bansikita","","","","","1","1","1","1","0","100.00"
"Barail","","","","","1","1","36","4","32","11.11"
"Bardah","","","","","1","2","7","6","1","85.71"
"Bardghatta","","","","","1","1","77","57","20","74.03"
"Bardiha","","","","","1","1","32","15","17","46.88"
"Barhaunian","","","","","1","4","838","500","338","59.67"
"Barhouna","","","","","1","2","1400","929","471","66.36"
"Bari Chak","","","","","1","1","106","102","4","96.23"
"Bari Chak","","","","","1","1","6","5","1","83.33"
"Bariarpur","","","","","1","15","1991","1817","174","91.26"
"Barsunda","","","","","1","1","349","126","223","36.10"
"Barui","","","","","1","2","472","383","89","81.14"
"Batsar","","","","","1","1","125","44","81","35.20"
"Baukhra","","","","","1","1","90","69","21","76.67"
"Baurna","","","","","1","1","72","55","17","76.39"
"Bejham","","","","","1","1","3","3","0","100.00"
"Bela","","","","","1","1","1","1","0","100.00"
"Beladih","","","","","1","2","306","125","181","40.85"
"Belbihma","","","","","1","3","244","194","50","79.51"
"Belsara","","","","","1","1","103","31","72","30.10"
"Berain","","","","","1","1","189","82","107","43.39"
"Bhadaura","","","","","1","1","490","283","207","57.76"
"Bhagalpur","","","","","1","1","9","9","0","100.00"
"Bhagalpura","","","","","1","1","145","118","27","81.38"
"Bhagi Chak","","","","","1","1","158","155","3","98.10"
"Bhagwanpur","","","","","1","1","54","28","26","51.85"
"Bhalar","","","","","1","1","197","167","30","84.77"
"Bhalguri","","","","","1","1","94","80","14","85.11"
"Bhalguri","","","","","1","1","115","88","27","76.52"
"Bhandar","","","","","1","2","146","119","27","81.51"
"Bhatehri","","","","","1","2","93","20","73","21.51"
"Bhatgawan","","","","","1","1","3","2","1","66.67"
"Bhawanipur","","","","","1","2","110","101","9","91.82"
"Bhawanipur","","","","","1","1","1","1","0","100.00"
"Bhawanipur","","","","","1","1","1","1","0","100.00"
"Bhawanipur","","","","","1","1","4","3","1","75.00"
"Bhikhadih","","","","","1","4","447","390","57","87.25"
"Bhikhakita","","","","","1","1","166","64","102","38.55"
"Bhikham Chak","","","","","1","1","3","3","0","100.00"
"Bhimband","","","","","1","1","127","0","127","0.00"
"Bhunna","1","1","0","0","1","1","114","112","2","98.25"
"Bhusi Chak","","","","","1","1","23","20","3","86.96"
"Bichhi","","","","","1","2","31","31","0","100.00"
"Bihma","","","","","1","2","248","169","79","68.15"
"Bikrampur","","","","","1","1","69","62","7","89.86"
"Bikrampur","","","","","1","1","143","101","42","70.63"
"Bikrampur","","","","","1","1","385","336","49","87.27"
"Bikrampur Arazi","","","","","1","1","100","95","5","95.00"
"Binda Diara","","","","","1","32","3597","2283","1314","63.47"
"Bindi","","","","","1","1","9","7","2","77.78"
"Bindraban","","","","","1","1","103","64","39","62.14"
"Bindraban","","","","","1","1","56","38","18","67.86"
"Birajpur","","","","","1","1","341","306","35","89.74"
"Birajpur","","","","","1","1","1","1","0","100.00"
"Birajpur","","","","","1","1","121","97","24","80.17"
"Birojpur","","","","","1","1","95","62","33","65.26"
"Birojpur","","","","","1","1","2","1","1","50.00"
"Bishunpur","","","","","1","1","122","122","0","100.00"
"Bokhra","1","1","0","0","1","1","59","45","14","76.27"
