"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abdulnagar urf Madhopur","","","","","1","1","328","223","105","67.99"
"Abdulpur Raini","","","","","1","1","444","190","254","42.79"
"Abhi Chhapra","","","","","1","1","57","36","21","63.16"
"Abu Chak","","","","","1","1","223","115","108","51.57"
"Adalpur urf Abdulpur","","","","","1","1","174","16","158","9.20"
"Adam Chhapra","","","","","1","1","63","44","19","69.84"
"Adampur Nisf 1st","","","","","1","1","301","94","207","31.23"
"Adampur Nisf 2nd","","","","","1","1","197","143","54","72.59"
"Adhinchak","","","","","1","1","14","6","8","42.86"
"Adi Gopalpur","","","","","1","2","380","203","177","53.42"
"Adwara urf Chintamanpur","","","","","1","1","219","157","62","71.69"
"Agha Nagar","","","","","1","4","641","330","311","51.48"
"Aghari Raepur Aghari","","","","","1","2","105","90","15","85.71"
"Ahimanpur urf Selempur","","","","","1","1","122","3","119","2.46"
"Ahiraulia","","","","","1","1","186","117","69","62.90"
"Ajitpur Bakuchi","","","","","1","2","194","131","63","67.53"
"Ajitpur urf Harpur","","","","","1","1","211","168","43","79.62"
"Ajodhpur urf Ibrahimpur","","","","","1","1","194","148","46","76.29"
"Akbarpur","","","","","1","1","266","186","80","69.92"
"Akhtiarpur","","","","","1","1","84","56","28","66.67"
"Akhtiarpur","","","","","1","1","78","26","52","33.33"
"Akhtiarpur","","","","","1","1","207","83","124","40.10"
"Akhtiarpur Mohan","","","","","1","2","317","70","247","22.08"
"Akurahan Harihar","","","","","1","1","65","40","25","61.54"
"Akurahan Khargi","","","","","1","1","366","172","194","46.99"
"Alahdadpur","","","","","1","2","124","51","73","41.13"
"Alahdadpur","","","","","1","1","6","4","2","66.67"
"Alampur Simri","","","","","1","3","237","192","45","81.01"
"Ali Neora","","","","","1","1","838","456","382","54.42"
"Ali Sarai urf Hasanpur Sarai","","","","","1","1","147","129","18","87.76"
"Amaitha","","","","","1","2","232","100","132","43.10"
"Amma","","","","","1","1","283","158","125","55.83"
"Amnaur","1","1","0","0","1","1","478","74","404","15.48"
"Amrakh","","","","","1","1","1086","615","471","56.63"
"Amuara Chaube","","","","","1","1","112","100","12","89.29"
"Amuara Tej Singh","","","","","1","1","279","204","75","73.12"
