"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abdulhai Chak","","","","","1","1","101","86","15","85.15"
"Abu Mohammadpur","","","","","1","1","84","52","32","61.90"
"Abupur","","","","","1","1","119","0","119","0.00"
"Adampur","","","","","1","12","678","468","210","69.03"
"Ahia Chak","","","","","1","1","341","87","254","25.51"
"Ahiapur","","","","","1","1","227","63","164","27.75"
"Ajaipur","","","","","1","5","912","371","541","40.68"
"Ajnaura","","","","","1","1","402","236","166","58.71"
"Akauna","","","","","1","9","441","38","403","8.62"
"Akbarpur","","","","","1","1","49","39","10","79.59"
"Akbarpur","","","","","1","9","854","659","195","77.17"
"Akenr","","","","","1","1","419","250","169","59.67"
"Akhtiarpur","","","","","1","1","164","122","42","74.39"
"Akuri","","","","","1","3","174","92","82","52.87"
"Alahdia Sarai","","","","","1","1","225","63","162","28.00"
"Alawan","","","","","1","15","1148","617","531","53.75"
"Alipur","","","","","1","3","350","193","157","55.14"
"Alipur","","","","","1","1","15","5","10","33.33"
"Alipur","","","","","1","2","66","41","25","62.12"
"Alipur","","","","","1","1","74","56","18","75.68"
"Amanwan","","","","","1","2","500","214","286","42.80"
"Amar","","","","","1","3","240","80","160","33.33"
"Amarpur","","","","","1","1","122","49","73","40.16"
"Amarpura","","","","","1","1","1","0","1","0.00"
"Amat","","","","","1","1","101","78","23","77.23"
"Amba","","","","","1","4","585","351","234","60.00"
"Amba Bigha","","","","","1","1","142","101","41","71.13"
"Amdaha","","","","","1","1","166","62","104","37.35"
"Amera","","","","","1","8","527","266","261","50.47"
"Amera Kharij Jama","","","","","1","2","187","105","82","56.15"
"Amia Bigha","","","","","1","3","129","58","71","44.96"
"Amnar Khas","","","","","1","13","907","421","486","46.42"
"Amnawan","","","","","1","10","1016","354","662","34.84"
"Amraura","","","","","1","1","226","38","188","16.81"
"Anantpur","","","","","1","1","61","58","3","95.08"
"Andhana","","","","","1","9","1537","583","954","37.93"
"Andi","","","","","1","4","491","165","326","33.60"
"Andwas","","","","","1","1","154","112","42","72.73"
"Araut","","","","","1","2","448","135","313","30.13"
"Arawan","","","","","1","11","822","589","233","71.65"
"Ariawan","","","","","1","9","304","88","216","28.95"
"Arpa","","","","","1","18","997","407","590","40.82"
"Asarhi","","","","","1","9","1171","567","604","48.42"
"Ashrafpur","","","","","1","1","95","82","13","86.32"
"Ashrafpur","","","","","1","1","465","226","239","48.60"
"Asia","","","","","1","1","48","0","48","0.00"
"Asta","","","","","1","7","869","570","299","65.59"
"Asthawan","","","","","1","11","1838","917","921","49.89"
"At","","","","","1","4","1003","247","756","24.63"
"Atma","","","","","1","12","722","167","555","23.13"
"Atram Chak","","","","","1","1","118","106","12","89.83"
"Aungari","","","","","1","11","1122","680","442","60.61"
"Babhan Diha","","","","","1","2","162","87","75","53.70"
"Babhaniawan","","","","","1","3","157","90","67","57.32"
"Badarwali","","","","","1","1","159","83","76","52.20"
"Badaura","","","","","1","1","252","132","120","52.38"
"Badi","","","","","1","1","118","79","39","66.95"
"Badrabad","","","","","1","11","499","330","169","66.13"
"Bafniwan","","","","","1","5","591","365","226","61.76"
"Bahadurpur","","","","","1","1","98","42","56","42.86"
"Bahadurpur","","","","","1","1","271","111","160","40.96"
"Bahadurpur","","","","","1","1","217","119","98","54.84"
"Bahera","","","","","1","1","60","48","12","80.00"
"Bahuwara","","","","","1","1","205","77","128","37.56"
"Baibani","","","","","1","2","584","256","328","43.84"
"Bakaur","","","","","1","3","333","164","169","49.25"
"Bakra","","","","","1","1","531","479","52","90.21"
"Bakra","","","","","1","1","311","114","197","36.66"
"Bala Bigha","","","","","1","1","39","33","6","84.62"
"Balaur","","","","","1","2","163","71","92","43.56"
"Ballopurpearepur","","","","","1","1","601","84","517","13.98"
"Balwa","","","","","1","1","60","10","50","16.67"
"Bamhan Barui","","","","","1","1","203","65","138","32.02"
"Bamhanthan Malawan","","","","","1","2","174","95","79","54.60"
"Banauli","","","","","1","1","108","80","28","74.07"
"Bangla","","","","","1","1","36","31","5","86.11"
"Bans Bigha","","","","","1","1","71","63","8","88.73"
"Bansgopalpur","","","","","1","2","215","82","133","38.14"
"Bara","","","","","1","8","796","445","351","55.90"
"Bara","","","","","1","2","499","168","331","33.67"
"Bara Khurd","","","","","1","12","1637","644","993","39.34"
"Barah","","","","","1","8","1328","864","464","65.06"
