"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abdalpur","","","","","1","1","271","122","149","45.02"
"Abdul","","","","","1","8","375","159","216","42.40"
"Abgil","","","","","1","1","274","101","173","36.86"
"Adampur","","","","","1","1","29","27","2","93.10"
"Adampur","","","","","1","1","110","60","50","54.55"
"Adeya","","","","","1","2","137","92","45","67.15"
"Adganwan","","","","","1","1","90","0","90","0.00"
"Adhbarwa","","","","","1","1","40","1","39","2.50"
"Akauna","","","","","1","1","182","45","137","24.73"
"Akauna","","","","","1","1","182","122","60","67.03"
"Akauna Minhai","","","","","1","2","260","114","146","43.85"
"Akauna Nizamat","","","","","1","1","219","103","116","47.03"
"Akbarpur","","","","","1","3","638","424","214","66.46"
"Akhra","","","","","1","1","22","1","21","4.55"
"Alawan","","","","","1","1","100","0","100","0.00"
"Alipur","","","","","1","1","39","0","39","0.00"
"Amahra","","","","","1","1","45","9","36","20.00"
"Amawan","","","","","1","6","761","302","459","39.68"
"Amba","","","","","1","1","96","1","95","1.04"
"Amhadi","","","","","1","1","149","105","44","70.47"
"Amhri","","","","","1","2","117","2","115","1.71"
"Amipur","","","","","1","1","178","69","109","38.76"
"Amjhari","","","","","1","1","143","92","51","64.34"
"Anaila","","","","","1","1","163","121","42","74.23"
"Anandpura","","","","","1","1","299","54","245","18.06"
"Anarpur Pakariya","","","","","1","1","239","0","239","0.00"
"Andharbari","","","","","1","2","231","135","96","58.44"
"Anjunar","","","","","1","1","185","0","185","0.00"
"Ankri Panre Bigha","","","","","1","2","352","161","191","45.74"
"Apsand","","","","","1","4","674","407","267","60.39"
"Arandi","","","","","1","1","131","131","0","100.00"
"Ariyan","","","","","1","1","269","80","189","29.74"
"Arsaniya","","","","","1","1","84","27","57","32.14"
"Asa Bigaha","","","","","1","1","32","23","9","71.88"
"Asarhi","","","","","1","1","315","125","190","39.68"
"Asarhi","","","","","1","1","165","103","62","62.42"
"Asawan","","","","","1","1","151","120","31","79.47"
"Ashrafpur","","","","","1","1","49","31","18","63.27"
"Aswan","","","","","1","1","220","168","52","76.36"
"Azampur","","","","","1","1","67","58","9","86.57"
"Babhnauli","","","","","1","1","136","91","45","66.91"
"Babhnaur","","","","","1","6","323","252","71","78.02"
"Babhni","","","","","1","1","35","1","34","2.86"
"Badalpur","","","","","1","2","226","119","107","52.65"
"Baghi Bardiha","","","","","1","4","690","280","410","40.58"
"Baghmari","","","","","1","1","2","0","2","0.00"
"Baghnan","","","","","1","1","115","39","76","33.91"
"Baghor","","","","","1","1","203","134","69","66.01"
"Bagodar","","","","","1","7","838","58","780","6.92"
"Baguli","","","","","1","1","76","0","76","0.00"
