"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Dabri","","","","","1","1","24","4","20","16.67"
"Ahira Siswa","","","","","1","1","50","0","50","0.00"
"Ahirauliya","","","","","1","1","211","57","154","27.01"
"Ahirwalia","","","","","1","1","400","178","222","44.50"
"Ahrar","","","","","1","2","158","27","131","17.09"
"Ajhia Serwa","","","","","1","2","64","58","6","90.63"
"Amadih","","","","","1","1","2","1","1","50.00"
"Amaithia","","","","","1","1","573","73","500","12.74"
"Amaulia","","","","","1","1","229","186","43","81.22"
"Amhat","","","","","1","1","222","106","116","47.75"
"Amolwa","","","","","1","1","376","234","142","62.23"
"Amwa","","","","","1","1","260","139","121","53.46"
"Amwa Majhar","","","","","1","16","1416","469","947","33.12"
"Anjua","","","","","1","1","880","528","352","60.00"
"Arazi Nankar'","","","","","1","1","164","74","90","45.12"
"Arazi Pipra","","","","","1","1","61","46","15","75.41"
"Asogwa","","","","","1","1","114","0","114","0.00"
"Asurari","","","","","1","1","52","27","25","51.92"
"Auhar Majharia","","","","","1","17","1512","1296","216","85.71"
"Aunhar Shekh","","","","","1","1","1610","1165","445","72.36"
"Auraia","","","","","1","10","998","211","787","21.14"
"Ausani","","","","","1","1","388","204","184","52.58"
"Ausanpur","","","","","1","2","371","312","59","84.10"
"Babhnauli","","","","","1","1","170","132","38","77.65"
"Babhnauli","","","","","1","1","90","81","9","90.00"
"Babhni","","","","","1","1","235","83","152","35.32"
"Bagahi","","","","","1","6","1390","750","640","53.96"
"Bagahi","","","","","1","24","3059","522","2537","17.06"
"Bagahi","","","","","1","1","309","39","270","12.62"
"Baghambarpur","","","","","1","1","121","33","88","27.27"
"Baghambarpur","","","","","1","8","2179","216","1963","9.91"
"Baghlochna","","","","","1","1","239","170","69","71.13"
"Bahuari","","","","","1","1","163","133","30","81.60"
"Bahuarwa","","","","","1","1","73","36","37","49.32"
"Bahuarwa","","","","","1","3","218","103","115","47.25"
"Bahuarwa","","","","","1","1","309","251","58","81.23"
"Bahuarwa","","","","","1","2","498","254","244","51.00"
"Bahuarwa","","","","","1","2","438","118","320","26.94"
"Bahuarwa","","","","","1","1","165","80","85","48.48"
"Bahuarwa","","","","","1","1","167","109","58","65.27"
"Bahuarwa","","","","","1","2","1387","273","1114","19.68"
"Bahuarwa","","","","","1","2","411","40","371","9.73"
"Bahuarwa","","","","","1","1","136","119","17","87.50"
"Bahuarwa","","","","","1","1","320","173","147","54.06"
"Bahuarwa","","","","","1","3","691","344","347","49.78"
"Bahuarwa Tilangahi","","","","","1","1","265","226","39","85.28"
"Bahuatwa","","","","","1","1","146","81","65","55.48"
"Baijua","","","","","1","2","1033","6","1027","0.58"
"Baikunthwa","","","","","1","1","266","238","28","89.47"
"Baikunthwa","","","","","1","1","548","52","496","9.49"
"Baikunthwa","","","","","1","4","778","129","649","16.58"
"Bairagi Dih","1","1","0","0","1","1","17","16","1","94.12"
"Bairagi Sonbarsa","","","","","1","1","454","310","144","68.28"
"Bairati","","","","","1","1","128","94","34","73.44"
"Bairatwa","","","","","1","1","137","87","50","63.50"
"Bairia","","","","","1","2","882","352","530","39.91"
"Bairia","","","","","1","1","373","226","147","60.59"
"Bairia","","","","","1","17","2321","1240","1081","53.43"
"Bairia","","","","","1","1","249","123","126","49.40"
"Bairia","","","","","1","1","168","60","108","35.71"
"Bairia","","","","","1","1","114","7","107","6.14"
"Bairia","","","","","1","1","184","154","30","83.70"
"Bairia","","","","","1","2","123","84","39","68.29"
"Bairiya","","","","","1","1","67","32","35","47.76"
"Bairiya Kalan","1","0","0","1","1","1","289","244","45","84.43"
"Bairiya Kalan","1","0","0","1","1","1","127","0","127","0.00"
"Bairiya Khurd","","","","","1","1","398","222","176","55.78"
"Baisakhwa","","","","","1","3","455","420","35","92.31"
"Baitapur","","","","","1","1","319","47","272","14.73"
"Baithania","","","","","1","1","237","177","60","74.68"
"Bajar Keraia","1","1","0","0","1","1","214","0","214","0.00"
"Bajni","","","","","1","1","163","48","115","29.45"
"Bajra","","","","","1","1","323","187","136","57.89"
"Bakharia","","","","","1","3","1042","380","662","36.47"
"Bakhraha","","","","","1","1","234","20","214","8.55"
"Bakhri","","","","","1","1","136","110","26","80.88"
"Bakhri","","","","","1","1","111","48","63","43.24"
"Bakri Pachrukhiya","","","","","1","1","618","191","427","30.91"
"Bakuchia Rudalpur","","","","","1","1","133","96","37","72.18"
"Bakulahar","","","","","1","7","1123","238","885","21.19"
"Bakulahia","","","","","1","2","148","4","144","2.70"
"Bakulahia","","","","","1","1","84","28","56","33.33"
"Bakulia","","","","","1","3","372","173","199","46.51"
"Bakwa","","","","","1","1","501","301","200","60.08"
"Bakwa","","","","","1","1","288","234","54","81.25"
"Balaura","","","","","1","1","122","76","46","62.30"
"Baldew Panditwa","","","","","1","1","11","3","8","27.27"
"Baldiha","1","0","1","0","1","1","454","177","277","38.99"
"Balgangwa","","","","","1","2","443","202","241","45.60"
"Balia","","","","","1","1","113","95","18","84.07"
"Balirampur","","","","","1","1","243","131","112","53.91"
"Balkahwa","","","","","1","1","197","22","175","11.17"
"Balthar","","","","","1","1","812","658","154","81.03"
"Balua","1","1","0","0","1","1","43","18","25","41.86"
"Balua","1","1","0","0","1","8","512","0","512","0.00"
"Balua","1","1","0","0","1","1","629","425","204","67.57"
"Balua","1","1","0","0","1","2","5","4","1","80.00"
"Balua","1","1","0","0","1","1","26","8","18","30.77"
"Balua","1","1","0","0","1","4","360","229","131","63.61"
"Balua Bhawani Ray","","","","","1","1","158","70","88","44.30"
"Balua Dew Ray","","","","","1","1","378","262","116","69.31"
"Balua Murat Ray","","","","","1","1","116","94","22","81.03"
"Balua Newaz Ray","","","","","1","1","122","99","23","81.15"
"Balua Rampur","","","","","1","3","1370","1035","335","75.55"
"Balwal","","","","","1","1","189","70","119","37.04"
"Ban Bairia","","","","","1","1","191","139","52","72.77"
"Banbari","","","","","1","1","143","2","141","1.40"
"Banchehri","","","","","1","1","541","188","353","34.75"
"Bandaraha Andar Choube Tola","","","","","1","1","227","170","57","74.89"
"Bandipatti","","","","","1","6","230","72","158","31.30"
"Bangaria","","","","","1","1","66","65","1","98.48"
"Bankat","","","","","1","10","992","638","354","64.31"
"Bankatwa","","","","","1","1","251","166","85","66.14"
"Bankatwa","","","","","1","1","268","0","268","0.00"
"Bankatwa","","","","","1","1","298","173","125","58.05"
"Bankatwa","","","","","1","1","447","156","291","34.90"
"Bankatwa Tewari","","","","","1","1","46","20","26","43.48"
"Bansganw","","","","","1","1","253","156","97","61.66"
"Banspur","","","","","1","1","327","28","299","8.56"
"Banu Chhapra","","","","","1","7","1542","1136","406","73.67"
"Banwaria","","","","","1","1","317","201","116","63.41"
"Bara Belwa","","","","","1","2","176","77","99","43.75"
"Barariha","1","1","0","0","1","2","151","0","151","0.00"
"Barba Kalan","","","","","1","2","309","181","128","58.58"
"Barba Khurd","","","","","1","1","186","122","64","65.59"
"Barbiro","","","","","1","1","252","124","128","49.21"
"Bardaha","","","","","1","7","1142","738","404","64.62"
"Bargajwa","","","","","1","1","439","174","265","39.64"
"Bargajwa","","","","","1","1","190","98","92","51.58"
"Bargajwa","","","","","1","1","236","166","70","70.34"
"Barganw","","","","","1","6","1035","323","712","31.21"
"Barganw","","","","","1","1","367","258","109","70.30"
"Bargon","","","","","1","1","162","135","27","83.33"
"Bargon","","","","","1","1","177","125","52","70.62"
"Barhara","1","1","0","0","1","4","387","0","387","0.00"
"Barharwa","","","","","1","1","328","128","200","39.02"
"Barharwa","","","","","1","1","179","83","96","46.37"
"Bariarpur","","","","","1","1","52","42","10","80.77"
"Bariarpur Khuntahi","","","","","1","3","899","275","624","30.59"
"Bariarwa","","","","","1","3","550","24","526","4.36"
"Bariarwa","","","","","1","1","174","123","51","70.69"
"Barnihar","","","","","1","1","265","192","73","72.45"
"Barohiya","","","","","1","2","752","254","498","33.78"
"Barwa","1","1","0","0","1","2","299","37","262","12.37"
"Barwa","1","1","0","0","1","1","533","14","519","2.63"
"Barwa","1","1","0","0","1","1","186","72","114","38.71"
"Barwa","1","1","0","0","1","2","507","349","158","68.84"
"Barwa","1","1","0","0","1","1","500","275","225","55.00"
"Barwa","1","1","0","0","1","1","257","126","131","49.03"
"Barwa","1","1","0","0","1","2","413","270","143","65.38"
"Barwa","1","1","0","0","1","2","473","1","472","0.21"
"Barwa","1","1","0","0","1","2","225","113","112","50.22"
