"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Rajepur","","","","","1","3","1008","78","930","7.74"
"Abdia","","","","","1","1","102","17","85","16.67"
"Ahibaran Chhapra","","","","","1","1","242","26","216","10.74"
"Ahimanwan","","","","","1","1","227","85","142","37.44"
"Ahir Ganwa","","","","","1","1","207","110","97","53.14"
"Ahiraulia Sonwal","","","","","1","1","22","19","3","86.36"
"Ahiraulia urf sonwalwakesarea","","","","","1","5","736","238","498","32.34"
"Ahirauliya","","","","","1","8","2916","211","2705","7.24"
"Ahirauliya","","","","","1","10","1838","417","1421","22.69"
"Ajgari","","","","","1","4","869","756","113","87.00"
"Ajgari","","","","","1","1","254","147","107","57.87"
"Ajgarwa","","","","","1","1","751","192","559","25.57"
"Alisherpur","","","","","1","1","517","162","355","31.33"
"Amodei","","","","","1","2","1266","344","922","27.17"
"Amwa","","","","","1","1","225","93","132","41.33"
"Amwa","","","","","1","1","257","109","148","42.41"
"Amwa","","","","","1","1","296","44","252","14.86"
"Amwa","","","","","1","1","266","118","148","44.36"
"Amwa","","","","","1","1","924","349","575","37.77"
"Amwa Nizamat","","","","","1","1","160","100","60","62.50"
"Anhara","","","","","1","1","1075","136","939","12.65"
"Anhra Chhapra","","","","","1","1","36","30","6","83.33"
"Anjor Bara","","","","","1","1","553","67","486","12.12"
"Arara","","","","","1","1","385","238","147","61.82"
"Arazi Dewpur Nankar","","","","","1","1","18","0","18","0.00"
"Arazi Nankar","","","","","1","1","242","63","179","26.03"
"Arazi Nankar urf Narkatiya","","","","","1","1","41","31","10","75.61"
"Arazi Sirsia Tola Machhaha","","","","","1","1","436","42","394","9.63"
"Arza Nagar","","","","","1","2","380","297","83","78.16"
"Auraia","","","","","1","2","933","354","579","37.94"
"Auraiya","","","","","1","1","188","65","123","34.57"
"Babhan Dhabahi","","","","","1","1","146","36","110","24.66"
"Babhantoli","","","","","1","1","137","25","112","18.25"
"Babhnauli","","","","","1","1","418","153","265","36.60"
"Babhnaulia","","","","","1","1","274","182","92","66.42"
"Babhnaulia","","","","","1","1","70","2","68","2.86"
"Babuawan","","","","","1","1","91","51","40","56.04"
