"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhaipur","","","","","1","1","78","59","19","75.64"
"Adhang","","","","","1","4","824","19","805","2.31"
"Adhkaili","1","1","0","0","1","6","642","224","418","34.89"
"Agaganj","","","","","1","1","370","148","222","40.00"
"Agaganj","","","","","1","1","186","23","163","12.37"
"Ahilgaon","","","","","1","1","358","185","173","51.68"
"Ainthi","","","","","1","1","192","99","93","51.56"
"Akbarpur","","","","","1","2","835","339","496","40.60"
"Akhtiarpur","","","","","1","3","1512","320","1192","21.16"
"Alinagar","","","","","1","1","362","208","154","57.46"
"Alinagar","","","","","1","1","128","93","35","72.66"
"Alinagar","","","","","1","1","42","21","21","50.00"
"Amirganj","","","","","1","1","105","65","40","61.90"
"Amna","","","","","1","1","180","97","83","53.89"
"Amnakismat","","","","","1","1","166","95","71","57.23"
"Amour","","","","","1","8","1379","645","734","46.77"
"Anaili","","","","","1","1","46","34","12","73.91"
"Andarpur","","","","","1","1","109","23","86","21.10"
"Anjhari","","","","","1","1","230","7","223","3.04"
"Araria","","","","","1","1","451","168","283","37.25"
"Arazi Satkodaria","","","","","1","1","4","4","0","100.00"
"Arbana Chakla","","","","","1","2","541","103","438","19.04"
"Arhal","","","","","1","1","88","46","42","52.27"
"Ashraf Nagar","","","","","1","1","32","27","5","84.38"
"Asiani","","","","","1","1","562","267","295","47.51"
"Asja","","","","","1","1","77","29","48","37.66"
"Asja Mawaia","","","","","1","6","1020","605","415","59.31"
"Asranda","","","","","1","1","33","24","9","72.73"
"Aulai","","","","","1","1","213","150","63","70.42"
"Aura","","","","","1","1","67","59","8","88.06"
"Auraha Chakla","","","","","1","1","54","41","13","75.93"
"Aurahi","","","","","1","1","1157","234","923","20.22"
"Auria","","","","","1","1","33","22","11","66.67"
"Azamgarh","","","","","1","1","287","18","269","6.27"
"Babhan Chako","","","","","1","1","302","132","170","43.71"
"Babhan Dobha","","","","","1","1","285","39","246","13.68"
"Babhangawan","","","","","1","1","2","1","1","50.00"
"Babhani","","","","","1","1","215","140","75","65.12"
"Babhanpura","","","","","1","1","72","64","8","88.89"
"Badla","","","","","1","1","67","26","41","38.81"
"Bag Dob","","","","","1","1","252","0","252","0.00"
"Bagdahar","","","","","1","1","253","62","191","24.51"
"Baghmara","","","","","1","1","202","86","116","42.57"
"Baghua","","","","","1","1","308","265","43","86.04"
"Baghua Kola","","","","","1","1","137","52","85","37.96"
"Bagulabari","","","","","1","1","16","12","4","75.00"
"Bahadura","","","","","1","1","205","120","85","58.54"
"Bahadurpur","","","","","1","1","52","30","22","57.69"
"Bahadurpur","","","","","1","1","26","7","19","26.92"
"Bahadurpur","","","","","1","1","32","6","26","18.75"
"Bahadurpur","","","","","1","1","68","37","31","54.41"
"Bahadurpur","","","","","1","1","75","43","32","57.33"
"Bahadurpur Khan Jahan","","","","","1","1","23","18","5","78.26"
"Bahora","","","","","1","6","974","484","490","49.69"
"Bahuti","","","","","1","1","998","131","867","13.13"
"Baigna","","","","","1","1","519","387","132","74.57"
"Bairbana","","","","","1","1","4","1","3","25.00"
"Bairgachhi","","","","","1","1","366","0","366","0.00"
"Bairia","1","1","0","0","1","1","10","6","4","60.00"
"Bairia","1","1","0","0","1","1","557","323","234","57.99"
"Baisa","1","1","0","0","1","1","455","312","143","68.57"
"Baisa","1","1","0","0","1","1","73","38","35","52.05"
"Baisi","","","","","1","1","834","17","817","2.04"
"Baismara","","","","","1","1","40","39","1","97.50"
"Bajardih","","","","","1","1","426","193","233","45.31"
"Bakaunia","","","","","1","1","381","290","91","76.12"
"Bakharia","","","","","1","1","659","174","485","26.40"
"Bakhri Kol","1","1","0","0","1","1","726","274","452","37.74"
"Balarpur","","","","","1","1","6","5","1","83.33"
"Balia","","","","","1","2","141","8","133","5.67"
"Balia","","","","","1","1","1379","255","1124","18.49"
"Balia","","","","","1","1","55","52","3","94.55"
"Baliamani","","","","","1","1","254","182","72","71.65"
"Baliamani Kamaldah","","","","","1","1","69","20","49","28.99"
"Baliharpur","","","","","1","1","97","7","90","7.22"
"Balua","1","1","0","0","1","1","46","34","12","73.91"
