"State","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Andhra Pradesh","","","","","17385","50224","11204206","11204187","19","100.00"
"Arunachal Pradesh","1578","367","0","1211","5067","6649","232151","150951","81200","65.02"
"Assam","2892","2328","124","440","25457","81106","5186152","2755279","2430873","53.13"
"Bihar","2747","2428","77","242","38272","63572","12292220","5641219","6651001","45.89"
"Chhattisgarh","1080","812","0","268","19817","74484","4518804","3870337","648467","85.65"
"Goa","","","","","319","319","128207","128207","0","100.00"
"Gujarat","","","","","16672","19455","6645095","6616320","28775","99.57"
"Haryana","","","","","6633","7226","3420819","2725576","695243","79.68"
"Himachal Pradesh","35","28","7","0","17235","48215","1467312","1447923","19389","98.68"
"Jammu & Kashmir","134","32","0","102","6382","17841","1287783","1017545","270238","79.02"
"Jharkhand","2525","2020","56","449","29515","107007","5380449","2301825","3078624","42.78"
"Karnataka","39","29","0","10","28894","71145","9621705","8404695","1217010","87.35"
"Kerala","","","","","1490","7485","7103358","7102997","361","99.99"
"Madhya Pradesh","472","379","47","46","54014","121160","11381635","6827687","4553948","59.99"
"Maharashtra","","","","","41984","99671","14049465","12946489","1102976","92.15"
"Manipur","276","211","0","65","2509","4442","387628","280528","107100","72.37"
"Meghalaya","912","755","10","147","6551","6551","463022","323755","139267","69.92"
"Mizoram","58","42","4","12","714","715","110336","99238","11098","89.94"
"Nagaland","82","78","4","0","1433","2695","159661","71738","87923","44.93"
"Odisha","3474","2555","515","404","48171","131262","8405194","4575301","3829893","54.43"
"PUDUCHERRY","","","","","92","92","101788","101413","375","99.63"
"Punjab","","","","","12177","13874","3688646","3688646","0","100.00"
"Rajasthan","495","426","68","1","42838","131612","8999796","6867294","2132502","76.30"
"Sikkim","","","","","149","954","37281","31653","5628","84.90"
"Tamil Nadu","","","","","14137","95322","10277714","10277567","147","100.00"
"Telangana","","","","","10466","24792","5978016","4944391","1033625","82.71"
"Tripura","26","26","0","0","872","9032","796198","575995","220203","72.34"
"Uttar Pradesh","1529","1470","53","6","102695","269894","30123769","15110378","15013391","50.16"
"Uttarakhand","76","24","1","51","15759","42427","1728620","1543054","185566","89.27"
"West Bengal","22","18","0","4","36965","100772","13820342","13692761","127581","99.08"
"Total","18,452","14,028","966","3,458","6,04,664","16,09,995","17,89,97,372","13,53,24,949","4,36,72,423",""
