"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Afzalpur","","","","","1","3","263","196","67","74.52"
"Agar","1","1","0","0","1","3","440","0","440","0.00"
"Agwanpur","","","","","1","1","313","164","149","52.40"
"Aina","1","0","0","1","1","5","722","0","722","0.00"
"Aina Sohagpur","1","0","0","1","1","1","45","0","45","0.00"
"Aini","","","","","1","1","489","235","254","48.06"
"Ajgaiba","","","","","1","2","515","382","133","74.17"
"Alani","1","1","0","0","1","19","1561","31","1530","1.99"
"Amahi","1","1","0","0","1","1","190","190","0","100.00"
"Amarpur","","","","","1","1","200","190","10","95.00"
"Amarpur","","","","","1","1","433","137","296","31.64"
"Amirta","","","","","1","1","737","549","188","74.49"
"Ara","1","0","0","1","1","5","852","1","851","0.12"
"Aran","","","","","1","1","422","182","240","43.13"
"Ashraf Chak","","","","","1","1","241","183","58","75.93"
"Asnahi Patti","","","","","1","2","162","154","8","95.06"
"Atlakha","","","","","1","2","465","292","173","62.80"
"Aunira Ramauli","","","","","1","1","662","343","319","51.81"
"Badshah Nagar","","","","","1","1","199","132","67","66.33"
"Baghaud","1","0","0","1","1","1","125","0","125","0.00"
"Baghi urf Bhaluasukhasan","","","","","1","4","702","247","455","35.19"
"Baghwa","","","","","1","2","836","564","272","67.46"
"Baghwa","","","","","1","1","706","0","706","0.00"
"Baghwa Hat Abad","1","1","0","0","1","5","1200","0","1200","0.00"
"Bahrampur","1","1","0","0","1","1","72","0","72","0.00"
"Baidi","","","","","1","1","263","123","140","46.77"
"Baijnathpur","","","","","1","1","18","15","3","83.33"
"Baijnathpur","","","","","1","1","1397","845","552","60.49"
"Baijnathpur","","","","","1","1","25","10","15","40.00"
"Baisa","","","","","1","1","33","17","16","51.52"
"Baitha Masahri","","","","","1","13","661","380","281","57.49"
"Bakaunia","1","0","0","1","1","5","947","0","947","0.00"
"Bakhri","","","","","1","1","1270","1100","170","86.61"
"Baksuar","","","","","1","1","118","90","28","76.27"
"Baldehi","1","1","0","0","1","1","30","0","30","0.00"
"Balhampur","","","","","1","4","964","492","472","51.04"
"Balhapatti","","","","","1","4","775","538","237","69.42"
"Balhapatti Arazi","","","","","1","1","564","225","339","39.89"
"Balhi","","","","","1","1","355","307","48","86.48"
"Balia","1","0","0","1","1","4","166","0","166","0.00"
"Balthi","","","","","1","1","8","3","5","37.50"
"Baluaha","","","","","1","1","227","149","78","65.64"
"Balugaon urf Chhatra","1","1","0","0","1","1","16","10","6","62.50"
"Bancholha","","","","","1","1","555","138","417","24.86"
"Banganwan","1","1","0","0","1","1","65","27","38","41.54"
"Bangaon","","","","","1","14","4264","3025","1239","70.94"
"Bankatti","","","","","1","1","190","160","30","84.21"
"Bansi Rauta","","","","","1","1","386","132","254","34.20"
"Bara","","","","","1","5","1745","702","1043","40.23"
"Bara Singhia","","","","","1","1","126","72","54","57.14"
