"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ababakarpur","","","","","1","1","195","36","159","18.46"
"Adalpur","","","","","1","1","238","34","204","14.29"
"Adharpur urf Chak Nizamat","","","","","1","1","1139","621","518","54.52"
"Agraul","","","","","1","2","156","21","135","13.46"
"Ahilwara","","","","","1","2","155","34","121","21.94"
"Ahmadpur","","","","","1","1","960","163","797","16.98"
"Ajna","","","","","1","1","955","374","581","39.16"
"Ajnaul","","","","","1","3","1410","797","613","56.52"
"Akaha Bishunpur","","","","","1","1","592","188","404","31.76"
"Akbarpur","","","","","1","1","1535","686","849","44.69"
"Akbarpur","","","","","1","1","33","33","0","100.00"
"Akbarpur Pitaunjia","","","","","1","1","183","102","81","55.74"
"Akhtiarpur","","","","","1","2","361","206","155","57.06"
"Akhtiarpur Balbhadar","","","","","1","1","229","131","98","57.21"
"Akhtwara","","","","","1","2","262","86","176","32.82"
"Alampur","","","","","1","1","216","138","78","63.89"
"Amritpur","","","","","1","2","474","363","111","76.58"
"Andaur Tola Hanuman Nagar","","","","","1","1","893","510","383","57.11"
"Angar","","","","","1","1","1054","225","829","21.35"
"Araia","","","","","1","1","315","133","182","42.22"
"Arazi Maguraha","","","","","1","1","18","0","18","0.00"
"Arazichak That","","","","","1","1","7","2","5","28.57"
"Arrahi","","","","","1","2","270","9","261","3.33"
"Asadadri","","","","","1","1","224","102","122","45.54"
"Asari","","","","","1","1","189","177","12","93.65"
"Ashrafpur Supaul","","","","","1","1","779","422","357","54.17"
"Asinpur","","","","","1","1","184","122","62","66.30"
"Atapur","","","","","1","2","474","78","396","16.46"
"Ataria","","","","","1","1","2","1","1","50.00"
"Aura","","","","","1","4","1352","273","1079","20.19"
"Aura","","","","","1","1","166","0","166","0.00"
"Az Rakbe Mustafapur Bhath","","","","","1","1","4","0","4","0.00"
"Az Rakbe Udaipur","1","1","0","0","1","1","8","8","0","100.00"
"Babhangawan","","","","","1","1","538","159","379","29.55"
"Babupur","","","","","1","2","270","65","205","24.07"
"Bach","","","","","1","1","194","146","48","75.26"
"Bachhauli","","","","","1","1","595","129","466","21.68"
"Baghauni Harshanker","","","","","1","4","1093","644","449","58.92"
"Baghi","","","","","1","1","753","247","506","32.80"
"Baghopur","","","","","1","2","312","148","164","47.44"
"Baghra","","","","","1","1","1297","801","496","61.76"
"Bahadur Chak","","","","","1","1","196","150","46","76.53"
"Bahadurpur","","","","","1","1","350","157","193","44.86"
"Bahadurpur","","","","","1","1","279","66","213","23.66"
"Bahadurpur","","","","","1","1","139","68","71","48.92"
"Bahadurpur Armauli","","","","","1","1","392","150","242","38.27"
"Bahadurpur Ganj","","","","","1","1","194","132","62","68.04"
"Bahadurpur Patori","","","","","1","1","991","462","529","46.62"
"Baida","","","","","1","2","331","40","291","12.08"
"Baikunthpur Barhanda","","","","","1","1","488","176","312","36.07"
"Bajopur","","","","","1","1","113","48","65","42.48"
"Bajos Sarakat","","","","","1","1","276","45","231","16.30"
"Bakarpur","","","","","1","1","222","134","88","60.36"
"Bakhri  Buzrug","","","","","1","2","676","473","203","69.97"
"Bakhtiarpur","","","","","1","2","498","206","292","41.37"
"Balaha","","","","","1","1","102","77","25","75.49"
"Balaha Bishunath","","","","","1","2","344","8","336","2.33"
"Balari urf Jagdishpur Deal","","","","","1","1","1967","611","1356","31.06"
"Balbhadarpur","","","","","1","1","136","31","105","22.79"
"Balbhadarpur","","","","","1","1","13","7","6","53.85"
"Balbhadarpur","","","","","1","1","315","143","172","45.40"
"Balbhadarpur","","","","","1","1","25","6","19","24.00"
"Balbhadarpur Gau","","","","","1","1","384","159","225","41.41"
"Balbhadarpur Mehsi","","","","","1","1","127","25","102","19.69"
"Baliar","","","","","1","1","87","0","87","0.00"
"Balipur","","","","","1","2","314","67","247","21.34"
"Balipur Parsuram","","","","","1","3","2253","470","1783","20.86"
"Balkishunpur Marwa","","","","","1","1","616","311","305","50.49"
"Balo Chak","","","","","1","1","495","287","208","57.98"
