"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achitpur","","","","","1","1","19","17","2","89.47"
"Achitpur","","","","","1","1","127","98","29","77.17"
"Adhupur","1","1","0","0","1","1","215","140","75","65.12"
"Admapur","","","","","1","1","72","54","18","75.00"
"Admapur","","","","","1","1","88","37","51","42.05"
"Afzalpur","1","1","0","0","1","1","145","133","12","91.72"
"Agahra","","","","","1","1","233","108","125","46.35"
"Agauthar Nanda","","","","","1","3","249","104","145","41.77"
"Agauthar Sundar","","","","","1","1","391","239","152","61.13"
"Ahiman Patti","","","","","1","1","148","97","51","65.54"
"Akbarpur I","","","","","1","1","331","282","49","85.20"
"Akbarpur II","","","","","1","1","99","77","22","77.78"
"Akilpur","1","0","0","1","1","1","119","100","19","84.03"
"Akilpur","1","0","0","1","1","4","605","0","605","0.00"
"Alahdadpur","","","","","1","1","326","178","148","54.60"
"Aliaspur","1","1","0","0","1","1","77","74","3","96.10"
"Aliaspur","1","1","0","0","1","1","39","30","9","76.92"
"Aloni","","","","","1","1","214","126","88","58.88"
"Amanw","","","","","1","1","107","76","31","71.03"
"Amanw Khurd","1","1","0","0","1","2","142","126","16","88.73"
"Amar Chhapra","","","","","1","1","111","86","25","77.48"
"Amardah","","","","","1","1","190","156","34","82.11"
"Amdarhi","","","","","1","2","298","176","122","59.06"
"Ami","","","","","1","2","236","177","59","75.00"
"Amnaur Aguan","","","","","1","2","325","226","99","69.54"
"Amnaur Aguwan","","","","","1","1","31","24","7","77.42"
"Amnaur Harnaraen","","","","","1","2","728","469","259","64.42"
"Amnaur Kalean","","","","","1","3","180","78","102","43.33"
"Amnaur Sultan","","","","","1","6","370","160","210","43.24"
"Anawal","","","","","1","1","348","239","109","68.68"
"Andhar Bari","","","","","1","1","91","36","55","39.56"
"Anjni","","","","","1","1","332","279","53","84.04"
"Apahar","","","","","1","2","229","140","89","61.14"
"Aphaur","","","","","1","8","1347","537","810","39.87"
"Apsaid","","","","","1","1","148","110","38","74.32"
"Aqilpur","","","","","1","1","278","145","133","52.16"
"Araji jaitpur","","","","","1","1","800","384","416","48.00"
"Arazi Basahi","","","","","1","1","9","9","0","100.00"
"Ardewa","","","","","1","1","95","72","23","75.79"
"Ariawn","","","","","1","1","313","103","210","32.91"
"Arna","1","1","0","0","1","2","680","428","252","62.94"
"Arna","1","1","0","0","1","1","121","86","35","71.07"
"Arwa","","","","","1","3","388","217","171","55.93"
"Asahni","","","","","1","4","905","666","239","73.59"
"Asawn","","","","","1","1","120","76","44","63.33"
"Askaranpur","1","1","0","0","1","1","8","7","1","87.50"
"Asoia","","","","","1","1","417","52","365","12.47"
"Ata","","","","","1","1","352","184","168","52.27"
"Atanagar","","","","","1","1","407","348","59","85.50"
"Atarsan","","","","","1","2","492","297","195","60.37"
"Athdila","","","","","1","1","162","122","40","75.31"
"Auli","","","","","1","3","268","197","71","73.51"
"Aurha Mal","","","","","1","1","97","63","34","64.95"
"Aurha Milki","","","","","1","1","197","130","67","65.99"
"Awari","","","","","1","1","517","272","245","52.61"
"Awdal Patti","","","","","1","1","42","26","16","61.90"
"Azampur","","","","","1","1","38","30","8","78.95"
"Babhanaulia","","","","","1","1","119","86","33","72.27"
"Babhanganwan","1","1","0","0","1","1","250","100","150","40.00"
"Babhanganwan","1","1","0","0","1","1","100","78","22","78.00"
"Babhangawan","1","1","0","0","1","2","201","111","90","55.22"
"Babhangawan","1","1","0","0","1","1","70","0","70","0.00"
"Badalpura","","","","","1","2","152","102","50","67.11"
"Badalpura Diara","1","1","0","0","1","1","200","85","115","42.50"
"Badarzamin","","","","","1","1","58","30","28","51.72"
"Badlutola","","","","","1","2","251","88","163","35.06"
"Badurahi","","","","","1","1","140","128","12","91.43"
"Bagahi","","","","","1","1","16","13","3","81.25"
"Bagahi","","","","","1","1","196","111","85","56.63"
"Bagahi","","","","","1","1","104","66","38","63.46"
"Bagahi","","","","","1","1","115","92","23","80.00"
"Bagahi","","","","","1","1","73","42","31","57.53"
"Bagahi Harakhpur","","","","","1","1","22","12","10","54.55"
"Bagahi-Korar","","","","","1","1","79","15","64","18.99"
"Bagdiha","","","","","1","1","176","131","45","74.43"
"Baghakol","","","","","1","1","622","282","340","45.34"
"Bagoia","","","","","1","1","227","187","40","82.38"
"Bahadurpur","","","","","1","1","258","107","151","41.47"
"Bahar Marar","","","","","1","1","396","297","99","75.00"
"Bahiara","","","","","1","3","121","66","55","54.55"
"Bahlolpur Jalaluddin Diara","","","","","1","1","15","5","10","33.33"
"Bahlolpur Kalu","","","","","1","1","22","13","9","59.09"
"Bahlolpur Kalu Arazi Diara","","","","","1","1","4","2","2","50.00"
"BahlolpurJalaluddin","","","","","1","1","2","1","1","50.00"
"Bahora","","","","","1","1","3","0","3","0.00"
"Bahora","","","","","1","1","282","126","156","44.68"
"Bahoran Tola","1","1","0","0","1","1","108","0","108","0.00"
"Bahrauli","","","","","1","2","928","400","528","43.10"
"Bahuara","","","","","1","1","188","125","63","66.49"
"Bahuara Patti","","","","","1","2","546","128","418","23.44"
"Baidapur","","","","","1","1","46","13","33","28.26"
"Baijalpur Jamuni","","","","","1","1","5","3","2","60.00"
"Baijalpur Kesho","","","","","1","1","205","142","63","69.27"
"Baikunthpur","","","","","1","1","110","60","50","54.55"
"Bairagi Bhuin","","","","","1","1","50","36","14","72.00"
"Bajahia","","","","","1","1","211","173","38","81.99"
"Bajaraha","","","","","1","1","264","184","80","69.70"
"Bajdahia","","","","","1","1","38","26","12","68.42"
"Bajrahia","","","","","1","1","216","152","64","70.37"
"Baksanda","","","","","1","1","118","99","19","83.90"
"Bakwa","","","","","1","1","384","314","70","81.77"
"Bal","","","","","1","2","260","173","87","66.54"
"Balaha","","","","","1","1","151","95","56","62.91"
"Baldiha","","","","","1","1","166","156","10","93.98"
"Baldiha","","","","","1","2","223","165","58","73.99"
"Balgarha","","","","","1","2","127","78","49","61.42"
"Bali Chhapra","","","","","1","2","100","76","24","76.00"
"Baliganwan","1","1","0","0","1","2","494","199","295","40.28"
"Baliya","","","","","1","1","22","16","6","72.73"
"Balua","","","","","1","1","276","108","168","39.13"
"Balua","","","","","1","1","111","76","35","68.47"
"Balua Mardan","","","","","1","1","49","17","32","34.69"
"Baluabhikari","","","","","1","1","165","43","122","26.06"
"Baluahia","","","","","1","1","46","26","20","56.52"
"Banauta","1","1","0","0","1","3","674","528","146","78.34"
"Banauta Makund","","","","","1","1","111","60","51","54.05"
"Bande","","","","","1","1","121","66","55","54.55"
"Bandi Chhapra","","","","","1","1","24","13","11","54.17"
"Bangalipatti","1","1","0","0","1","1","251","206","45","82.07"
"Bangara","","","","","1","4","125","79","46","63.20"
"Bangari","","","","","1","1","174","90","84","51.72"
"Bangra","","","","","1","1","113","71","42","62.83"
"Bangra","","","","","1","4","491","379","112","77.19"
"Bangra","","","","","1","1","32","15","17","46.88"
"Bangra","","","","","1","1","98","39","59","39.80"
"Bangra","","","","","1","1","176","108","68","61.36"
"Bangra","","","","","1","1","3","1","2","33.33"
"Bangra","","","","","1","1","11","8","3","72.73"
"Bangra","","","","","1","1","4","2","2","50.00"
"Bangra","","","","","1","1","108","59","49","54.63"
"Bangra","","","","","1","1","26","18","8","69.23"
"Bangra","","","","","1","1","953","343","610","35.99"
"Bangra","","","","","1","1","75","44","31","58.67"
"Bangra Khurd","","","","","1","1","218","111","107","50.92"
"Baniapur","","","","","1","3","514","426","88","82.88"
"Baniapur","","","","","1","1","125","98","27","78.40"
"Bankerwa","","","","","1","1","439","242","197","55.13"
"Banni","","","","","1","1","706","495","211","70.11"
"Banpur Latif","","","","","1","1","116","74","42","63.79"
"Banpura","1","1","0","0","1","1","245","227","18","92.65"
"Banpura","1","1","0","0","1","1","276","72","204","26.09"
"Banpura","1","1","0","0","1","5","545","326","219","59.82"
"Banri Dhobwal","","","","","1","1","107","61","46","57.01"
"Banropur","1","1","0","0","1","2","688","341","347","49.56"
"Bans Dih","","","","","1","1","303","143","160","47.19"
"Bansi Chhapra","","","","","1","1","45","27","18","60.00"
"Bansohi","","","","","1","1","490","98","392","20.00"
"Banwar","1","1","0","0","1","5","189","147","42","77.78"
"Banwari Amnaur","","","","","1","2","168","107","61","63.69"
"Banwari Basant","","","","","1","1","270","136","134","50.37"
"Banwaripur","","","","","1","1","65","47","18","72.31"
"Banwaripur","","","","","1","1","222","146","76","65.77"
"Banwaripur","","","","","1","2","27","16","11","59.26"
