"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abgil","","","","","1","1","183","68","115","37.16"
"Afardih","","","","","1","1","200","13","187","6.50"
"Ahiapur","","","","","1","1","14","2","12","14.29"
"Ahiapur","","","","","1","1","196","40","156","20.41"
"Ahiapur","","","","","1","1","4","0","4","0.00"
"Ahmadpur","","","","","1","1","14","6","8","42.86"
"Aijhi","","","","","1","1","289","129","160","44.64"
"Aima Pinjri","","","","","1","1","10","7","3","70.00"
"Akauna","","","","","1","1","67","40","27","59.70"
"Alapur","","","","","1","1","105","11","94","10.48"
"Amanatpur","","","","","1","1","179","89","90","49.72"
"Amari","","","","","1","1","582","151","431","25.95"
"Andauli","","","","","1","1","200","131","69","65.50"
"Angpur","","","","","1","1","70","41","29","58.57"
"Ariari","","","","","1","1","241","151","90","62.66"
"Aruara","","","","","1","1","124","42","82","33.87"
"Asthana","","","","","1","2","424","223","201","52.59"
"Asthawan","","","","","1","1","174","123","51","70.69"
"Audhe","","","","","1","1","312","96","216","30.77"
"Babhan Bigha","","","","","1","1","291","170","121","58.42"
"Badshahpur","","","","","1","1","301","127","174","42.19"
"Bahadurpur","","","","","1","1","75","35","40","46.67"
"Bahuwara","","","","","1","1","301","210","91","69.77"
"Baih Katta","","","","","1","1","80","3","77","3.75"
"Baijnathpur","","","","","1","1","145","38","107","26.21"
"Baikathpur","","","","","1","1","161","45","116","27.95"
"Bakarpur Bank","","","","","1","4","268","113","155","42.16"
"Baoghat","","","","","1","1","173","0","173","0.00"
"Bara Bigha","","","","","1","1","101","54","47","53.47"
"Barari","","","","","1","1","213","71","142","33.33"
"Barki Milki","","","","","1","1","22","6","16","27.27"
"Barma","","","","","1","1","257","28","229","10.89"
"Barsa","","","","","1","1","333","136","197","40.84"
"Barui","","","","","1","1","378","141","237","37.30"
"Baruna","","","","","1","1","336","82","254","24.40"
"Baruni","","","","","1","1","181","10","171","5.52"
"Basant","","","","","1","1","105","92","13","87.62"
"Bazidpur","","","","","1","1","210","126","84","60.00"
"Belao","","","","","1","10","1003","282","721","28.12"
"Belauni","","","","","1","1","155","31","124","20.00"
"Belchhi","","","","","1","1","347","141","206","40.63"
"Belchhi","","","","","1","1","175","112","63","64.00"
"Belkhundi","","","","","1","1","182","53","129","29.12"
"Bengucha","","","","","1","1","119","47","72","39.50"
"Bewan","","","","","1","1","814","112","702","13.76"
"Bhadarthi","","","","","1","1","112","75","37","66.96"
"Bhadaus","","","","","1","1","475","223","252","46.95"
"Bhadausi","","","","","1","1","185","24","161","12.97"
"Bhadeli","","","","","1","1","100","0","100","0.00"
"Bhalua","","","","","1","1","34","9","25","26.47"
"Bhat Chak","","","","","1","1","62","54","8","87.10"
"Bhojdih","","","","","1","1","139","65","74","46.76"
"Bihta","","","","","1","1","166","29","137","17.47"
"Birdaban","","","","","1","1","370","299","71","80.81"
"Bitha","","","","","1","1","5","0","5","0.00"
"Chainpur Dih","","","","","1","1","35","12","23","34.29"
"Chak Abgil","","","","","1","1","200","48","152","24.00"
"Chak Maldah","","","","","1","1","21","1","20","4.76"
"Chakandara","","","","","1","3","448","327","121","72.99"
"Chanre","","","","","1","2","233","41","192","17.60"
"Charuanwan","","","","","1","4","492","283","209","57.52"
"Chaunr Dargah","","","","","1","2","781","353","428","45.20"
"Chewara","","","","","1","1","687","383","304","55.75"
"Chhatiara","","","","","1","1","394","1","393","0.25"
"Chheman","","","","","1","1","249","113","136","45.38"
