"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adauri","","","","","1","1","1461","76","1385","5.20"
"Amwa Kalan","","","","","1","7","4942","1104","3838","22.34"
"Arazi Nankar","","","","","1","1","18","16","2","88.89"
"Arazi Rakbe Narwara","","","","","1","1","77","50","27","64.94"
"Asogi Chhapra Dhani","","","","","1","1","425","144","281","33.88"
"Asopur","","","","","1","1","344","126","218","36.63"
"Athkauni","","","","","1","2","1151","870","281","75.59"
"Aura","","","","","1","2","972","476","496","48.97"
"Az Rakbe Athkauni urf Benipur","","","","","1","1","141","133","8","94.33"
"Az Rakbe Pachra Bansi","","","","","1","1","375","350","25","93.33"
"Az Rakbe Raja Dih Barahi","","","","","1","2","284","245","39","86.27"
"Azrakbe Pota","","","","","1","1","88","36","52","40.91"
"Bahuara","","","","","1","1","336","179","157","53.27"
"Baijnathpur","1","1","0","0","1","1","148","127","21","85.81"
"Baijnathpur","1","1","0","0","1","1","72","56","16","77.78"
"Bairia","","","","","1","2","941","273","668","29.01"
"Bakatpur Banbira","","","","","1","2","255","113","142","44.31"
"Bakatpur Chaki","","","","","1","1","94","3","91","3.19"
"Bakhar Chandiha","","","","","1","9","1478","687","791","46.48"
"Barahi Jagdish","","","","","1","2","1974","712","1262","36.07"
"Barahi Mohan","","","","","1","1","653","286","367","43.80"
"Bariarpur","","","","","1","2","267","151","116","56.55"
"Basahia Ram","","","","","1","1","203","100","103","49.26"
"Basahia Shekh","","","","","1","3","1845","1063","782","57.62"
"Basant Jagjiwan","","","","","1","1","1152","409","743","35.50"
"Basant Param","","","","","1","1","347","229","118","65.99"
"Basant Patti","","","","","1","2","743","377","366","50.74"
"Basarpur urf Nasirpur","","","","","1","1","211","163","48","77.25"
"Bedaul Adam","","","","","1","1","546","447","99","81.87"
"Bedaul Baz","","","","","1","1","329","287","42","87.23"
"Belahi Dullah","","","","","1","1","410","295","115","71.95"
"Belahi urf Balha Baijnathpur","","","","","1","1","715","268","447","37.48"
"Belwa Narkatia Bandobasti","","","","","1","1","473","163","310","34.46"
"Belwa Narkatia Nizamat","","","","","1","3","985","176","809","17.87"
"Bhagwanpur Bheli","1","0","1","0","1","1","119","78","41","65.55"
"Bhagwanpur Bheli Nankar","1","1","0","0","1","1","130","125","5","96.15"
"Bhaluahi","","","","","1","1","132","46","86","34.85"
"Bhandiha","","","","","1","1","85","35","50","41.18"
"Bhatha","","","","","1","2","709","265","444","37.38"
"Bhorha Mohanpur","1","1","0","0","1","2","613","245","368","39.97"
"Bindraban","","","","","1","3","1647","822","825","49.91"
"Bira Chhapra","","","","","1","2","534","327","207","61.24"
"Bisahi","","","","","1","1","625","421","204","67.36"
"Bisambharpur","","","","","1","1","1712","648","1064","37.85"
"Bishunpur Bindi","","","","","1","1","119","90","29","75.63"
"Bishunpur Dharanand","","","","","1","1","24","23","1","95.83"
"Bishunpur Fakira","","","","","1","1","86","59","27","68.60"
"Bishunpur Kishundeo","","","","","1","1","472","254","218","53.81"
