"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adalpur","","","","","1","1","310","50","260","16.13"
"Adhgain","","","","","1","1","148","43","105","29.05"
"Adhgaon","","","","","1","1","358","243","115","67.88"
"Adkhani","","","","","1","2","796","244","552","30.65"
"Akhardiha","","","","","1","1","189","99","90","52.38"
"Akhta (Part in Bairgania) *","1","1","0","0","1","4","2116","1394","722","65.88"
"Akhta (Part in Suppi) *","","","","","1","1","26","6","20","23.08"
"Amana","","","","","1","1","424","365","59","86.08"
"Amghatta Bhagwatipur Amghatta","","","","","1","2","521","223","298","42.80"
"Amwa","","","","","1","1","69","14","55","20.29"
"Amwa Khurd","","","","","1","1","114","109","5","95.61"
"Andauli","","","","","1","1","335","233","102","69.55"
"Andhra","","","","","1","1","234","197","37","84.19"
"Anhari Ujiari","","","","","1","2","528","294","234","55.68"
"Araria","","","","","1","1","265","16","249","6.04"
"Arazi Dilawarpur Motnaza","","","","","1","1","39","15","24","38.46"
"Arazi Mahdewa","","","","","1","1","59","54","5","91.53"
"Arazi Mohanpur","1","1","0","0","1","1","100","86","14","86.00"
"Arazi Nankar","","","","","1","1","2","0","2","0.00"
"Arazi Shahpur Sitalpatti","","","","","1","1","49","21","28","42.86"
"Arifpur Bazidpur","","","","","1","1","314","142","172","45.22"
"Asogi","","","","","1","1","211","64","147","30.33"
"Athauharichhapra","","","","","1","1","615","360","255","58.54"
"Athri","","","","","1","1","979","490","489","50.05"
"Awapur urf Sherpur","","","","","1","2","2804","606","2198","21.61"
"Az Rakbe Balsa","","","","","1","1","154","2","152","1.30"
"Az Rakbe Damodarpatti","","","","","1","1","71","47","24","66.20"
"Az Rakbe Piprarhi","","","","","1","1","106","35","71","33.02"
"Azamgarh Nagwan tolaJagdishpur","","","","","1","1","773","310","463","40.10"
"Azrakbe Posua Patania","","","","","1","1","34","20","14","58.82"
"Babhangawan","","","","","1","1","926","625","301","67.49"
"Baburban","","","","","1","1","528","59","469","11.17"
"Baburban","","","","","1","2","276","180","96","65.22"
"Bachharpur","","","","","1","1","205","110","95","53.66"
"Bachharpur urf Sahu Tikai","","","","","1","1","1212","745","467","61.47"
"Baduri Amghatta","","","","","1","1","464","149","315","32.11"
"Bagaha","","","","","1","1","900","13","887","1.44"
"Bagha Sati","","","","","1","1","167","99","68","59.28"
"Baghari","","","","","1","1","513","145","368","28.27"
"Baghari","","","","","1","1","1505","610","895","40.53"
"Baghauni","","","","","1","1","277","0","277","0.00"
"Baghmari","","","","","1","1","243","42","201","17.28"
"Bahera","","","","","1","6","782","131","651","16.75"
