"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhimanwan","","","","","1","1","66","18","48","27.27"
"Abhui","","","","","1","1","309","136","173","44.01"
"Adamanpur","","","","","1","1","341","241","100","70.67"
"Adharpur","","","","","1","1","118","8","110","6.78"
"Adli","","","","","1","1","44","20","24","45.45"
"Adlichak","","","","","1","1","11","4","7","36.36"
"Agaunta","","","","","1","1","472","366","106","77.54"
"Ageyan","","","","","1","2","875","643","232","73.49"
"Aghaila","","","","","1","1","152","36","116","23.68"
"Agsara","","","","","1","1","124","20","104","16.13"
"Ahirni","","","","","1","1","46","40","6","86.96"
"Aiman Shankarpur","","","","","1","1","63","33","30","52.38"
"Akhainiyam","","","","","1","1","111","107","4","96.40"
"Akolhi","","","","","1","1","125","75","50","60.00"
"Akopur","","","","","1","1","201","112","89","55.72"
"Alampur","","","","","1","1","334","214","120","64.07"
"Alapur","1","1","0","0","1","1","111","71","40","63.96"
"Alapur","1","1","0","0","1","1","94","79","15","84.04"
"Amarpur","","","","","1","1","479","270","209","56.37"
"Amhara","","","","","1","1","144","84","60","58.33"
"Amlori","","","","","1","1","265","19","246","7.17"
"Amnaura","","","","","1","1","114","2","112","1.75"
"Amwari","","","","","1","1","497","289","208","58.15"
"Andar","","","","","1","1","688","115","573","16.72"
"Ansar","","","","","1","1","127","106","21","83.46"
"Aphrad","","","","","1","1","105","81","24","77.14"
"Arakpur","","","","","1","1","456","67","389","14.69"
"Aranda","","","","","1","1","890","439","451","49.33"
"Arazi Balaha","","","","","1","1","134","93","41","69.40"
"Arazi Barwa","","","","","1","1","91","45","46","49.45"
"Arazi Nagwa","","","","","1","1","36","31","5","86.11"
"Arjal","","","","","1","1","218","148","70","67.89"
"Arjanipur","","","","","1","1","296","107","189","36.15"
"Aruan","","","","","1","1","365","63","302","17.26"
"Asaon","","","","","1","1","710","228","482","32.11"
"Asapur","","","","","1","1","52","27","25","51.92"
"Atarsua","","","","","1","1","173","129","44","74.57"
"Athkhambha","","","","","1","1","201","157","44","78.11"
"Atwa","","","","","1","1","250","186","64","74.40"
"Aurai","","","","","1","1","630","304","326","48.25"
"Babhan Bara","","","","","1","1","319","261","58","81.82"
"Babhnauli","","","","","1","1","215","118","97","54.88"
"Babhnauli","","","","","1","1","57","37","20","64.91"
"Babhnauli","","","","","1","1","390","280","110","71.79"
"Babhnauli","","","","","1","1","107","91","16","85.05"
"Babnauli","","","","","1","1","131","63","68","48.09"
"Babu Hata","","","","","1","1","58","52","6","89.66"
"Babu Hata","","","","","1","1","74","53","21","71.62"
"Badarzamin","","","","","1","1","101","57","44","56.44"
"Bagaha","","","","","1","1","155","142","13","91.61"
"Bagahi","","","","","1","1","49","14","35","28.57"
"Bagahi","","","","","1","1","103","77","26","74.76"
"Bagauchha","","","","","1","1","340","204","136","60.00"
"Bagaura","","","","","1","1","1403","1403","0","100.00"
"Baghauna","","","","","1","1","470","235","235","50.00"
"Baghauni","","","","","1","1","378","257","121","67.99"
"Baghra","","","","","1","1","361","300","61","83.10"
"Bahadurpur","","","","","1","1","257","175","82","68.09"
"Bahadurpur","","","","","1","1","165","78","87","47.27"
"Bahadurpur","","","","","1","1","63","34","29","53.97"
"Bahelia","","","","","1","1","107","18","89","16.82"
"Bahelia","","","","","1","1","73","50","23","68.49"
"Bahelia","","","","","1","1","101","81","20","80.20"
"Bahgra","","","","","1","1","843","234","609","27.76"
"Bahopur","","","","","1","1","160","143","17","89.38"
"Bahuara qadir","","","","","1","1","365","246","119","67.40"
"Baidapur","","","","","1","3","72","45","27","62.50"
"Baikunthpur","","","","","1","1","113","31","82","27.43"
"Baisakhi","","","","","1","1","436","273","163","62.61"
"Bajarmara","","","","","1","1","59","53","6","89.83"
"Bajrahia","","","","","1","1","196","158","38","80.61"
"Bakhri","","","","","1","1","311","212","99","68.17"
"Bakhtauli","","","","","1","1","106","32","74","30.19"
"Bakulari","","","","","1","1","154","85","69","55.19"
"Bala","","","","","1","1","620","241","379","38.87"
"Balaha","","","","","1","1","210","167","43","79.52"
"Balahu","","","","","1","1","861","396","465","45.99"
"Balaipur","","","","","1","1","132","103","29","78.03"
"Balapur","","","","","1","1","463","353","110","76.24"
"Balau","","","","","1","1","437","342","95","78.26"
"Balchandhata","","","","","1","1","412","231","181","56.07"
"Baldih","","","","","1","1","101","62","39","61.39"
"Baldiha","","","","","1","2","208","80","128","38.46"
"Baletha","","","","","1","1","757","415","342","54.82"
"Bali","","","","","1","1","203","89","114","43.84"
"Bali  punak","","","","","1","1","64","51","13","79.69"
"Balia","","","","","1","1","86","77","9","89.53"
"Balia","","","","","1","1","545","371","174","68.07"
"Balia","","","","","1","1","222","126","96","56.76"
"Baliapatti","","","","","1","1","88","81","7","92.05"
"Balthara","","","","","1","1","436","108","328","24.77"
"Balua","","","","","1","4","701","388","313","55.35"
"Balua","","","","","1","1","29","16","13","55.17"
"Baluhi","","","","","1","1","33","27","6","81.82"
"Balwa","","","","","1","1","203","86","117","42.36"
"Bangali Bharauli","","","","","1","1","19","18","1","94.74"
"Bangra","","","","","1","1","36","20","16","55.56"
"Bangra","","","","","1","1","251","86","165","34.26"
"Bangra","","","","","1","1","79","44","35","55.70"
"Bangra","","","","","1","1","190","169","21","88.95"
"Bangra","","","","","1","2","626","504","122","80.51"
"Bangra","","","","","1","1","164","124","40","75.61"
"Bangra","","","","","1","1","222","108","114","48.65"
"Bangra","","","","","1","1","249","43","206","17.27"
"Bangra","","","","","1","2","97","80","17","82.47"
"Bangra Sirikant","","","","","1","1","158","124","34","78.48"
"Banjariya","","","","","1","1","124","91","33","73.39"
"Bankajua","","","","","1","1","266","91","175","34.21"
"Bankat","","","","","1","1","89","52","37","58.43"
"Bankat Main Chak","","","","","1","1","114","69","45","60.53"
"Banpura","","","","","1","1","61","45","16","73.77"
"Banri Sarai","","","","","1","1","33","17","16","51.52"
"Bansohi","","","","","1","1","336","93","243","27.68"
"Bansopali","","","","","1","1","198","130","68","65.66"
"Banthu Salona","","","","","1","1","105","58","47","55.24"
"Banthu Sriram","","","","","1","1","194","97","97","50.00"
"Bara Shikuara","","","","","1","1","47","39","8","82.98"
"Barahani","","","","","1","1","433","183","250","42.26"
"Barahia tola","","","","","1","1","66","41","25","62.12"
"Barahpur","","","","","1","1","131","118","13","90.08"
"Baraipatti","","","","","1","1","183","161","22","87.98"
"Baramh Asthan","","","","","1","1","345","255","90","73.91"
"Bararam","","","","","1","1","794","675","119","85.01"
"Barari","","","","","1","3","203","84","119","41.38"
"Baraso","","","","","1","1","181","136","45","75.14"
"Barauna","","","","","1","1","17","8","9","47.06"
"Bardaha","","","","","1","1","29","19","10","65.52"
"Bardahan","","","","","1","1","50","17","33","34.00"
"Bargaon","","","","","1","1","315","241","74","76.51"
"Barhan","","","","","1","1","588","388","200","65.99"
"Barharia","","","","","1","1","590","485","105","82.20"
"Barhea","","","","","1","1","98","94","4","95.92"
"Barheya","","","","","1","1","268","200","68","74.63"
"Barheya punak","","","","","1","1","52","45","7","86.54"
"Barhoga Jaddu","","","","","1","1","122","103","19","84.43"
"Barhoga Khurd","","","","","1","1","371","228","143","61.46"
"Barhoga Parsotim","","","","","1","6","240","185","55","77.08"
"Barhulia","","","","","1","1","327","151","176","46.18"
"Barka Gaon","","","","","1","2","1194","226","968","18.93"
"Barka Manjha","","","","","1","1","468","243","225","51.92"
"Barkagaon","","","","","1","1","245","149","96","60.82"
"Baroha","","","","","1","1","93","71","22","76.34"
"Barpalia","","","","","1","1","134","84","50","62.69"
"Barsara","","","","","1","1","135","103","32","76.30"
"Bartawalia","","","","","1","1","354","217","137","61.30"
"Baruna","","","","","1","1","301","139","162","46.18"
"Barwa Dumri","","","","","1","1","176","137","39","77.84"
"Barwa Kalan","","","","","1","1","272","101","171","37.13"
"Barwa Khurd","","","","","1","1","159","80","79","50.31"
"Baryarpur","","","","","1","1","218","203","15","93.12"
"Basantnagar","","","","","1","1","197","142","55","72.08"
"Basantpur","","","","","1","1","149","102","47","68.46"
"Basantpur","","","","","1","1","494","1","493","0.20"
"Basantpur","","","","","1","1","78","56","22","71.79"
"Basantpur","","","","","1","1","452","304","148","67.26"
"Basaon","","","","","1","1","1499","84","1415","5.60"
"Basauli","","","","","1","1","170","85","85","50.00"
"Basdewa","","","","","1","1","124","83","41","66.94"
"Basuapur","","","","","1","1","44","32","12","72.73"
"Basuhari","","","","","1","1","167","167","0","100.00"
"Batrauli","","","","","1","1","162","148","14","91.36"
"Bauna","","","","","1","1","97","82","15","84.54"
"Bauri","","","","","1","1","65","19","46","29.23"
"Bawan Dih","","","","","1","1","264","217","47","82.20"
"Bazidpur","","","","","1","1","180","141","39","78.33"
"Bazidpur","","","","","1","1","348","134","214","38.51"
"Bedauli","","","","","1","1","61","33","28","54.10"
"Bela","","","","","1","1","157","123","34","78.34"
"Belahi","","","","","1","4","148","73","75","49.32"
"Belaon","","","","","1","1","453","298","155","65.78"
"Belaspur","","","","","1","1","79","61","18","77.22"
"Belaur","","","","","1","1","315","225","90","71.43"
"Belauri","","","","","1","1","156","76","80","48.72"
"Beldari tola","","","","","1","1","28","22","6","78.57"
"Belsui","","","","","1","1","235","204","31","86.81"
"Belwar","","","","","1","1","138","119","19","86.23"
"Belwasa","","","","","1","1","125","35","90","28.00"
"Benusar","","","","","1","1","523","428","95","81.84"
"Benusar Buzurg","","","","","1","1","368","228","140","61.96"
"Berhea","","","","","1","1","56","38","18","67.86"
"Bhabhopali","","","","","1","1","429","310","119","72.26"
"Bhada Kalan","","","","","1","1","252","217","35","86.11"
"Bhada Khurd","","","","","1","1","208","168","40","80.77"
"Bhada Khurd","","","","","1","1","127","103","24","81.10"
"Bhadaur","","","","","1","1","75","73","2","97.33"
"Bhadaura","","","","","1","1","329","240","89","72.95"
"Bhaday","","","","","1","1","221","141","80","63.80"
"Bhagar","","","","","1","1","1263","293","970","23.20"
"Bhagwanpur","","","","","1","1","246","144","102","58.54"
"Bhagwanpur","","","","","1","1","82","79","3","96.34"
"Bhagwanpur","","","","","1","1","192","190","2","98.96"
"Bhagwanpur","","","","","1","1","78","0","78","0.00"
"Bhagwanpur Hat","","","","","1","1","519","369","150","71.10"
"Bhaisakhal","","","","","1","1","465","342","123","73.55"
"Bhaisaurha","","","","","1","1","90","64","26","71.11"
"Bhalua","","","","","1","1","316","250","66","79.11"
"Bhalua","","","","","1","1","125","97","28","77.60"
"Bhalua Makund","","","","","1","1","91","78","13","85.71"
"Bhalui","","","","","1","1","129","118","11","91.47"
"Bhalui","","","","","1","1","100","73","27","73.00"
"Bhalui","","","","","1","1","279","156","123","55.91"
"Bhaluwahi","","","","","1","1","106","33","73","31.13"
"Bhaluwara","","","","","1","1","156","148","8","94.87"
"Bhanta Pokhar","","","","","1","1","391","248","143","63.43"
"Bhanti","","","","","1","1","163","80","83","49.08"
"Bharathpura","","","","","1","1","325","181","144","55.69"
"Bharauli","","","","","1","1","447","43","404","9.62"
"Bharauli","","","","","1","1","99","71","28","71.72"
"Bharthipatti","","","","","1","1","20","19","1","95.00"
"Bharthua","","","","","1","1","122","27","95","22.13"
"Bharthui","","","","","1","1","46","26","20","56.52"
"Bharthui","","","","","1","1","181","146","35","80.66"
"Bharwalia","","","","","1","1","151","108","43","71.52"
"Bhathahi","","","","","1","1","173","84","89","48.55"
"Bhatkan khem","","","","","1","1","138","90","48","65.22"
"Bhatwalia","","","","","1","2","105","56","49","53.33"
"Bhatwalia","","","","","1","1","366","163","203","44.54"
"Bhatwalia","","","","","1","1","87","75","12","86.21"
"Bhaurajpur","","","","","1","1","966","165","801","17.08"
"Bhekhpurwa","","","","","1","1","176","143","33","81.25"
"Bhelpur","","","","","1","1","62","40","22","64.52"
"Bherwanian","","","","","1","1","344","1","343","0.29"
"Bhikhaban","","","","","1","1","537","193","344","35.94"
"Bhikhampur","","","","","1","1","268","47","221","17.54"
"Bhikhpur","","","","","1","1","570","230","340","40.35"
"Bhikhpur Bhagwanpur","","","","","1","1","308","171","137","55.52"
"Bhikpur","","","","","1","1","74","4","70","5.41"
"Bhimpur","","","","","1","1","103","72","31","69.90"
"Bhitauli","","","","","1","1","121","85","36","70.25"
"Bhitauli","","","","","1","1","373","69","304","18.50"
"Bhithi","","","","","1","1","970","18","952","1.86"
"Bhopatpur","","","","","1","1","680","294","386","43.24"
"Bhopatpur Bharthia","","","","","1","1","531","140","391","26.37"
"Bhopatpura","","","","","1","1","107","64","43","59.81"
"Bhothia","","","","","1","1","89","65","24","73.03"
