"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhwar","","","","","1","4","1128","597","531","52.93"
"Achalpur","","","","","1","4","273","192","81","70.33"
"Amaha","","","","","1","8","1447","791","656","54.66"
"Amha","","","","","1","3","1586","938","648","59.14"
"Andauli","","","","","1","3","565","322","243","56.99"
"Arraha","","","","","1","1","118","45","73","38.14"
"Asanpur Kupaha","","","","","1","1","229","0","229","0.00"
"Atlakha Belahi","","","","","1","1","454","273","181","60.13"
"Auraha","","","","","1","1","469","166","303","35.39"
"Aurahi","","","","","1","1","213","12","201","5.63"
"Babhanganwa","","","","","1","1","1951","1328","623","68.07"
"Badurahi","1","1","0","0","1","1","185","87","98","47.03"
"Baghaeli","","","","","1","1","906","352","554","38.85"
"Bahorwa","","","","","1","1","385","314","71","81.56"
"Bahorwa","","","","","1","6","1535","103","1432","6.71"
"Bahtunia urf Satan Patti","","","","","1","1","840","260","580","30.95"
"Bahuarwa","","","","","1","1","8","1","7","12.50"
"Baijnathpur","","","","","1","5","350","269","81","76.86"
"Bainia","","","","","1","3","368","337","31","91.58"
"Bairia","","","","","1","6","720","597","123","82.92"
"Bairia Arazi","","","","","1","1","260","164","96","63.08"
"Bairia Chawdhari","","","","","1","1","90","67","23","74.44"
"Bairia Kamal","","","","","1","1","538","229","309","42.57"
"Bairio","","","","","1","1","214","115","99","53.74"
"Bairo","","","","","1","12","1543","849","694","55.02"
"Bairo Milik","","","","","1","1","6","4","2","66.67"
"Baisa","","","","","1","1","100","86","14","86.00"
"Baisi","","","","","1","12","975","203","772","20.82"
"Baisi Chakla","","","","","1","1","91","79","12","86.81"
"Bajdari Chakla","","","","","1","1","134","0","134","0.00"
"Bakaur","","","","","1","1","345","179","166","51.88"
"Balbhadarpur","","","","","1","3","851","635","216","74.62"
"Balha","","","","","1","5","1484","938","546","63.21"
"Balias","","","","","1","1","146","72","74","49.32"
