"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Ababakarpur","","","","","1","1","997","582","415","58.38"
"Ababakarpur","","","","","1","1","240","204","36","85.00"
"Abbu Chak","","","","","1","1","8","7","1","87.50"
"Abdullahpur","","","","","1","1","3","3","0","100.00"
"Abdullahpur","","","","","1","1","3","1","2","33.33"
"Abdulpur","","","","","1","1","168","119","49","70.83"
"Abhua","","","","","1","1","142","85","57","59.86"
"Abul Hasanpur","","","","","1","1","604","505","99","83.61"
"Adalpur","","","","","1","1","122","117","5","95.90"
"Adalpur Urf Adilnagar","","","","","1","1","324","241","83","74.38"
"Adampur","","","","","1","1","427","216","211","50.59"
"Adhinpur","","","","","1","1","69","37","32","53.62"
"Afazalpur Dhobghati Saidpur","","","","","1","1","226","67","159","29.65"
"Afazlpur Puraina","","","","","1","1","462","187","275","40.48"
"Afzalpur","","","","","1","1","56","36","20","64.29"
"Agrail Khurd","","","","","1","1","919","431","488","46.90"
"Ahirpur","","","","","1","1","39","39","0","100.00"
"Ahmadpur LakhnichakAulai","","","","","1","1","208","175","33","84.13"
"Ahmadpur Urf Hasanpur Majhauli","","","","","1","1","127","29","98","22.83"
"Akhtiarpur","","","","","1","1","371","207","164","55.80"
"Akhtiarpur Doghra","","","","","1","1","479","288","191","60.13"
"Akhtiarpur Mohan Urf Lautan","","","","","1","1","117","112","5","95.73"
"Akhtiarpur Patera","","","","","1","2","450","394","56","87.56"
"Akhtiarpur Sihan","","","","","1","1","328","190","138","57.93"
"Akilabad","","","","","1","1","208","194","14","93.27"
"Akilabad Diara","","","","","1","1","56","56","0","100.00"
"Alahbadpur","","","","","1","1","322","243","79","75.47"
"Alampur Zamin","","","","","1","1","138","81","57","58.70"
"Alimuddinpur Chak","","","","","1","1","38","28","10","73.68"
"Alinagar Urf Lothan","","","","","1","1","683","491","192","71.89"
"Alipur Hatta","","","","","1","3","573","346","227","60.38"
"Alipur Makund","","","","","1","1","17","10","7","58.82"
"Alipur Sumerganj Urf Ghauspur","","","","","1","1","117","85","32","72.65"
"Almanpur","","","","","1","1","72","16","56","22.22"
"Amer","","","","","1","1","363","262","101","72.18"
"Ammna Mori","","","","","1","1","244","207","37","84.84"
"Amritpur","","","","","1","1","414","289","125","69.81"
"Amthanwa","","","","","1","1","91","19","72","20.88"
"Andari","","","","","1","1","185","134","51","72.43"
"Andharwara","","","","","1","1","488","389","99","79.71"
"Anjani","","","","","1","1","338","245","93","72.49"
"Anrra","","","","","1","1","763","618","145","81.00"
"Anwarpur","","","","","1","1","239","176","63","73.64"
"Arazi Bhairopur","","","","","1","1","12","10","2","83.33"
"Arazi Chak Basdeo","","","","","1","1","21","20","1","95.24"
"Arazi Chak Kanchanpur","","","","","1","1","65","52","13","80.00"
"Arazi Kanchanpur","","","","","1","1","4","2","2","50.00"
"Arazi Kanchanpur","","","","","1","1","23","16","7","69.57"
