"District","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Balod","","","","","687","866","132178","124265","7913","94.01"
"Baloda Bajar","","","","","950","1275","173650","155372","18278","89.47"
"Balrampur","4","4","0","0","634","4269","155996","101808","54188","65.26"
"Bastar","223","218","0","5","589","5260","171913","142921","28992","83.14"
"Bemetara","","","","","689","875","103084","94375","8709","91.55"
"Bijapur","190","115","0","75","565","3981","100875","57334","43541","56.84"
"Bilaspur","1","1","0","0","908","2659","365492","318510","46982","87.15"
"Dantewada","39","29","0","10","219","2375","48078","29081","18997","60.49"
"Dhamtari","","","","","620","3229","130442","130300","142","99.89"
"Durg","","","","","385","427","109469","104787","4682","95.72"
"Fazilka","","","","","4","7","613","530","83","86.46"
"Gariyabandh","2","2","0","0","706","1935","191740","169692","22048","88.50"
"Janjgir - Champa","1","1","0","0","892","2813","366710","362287","4423","98.79"
"Jashpur","17","17","0","0","755","5116","170934","121188","49746","70.90"
"Kabeerdham","12","12","0","0","1006","2418","234188","183202","50986","78.23"
"Kanker","2","2","0","0","1061","4181","132351","88985","43366","67.23"
"Kondagaon","154","151","0","3","533","4120","151132","121378","29754","80.31"
"Korba","6","6","0","0","717","2608","214409","207328","7081","96.70"
"Koriya","5","5","0","0","624","3233","92046","63566","28480","69.06"
"Mahasamund","","","","","1112","2458","164045","163184","861","99.48"
"Mungeli","2","2","0","0","694","967","210637","166503","44134","79.05"
"Narayanpur","213","172","0","41","412","1068","28222","16295","11927","57.74"
"Raigarh","","","","","1429","4372","291865","274757","17108","94.14"
"Raipur","","","","","489","1288","147990","144881","3109","97.90"
"Rajnandgaon","5","5","0","0","1653","3622","298565","261995","36570","87.75"
"Sukma","192","59","0","133","371","1701","35819","22356","13463","62.41"
"Surajpur","7","6","0","1","545","3782","150214","121242","28972","80.71"
"Surguja","5","5","0","0","568","3579","146147","122215","23932","83.62"
"Total","1,080","812","0","268","19,817","74,484","45,18,804","38,70,337","6,48,467",""
