"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aamakhoha","","","","","1","2","89","81","8","91.01"
"Achanakpur","","","","","1","1","10","1","9","10.00"
"Achanakpur","","","","","1","2","49","44","5","89.80"
"Achankpur","","","","","1","1","89","78","11","87.64"
"Achholi","","","","","1","1","187","175","12","93.58"
"Ahilda","","","","","1","1","563","541","22","96.09"
"Ahmadpur","","","","","1","1","114","105","9","92.11"
"Akaltara","","","","","1","1","35","23","12","65.71"
"Akaltara","","","","","1","1","203","174","29","85.71"
"Akaltara","","","","","1","2","335","323","12","96.42"
"Akoli","","","","","1","1","108","104","4","96.30"
"Alda","","","","","1","1","34","24","10","70.59"
"Alesur","","","","","1","1","172","160","12","93.02"
"Alikud","","","","","1","1","81","65","16","80.25"
"Amakachhar","","","","","1","1","24","14","10","58.33"
"Amakoni","","","","","1","2","130","100","30","76.92"
"Amaldiha","","","","","1","2","86","70","16","81.40"
"Amaldiha (Amaldih)","","","","","1","2","245","205","40","83.67"
"Amalidih","","","","","1","1","107","87","20","81.31"
"Amalidih","","","","","1","1","112","91","21","81.25"
"Amalkunda","","","","","1","1","118","105","13","88.98"
"Amera","","","","","1","2","538","505","33","93.87"
"Ameri","","","","","1","1","109","88","21","80.73"
"Amethi","","","","","1","1","216","198","18","91.67"
"Amethi","","","","","1","1","93","84","9","90.32"
"Amgaon","","","","","1","1","66","0","66","0.00"
"Amliadih","","","","","1","1","141","129","12","91.49"
"Amlidih","","","","","1","1","66","58","8","87.88"
"Amlidih","","","","","1","1","104","104","0","100.00"
"Amlidih","","","","","1","1","72","60","12","83.33"
"Amodi","","","","","1","1","193","162","31","83.94"
"Amodi","","","","","1","2","179","148","31","82.68"
"Amruwa","","","","","1","2","150","124","26","82.67"
"Arjuni","","","","","1","1","26","22","4","84.62"
"Arjuni","","","","","1","2","859","824","35","95.93"
"Arjuni","","","","","1","2","84","68","16","80.95"
"Arjuni","","","","","1","1","246","201","45","81.71"
"Asnid","","","","","1","4","395","310","85","78.48"
"Aurasi","","","","","1","1","161","149","12","92.55"
"Aurethi","","","","","1","1","343","325","18","94.75"
"Awarai","","","","","1","2","254","236","18","92.91"
"Babariya","","","","","1","1","14","4","10","28.57"
"Bachhaurdih","","","","","1","1","103","89","14","86.41"
"Bachhera","","","","","1","1","125","107","18","85.60"
"Badgaon","","","","","1","1","163","147","16","90.18"
"Bafra","","","","","1","1","24","18","6","75.00"
"Bagar","","","","","1","1","68","38","30","55.88"
"Bagbudwa","","","","","1","1","113","113","0","100.00"
"Baghmada","","","","","1","2","67","51","16","76.12"
"Baghmalla","","","","","1","6","307","179","128","58.31"
"Baglota","","","","","1","1","136","113","23","83.09"
"Bagubuda","","","","","1","1","317","317","0","100.00"
"Baigandabari","","","","","1","1","126","109","17","86.51"
"Baijnath","","","","","1","3","223","200","23","89.69"
"Baikoni","","","","","1","1","274","251","23","91.61"
"Bajarbhata","","","","","1","1","87","75","12","86.21"
"Bakla","","","","","1","1","25","25","0","100.00"
"Bakulahi","","","","","1","1","63","56","7","88.89"
"Balauda","","","","","1","2","671","583","88","86.89"
"Balaudi","","","","","1","2","127","96","31","75.59"
"Balda Kachhar","","","","","1","3","169","136","33","80.47"
"Balodi","","","","","1","1","398","381","17","95.73"
"Balpur","","","","","1","4","411","348","63","84.67"
"Bamhani","","","","","1","2","156","110","46","70.51"
"Bamhanidih","","","","","1","1","191","171","20","89.53"
"Bamhanidih","","","","","1","1","107","93","14","86.92"
"Bamhanpuri","","","","","1","1","127","116","11","91.34"
"Bamhanpuri","","","","","1","1","167","167","0","100.00"
"Bamhni","","","","","1","1","179","162","17","90.50"
"Banahil","","","","","1","1","123","110","13","89.43"
"Bandri","","","","","1","1","157","129","28","82.17"
"Banikhar","","","","","1","1","56","49","7","87.50"
"Bansankra","","","","","1","1","485","461","24","95.05"
"Bansbinori","","","","","1","1","138","127","11","92.03"
"Bansurikuli","","","","","1","1","151","127","24","84.11"
"Bar","","","","","1","1","128","103","25","80.47"
"Barbaspur","","","","","1","2","64","55","9","85.94"
"Barbhatha","","","","","1","1","49","38","11","77.55"
"Barbhatha","","","","","1","2","54","31","23","57.41"
"Barda","","","","","1","1","312","293","19","93.91"
"Bardih(Bitkuli)","","","","","1","1","56","42","14","75.00"
"Bardih(Hirami)","","","","","1","1","143","131","12","91.61"
"Barekel","","","","","1","1","86","47","39","54.65"
"Bareli","","","","","1","2","242","201","41","83.06"
"Barpali","","","","","1","2","232","196","36","84.48"
"Barpani","","","","","1","1","160","137","23","85.63"
"Basantpur","","","","","1","1","133","120","13","90.23"
"Basin","","","","","1","1","123","97","26","78.86"
"Baya","","","","","1","2","236","207","29","87.71"
"Beladula","","","","","1","2","106","94","12","88.68"
"Belha","","","","","1","1","95","95","0","100.00"
"Belha","","","","","1","1","128","120","8","93.75"
"Belmudi","","","","","1","1","80","56","24","70.00"
"Beltikari","","","","","1","1","138","102","36","73.91"
"Bemetra","","","","","1","1","57","48","9","84.21"
"Bendri","","","","","1","1","91","83","8","91.21"
"Benduwa","","","","","1","1","44","29","15","65.91"
"Bengpali","","","","","1","2","340","298","42","87.65"
"Bhadara","","","","","1","1","204","184","20","90.20"
"Bhadora","","","","","1","1","183","161","22","87.98"
"Bhadora","","","","","1","1","71","51","20","71.83"
"Bhadra","","","","","1","1","63","63","0","100.00"
"Bhadrapali","","","","","1","1","274","256","18","93.43"
"Bhainsa","","","","","1","1","232","226","6","97.41"
"Bhalesur","","","","","1","1","123","104","19","84.55"
"Bhalukona","","","","","1","1","127","116","11","91.34"
"Bhalukona","","","","","1","1","21","21","0","100.00"
"Bhanpur","","","","","1","3","108","85","23","78.70"
"Bhanwargarh(Bhawargarh)","","","","","1","1","116","104","12","89.66"
"Bharatpur","","","","","1","1","217","203","14","93.55"
"Bharatpur","","","","","1","1","54","42","12","77.78"
"Bharka","","","","","1","1","43","43","0","100.00"
"Bharsela","","","","","1","3","220","189","31","85.91"
"Bharsela","","","","","1","1","182","173","9","95.05"
"Bharseli Malgujari","","","","","1","1","143","117","26","81.82"
"Bharseli Ryt.","","","","","1","1","221","195","26","88.24"
"Bharuwadih","","","","","1","1","114","114","0","100.00"
"Bharuwadih","","","","","1","1","105","94","11","89.52"
"Bhat Bhera","","","","","1","1","223","199","24","89.24"
"Bhathagaon","","","","","1","1","86","79","7","91.86"
"Bhawanipur","","","","","1","1","268","250","18","93.28"
"Bhawrid","","","","","1","2","130","67","63","51.54"
"Bhinbhouri","","","","","1","3","60","44","16","73.33"
"Bhinoda","","","","","1","1","170","149","21","87.65"
"Bhinoda","","","","","1","1","117","99","18","84.62"
"Bhogadih","","","","","1","1","23","23","0","100.00"
"Bhothadih","","","","","1","1","131","114","17","87.02"
"Bhothahi","","","","","1","1","21","21","0","100.00"
"Bhothdih(Chaurenga)","","","","","1","1","79","65","14","82.28"
"Bhothidih","","","","","1","1","99","83","16","83.84"
"Bhothidih","","","","","1","1","227","219","8","96.48"
"Bhothidih Alias Titahid","","","","","1","1","61","37","24","60.66"
"Bijabhat","","","","","1","1","76","76","0","100.00"
"Bijradih","","","","","1","1","227","223","4","98.24"
"Bijradih","","","","","1","1","156","145","11","92.95"
"Bilaidabri","","","","","1","1","99","86","13","86.87"
"Bilari","","","","","1","2","220","181","39","82.27"
"Bilari","","","","","1","1","179","149","30","83.24"
"Bilaspur","","","","","1","3","459","436","23","94.99"
"Binaika(Bineka)","","","","","1","1","132","121","11","91.67"
"Binouri","","","","","1","1","329","308","21","93.62"
"Bisanpur","","","","","1","1","27","19","8","70.37"
"Bisrampur","","","","","1","1","218","204","14","93.58"
"Bitkuli","","","","","1","1","287","274","13","95.47"
"Bitkuli","","","","","1","2","63","50","13","79.37"
"Bitkuli","","","","","1","1","339","320","19","94.40"
"Boda","","","","","1","1","42","36","6","85.71"
"Boda","","","","","1","2","110","83","27","75.45"
"Bodadih","","","","","1","4","269","185","84","68.77"
"Bodtara","","","","","1","1","339","330","9","97.35"
"Bodtara","","","","","1","1","19","19","0","100.00"
"Bohardih","","","","","1","1","126","112","14","88.89"
"Boirdih","","","","","1","2","37","34","3","91.89"
"Boirdih","","","","","1","1","67","67","0","100.00"
"Boirdih","","","","","1","1","88","69","19","78.41"
"Boirdih","","","","","1","1","67","67","0","100.00"
"Borsi","","","","","1","2","148","112","36","75.68"
"Borsi","","","","","1","1","221","202","19","91.40"
"Borsi","","","","","1","1","32","32","0","100.00"
"Borsi","","","","","1","1","221","202","19","91.40"
"Buchipar","","","","","1","1","127","97","30","76.38"
"Budgahan","","","","","1","1","98","76","22","77.55"
"Budgahan","","","","","1","1","149","133","16","89.26"
"Chachrel","","","","","1","1","39","28","11","71.79"
"Chakarda","","","","","1","1","183","158","25","86.34"
"Chakarway","","","","","1","1","292","274","18","93.84"
"Chakarway","","","","","1","1","55","43","12","78.18"
"Chamarguda","","","","","1","1","187","166","21","88.77"
"Chamari","","","","","1","1","119","108","11","90.76"
"Champa","","","","","1","1","137","126","11","91.97"
"Chandan","","","","","1","3","375","344","31","91.73"
"Chanderi","","","","","1","1","209","192","17","91.87"
"Chandi","","","","","1","1","131","112","19","85.50"
"Chandia Pathra","","","","","1","1","119","105","14","88.24"
"Chandidih","","","","","1","1","41","33","8","80.49"
"Chandli","","","","","1","1","71","44","27","61.97"
"Chandlidih","","","","","1","1","16","12","4","75.00"
"Chandra Nagar","","","","","1","3","70","41","29","58.57"
"Changori","","","","","1","1","118","107","11","90.68"
"Chantipali","","","","","1","1","61","46","15","75.41"
"Charauda","","","","","1","1","10","1","9","10.00"
"Charbhatha","","","","","1","2","62","50","12","80.65"
"Charoda","","","","","1","1","259","250","9","96.53"
"Charoti","","","","","1","1","92","79","13","85.87"
"Charpali","","","","","1","8","358","259","99","72.35"
"Chataldabra","","","","","1","1","51","0","51","0.00"
"Chaurenga","","","","","1","1","392","378","14","96.43"
"Chechrapali","","","","","1","2","267","246","21","92.13"
"Chhadiya","","","","","1","1","168","150","18","89.29"
