"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abadi","","","","","1","7","162","117","45","72.22"
"Adhaura","","","","","1","6","221","145","76","65.61"
"Akhora Khurd","","","","","1","5","296","254","42","85.81"
"Alakhdiha","","","","","1","8","426","349","77","81.92"
"Alakhdiha","","","","","1","3","76","43","33","56.58"
"Alka","","","","","1","4","298","240","58","80.54"
"Amaratha","","","","","1","1","35","23","12","65.71"
"Amarpur","","","","","1","7","110","60","50","54.55"
"Amarpur","","","","","1","8","161","67","94","41.61"
"Amdanda","","","","","1","6","327","219","108","66.97"
"Amdari","","","","","1","4","196","153","43","78.06"
"Amdiha","","","","","1","5","93","48","45","51.61"
"Amdipara","","","","","1","10","359","282","77","78.55"
"Amera","","","","","1","4","127","52","75","40.94"
"Amgaon","","","","","1","4","162","108","54","66.67"
"Amrawatipur","","","","","1","5","305","246","59","80.66"
"Amtahi","","","","","1","6","165","100","65","60.61"
"Anandpur","","","","","1","7","233","176","57","75.54"
"Anirudhpur","","","","","1","26","869","545","324","62.72"
"Annpara","","","","","1","7","150","80","70","53.33"
"Ara","","","","","1","5","376","318","58","84.57"
"Aragahi","","","","","1","7","475","355","120","74.74"
"Asandih","","","","","1","6","286","222","64","77.62"
"Asanpani","","","","","1","3","135","4","131","2.96"
"Atauri","","","","","1","10","316","252","64","79.75"
"Ayyari","","","","","1","5","219","152","67","69.41"
"Babhani","","","","","1","8","207","145","62","70.05"
"Bada","","","","","1","5","254","169","85","66.54"
"Bada","","","","","1","6","151","122","29","80.79"
"Badauli","","","","","1","9","436","313","123","71.79"
"Badi Chalgali","1","1","0","0","1","6","101","4","97","3.96"
"Badkagaon","","","","","1","4","315","260","55","82.54"
"Badki Mahari","","","","","1","5","106","46","60","43.40"
"Bagadi","","","","","1","6","207","174","33","84.06"
"Bagainar","","","","","1","9","198","128","70","64.65"
"Baghima","","","","","1","7","324","232","92","71.60"
"Bagra","","","","","1","14","232","93","139","40.09"
"Bahar Chura","","","","","1","8","176","111","65","63.07"
"Baidhi","","","","","1","8","426","349","77","81.92"
"Baikunthpur","","","","","1","3","237","205","32","86.50"
"Bairdih Kalan","","","","","1","4","145","79","66","54.48"
"Bairdih Khurd","","","","","1","3","142","109","33","76.76"
"Bajara","","","","","1","4","213","172","41","80.75"
"Bakaspur","","","","","1","4","71","42","29","59.15"
"Balangi","","","","","1","9","387","271","116","70.03"
"Balbhadra Nagar (Nawadih)","","","","","1","1","176","150","26","85.23"
"Balrampur","","","","","1","7","145","111","34","76.55"
"Balrampur Urf Badgodi","","","","","1","1","102","82","20","80.39"
