"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aasana","1","1","0","0","1","11","871","871","0","100.00"
"Adawal","1","1","0","0","1","9","233","233","0","100.00"
"Adawal","1","1","0","0","1","5","90","63","27","70.00"
"Adwal","","","","","1","8","149","86","63","57.72"
"Adwal","","","","","1","4","85","70","15","82.35"
"Airmur","","","","","1","9","291","205","86","70.45"
"Airwar","","","","","1","4","85","4","81","4.71"
"Alangnar","1","0","0","1","1","2","47","31","16","65.96"
"Alawahi","","","","","1","4","122","86","36","70.49"
"Alkuralis Taipadar","","","","","1","1","20","1","19","5.00"
"Alnar","","","","","1","19","508","349","159","68.70"
"Alnar","","","","","1","1","69","59","10","85.51"
"Alwa","1","1","0","0","1","11","282","282","0","100.00"
"Amadula","1","1","0","0","1","3","59","59","0","100.00"
"Amagudha","","","","","1","5","301","248","53","82.39"
"Amlidhar","1","1","0","0","1","4","145","105","40","72.41"
"Anjar","","","","","1","21","507","335","172","66.07"
"Arandwal","","","","","1","7","281","206","75","73.31"
"Arpund","1","1","0","0","1","11","196","196","0","100.00"
"Arracote","1","1","0","0","1","16","671","671","0","100.00"
"Atapharisemra","","","","","1","3","67","49","18","73.13"
"Babusemra","1","1","0","0","1","7","232","214","18","92.24"
"Badanji","1","1","0","0","1","11","530","530","0","100.00"
"Badaparakot","1","1","0","0","1","10","332","332","0","100.00"
"Bade Arapur","1","1","0","0","1","20","733","733","0","100.00"
"Bade Bodenar","1","1","0","0","1","23","614","614","0","100.00"
"Badealnar","1","1","0","0","1","11","171","171","0","100.00"
"Badeamawal","","","","","1","20","754","595","159","78.91"
"Badebadam","","","","","1","2","57","41","16","71.93"
"Badebodal","1","1","0","0","1","7","260","260","0","100.00"
"Badechakwa","","","","","1","12","394","303","91","76.90"
"Badedeoda","","","","","1","11","428","344","84","80.37"
"Badedharaur","","","","","1","17","554","377","177","68.05"
"Badegumiapal","1","1","0","0","1","11","345","340","5","98.55"
"Badegurwe","1","1","0","0","1","5","96","96","0","100.00"
"Badekadma","1","1","0","0","1","9","199","199","0","100.00"
"Badekakloor","1","1","0","0","1","41","988","505","483","51.11"
"Badekilepal","1","1","0","0","1","52","2229","2229","0","100.00"
"Bademarenga","","","","","1","15","385","286","99","74.29"
"Bademoratpal","1","1","0","0","1","13","591","591","0","100.00"
"Bademurma","","","","","1","8","222","174","48","78.38"
"Badeparoda","","","","","1","6","178","119","59","66.85"
"Badlawand","","","","","1","10","301","138","163","45.85"
"Badrenga","","","","","1","10","259","194","65","74.90"
"Baghanpal","","","","","1","13","508","376","132","74.02"
"Baghmohalai","","","","","1","22","769","597","172","77.63"
"Bagmundipaneda","1","1","0","0","1","11","248","248","0","100.00"
"Bagraiy","","","","","1","2","82","66","16","80.49"
"Bagraur","","","","","1","1","3","2","1","66.67"
"Bahanpur","1","1","0","0","1","8","241","75","166","31.12"
"Bajawand","1","1","0","0","1","12","542","542","0","100.00"
"Bakawand","","","","","1","11","577","469","108","81.28"
"Bakel","","","","","1","16","532","390","142","73.31"
"Balenga","","","","","1","13","482","369","113","76.56"
"Balikonta","","","","","1","7","346","301","45","86.99"
"Balputi","","","","","1","3","74","49","25","66.22"
"Bamhani","","","","","1","6","288","225","63","78.13"
"Banganpal","","","","","1","1","34","26","8","76.47"
"Bangapal","","","","","1","1","16","11","5","68.75"
"Baniagoan","","","","","1","7","703","594","109","84.50"
"Baniyagaon","1","1","0","0","1","15","700","576","124","82.29"
"Baniyagaon","1","1","0","0","1","19","795","795","0","100.00"
"Barchhepal","1","1","0","0","1","10","184","184","0","100.00"
"Barda","","","","","1","10","262","241","21","91.98"
"Barejirakhal","1","1","0","0","1","11","495","495","0","100.00"
"Barupata","","","","","1","7","220","158","62","71.82"
"Bastanar","1","1","0","0","1","28","718","758","-40","105.57"
"Batkonta","1","1","0","0","1","1","43","32","11","74.42"
"Bedagaon","","","","","1","2","67","49","18","73.13"
"Bedaumargaon","1","1","0","0","1","9","349","349","0","100.00"
"Belar","1","1","0","0","1","21","881","881","0","100.00"
"Belgaon","","","","","1","2","115","105","10","91.30"
"Belputi","","","","","1","12","451","344","107","76.27"
"Benglur","","","","","1","3","57","37","20","64.91"
"Bengpal","","","","","1","8","175","94","81","53.71"
"Benidharaur","","","","","1","4","76","50","26","65.79"
"Besoli","","","","","1","6","144","109","35","75.69"
"Besrapal","","","","","1","17","606","307","299","50.66"
"Bhadisgaon","","","","","1","16","742","587","155","79.11"
"Bhainsgaon","1","1","0","0","1","13","404","404","0","100.00"
"Bhalugudha","","","","","1","1","40","29","11","72.50"
"Bhanpuri","","","","","1","13","891","701","190","78.68"
"Bharni","","","","","1","7","171","97","74","56.73"
"Bhataguda","","","","","1","5","165","137","28","83.03"
"Bhatpal","","","","","1","6","199","154","45","77.39"
"Bheja","1","1","0","0","1","13","383","383","0","100.00"
"Bhejapadar","","","","","1","15","464","352","112","75.86"
"Bhejripadar","1","1","0","0","1","1","19","19","0","100.00"
"Bhejripadar","1","1","0","0","1","9","356","187","169","52.53"
"Bhiranda","","","","","1","1","104","91","13","87.50"
"Bhirlinga","","","","","1","3","183","156","27","85.25"
"Bhond","","","","","1","19","817","650","167","79.56"
"Bhosariras","","","","","1","5","101","67","34","66.34"
"Bhursundee","","","","","1","5","137","108","29","78.83"
"Bijaput","","","","","1","6","122","79","43","64.75"
"Billori","","","","","1","15","725","581","144","80.14"
"Binta","1","1","0","0","1","15","440","440","0","100.00"
"Biranpal","1","1","0","0","1","1","31","31","0","100.00"
"Birgoli","1","1","0","0","1","8","173","211","-38","121.97"
"Biringpal","","","","","1","7","186","141","45","75.81"
"Bispur","1","1","0","0","1","9","174","174","0","100.00"
"Bodali","1","1","0","0","1","7","127","127","0","100.00"
"Bodanpal","","","","","1","11","290","219","71","75.52"
"Bodanpal","","","","","1","12","285","216","69","75.79"
"Bodara","1","1","0","0","1","10","317","313","4","98.74"
"Borigaon","1","1","0","0","1","10","324","324","0","100.00"
"Borja","1","1","0","0","1","5","149","149","0","100.00"
"Borpadar","","","","","1","8","265","198","67","74.72"
"Burgum","1","1","0","0","1","14","375","375","0","100.00"
"Burji","1","1","0","0","1","7","142","142","0","100.00"
"Burundwadasemra","1","1","0","0","1","5","180","164","16","91.11"
"Burungpal","1","1","0","0","1","14","281","281","0","100.00"
"Burungpal","1","1","0","0","1","13","347","216","131","62.25"
"Chachalgur","","","","","1","3","126","104","22","82.54"
"Chalkiguda","","","","","1","3","69","45","24","65.22"
"Chamiya","","","","","1","8","88","64","24","72.73"
"Chandanpur","","","","","1","4","126","83","43","65.87"
"Chandela","1","1","0","0","1","20","481","481","0","100.00"
"Chandragiri","1","1","0","0","1","19","442","442","0","100.00"
"Chapapadar","","","","","1","7","244","182","62","74.59"
"Chapka","1","1","0","0","1","15","408","408","0","100.00"
"Chargaon","","","","","1","5","231","136","95","58.87"
"Cherakur","1","1","0","0","1","13","126","126","0","100.00"
"Chhaparbhanpuri","","","","","1","22","887","682","205","76.89"
"Chhinari","1","1","0","0","1","1","22","22","0","100.00"
"Chhindbahar","1","1","0","0","1","4","75","75","0","100.00"
"Chhindbahar","1","1","0","0","1","13","317","234","83","73.82"
"Chhindbhar","","","","","1","9","320","251","69","78.44"
"Chhindgaon","","","","","1","11","315","200","115","63.49"
"Chhindgaon","","","","","1","21","710","532","178","74.93"
"Chhindgur","1","1","0","0","1","21","549","328","221","59.74"
"Chhindwada","1","1","0","0","1","24","890","890","0","100.00"
"Chhote Deoda","","","","","1","6","642","546","96","85.05"
"Chhote Gumia Pal","","","","","1","9","192","9","183","4.69"
"Chhotealnar","1","1","0","0","1","5","135","128","7","94.81"
"Chhoteamawal","","","","","1","10","116","79","37","68.10"
"Chhotebadam","","","","","1","6","124","81","43","65.32"
"Chhotebodal","","","","","1","13","255","192","63","75.29"
"Chhotebodenar","","","","","1","8","139","89","50","64.03"
"Chhotegudra","1","1","0","0","1","7","150","150","0","100.00"
"Chhotegurbe","1","1","0","0","1","2","37","37","0","100.00"
"Chhotejirakhal","","","","","1","3","139","106","33","76.26"
"Chhotekadma","1","1","0","0","1","5","118","118","0","100.00"
"Chhotekaklur","","","","","1","4","69","0","69","0.00"
"Chhotekawali","","","","","1","1","156","141","15","90.38"
"Chhotekilepal","","","","","1","5","155","113","42","72.90"
"Chhotemoratpal","","","","","1","5","91","61","30","67.03"
"Chhotemurma","1","1","0","0","1","3","124","124","0","100.00"
"Chhoteparakote","","","","","1","4","110","76","34","69.09"
"Chhoteparroda","","","","","1","5","161","105","56","65.22"
"Chhurawand","","","","","1","8","238","188","50","78.99"
"Chidaipadar","","","","","1","1","42","34","8","80.95"
"Chidpal","1","1","0","0","1","16","343","343","0","100.00"
"Chikhalkarmari","","","","","1","1","72","62","10","86.11"
