"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achholi","","","","","1","2","171","171","0","100.00"
"Adar","","","","","1","1","98","89","9","90.82"
"Adbandha","","","","","1","1","46","43","3","93.48"
"Agri","","","","","1","2","115","103","12","89.57"
"Akalwara","","","","","1","1","212","198","14","93.40"
"Akola","","","","","1","1","115","95","20","82.61"
"Akoli","","","","","1","1","137","123","14","89.78"
"Akoli","","","","","1","2","217","194","23","89.40"
"Amaldiha","","","","","1","1","208","201","7","96.63"
"Amcho","","","","","1","1","104","100","4","96.15"
"Amlidih","","","","","1","1","49","43","6","87.76"
"Amlidih","","","","","1","1","114","108","6","94.74"
"Amlidih","","","","","1","1","82","76","6","92.68"
"Amora","","","","","1","1","246","240","6","97.56"
"Amora","","","","","1","3","286","268","18","93.71"
"Anandgaon","","","","","1","3","518","482","36","93.05"
"Andhiyar Khore","","","","","1","1","127","108","19","85.04"
"Andhiyarkhor","","","","","1","1","127","119","8","93.70"
"Andu","","","","","1","1","115","103","12","89.57"
"Andu","","","","","1","1","161","149","12","92.55"
"Arjuni","","","","","1","1","168","166","2","98.81"
"Atargadhi","","","","","1","1","81","67","14","82.72"
"Atargawan","","","","","1","1","102","91","11","89.22"
"Atariya","","","","","1","1","135","127","8","94.07"
"Atarjhola","","","","","1","1","98","92","6","93.88"
"Bachedi","","","","","1","1","149","149","0","100.00"
"Badhuli Kanpa","","","","","1","1","51","39","12","76.47"
"Badnara","","","","","1","2","300","282","18","94.00"
"Baduwa Kapa","","","","","1","1","38","29","9","76.32"
"Bagaud","","","","","1","1","101","87","14","86.14"
"Bagdumar","","","","","1","1","24","21","3","87.50"
"Baghul","","","","","1","3","372","329","43","88.44"
"Bagledi","","","","","1","1","43","43","0","100.00"
"Baharbod","","","","","1","3","130","130","0","100.00"
"Baharbod","","","","","1","1","78","78","0","100.00"
"Bahera","","","","","1","1","163","153","10","93.87"
"Bahera","","","","","1","1","336","326","10","97.02"
"Bahera","","","","","1","2","402","382","20","95.02"
"Baherghat","","","","","1","1","164","161","3","98.17"
"Bahinga","","","","","1","1","128","109","19","85.16"
"Bahinga","","","","","1","2","151","145","6","96.03"
"Bahunawagaon","","","","","1","1","152","117","35","76.97"
"Baiharsari","","","","","1","1","129","121","8","93.80"
"Baijalpur","","","","","1","1","259","259","0","100.00"
"Baijalpur","","","","","1","1","35","35","0","100.00"
"Baiji","","","","","1","1","210","191","19","90.95"
"Baiji","","","","","1","1","79","60","19","75.95"
"Balaudi Kalan","","","","","1","1","132","127","5","96.21"
"Balsamund","","","","","1","1","189","173","16","91.53"
"Bamhni","","","","","1","1","61","57","4","93.44"
"Bandhi","","","","","1","1","186","181","5","97.31"
"Baniyadih","","","","","1","1","70","67","3","95.71"
"Banranka","","","","","1","2","47","31","16","65.96"
"Bansa","","","","","1","1","309","288","21","93.20"
"Banshapur","","","","","1","1","118","101","17","85.59"
"Baradera","","","","","1","1","64","45","19","70.31"
"Barbaspur","","","","","1","1","152","135","17","88.82"
"Barga","","","","","1","1","175","175","0","100.00"
"Bargada","","","","","1","2","175","107","68","61.14"
"Bargaon","","","","","1","1","721","717","4","99.45"
"Bargon","","","","","1","1","57","54","3","94.74"
"Basin","","","","","1","3","143","91","52","63.64"
"Basni","","","","","1","1","72","64","8","88.89"
"Batar","","","","","1","1","95","91","4","95.79"
"Bawanlakh","","","","","1","1","64","48","16","75.00"
"Beeja","","","","","1","1","152","144","8","94.74"
"Beejagand","","","","","1","1","90","70","20","77.78"
"Beeranpur","","","","","1","1","163","152","11","93.25"
"Beldahra","","","","","1","1","29","18","11","62.07"
"Belgaon","","","","","1","2","178","165","13","92.70"
"Beltara","","","","","1","1","240","215","25","89.58"
"Beltukri","","","","","1","2","224","206","18","91.96"
"Bendar Chuwa","","","","","1","1","87","57","30","65.52"
"Bendarchi","","","","","1","1","82","52","30","63.41"
