"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aaded","","","","","1","3","90","73","17","81.11"
"Aaklanka","","","","","1","6","106","60","46","56.60"
"Aawapalli","","","","","1","25","812","582","230","71.67"
"Adawalli","","","","","1","7","158","104","54","65.82"
"Aded","","","","","1","18","362","238","124","65.75"
"Adepalli","","","","","1","6","161","127","34","78.88"
"Adewada","","","","","1","3","68","54","14","79.41"
"Adwada","","","","","1","9","251","169","82","67.33"
"Aipenta","","","","","1","4","140","120","20","85.71"
"Ambeli","","","","","1","9","228","158","70","69.30"
"Anchoda","","","","","1","4","69","50","19","72.46"
"Andri","1","0","0","1","1","7","213","0","213","0.00"
"Angampalli","","","","","1","6","107","72","35","67.29"
"Annapur","","","","","1","5","90","62","28","68.89"
"Annaram","","","","","1","7","130","87","43","66.92"
"Arepalli","","","","","1","4","76","54","22","71.05"
"Arjunali","","","","","1","7","172","136","36","79.07"
"Atukpalli","","","","","1","10","221","156","65","70.59"
"Bade Kakler","","","","","1","7","137","100","37","72.99"
"Badealwada","1","1","0","0","1","2","55","0","55","0.00"
"Badepalli","1","1","0","0","1","8","288","6","282","2.08"
"Badesukanpalli","","","","","1","4","82","50","32","60.98"
"Badetungali","","","","","1","5","107","69","38","64.49"
"Bail","1","1","0","0","1","8","86","65","21","75.58"
"Bakeli","","","","","1","3","60","47","13","78.33"
"Baknagulguda","1","1","0","0","1","2","39","35","4","89.74"
"Bamanpur","","","","","1","4","71","54","17","76.06"
"Bandemarka","1","1","0","0","1","1","27","0","27","0.00"
"Bandeparre","","","","","1","4","57","13","44","22.81"
"Bandeparre","","","","","1","7","176","137","39","77.84"
"Bangapalli","","","","","1","7","169","132","37","78.11"
"Bangoli","1","1","0","0","1","5","187","10","177","5.35"
"Bardala","","","","","1","8","145","98","47","67.59"
"Bardali","","","","","1","1","31","22","9","70.97"
"Bareguda","","","","","1","12","266","198","68","74.44"
"Basaguda","","","","","1","11","403","300","103","74.44"
"Bechapal","1","0","0","1","1","6","224","0","224","0.00"
"Bedre","","","","","1","12","241","152","89","63.07"
"Belam Lendra","1","1","0","0","1","1","27","24","3","88.89"
"Belchar","","","","","1","8","180","145","35","80.56"
"Belnar","1","1","0","0","1","15","445","45","400","10.11"
"Benchram","","","","","1","7","277","0","277","0.00"
"Bengla","","","","","1","5","137","118","19","86.13"
"Bengloor","","","","","1","10","174","88","86","50.57"
"Bhadrakali","","","","","1","7","139","105","34","75.54"
"Bhandarpal","1","1","0","0","1","6","151","136","15","90.07"
"Bhatpalli","","","","","1","5","144","116","28","80.56"
"Bhatpalli","","","","","1","7","111","85","26","76.58"
"Bhattiguda","","","","","1","6","252","222","30","88.10"
"Bhattiguda","","","","","1","6","134","97","37","72.39"
"Bhatwada","","","","","1","10","330","234","96","70.91"
"Bhimaram","","","","","1","3","67","38","29","56.72"
"Bhimaram(Ramapurm)","","","","","1","1","29","20","9","68.97"
"Bhogamguda","","","","","1","4","145","97","48","66.90"
"Bhurri","1","1","0","0","1","2","24","24","0","100.00"
"Bhusapur(Bhusaguda)","","","","","1","5","124","87","37","70.16"
"Birabhatti","1","1","0","0","1","3","50","44","6","88.00"
"Biraguda","1","0","0","1","1","4","93","0","93","0.00"
"Bodga","1","0","0","1","1","8","325","0","325","0.00"
"Bodghat","","","","","1","3","57","38","19","66.67"
"Bodla Pusnar","1","0","0","1","1","6","85","0","85","0.00"
"Bomed","","","","","1","6","215","194","21","90.23"
"Borje","","","","","1","18","466","336","130","72.10"
"Botetong","","","","","1","4","99","49","50","49.49"
"Burdum","","","","","1","2","52","43","9","82.69"
"Burguda","","","","","1","3","63","47","16","74.60"
"Burji","","","","","1","16","435","313","122","71.95"
"Chandangiri","","","","","1","5","87","38","49","43.68"
"Chandur","","","","","1","7","127","96","31","75.59"
"Chatlapalli","1","1","0","0","1","13","344","309","35","89.83"
"Chatpalli","","","","","1","4","87","70","17","80.46"
"Cherakdodi","","","","","1","11","263","154","109","58.56"
"Cheramangi","","","","","1","8","230","193","37","83.91"
"Cherkanti","","","","","1","9","176","114","62","64.77"
"Cherli","1","1","0","0","1","6","205","185","20","90.24"
"Cherpal","","","","","1","22","570","443","127","77.72"
"Cherpalli","","","","","1","9","234","182","52","77.78"
"Cherpalli","","","","","1","5","98","73","25","74.49"
"Chhotealwada","1","1","0","0","1","3","89","80","9","89.89"
"Chhotebodli","1","1","0","0","1","3","30","15","15","50.00"
"Chhotegongla","","","","","1","2","60","49","11","81.67"
"Chhotehiroli","1","0","0","1","1","3","69","0","69","0.00"
"Chhotekakler","","","","","1","2","40","29","11","72.50"
"Chhotepalli","1","1","0","0","1","13","401","10","391","2.49"
"Chhotepotenar","1","1","0","0","1","5","147","132","15","89.80"
"Chhotesukanpalli","","","","","1","4","88","54","34","61.36"
"Chidrapal","","","","","1","7","207","168","39","81.16"
"Chihka","","","","","1","14","479","300","179","62.63"
"Chilkapalli","1","0","0","1","1","6","184","0","184","0.00"
"Chillamarka","","","","","1","4","67","45","22","67.16"
"Chilnar","","","","","1","5","179","127","52","70.95"
"Chinganpalli","","","","","1","3","79","63","16","79.75"
"Chinger","1","1","0","0","1","4","129","99","30","76.74"
"Chinger","1","1","0","0","1","14","484","130","354","26.86"
