"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achanakpur","","","","","1","1","13","9","4","69.23"
"Adbhar","","","","","1","2","400","370","30","92.50"
"Adrali","","","","","1","1","105","100","5","95.24"
"Akaltari","","","","","1","6","672","545","127","81.10"
"Akola","","","","","1","3","245","230","15","93.88"
"Amadand","","","","","1","5","576","531","45","92.19"
"Amadob","","","","","1","2","550","422","128","76.73"
"Amagohan","","","","","1","5","909","900","9","99.01"
"Amakoni","","","","","1","1","441","394","47","89.34"
"Amaldiha","","","","","1","4","298","286","12","95.97"
"Amaldiha","","","","","1","1","69","63","6","91.30"
"Amali","","","","","1","7","1648","1610","38","97.69"
"Amamuda","","","","","1","2","281","272","9","96.80"
"Amane","","","","","1","1","92","88","4","95.65"
"Amane","","","","","1","4","919","899","20","97.82"
"Amarpur","","","","","1","6","717","611","106","85.22"
"Amaru","","","","","1","6","538","461","77","85.69"
"Amera Tikra","","","","","1","7","559","484","75","86.58"
"Ameri (OG)","","","","","1","5","843","614","229","72.84"
"Ameri Akbari","","","","","1","3","465","423","42","90.97"
"Amerikapa","","","","","1","1","171","155","16","90.64"
"Amgaon","","","","","1","1","649","598","51","92.14"
"Amgaon","","","","","1","1","301","285","16","94.68"
"Amoli Kapa","","","","","1","1","78","74","4","94.87"
"Amsena","","","","","1","2","341","325","16","95.31"
"Amtara","","","","","1","1","137","123","14","89.78"
"Andhiyarkhoh","","","","","1","8","723","581","142","80.36"
"Andi","","","","","1","3","330","316","14","95.76"
"Andu","","","","","1","5","225","188","37","83.56"
"Anjani","","","","","1","4","245","206","39","84.08"
"Ankdih","","","","","1","3","226","213","13","94.25"
"Araiband","","","","","1","1","170","157","13","92.35"
"Atadda","","","","","1","5","299","263","36","87.96"
"Atarra","","","","","1","1","173","157","16","90.75"
"Athulkapa","","","","","1","1","166","150","16","90.36"
"Bacharwar","","","","","1","6","349","283","66","81.09"
