"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aalnar","1","1","0","0","1","4","57","53","4","92.98"
"Acheli","1","1","0","0","1","7","69","11","58","15.94"
"Adpal","","","","","1","8","87","48","39","55.17"
"Alnar","","","","","1","12","244","194","50","79.51"
"Aranpur","","","","","1","14","130","10","120","7.69"
"Arbe","1","1","0","0","1","8","114","54","60","47.37"
"Atepal","1","1","0","0","1","8","145","43","102","29.66"
"Bade Bedma","","","","","1","25","336","94","242","27.98"
"Bade Hadmamunda","","","","","1","10","102","39","63","38.24"
"Badegadam","","","","","1","8","119","8","111","6.72"
"Badegodre","","","","","1","5","101","40","61","39.60"
"Badegudra","","","","","1","29","561","416","145","74.15"
"Badekameli","","","","","1","14","324","275","49","84.88"
"Badekarka","","","","","1","5","176","146","30","82.95"
"Badelekhapal","1","1","0","0","1","21","481","440","41","91.48"
"Badepaneda","","","","","1","23","556","401","155","72.12"
"Badesurokhi","","","","","1","5","188","154","34","81.91"
"Badetumnar","","","","","1","13","442","365","77","82.58"
"Bainpal","","","","","1","6","146","110","36","75.34"
"Balegapal","1","1","0","0","1","1","67","45","22","67.16"
"Balood","","","","","1","23","776","727","49","93.69"
"Balpet","","","","","1","14","373","329","44","88.20"
"Bangapal","","","","","1","14","390","275","115","70.51"
"Barrem","1","1","0","0","1","3","33","11","22","33.33"
"Basanpur","","","","","1","3","36","22","14","61.11"
"Behnar","","","","","1","6","123","68","55","55.28"
"Bengloor","","","","","1","8","109","32","77","29.36"
"Bengpal","1","0","0","1","1","6","88","0","88","0.00"
"Bhairamband","","","","","1","3","72","66","6","91.67"
"Bhalunala","","","","","1","1","18","1","17","5.56"
"Bhansi","","","","","1","12","299","257","42","85.95"
"Bhatpal","","","","","1","8","93","5","88","5.38"
"Bhogam","","","","","1","7","230","212","18","92.17"
"Bhusaras","","","","","1","18","337","108","229","32.05"
"Binjam","","","","","1","13","375","310","65","82.67"
"Bodepali","1","0","0","1","1","6","91","0","91","0.00"
"Budhpadar","","","","","1","1","22","1","21","4.55"
"Burdikarka","","","","","1","7","71","0","71","0.00"
"Burgum","1","1","0","0","1","18","245","228","17","93.06"
"Chandenar","","","","","1","16","362","328","34","90.61"
"Cherpal","","","","","1","7","126","85","41","67.46"
"Chhindnar","","","","","1","17","227","135","92","59.47"
"Chhote Bedma","","","","","1","8","89","27","62","30.34"
"Chhote Gadam","1","0","0","1","1","3","37","0","37","0.00"
"Chhote Karka","","","","","1","5","101","76","25","75.25"
"Chhote Lakhapal","","","","","1","10","140","39","101","27.86"
"Chhotegodre","","","","","1","2","36","2","34","5.56"
"Chhotegudra","","","","","1","8","146","5","141","3.42"
"Chhotehadma Munda","","","","","1","7","78","0","78","0.00"
"Chhotetumar","","","","","1","21","489","351","138","71.78"
"Chikpal","","","","","1","12","195","12","183","6.15"
"Chitalanka","","","","","1","10","155","102","53","65.81"
"Chitaloor","","","","","1","8","258","215","43","83.33"
"Cholnar","","","","","1","7","102","7","95","6.86"
"Dabpal","","","","","1","5","59","42","17","71.19"
"Degalras","","","","","1","9","233","177","56","75.97"
"Dhanikarka","","","","","1","11","131","0","131","0.00"
"Dhurli","","","","","1","11","459","411","48","89.54"
"Dodpal","","","","","1","6","89","60","29","67.42"
"Doriras","","","","","1","6","39","11","28","28.21"
"Dudhiras","","","","","1","8","145","59","86","40.69"
"Dugeli","","","","","1","24","636","544","92","85.53"
"Dumam","","","","","1","7","86","46","40","53.49"
"Duwalikarka","","","","","1","10","114","0","114","0.00"
"Farasmadur","1","1","0","0","1","12","353","324","29","91.78"
"Faraspal","","","","","1","23","637","450","187","70.64"
"Faraspal Alias Bodali","","","","","1","9","338","260","78","76.92"
"Fulnar","","","","","1","10","252","167","85","66.27"
"Fulpad","","","","","1","17","369","202","167","54.74"
"Fundari","","","","","1","6","182","149","33","81.87"
"Gadapal","","","","","1","15","154","85","69","55.19"
"Gadhmiri","","","","","1","24","423","131","292","30.97"
"Gamawada","","","","","1","15","283","168","115","59.36"
"Ganjenar","","","","","1","12","424","309","115","72.88"
"Gatam","","","","","1","15","183","63","120","34.43"
"Ghotpal","","","","","1","22","658","488","170","74.16"
"Gondpal","","","","","1","4","100","80","20","80.00"
"Gongpal","","","","","1","16","222","100","122","45.05"
"Gudase","","","","","1","19","282","16","266","5.67"
"Gumalnar","","","","","1","8","249","156","93","62.65"
"Gumda","","","","","1","34","488","41","447","8.40"
"Gumiyapal","","","","","1","12","161","8","153","4.97"
"Gutoli","","","","","1","9","228","126","102","55.26"
"Halbaras","","","","","1","13","160","72","88","45.00"
"Haram","","","","","1","33","1054","810","244","76.85"
"Harla","1","1","0","0","1","8","150","62","88","41.33"
"Haurnar","","","","","1","21","596","449","147","75.34"
"Hidpal","","","","","1","11","296","239","57","80.74"
"Hiranar","","","","","1","35","769","391","378","50.85"
"Hiroli","","","","","1","9","166","27","139","16.27"
"Hiroli","","","","","1","3","47","0","47","0.00"
"Hitameta","1","1","0","0","1","17","430","20","410","4.65"
"Hitawar","","","","","1","21","332","116","216","34.94"
"Jabeli","","","","","1","14","213","36","177","16.90"
"Jangampal","","","","","1","8","108","18","90","16.67"
"Japodi","","","","","1","1","27","24","3","88.89"
"Jaram","","","","","1","3","34","3","31","8.82"
"Jaunga","","","","","1","16","418","314","104","75.12"
"Jhirka","1","1","0","0","1","2","58","37","21","63.79"
"Jhodiyawadam","","","","","1","9","234","185","49","79.06"
"Jihakodta","","","","","1","7","84","17","67","20.24"
"Jodatarai","","","","","1","15","338","242","96","71.60"
"Kadampal","","","","","1","7","164","98","66","59.76"
"Kakadi","1","1","0","0","1","16","157","150","7","95.54"
"Kalepal","","","","","1","7","84","54","30","64.29"
"Kamaloor","","","","","1","6","78","15","63","19.23"
"Kandakarka","","","","","1","2","41","34","7","82.93"
"Karli","","","","","1","51","1546","1132","414","73.22"
"Karnjener","","","","","1","3","81","46","35","56.79"
"Kasoli","","","","","1","23","500","395","105","79.00"
"Katekalyan","","","","","1","20","425","332","93","78.12"
"Katulnar","","","","","1","14","370","266","104","71.89"
"Kaurgaon","","","","","1","10","342","269","73","78.65"
"Kawadgaon","","","","","1","10","172","105","67","61.05"
"Kawalnar","","","","","1","10","349","290","59","83.09"
"Keshapur","","","","","1","10","291","217","74","74.57"
"Khutepal","","","","","1","10","123","48","75","39.02"
"Kidariras","1","1","0","0","1","5","153","34","119","22.22"
"Kodaripal","1","0","0","1","1","6","56","0","56","0.00"
"Kodenar","","","","","1","12","263","168","95","63.88"
"Koriras","","","","","1","13","149","60","89","40.27"
"Korkoti","1","1","0","0","1","6","166","30","136","18.07"
"Korlapal","","","","","1","11","310","246","64","79.35"
"Kuakonda","","","","","1","33","428","273","155","63.79"
"Kuhchepal","1","1","0","0","1","2","69","60","9","86.96"
"Kumharras","","","","","1","10","397","318","79","80.10"
"Kundeli","","","","","1","5","60","29","31","48.33"
"Kundenar","","","","","1","9","203","144","59","70.94"
"Kuper","","","","","1","9","268","179","89","66.79"
"Kutrem","1","1","0","0","1","8","123","63","60","51.22"
"Kutulnar","","","","","1","11","236","162","74","68.64"
"Lakharas","","","","","1","6","99","57","42","57.58"
"Lawa","1","1","0","0","1","2","44","44","0","100.00"
"Lendra","","","","","1","7","64","9","55","14.06"
"Madadi","","","","","1","11","190","103","87","54.21"
"Madase","","","","","1","12","358","291","67","81.28"
"Madenda","","","","","1","6","78","6","72","7.69"
"Madhpal","","","","","1","5","151","124","27","82.12"
"Madkamiras","","","","","1","8","105","61","44","58.10"
"Mahrahaurnar","","","","","1","10","84","16","68","19.05"
"Mahrakarka","","","","","1","11","178","6","172","3.37"
"Mailawada","","","","","1","26","391","236","155","60.36"
"Mangnar","","","","","1","11","227","122","105","53.74"
"Marjum","","","","","1","12","155","23","132","14.84"
"Masenar","","","","","1","12","203","148","55","72.91"
"Masodi","","","","","1","5","120","93","27","77.50"
"Matenar","","","","","1","13","362","271","91","74.86"
"Mathadi","","","","","1","11","143","45","98","31.47"
"Mendoli","","","","","1","8","103","28","75","27.18"
"Mendpal","1","1","0","0","1","5","48","45","3","93.75"
"Metapal","","","","","1","27","1012","787","225","77.77"
"Midkulnar","","","","","1","7","200","145","55","72.50"
"Mofalnar","","","","","1","13","383","249","134","65.01"
