"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aalekhuta","","","","","1","3","107","107","0","100.00"
"Aamgaon","","","","","1","7","313","313","0","100.00"
"Achholi","","","","","1","4","131","131","0","100.00"
"Achhota","","","","","1","10","565","565","0","100.00"
"Achhoti","","","","","1","7","434","434","0","100.00"
"Adekanha","","","","","1","1","15","15","0","100.00"
"Akawari","","","","","1","3","50","50","0","100.00"
"Akla Dongri","","","","","1","6","136","136","0","100.00"
"Alekhuta","","","","","1","3","61","61","0","100.00"
"Amabahar","","","","","1","4","128","116","12","90.63"
"Amachani","","","","","1","4","191","191","0","100.00"
"Amali","","","","","1","6","216","216","0","100.00"
"Amali","","","","","1","1","27","27","0","100.00"
"Amdi","","","","","1","2","49","49","0","100.00"
"Amethi","","","","","1","4","133","133","0","100.00"
"Amgaon","","","","","1","1","21","21","0","100.00"
"Amjhar","","","","","1","4","98","98","0","100.00"
"Amlidih","","","","","1","7","280","280","0","100.00"
"Amlidih","","","","","1","5","216","216","0","100.00"
"Amlipara","","","","","1","6","113","110","3","97.35"
"Angara","","","","","1","1","99","99","0","100.00"
"Anjni","","","","","1","3","76","76","0","100.00"
"Anjora","","","","","1","3","102","102","0","100.00"
"Anwari","","","","","1","6","465","465","0","100.00"
"Arjuni","","","","","1","5","84","84","0","100.00"
"Arjuni","","","","","1","3","37","37","0","100.00"
"Aroud","","","","","1","4","188","188","0","100.00"
"Aroud","","","","","1","4","208","208","0","100.00"
"Aroud","","","","","1","8","230","230","0","100.00"
"Arsikanhar","","","","","1","4","77","77","0","100.00"
"Atang","","","","","1","11","443","443","0","100.00"
"Bagdehi","","","","","1","10","568","568","0","100.00"
"Bagodar","","","","","1","3","131","131","0","100.00"
"Bagoud","","","","","1","6","774","774","0","100.00"
"Bagroomnala","","","","","1","10","109","109","0","100.00"
"Bagtarai","","","","","1","7","209","209","0","100.00"
"Bahigaon","","","","","1","3","93","93","0","100.00"
"Bakli","","","","","1","6","326","326","0","100.00"
"Bakori","","","","","1","4","92","92","0","100.00"
"Baliyara","","","","","1","6","276","276","0","100.00"
"Bamhneen Bharri","","","","","1","3","94","94","0","100.00"
"Banbagaud","","","","","1","9","172","169","3","98.26"
"Bangar","","","","","1","6","368","368","0","100.00"
