"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achanakpur","","","","","1","2","280","280","0","100.00"
"Achholi","","","","","1","1","168","168","0","100.00"
"Achhoti","","","","","1","1","559","559","0","100.00"
"Achhoti","","","","","1","1","437","437","0","100.00"
"Agar","","","","","1","1","296","296","0","100.00"
"Agesara","","","","","1","1","212","212","0","100.00"
"Aheri","","","","","1","1","458","442","16","96.51"
"Akola","","","","","1","1","497","190","307","38.23"
"Akoli","","","","","1","1","145","141","4","97.24"
"Aktai","","","","","1","1","94","90","4","95.74"
"Albaras","","","","","1","2","786","786","0","100.00"
"Amalori","","","","","1","1","168","168","0","100.00"
"Amapendri","","","","","1","1","123","123","0","100.00"
"Ameri","","","","","1","1","256","241","15","94.14"
"Amleshwar","","","","","1","1","529","526","3","99.43"
"Amlidih","","","","","1","2","227","187","40","82.38"
"Amti","","","","","1","2","401","401","0","100.00"
"Anda","","","","","1","1","819","819","0","100.00"
"Anjora","","","","","1","1","461","461","0","100.00"
"Anjora","","","","","1","2","1442","1440","2","99.86"
"Arasnara","","","","","1","1","461","461","0","100.00"
"Arasnara (Devara)","","","","","1","1","248","227","21","91.53"
"Armari Khurd","","","","","1","1","226","222","4","98.23"
"Arsi","","","","","1","1","231","228","3","98.70"
"Asoga","","","","","1","1","392","384","8","97.96"
"Aundhi","","","","","1","1","443","419","24","94.58"
"Auri","","","","","1","1","264","243","21","92.05"
"Auri","","","","","1","2","254","245","9","96.46"
"Ausar","","","","","1","1","151","147","4","97.35"
"Bagdumar","","","","","1","1","292","279","13","95.55"
"Barbaspur","","","","","1","1","110","110","0","100.00"
"Barhapur","","","","","1","1","515","515","0","100.00"
"Basin","","","","","1","1","489","487","2","99.59"
"Basin (Kutri)","","","","","1","1","126","126","0","100.00"
"Basni","","","","","1","1","249","249","0","100.00"
"Batang","","","","","1","1","331","329","2","99.40"
"Batha Kokdi","","","","","1","1","185","168","17","90.81"
"Bathena","","","","","1","1","283","283","0","100.00"
"Batrel","","","","","1","1","421","371","50","88.12"
"Belaudi","","","","","1","1","503","493","10","98.01"
"Belhari","","","","","1","1","162","157","5","96.91"
"Belodi","","","","","1","1","152","147","5","96.71"
"Bendri","","","","","1","1","126","121","5","96.03"
"Bhainsbod","","","","","1","1","137","123","14","89.78"
"Bhanpuri","","","","","1","1","310","310","0","100.00"
"Bhansuli","","","","","1","1","383","369","14","96.34"
"Bhansuli (Kesra)","","","","","1","1","152","150","2","98.68"
"Bhanthagaon","","","","","1","1","98","84","14","85.71"
"Bharar","","","","","1","1","371","352","19","94.88"
"Bharda","","","","","1","1","209","202","7","96.65"
"Bharni","","","","","1","1","141","136","5","96.45"
"Bhatgaon","","","","","1","1","481","481","0","100.00"
"Bhendsar","","","","","1","1","651","645","6","99.08"
"Bhilauri","","","","","1","1","155","146","9","94.19"
"Bhimbhori","","","","","1","1","72","65","7","90.28"
"Bhothali","","","","","1","1","167","87","80","52.10"
"Bhothli","","","","","1","1","351","351","0","100.00"
"Bijabhatha","","","","","1","1","96","90","6","93.75"
"Birebhat","","","","","1","1","58","58","0","100.00"
"Birebhat","","","","","1","1","307","307","0","100.00"
"Birejhar","","","","","1","1","257","255","2","99.22"
"Birejhar","","","","","1","2","564","560","4","99.29"
"Birjapur","","","","","1","1","332","318","14","95.78"
"Biroda","","","","","1","1","349","349","0","100.00"
"Bodal","","","","","1","1","138","138","0","100.00"
"Bodegaon","","","","","1","1","439","439","0","100.00"
