"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achchha-Chhadka","","","","","1","2","124","116","8","93.55"
"Adar","","","","","1","1","29","29","0","100.00"
"Adgadi","","","","","1","2","71","71","0","100.00"
"Adopathar","","","","","1","2","193","185","8","95.85"
"Akalwara","","","","","1","4","400","357","43","89.25"
"Amad","","","","","1","2","370","354","16","95.68"
"Amad","","","","","1","3","185","185","0","100.00"
"Amadi","","","","","1","2","71","65","6","91.55"
"Amadi","","","","","1","3","146","130","16","89.04"
"Amali","","","","","1","1","28","28","0","100.00"
"Amamora","","","","","1","3","123","123","0","100.00"
"Amaroda","","","","","1","1","23","22","1","95.65"
"Amethi","","","","","1","4","157","141","16","89.81"
"Amethi","","","","","1","3","459","357","102","77.78"
"Amjhar","","","","","1","2","90","82","8","91.11"
"Amlipadar","","","","","1","5","1192","1048","144","87.92"
"Amlor","","","","","1","3","584","478","106","81.85"
"Amlour","","","","","1","1","35","35","0","100.00"
"Andora","","","","","1","2","102","92","10","90.20"
"Anesar","","","","","1","1","113","103","10","91.15"
"Anjoradih","","","","","1","1","18","14","4","77.78"
"Anwarabhata","","","","","1","2","105","97","8","92.38"
"Arand","","","","","1","4","585","559","26","95.56"
"Asra","","","","","1","4","248","230","18","92.74"
"Atarmara","","","","","1","4","756","600","156","79.37"
"Badigaon","","","","","1","4","475","461","14","97.05"
"Badimar","","","","","1","1","41","29","12","70.73"
"Baghmar","","","","","1","2","40","34","6","85.00"
"Baherabhatha","","","","","1","2","154","113","41","73.38"
"Baherabuda (Muda)","","","","","1","2","329","307","22","93.31"
"Bajadi","","","","","1","4","1230","1082","148","87.97"
"Bajipadar","","","","","1","1","177","169","8","95.48"
"Bakli","","","","","1","2","439","431","8","98.18"
"Balthema","","","","","1","1","5","1","4","20.00"
"Bamhandehi","","","","","1","3","158","144","14","91.14"
"Bamhani","","","","","1","4","161","105","56","65.22"
"Bamhani","","","","","1","2","108","94","14","87.04"
"Bamhni","","","","","1","3","308","290","18","94.16"
"Banawapara","","","","","1","3","169","153","16","90.53"
"Bandhiamal","","","","","1","1","107","99","8","92.52"
"Bangawan","","","","","1","2","120","112","8","93.33"
"Barbahara","","","","","1","4","114","104","10","91.23"
"Barbahli","","","","","1","7","435","419","16","96.32"
"Barbhatha","","","","","1","2","465","350","115","75.27"
"Bardula","","","","","1","1","5","1","4","20.00"
"Bardulla","","","","","1","4","143","125","18","87.41"
"Bargaon","","","","","1","2","84","84","0","100.00"
"Bargaon Vs. Kurrubhatha","","","","","1","2","224","224","0","100.00"
"Barhi","","","","","1","3","441","421","20","95.46"
