"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achanakpur","","","","","1","1","182","182","0","100.00"
"Achanakpur","","","","","1","1","21","21","0","100.00"
"Achritpali","","","","","1","1","322","322","0","100.00"
"Adil","","","","","1","4","420","420","0","100.00"
"Akalsara","","","","","1","4","469","469","0","100.00"
"Akaltari","","","","","1","3","435","435","0","100.00"
"Akaltari","","","","","1","5","277","269","8","97.11"
"Akol Jamora","","","","","1","2","354","354","0","100.00"
"Amakoni","","","","","1","2","142","142","0","100.00"
"Amaldiha","","","","","1","1","117","117","0","100.00"
"Amaldiha","","","","","1","5","412","412","0","100.00"
"Amalidih","","","","","1","1","171","171","0","100.00"
"Amalipali","","","","","1","2","142","142","0","100.00"
"Amandula","","","","","1","1","434","434","0","100.00"
"Amapali","","","","","1","1","210","210","0","100.00"
"Amapali","","","","","1","2","222","222","0","100.00"
"Amartal","","","","","1","2","435","435","0","100.00"
"Ameradih","","","","","1","1","147","127","20","86.39"
"Ameri","","","","","1","2","73","73","0","100.00"
"Amgaon","","","","","1","3","614","614","0","100.00"
"Amjhar","","","","","1","2","163","163","0","100.00"
"Amlidih","","","","","1","5","281","281","0","100.00"
"Amlipali","","","","","1","1","143","143","0","100.00"
"Amlitikra","","","","","1","3","222","222","0","100.00"
"Amoda","","","","","1","1","137","137","0","100.00"
"Amoda","","","","","1","4","416","410","6","98.56"
"Amodi","","","","","1","3","103","103","0","100.00"
"Amora","","","","","1","18","1745","1685","60","96.56"
"Amora","","","","","1","6","1304","1304","0","100.00"
"Amruwa","","","","","1","7","544","544","0","100.00"
"Anda","","","","","1","1","223","223","0","100.00"
"Andi","","","","","1","1","121","121","0","100.00"
"Angarkhar","","","","","1","4","273","273","0","100.00"
"Anjoripali","","","","","1","2","164","164","0","100.00"
"Apharid","","","","","1","8","1141","1113","28","97.55"
"Arasmeta","","","","","1","5","579","559","20","96.55"
"Arjuni","","","","","1","3","763","763","0","100.00"
"Arjuni","","","","","1","2","240","208","32","86.67"
"Arsiya","","","","","1","3","302","302","0","100.00"
"Asonda","","","","","1","7","447","351","96","78.52"
"Audekera","","","","","1","3","250","250","0","100.00"
"Auradih","","","","","1","3","126","126","0","100.00"
"Awrid","","","","","1","9","893","861","32","96.42"
"Bachhoud","","","","","1","3","537","537","0","100.00"
"Badadarha","","","","","1","2","303","303","0","100.00"
"Bade Katekoni","","","","","1","2","414","414","0","100.00"
"Bade Padarmuda","","","","","1","3","287","287","0","100.00"
"Bade Rabeli","","","","","1","4","405","405","0","100.00"
"Bade Sipat","","","","","1","3","613","525","88","85.64"
"Badekot","","","","","1","2","174","174","0","100.00"
"Bademudpar","","","","","1","2","324","324","0","100.00"
"Bagbudwa","","","","","1","2","116","116","0","100.00"
"Bagdabri","","","","","1","2","308","308","0","100.00"
"Baghanipali","","","","","1","1","120","120","0","100.00"
"Baghaud","","","","","1","1","510","510","0","100.00"
"Baghoda","","","","","1","4","438","438","0","100.00"
"Bagrail","","","","","1","2","223","223","0","100.00"
"Bahera","","","","","1","2","136","136","0","100.00"
"Baheradih","","","","","1","3","373","373","0","100.00"
"Baheradih","","","","","1","1","244","244","0","100.00"
"Baihagudaroo","","","","","1","1","169","169","0","100.00"
"Baijalpur","","","","","1","2","238","238","0","100.00"
"Bailachunwa","","","","","1","3","330","294","36","89.09"
"Baksara","","","","","1","2","510","510","0","100.00"
"Balpur","","","","","1","2","189","189","0","100.00"
"Balpur","","","","","1","3","424","424","0","100.00"
"Bamhani","","","","","1","3","257","239","18","93.00"
"Bamhnidih","","","","","1","10","1139","1091","48","95.79"
"Bana","","","","","1","3","233","213","20","91.42"
"Banahil","","","","","1","3","296","296","0","100.00"
"Banari","","","","","1","12","1113","1047","66","94.07"
"Bandabhra","","","","","1","6","293","289","4","98.63"
"Bandhapali","","","","","1","2","163","163","0","100.00"
"Bandora","","","","","1","4","562","562","0","100.00"
"Banjaree","","","","","1","1","296","296","0","100.00"
"Bansula","","","","","1","6","308","308","0","100.00"
"Baradwar Basti","","","","","1","2","968","968","0","100.00"
"Barapipar","","","","","1","2","365","365","0","100.00"
"Barbaspur","","","","","1","2","162","162","0","100.00"
"Barbaspur","","","","","1","4","179","179","0","100.00"
"Barbhantha","","","","","1","1","117","117","0","100.00"
"Barbhata","","","","","1","8","439","391","48","89.07"
"Barbhatha","","","","","1","1","43","43","0","100.00"
"Barbhatha","","","","","1","1","1355","1355","0","100.00"
"Barduli","","","","","1","2","147","147","0","100.00"
"Barekel Kala","","","","","1","2","257","257","0","100.00"
"Barekel Khurd","","","","","1","2","134","134","0","100.00"
"Bargadi","","","","","1","4","97","97","0","100.00"
"Bargaon","","","","","1","4","465","442","23","95.05"
"Bargawan","","","","","1","3","534","516","18","96.63"
"Bargoan","","","","","1","5","423","423","0","100.00"
"Barhaguda","","","","","1","2","283","283","0","100.00"
"Barkut","","","","","1","4","137","137","0","100.00"
"Barpali","","","","","1","3","209","209","0","100.00"
"Barpali","","","","","1","1","139","139","0","100.00"
"Barpalikalan","","","","","1","2","304","304","0","100.00"
"Barra","","","","","1","3","148","148","0","100.00"
"Barra","","","","","1","5","285","285","0","100.00"
"Bartunga","","","","","1","2","391","391","0","100.00"
"Basantpur","","","","","1","1","288","288","0","100.00"
"Basantpur","","","","","1","2","449","449","0","100.00"
"Basantpur","","","","","1","2","228","228","0","100.00"
"Basantpur","","","","","1","3","576","576","0","100.00"
"Baseen","","","","","1","1","851","851","0","100.00"
"Basin","","","","","1","2","207","207","0","100.00"
"Basinpath","","","","","1","3","134","134","0","100.00"
"Bawanbodi","","","","","1","2","112","112","0","100.00"
"Beladula","","","","","1","4","499","479","20","95.99"
"Belandiyadih","","","","","1","1","60","60","0","100.00"
"Belha","","","","","1","5","389","365","24","93.83"
"Belhabhatha","","","","","1","2","124","124","0","100.00"
"Belhadih","","","","","1","1","301","301","0","100.00"
"Belkarri","","","","","1","3","140","140","0","100.00"
"Beltukri","","","","","1","2","344","344","0","100.00"
"Benipali","","","","","1","1","70","70","0","100.00"
"Bhada","","","","","1","4","173","173","0","100.00"
"Bhadara","","","","","1","3","207","207","0","100.00"
"Bhadesar","","","","","1","10","778","736","42","94.60"
"Bhadora","","","","","1","2","215","215","0","100.00"
"Bhadra","","","","","1","2","627","627","0","100.00"
"Bhadripali","","","","","1","1","152","152","0","100.00"
"Bhagodih","","","","","1","5","234","232","2","99.15"
"Bhainsamuhan","","","","","1","1","99","99","0","100.00"
"Bhainso","","","","","1","5","1084","1084","0","100.00"
"Bhaisatara(Damami)","","","","","1","5","443","443","0","100.00"
"Bhaisatara(Ma.Gu.)","","","","","1","1","237","237","0","100.00"
"Bhaisda","","","","","1","8","457","373","84","81.62"
"Bhaismudi","","","","","1","9","578","556","22","96.19"
"Bhajpur","","","","","1","2","164","164","0","100.00"
"Bhaktudera","","","","","1","1","112","112","0","100.00"
"Bhanetara","","","","","1","3","137","137","0","100.00"
"Bhanta","","","","","1","2","604","604","0","100.00"
"Bhanwarmal","","","","","1","6","245","245","0","100.00"
"Bhanwreli","","","","","1","4","215","215","0","100.00"
"Bhathli","","","","","1","8","672","672","0","100.00"
"Bhathora","","","","","1","3","523","523","0","100.00"
"Bhatmahool","","","","","1","2","195","195","0","100.00"
"Bhawtara","","","","","1","2","540","540","0","100.00"
"Bhedapali","","","","","1","1","156","156","0","100.00"
"Bhedikona","","","","","1","2","194","194","0","100.00"
"Bhedikona","","","","","1","1","183","183","0","100.00"
"Bhilai","","","","","1","2","544","544","0","100.00"
"Bhilauni","","","","","1","2","768","768","0","100.00"
"Bhothidih","","","","","1","5","271","271","0","100.00"
"Bhothiya","","","","","1","6","590","590","0","100.00"
"Bhuigaon","","","","","1","4","357","357","0","100.00"
"Bhurkadih","","","","","1","3","153","153","0","100.00"
"Bhursidih","","","","","1","2","175","175","0","100.00"
"Bhutha","","","","","1","1","298","298","0","100.00"
"Bichhiya","","","","","1","2","127","127","0","100.00"
"Bilaigarh","","","","","1","2","196","196","0","100.00"
"Bilaigarh","","","","","1","1","104","104","0","100.00"
"Bilaigarh","","","","","1","1","235","235","0","100.00"
"Bilari","","","","","1","3","641","641","0","100.00"
"Binaudha","","","","","1","2","247","247","0","100.00"
"Birbhatha","","","","","1","2","510","510","0","100.00"
"Birgahani","","","","","1","2","2682","2658","24","99.11"
"Birgahani","","","","","1","6","884","884","0","100.00"
"Birhabhatha","","","","","1","1","160","160","0","100.00"
"Birkoni","","","","","1","2","229","229","0","100.00"
"Birra","","","","","1","8","691","675","16","97.68"
