"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aagdih","","","","","1","3","74","59","15","79.73"
"Aarra","","","","","1","9","624","489","135","78.37"
"Abira","","","","","1","8","222","180","42","81.08"
"Ajdha","","","","","1","5","93","44","49","47.31"
"Akamba","","","","","1","3","84","69","15","82.14"
"Alori","","","","","1","6","139","0","139","0.00"
"Amadiha","","","","","1","13","397","93","304","23.43"
"Amatoli","","","","","1","9","224","141","83","62.95"
"Ambachunwa","","","","","1","5","118","93","25","78.81"
"Ambadand","","","","","1","1","27","23","4","85.19"
"Ambakachhar","","","","","1","7","251","198","53","78.88"
"Amera Toli","","","","","1","4","98","78","20","79.59"
"Amgaon","1","1","0","0","1","6","146","0","146","0.00"
"Andhala","","","","","1","6","158","125","33","79.11"
"Andharjhar","1","1","0","0","1","9","253","253","0","100.00"
"Ankarikona","","","","","1","2","100","88","12","88.00"
"Ankira","","","","","1","8","430","334","96","77.67"
"Asta","","","","","1","10","397","304","93","76.57"
"Aurijor","","","","","1","7","198","159","39","80.30"
"Aurijor","","","","","1","5","222","172","50","77.48"
"Babusajbahar","","","","","1","6","267","237","30","88.76"
"Bachhranw","","","","","1","12","359","118","241","32.87"
"Badakorenja","","","","","1","4","165","96","69","58.18"
"Badhaikhana","","","","","1","4","74","53","21","71.62"
"Bagai Jhariya","","","","","1","6","150","117","33","78.00"
"Bagbahar","","","","","1","3","147","102","45","69.39"
"Bagdol","","","","","1","15","722","607","115","84.07"
"Baghima","","","","","1","1","71","62","9","87.32"
"Bagiya","","","","","1","7","298","261","37","87.58"
"Bahenatangar","","","","","1","13","601","353","248","58.74"
"Bahora","","","","","1","11","279","144","135","51.61"
"Baiga Amba","","","","","1","4","104","81","23","77.88"
"Bakuna","1","1","0","0","1","1","79","48","31","60.76"
"Balachhapar","","","","","1","6","151","100","51","66.23"
"Balajhar","","","","","1","22","566","220","346","38.87"
"Baluwahar","","","","","1","9","210","130","80","61.90"
"Bamba","","","","","1","5","339","308","31","90.86"
"Bamhani","","","","","1","4","185","160","25","86.49"
"Bamhanmara","","","","","1","7","143","109","34","76.22"
"Bamhanmunda","","","","","1","1","37","32","5","86.49"
"Bamhanpura","","","","","1","4","118","54","64","45.76"
"Banaibada","","","","","1","1","33","29","4","87.88"
"Banaichhota","","","","","1","1","41","36","5","87.80"
"Bandar Chunwa","","","","","1","15","440","365","75","82.95"
"Bandhanpur","","","","","1","8","267","186","81","69.66"
"Bandhatoli","","","","","1","5","111","84","27","75.68"
"Bangaon","","","","","1","8","380","302","78","79.47"
"Bangaon","","","","","1","9","321","167","154","52.02"
"Bangaon","","","","","1","12","316","171","145","54.11"
"Bangaon","","","","","1","6","157","72","85","45.86"
"Bangurkela","","","","","1","5","254","207","47","81.50"
"Bankombo","","","","","1","9","225","176","49","78.22"
"Bansajhal","","","","","1","10","274","129","145","47.08"
"Bansbahar","","","","","1","4","106","85","21","80.19"
"Banspatra","","","","","1","1","37","32","5","86.49"
"Banstala","","","","","1","10","258","201","57","77.91"
"Barangjor","","","","","1","15","384","84","300","21.88"
"Bardand","","","","","1","9","280","228","52","81.43"
"Bardih","","","","","1","1","74","65","9","87.84"
"Bargaon","","","","","1","7","222","158","64","71.17"
"Barjor","","","","","1","7","188","120","68","63.83"
"Barkaspali","","","","","1","5","138","111","27","80.43"
"Baro","","","","","1","9","259","214","45","82.63"
"Barpani","","","","","1","4","188","133","55","70.74"
"Barpani","","","","","1","1","28","22","6","78.57"
"Bartoli","","","","","1","3","81","64","17","79.01"
"Basantala","","","","","1","14","363","258","105","71.07"
"Basantpur","","","","","1","5","121","80","41","66.12"
"Basen","","","","","1","5","182","106","76","58.24"
"Basta","","","","","1","1","33","25","8","75.76"
"Basudeopur","","","","","1","7","242","199","43","82.23"
"Bataikela","","","","","1","14","737","658","79","89.28"
"Batura Bahar","","","","","1","9","364","321","43","88.19"
"Batura Kachhar","","","","","1","14","287","165","122","57.49"
"Bedekona","","","","","1","3","106","88","18","83.02"
"Beharakhar","","","","","1","6","165","130","35","78.79"
"Beherna","","","","","1","12","280","139","141","49.64"
"Beldih","","","","","1","1","119","109","10","91.60"
"Belghutri","","","","","1","6","164","136","28","82.93"
"Belsunga","","","","","1","6","153","90","63","58.82"
"Bematatoli","","","","","1","8","372","322","50","86.56"
"Bend","","","","","1","2","35","24","11","68.57"
"Bene","","","","","1","8","179","139","40","77.65"
"Bengta","","","","","1","2","102","71","31","69.61"
"Benjora","","","","","1","7","122","74","48","60.66"
"Betara","","","","","1","2","70","60","10","85.71"
"Bhabhari","","","","","1","2","64","52","12","81.25"
"Bhadiya","","","","","1","14","463","387","76","83.59"
"Bhadu","","","","","1","5","183","60","123","32.79"
"Bhagora","","","","","1","15","513","317","196","61.79"
"Bhalmanda","","","","","1","3","93","78","15","83.87"
"Bhalumunda","","","","","1","3","79","62","17","78.48"
"Bhandri","","","","","1","9","171","91","80","53.22"
"Bhanwar","","","","","1","1","83","74","9","89.16"
"Bhattha","","","","","1","3","143","123","20","86.01"
"Bhejari Dand","","","","","1","4","165","145","20","87.88"
"Bhelwadih","","","","","1","4","127","106","21","83.46"
"Bhelwan","","","","","1","15","394","82","312","20.81"
"Bhelwatoli","","","","","1","12","361","144","217","39.89"
"Bhimsila","","","","","1","7","137","104","33","75.91"
"Bhitghra","","","","","1","1","41","35","6","85.37"
"Bhudkela","","","","","1","6","146","114","32","78.08"
"Bhumra","","","","","1","4","80","58","22","72.50"
"Bhursa","","","","","1","2","97","84","13","86.60"
"Bhusaditoli","","","","","1","5","136","102","34","75.00"
"Bidurpur","","","","","1","1","28","24","4","85.71"
"Bihabal","","","","","1","2","52","35","17","67.31"
"Bilaspur","","","","","1","9","204","128","76","62.75"
"Bildegi","","","","","1","11","434","263","171","60.60"
"Bimda","","","","","1","7","231","197","34","85.28"
"Bipatpur","","","","","1","8","373","321","52","86.06"
"Birhipani","","","","","1","1","26","1","25","3.85"
"Birimdega","","","","","1","6","175","140","35","80.00"
"Birla","","","","","1","5","98","0","98","0.00"
"Biropani","","","","","1","10","189","90","99","47.62"
"Bisodi","","","","","1","6","169","138","31","81.66"
"Boda Chhaper","","","","","1","4","100","79","21","79.00"
"Bodapahri","","","","","1","4","190","124","66","65.26"
"Bodatongari","","","","","1","8","150","108","42","72.00"
"Bodo Kahar","","","","","1","3","152","128","24","84.21"
"Bodokachhar","","","","","1","4","78","58","20","74.36"
"Bokhi","","","","","1","8","213","87","126","40.85"
"Boki","","","","","1","10","258","141","117","54.65"
"Borokona","","","","","1","4","76","0","76","0.00"
"Borokona","","","","","1","7","141","77","64","54.61"
"Botaidand","","","","","1","4","194","148","46","76.29"
"Budhadand","","","","","1","7","169","26","143","15.38"
"Budhadand","","","","","1","5","212","179","33","84.43"
"Budhgaon","","","","","1","7","145","12","133","8.28"
"Buldega","","","","","1","8","235","68","167","28.94"
"Bumtel","","","","","1","4","97","77","20","79.38"
"Burjudih","","","","","1","6","162","129","33","79.63"
"Butanga","","","","","1","1","30","1","29","3.33"
"Butkachhar","","","","","1","5","107","29","78","27.10"
"Chadiya","","","","","1","6","162","130","32","80.25"
"Chailitangar Toli","","","","","1","3","92","62","30","67.39"
"Chalni","1","1","0","0","1","8","185","185","0","100.00"
"Champa","","","","","1","9","364","316","48","86.81"
"Chandagarh","","","","","1","9","407","292","115","71.74"
"Chandarpur","","","","","1","7","238","184","54","77.31"
"Chapatoli","","","","","1","5","272","82","190","30.15"
"Charaidand","","","","","1","6","185","67","118","36.22"
"Charaidand","","","","","1","7","396","352","44","88.89"
"Charaikhara","","","","","1","6","168","98","70","58.33"
"Charaimara","","","","","1","4","85","67","18","78.82"
"Chatakpur","","","","","1","7","276","211","65","76.45"
"Chatakpur","","","","","1","1","46","40","6","86.96"
"Chatakpur","","","","","1","9","218","141","77","64.68"
"Chaura Ama","","","","","1","7","219","144","75","65.75"
"Chepra Kona","","","","","1","5","135","5","130","3.70"
"Chetawa","","","","","1","6","217","171","46","78.80"
"Chharla","","","","","1","3","59","44","15","74.58"
"Chhatasarai","","","","","1","16","602","514","88","85.38"
"Chhatouri","","","","","1","9","216","117","99","54.17"
"Chhera Ghoghra","","","","","1","10","287","186","101","64.81"
"Chherdand","","","","","1","11","350","273","77","78.00"
"Chhichhali-R","","","","","1","6","197","160","37","81.22"
"Chhichhli-A","","","","","1","6","245","194","51","79.18"
"Chhiradih","","","","","1","1","68","60","8","88.24"
"Chhota Koranja","","","","","1","3","97","82","15","84.54"
"Chhuritoli","","","","","1","3","65","35","30","53.85"
"Chidora","","","","","1","9","483","417","66","86.34"
"Chiknipani","","","","","1","7","455","295","160","64.84"
"Chitak Wain","","","","","1","8","362","321","41","88.67"
"Chitakwain","","","","","1","12","408","345","63","84.56"
"Chongribahar","","","","","1","11","244","160","84","65.57"
"Chulhapani","","","","","1","4","104","54","50","51.92"
"Dabnipani","","","","","1","5","139","38","101","27.34"
"Dadgaon","","","","","1","8","222","154","68","69.37"
"Daijbahar","","","","","1","3","96","79","17","82.29"
"Dalesar","","","","","1","5","117","88","29","75.21"
"Dalhagoda","","","","","1","3","83","68","15","81.93"
"Daltoli","","","","","1","5","189","163","26","86.24"
"Dandahadih","","","","","1","8","227","180","47","79.30"
"Dandajor","","","","","1","3","109","95","14","87.16"
"Dandbandhi","","","","","1","7","239","202","37","84.52"
"Dandpani","","","","","1","5","154","127","27","82.47"
"Dandpani","","","","","1","6","167","134","33","80.24"
"Dangari","","","","","1","11","277","222","55","80.14"
"Darakharika","","","","","1","12","281","202","79","71.89"
"Dasdumartoli","","","","","1","1","39","34","5","87.18"
"Deobora","","","","","1","3","66","54","12","81.82"
"Deodand","","","","","1","10","238","29","209","12.18"
"Deori","","","","","1","7","405","318","87","78.52"
"Devidand Gaon","","","","","1","2","43","33","10","76.74"
"Dewadelagi","1","1","0","0","1","1","37","24","13","64.86"
"Dhandhamba","","","","","1","16","347","265","82","76.37"
"Dhanguri","","","","","1","2","80","69","11","86.25"
"Dharen","","","","","1","4","109","48","61","44.04"
"Dhasma","","","","","1","5","117","88","29","75.21"
"Dhautatoli","","","","","1","3","92","75","17","81.52"
"Dhengani","","","","","1","2","91","79","12","86.81"
"Dhodharamba","1","1","0","0","1","6","145","145","0","100.00"
"Dhodhi Bahar","","","","","1","8","197","142","55","72.08"
"Dhodhidand","","","","","1","23","567","449","118","79.19"
"Dhodhipara","","","","","1","6","132","81","51","61.36"
"Dholduba","","","","","1","5","110","0","110","0.00"
"Dhonga Amba","","","","","1","6","133","103","30","77.44"
"Dhourasand","","","","","1","9","362","286","76","79.01"
"Dhudhru Dand","","","","","1","7","240","190","50","79.17"
"Dhuriya Amba","","","","","1","8","182","143","39","78.57"
"Dipa Toli","","","","","1","1","20","16","4","80.00"
"Dipatoli","","","","","1","10","405","351","54","86.67"
"Diwanpur","","","","","1","13","418","330","88","78.95"
"Dobh","","","","","1","8","331","273","58","82.48"
"Dobh","","","","","1","7","162","82","80","50.62"
"Dodrahi","","","","","1","5","129","87","42","67.44"
"Dokada","","","","","1","9","426","312","114","73.24"
"Dondapani","","","","","1","18","510","314","196","61.57"
"Dongadarha","","","","","1","1","36","31","5","86.11"
"Dongjharan","","","","","1","3","55","0","55","0.00"
