"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Plot Ghontha","","","","","1","1","12","8","4","66.67"
"Achanak Pur","","","","","1","1","105","105","0","100.00"
"Achanakpur","","","","","1","2","280","248","32","88.57"
"Achanakpur","","","","","1","1","158","158","0","100.00"
"Adhchara","","","","","1","2","106","103","3","97.17"
"Adwar","","","","","1","2","205","164","41","80.00"
"Agari","","","","","1","1","132","132","0","100.00"
"Agari","","","","","1","2","51","51","0","100.00"
"Agarikalan","","","","","1","3","185","92","93","49.73"
"Agarpani","","","","","1","3","248","175","73","70.56"
"Ajwain Wah","","","","","1","1","126","126","0","100.00"
"Akbarkapa","","","","","1","1","20","20","0","100.00"
"Akhra","","","","","1","4","348","136","212","39.08"
"Akla Ama","","","","","1","1","25","25","0","100.00"
"Alipur","","","","","1","1","32","32","0","100.00"
"Amadah","","","","","1","2","83","47","36","56.63"
"Amakhodra","","","","","1","2","146","124","22","84.93"
"Amaldiha","","","","","1","6","608","406","202","66.78"
"Amalidih","","","","","1","3","153","145","8","94.77"
"Amalidih","","","","","1","3","409","283","126","69.19"
"Amanara","","","","","1","1","50","50","0","100.00"
"Amanara","","","","","1","2","120","65","55","54.17"
"Amaniya","","","","","1","4","297","178","119","59.93"
"Amapani","","","","","1","2","108","71","37","65.74"
"Amarpur","","","","","1","5","340","298","42","87.65"
"Amera","","","","","1","1","121","121","0","100.00"
"Amera","","","","","1","3","259","251","8","96.91"
"Amgaon","","","","","1","3","263","99","164","37.64"
"Amli Malgi","","","","","1","3","350","269","81","76.86"
"Amlidadar","","","","","1","1","30","25","5","83.33"
"Amlideeh","","","","","1","1","34","34","0","100.00"
"Amlidih","","","","","1","1","200","200","0","100.00"
"Amraudi","","","","","1","2","158","93","65","58.86"
"Anchhi","","","","","1","1","160","160","0","100.00"
"Andhari Kachhar","1","1","0","0","1","2","105","105","0","100.00"
"Andhiyar Khor","","","","","1","3","431","284","147","65.89"
"Andhrikachhar","","","","","1","3","255","157","98","61.57"
"Anjana","","","","","1","2","188","137","51","72.87"
"Ataria Khurd","","","","","1","2","320","283","37","88.44"
"Babai","","","","","1","2","247","227","20","91.90"
"Babutola","","","","","1","1","233","233","0","100.00"
"Bachedi","","","","","1","2","217","195","22","89.86"
"Bachhrukonha","","","","","1","2","56","40","16","71.43"
"Badaradeeh","","","","","1","2","52","49","3","94.23"
"Badauda Kalan","","","","","1","2","200","196","4","98.00"
"Badaura","","","","","1","4","135","135","0","100.00"
"Baddo","","","","","1","2","188","139","49","73.94"
"Badna","","","","","1","8","700","586","114","83.71"
"Badnapani","","","","","1","2","151","103","48","68.21"
"Bagbuda","","","","","1","1","55","17","38","30.91"
"Bagdai","","","","","1","1","136","136","0","100.00"
"Baghamuda","","","","","1","4","243","150","93","61.73"
"Baghamunda","","","","","1","4","464","143","321","30.82"
"Bagharra","","","","","1","4","438","252","186","57.53"
"Bagharra","","","","","1","3","394","285","109","72.34"
"Baghmada","1","1","0","0","1","2","62","62","0","100.00"
"Baghraitola","","","","","1","2","279","279","0","100.00"
"Baghutola","","","","","1","3","142","130","12","91.55"
"Bahanakhodara","","","","","1","4","346","175","171","50.58"
"Baharmuda","","","","","1","6","529","377","152","71.27"
"Bahbaliya","","","","","1","1","162","162","0","100.00"
"Baherakhar","","","","","1","2","156","90","66","57.69"
"Bahpani","","","","","1","4","277","150","127","54.15"
"Baiharsari","","","","","1","5","585","311","274","53.16"
"Baijalpur","","","","","1","2","140","109","31","77.86"
"Baijalpur","","","","","1","4","334","156","178","46.71"
"Baiji","","","","","1","4","285","177","108","62.11"
"Bairakh","","","","","1","5","449","331","118","73.72"
"Bajguda","","","","","1","1","55","55","0","100.00"
"Bakela","","","","","1","3","157","85","72","54.14"
"Bakharipani","","","","","1","1","37","37","0","100.00"
"Bakoda","","","","","1","1","31","31","0","100.00"
"Bamaipur","","","","","1","2","195","135","60","69.23"
"Bamhan Tola","","","","","1","1","34","34","0","100.00"
"Bamhani","","","","","1","5","394","247","147","62.69"
"Bamhani","","","","","1","4","691","691","0","100.00"
"Bamhantara","","","","","1","2","124","96","28","77.42"
"Bamhantola","","","","","1","1","156","156","0","100.00"
"Bami","","","","","1","1","247","247","0","100.00"
"Bandaura","","","","","1","3","394","394","0","100.00"
"Bandha","","","","","1","1","256","256","0","100.00"
"Bandha","","","","","1","5","370","120","250","32.43"
"Bandha Tola","","","","","1","2","264","238","26","90.15"
"Bandhaura","1","1","0","0","1","2","53","53","0","100.00"
"Bandhi","","","","","1","1","105","105","0","100.00"
"Bandukkunda Alias Silyari","","","","","1","1","52","52","0","100.00"
"Bangar","","","","","1","4","383","259","124","67.62"
"Bangora","","","","","1","2","109","61","48","55.96"
"Baniya","","","","","1","1","151","151","0","100.00"
"Baniya","","","","","1","1","116","116","0","100.00"
"Baniya Kuwa","","","","","1","2","208","158","50","75.96"
"Banjari","","","","","1","1","23","23","0","100.00"
"Banjhi Mauha","","","","","1","2","163","133","30","81.60"
"Bankhaira","","","","","1","2","81","51","30","62.96"
"Banki","","","","","1","2","124","101","23","81.45"
"Bano","","","","","1","3","169","169","0","100.00"
"Bano","","","","","1","3","272","234","38","86.03"
"Bano","","","","","1","3","230","176","54","76.52"
"Bansapur","","","","","1","1","72","72","0","100.00"
"Barbaspur","","","","","1","1","319","319","0","100.00"
"Barbaspur","","","","","1","3","493","457","36","92.70"
"Barbhanwar","","","","","1","1","146","146","0","100.00"
"Bardi","","","","","1","4","337","293","44","86.94"
"Barenda","","","","","1","1","230","230","0","100.00"
"Bargaon","","","","","1","2","119","87","32","73.11"
"Barghat","","","","","1","2","85","51","34","60.00"
"Barhapani","","","","","1","2","88","58","30","65.91"
"Barhatti","","","","","1","2","233","177","56","75.97"
"Barkuhi","","","","","1","2","134","109","25","81.34"
"Baroda Khurd","","","","","1","2","145","109","36","75.17"
"Barpani","","","","","1","2","131","105","26","80.15"
"Barpelatola","","","","","1","1","527","527","0","100.00"
"Basinjhori","","","","","1","2","257","240","17","93.39"
"Basni","","","","","1","4","302","198","104","65.56"
"Basoharsili","","","","","1","1","35","35","0","100.00"
"Basulalot","","","","","1","2","102","46","56","45.10"
"Batipathra","","","","","1","2","262","220","42","83.97"
"Baturakachhar","","","","","1","3","297","237","60","79.80"
"Belapani","","","","","1","2","81","57","24","70.37"
"Belhari","","","","","1","1","29","29","0","100.00"
"Belmunda","","","","","1","4","295","123","172","41.69"
"Benda","","","","","1","2","142","107","35","75.35"
"Bendarchi","","","","","1","2","400","363","37","90.75"
"Berala","","","","","1","1","24","24","0","100.00"
"Berpelatola","","","","","1","1","38","21","17","55.26"
"Bhadga","","","","","1","2","146","109","37","74.66"
"Bhadrali","","","","","1","1","113","113","0","100.00"
"Bhadu Tola","","","","","1","2","165","149","16","90.30"
"Bhagatpur","","","","","1","4","258","206","52","79.84"
"Bhagatpur","","","","","1","1","75","75","0","100.00"
"Bhagauta Tola","","","","","1","2","198","182","16","91.92"
"Bhagutola","","","","","1","6","465","331","134","71.18"
"Bhainsadabra","","","","","1","1","53","53","0","100.00"
"Bhainsbod","","","","","1","3","213","167","46","78.40"
"Bhainsbod","","","","","1","1","53","53","0","100.00"
"Bhaisbod","","","","","1","2","147","142","5","96.60"
"Bhakur","","","","","1","4","163","163","0","100.00"
"Bhalapuri","","","","","1","1","31","31","0","100.00"
"Bhalpahari","","","","","1","6","608","371","237","61.02"
"Bhalpahri Plot","","","","","1","2","89","46","43","51.69"
"Bhaluchuwa","","","","","1","6","512","309","203","60.35"
"Bhandar","","","","","1","3","156","90","66","57.69"
"Bhandar Dabra","","","","","1","1","14","10","4","71.43"
"Bhandarpur","","","","","1","1","147","147","0","100.00"
"Bhanpur","","","","","1","1","132","132","0","100.00"
"Bhansula","","","","","1","2","97","64","33","65.98"
"Bharatpur","","","","","1","2","136","105","31","77.21"
"Bhareli","","","","","1","2","424","392","32","92.45"
"Bharewa Puran","","","","","1","1","193","193","0","100.00"
"Bharewapara","","","","","1","4","362","224","138","61.88"
"Bhathelatola","","","","","1","2","167","146","21","87.43"
"Bhathkudera","","","","","1","3","445","404","41","90.79"
"Bhatruse","","","","","1","3","317","136","181","42.90"
"Bhawartok","","","","","1","1","33","33","0","100.00"
"Bhedagarh","","","","","1","5","315","262","53","83.17"
"Bhedali","","","","","1","3","208","208","0","100.00"
"Bhedra","","","","","1","1","106","106","0","100.00"
"Bhelki","","","","","1","3","134","134","0","100.00"
"Bhelwa Bhanwar","","","","","1","2","119","84","35","70.59"
"Bhelwa Tola","","","","","1","1","334","334","0","100.00"
"Bhibhauri","","","","","1","1","698","698","0","100.00"
"Bhibhauri","","","","","1","1","345","345","0","100.00"
"Bhikhampur","","","","","1","2","93","73","20","78.49"
"Bhimpuri","","","","","1","1","52","52","0","100.00"
"Bhimpuri","","","","","1","2","209","174","35","83.25"
"Bhira","","","","","1","5","190","110","80","57.89"
