"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aadapharsi","","","","","1","3","63","45","18","71.43"
"Aakmeta","","","","","1","3","55","33","22","60.00"
"Aalkanhar","","","","","1","1","45","28","17","62.22"
"Aalor","","","","","1","2","160","125","35","78.13"
"Aalpar","","","","","1","1","93","64","29","68.82"
"Aalparas","","","","","1","4","193","121","72","62.69"
"Aamagaon","","","","","1","5","162","115","47","70.99"
"Aamakot","","","","","1","3","60","40","20","66.67"
"Aarra","","","","","1","4","103","58","45","56.31"
"Abhanpur","","","","","1","1","165","152","13","92.12"
"Achin Nagar","","","","","1","2","72","42","30","58.33"
"Adenga","","","","","1","2","73","56","17","76.71"
"Adgud","","","","","1","1","32","18","14","56.25"
"Alanar","","","","","1","2","88","0","88","0.00"
"Alawarkalan","","","","","1","3","45","23","22","51.11"
"Alawarkhurd","","","","","1","3","48","28","20","58.33"
"Albeda","","","","","1","5","106","75","31","70.75"
"Alldand","","","","","1","1","66","42","24","63.64"
"Amabeda","","","","","1","6","306","87","219","28.43"
"Amagarh","","","","","1","2","52","30","22","57.69"
"Amaguhan","","","","","1","4","83","51","32","61.45"
"Amajhola","","","","","1","4","63","53","10","84.13"
"Amakada","","","","","1","3","207","151","56","72.95"
"Amakada","","","","","1","5","78","46","32","58.97"
"Amapani","","","","","1","1","48","32","16","66.67"
"Amoda","","","","","1","6","272","179","93","65.81"
"Amodi","","","","","1","4","117","47","70","40.17"
"Anand Nagar","","","","","1","4","172","100","72","58.14"
"Anchhidongri","","","","","1","1","61","48","13","78.69"
"Andhabeda","","","","","1","5","147","64","83","43.54"
"Andi","","","","","1","8","263","190","73","72.24"
"Anhur","","","","","1","2","156","117","39","75.00"
"Anjadi","","","","","1","3","76","55","21","72.37"
"Anjani","","","","","1","7","256","206","50","80.47"
"Anjarel","","","","","1","1","33","21","12","63.64"
"Ankhiharra","","","","","1","6","172","103","69","59.88"
"Anupur","","","","","1","2","62","36","26","58.06"
"Araud","","","","","1","11","304","252","52","82.89"
"Arjuni","","","","","1","2","123","109","14","88.62"
"Ashok Nagar","","","","","1","2","70","39","31","55.71"
"Ashutosh Nagar","","","","","1","3","89","58","31","65.17"
"Astara","","","","","1","4","96","56","40","58.33"
"Asulkhar","","","","","1","7","106","57","49","53.77"
"Aturbeda","","","","","1","2","59","0","59","0.00"
"Aturgaon","","","","","1","17","376","246","130","65.43"
"Avadhpur","","","","","1","1","31","24","7","77.42"
"Avinash Nagar","","","","","1","3","148","109","39","73.65"
"Awari","","","","","1","9","234","162","72","69.23"
"Awrabhat","","","","","1","6","83","61","22","73.49"
"Babu Kohaka","","","","","1","7","119","80","39","67.23"
"Badal","","","","","1","5","267","190","77","71.16"
"Badatola","","","","","1","7","159","94","65","59.12"
"Badebethiya","","","","","1","2","55","32","23","58.18"
"Badegauri","","","","","1","14","390","274","116","70.26"
"Badejaitpuri","","","","","1","4","90","19","71","21.11"
"Badejhar Katta","","","","","1","5","137","87","50","63.50"
"Badekapsi","","","","","1","4","184","138","46","75.00"
"Badepijodi","","","","","1","2","89","19","70","21.35"
"Badeteoda","","","","","1","4","157","97","60","61.78"
"Badetopal","","","","","1","3","102","22","80","21.57"
"Badgaon","","","","","1","8","220","142","78","64.55"
"Badrengi","","","","","1","6","137","89","48","64.96"
"Bagdongari","","","","","1","9","255","186","69","72.94"
"Bagdongari","","","","","1","6","193","159","34","82.38"
"Bagjhar","","","","","1","1","35","7","28","20.00"
"Bagod","","","","","1","1","147","131","16","89.12"
"Bagodar","","","","","1","10","215","129","86","60.00"
"Bagwahi","","","","","1","1","21","15","6","71.43"
"Bahnapani","","","","","1","4","158","88","70","55.70"
"Baihasalebhat","","","","","1","4","154","14","140","9.09"
"Baijanpuri","","","","","1","6","300","200","100","66.67"
"Baikunthpur","","","","","1","4","283","204","79","72.08"
"Balaikachhar","","","","","1","3","42","0","42","0.00"
"Balligarh","","","","","1","3","66","24","42","36.36"
"Balrampur","","","","","1","5","220","152","68","69.09"
"Bandapal","","","","","1","5","101","36","65","35.64"
"Bande","","","","","1","3","89","60","29","67.42"
"Bande Colony","","","","","1","7","507","389","118","76.73"
"Bangabari","","","","","1","1","268","233","35","86.94"
"Bangachar","","","","","1","4","95","69","26","72.63"
"Bango Ghodiya","","","","","1","2","37","27","10","72.97"
"Banoli","","","","","1","3","84","55","29","65.48"
"Bansagar","","","","","1","1","192","184","8","95.83"
"Banspattar","","","","","1","1","54","38","16","70.37"
"Bapu Nagar","","","","","1","5","131","91","40","69.47"
"Baragenar","","","","","1","1","20","16","4","80.00"
"Barbaspur","","","","","1","2","94","68","26","72.34"
"Barche","","","","","1","3","76","0","76","0.00"
"Barchegondi","","","","","1","3","89","65","24","73.03"
"Barda","","","","","1","5","211","131","80","62.09"
"Barethinbahra","","","","","1","6","129","96","33","74.42"
"Bargaon","","","","","1","1","71","52","19","73.24"
"Bargari","","","","","1","8","198","141","57","71.21"
"Barheli","","","","","1","2","151","121","30","80.13"
"Barkachhar","","","","","1","7","125","90","35","72.00"
"Barkai","","","","","1","1","164","148","16","90.24"
"Barrebeda","","","","","1","3","52","15","37","28.85"
"Barvi","","","","","1","3","78","30","48","38.46"
"Basanwahi","","","","","1","12","183","112","71","61.20"
"Basanwahi","","","","","1","16","918","693","225","75.49"
"Baskuhud","","","","","1","4","89","51","38","57.30"
"Basla","","","","","1","8","213","149","64","69.95"
"Baweli","","","","","1","1","36","28","8","77.78"
"Bayanar","","","","","1","7","135","85","50","62.96"
"Bechaghat","","","","","1","1","32","20","12","62.50"
"Behbeda","","","","","1","1","33","21","12","63.64"
"Behekatta","","","","","1","1","40","0","40","0.00"
"Beldo","","","","","1","1","29","20","9","68.97"
"Belgal","","","","","1","3","128","73","55","57.03"
"Beloda","","","","","1","2","27","16","11","59.26"
"Belondi","","","","","1","3","97","53","44","54.64"
"Benur","","","","","1","2","57","33","24","57.89"
"Berkot","","","","","1","5","66","39","27","59.09"
"Bertanar","","","","","1","3","47","0","47","0.00"
"Bevarti","","","","","1","12","461","363","98","78.74"
"Bhainsasur","","","","","1","9","297","151","146","50.84"
"Bhainsmundi","","","","","1","3","162","141","21","87.04"
"Bhairadih","","","","","1","6","154","127","27","82.47"
"Bhaisa Katta","","","","","1","6","156","104","52","66.67"
"Bhaisakanhar","","","","","1","2","131","116","15","88.55"
"Bhaisakanhar","","","","","1","7","252","204","48","80.95"
"Bhaisgaon","","","","","1","4","59","25","34","42.37"
"Bhaismudi","","","","","1","6","142","95","47","66.90"
"Bhaismundi","","","","","1","5","87","59","28","67.82"
"Bhanbeda","","","","","1","8","373","245","128","65.68"
"Bhandardigi","","","","","1","3","135","102","33","75.56"
"Bhanpuri","","","","","1","11","413","234","179","56.66"
"Bhansuli","","","","","1","6","185","125","60","67.57"
"Bharatpur","","","","","1","2","109","72","37","66.06"
"Bharritola","","","","","1","2","41","6","35","14.63"
"Bharritola","","","","","1","7","161","130","31","80.75"
"Bhavanipur","","","","","1","2","80","66","14","82.50"
"Bheisgaon","","","","","1","3","98","52","46","53.06"
"Bheja","","","","","1","8","152","108","44","71.05"
"Bhejhar","","","","","1","2","31","10","21","32.26"
"Bhelai","","","","","1","4","129","99","30","76.74"
"Bhelwapani","","","","","1","3","50","36","14","72.00"
"Bhimadih","","","","","1","5","123","80","43","65.04"
"Bhingidar","","","","","1","5","91","51","40","56.04"
"Bhiragaon","","","","","1","4","367","249","118","67.85"
"Bhiraud","","","","","1","4","159","103","56","64.78"
"Bhiraund","","","","","1","10","244","188","56","77.05"
"Bhirawahi","","","","","1","7","258","188","70","72.87"
"Bhirawahi","","","","","1","1","36","21","15","58.33"
"Bhondiya","","","","","1","6","215","166","49","77.21"
"Bhotha","","","","","1","7","188","140","48","74.47"
"Bhuigaon","","","","","1","6","99","52","47","52.53"
"Bhurbhusi","","","","","1","1","52","30","22","57.69"
"Bhurka","","","","","1","1","23","15","8","65.22"
"Bhurke","","","","","1","1","69","48","21","69.57"
"Bhursa Tarandul","","","","","1","2","95","73","22","76.84"
"Bhuski","","","","","1","3","46","33","13","71.74"
"Bihawa","","","","","1","1","88","70","18","79.55"
"Bikramganj","","","","","1","1","26","21","5","80.77"
"Binayakpur","","","","","1","4","121","100","21","82.64"
"Biranpur","","","","","1","6","168","128","40","76.19"
"Birkondal","","","","","1","4","56","31","25","55.36"
"Bodagaon","","","","","1","3","51","0","51","0.00"
"Bodeli","","","","","1","2","39","14","25","35.90"
"Bodeli(Ponka)","","","","","1","9","180","140","40","77.78"
"Boganmodiya","","","","","1","1","26","16","10","61.54"
"Bogar","","","","","1","6","294","243","51","82.65"
"Bondanar","","","","","1","4","86","33","53","38.37"
"Borgaon","","","","","1","4","84","69","15","82.14"
"Botechang","","","","","1","5","82","50","32","60.98"
"Brajpur","","","","","1","2","76","58","18","76.32"
"Bramhapur","","","","","1","2","30","20","10","66.67"
"Brehbeda","","","","","1","2","19","14","5","73.68"
"Budeli","","","","","1","6","97","55","42","56.70"
"Budeli","","","","","1","1","159","152","7","95.60"
"Budhakhursai","","","","","1","1","60","13","47","21.67"
"Budhandand","","","","","1","3","46","30","16","65.22"
"Budhiyarmari","","","","","1","2","32","0","32","0.00"
"Bulawand","","","","","1","7","204","116","88","56.86"
"Burgi","","","","","1","2","43","23","20","53.49"
"Burka","","","","","1","2","52","35","17","67.31"
"Butbani","","","","","1","6","127","93","34","73.23"
"Chabela","","","","","1","7","196","143","53","72.96"
"Chahachad","","","","","1","4","82","39","43","47.56"
"Chanakyapuri","","","","","1","2","86","56","30","65.12"
"Chanar","","","","","1","6","178","117","61","65.73"
"Chandanpur","","","","","1","3","167","108","59","64.67"
"Chandeli","","","","","1","8","221","183","38","82.81"
"Chandipur","","","","","1","7","230","174","56","75.65"
"Changodi","","","","","1","4","159","34","125","21.38"
"Chapai","","","","","1","1","11","0","11","0.00"
"Chapeli","","","","","1","8","169","117","52","69.23"
"Charbhata","","","","","1","16","372","282","90","75.81"
"Charbhatha","","","","","1","1","36","26","10","72.22"
"Charbhathi","","","","","1","3","210","157","53","74.76"
"Chargaon","","","","","1","5","162","67","95","41.36"
"Chargaon","","","","","1","3","87","66","21","75.86"
"Chaurgaon","","","","","1","4","84","45","39","53.57"
"Chawad","","","","","1","7","236","170","66","72.03"
"Chawadi","","","","","1","7","127","83","44","65.35"
"Chemal","","","","","1","3","111","88","23","79.28"
"Chetanyapur","","","","","1","1","49","39","10","79.59"
"Chhindgaon","","","","","1","2","74","44","30","59.46"
"Chhindpal","","","","","1","6","168","124","44","73.81"
"Chhote Bethiya","","","","","1","2","130","84","46","64.62"
"Chhote Pakhanjur","","","","","1","4","104","74","30","71.15"
"Chhotebodeli","","","","","1","3","81","58","23","71.60"
"Chhotejaitpuri","","","","","1","3","28","0","28","0.00"
"Chhotejharkatta","","","","","1","1","22","14","8","63.64"
"Chhotekapsi","","","","","1","12","449","299","150","66.59"
"Chichgaon","","","","","1","1","69","15","54","21.74"
"Chichgaon","","","","","1","4","261","209","52","80.08"
"Chichmarra","","","","","1","5","82","49","33","59.76"
"Chihro","","","","","1","3","119","90","29","75.63"
"Chikhli","","","","","1","3","93","28","65","30.11"
"Chikhli","","","","","1","4","92","68","24","73.91"
"Chilhati","","","","","1","10","355","238","117","67.04"
"Chilparas","","","","","1","3","84","61","23","72.62"
"Chinauri","","","","","1","12","326","252","74","77.30"
"Chindabhata","","","","","1","1","21","0","21","0.00"
"Chindkhadak","","","","","1","1","45","35","10","77.78"
"Chingnar","","","","","1","2","64","45","19","70.31"
"Chipondi","","","","","1","1","49","0","49","0.00"
"Chitranjan Nagar","","","","","1","2","85","55","30","64.71"
"Chiwranj","","","","","1","6","90","69","21","76.67"
"Chogel","","","","","1","7","324","261","63","80.56"
"Choriya","","","","","1","9","471","371","100","78.77"
"Chuchrungpur","","","","","1","3","207","128","79","61.84"
"Dabbipani","","","","","1","4","143","101","42","70.63"
"Dabena","","","","","1","7","259","166","93","64.09"
"Dabena(Babu)","","","","","1","8","295","216","79","73.22"
"Dabkatta","","","","","1","7","165","119","46","72.12"
"Dadbisalebhat","","","","","1","3","44","22","22","50.00"
"Daldali","","","","","1","1","172","154","18","89.53"
"Dallidih","","","","","1","4","43","7","36","16.28"
"Damkasa","","","","","1","6","104","59","45","56.73"
"Damkasa","","","","","1","6","101","80","21","79.21"
"Dandaikheda","","","","","1","2","62","48","14","77.42"
"Dangara","","","","","1","7","204","147","57","72.06"
"Dangra","","","","","1","1","89","75","14","84.27"
"Dargahan","","","","","1","7","279","194","85","69.53"
"Dargarh","","","","","1","2","68","46","22","67.65"
"Darrokhalari","","","","","1","3","176","0","176","0.00"
"Dashpur","","","","","1","19","616","350","266","56.82"
"Dawarkhar","","","","","1","1","143","130","13","90.91"
"Daya Nagar","","","","","1","3","134","81","53","60.45"
"Deepnagar","","","","","1","1","44","30","14","68.18"
"Deharitopal","","","","","1","2","35","5","30","14.29"
"Deoda","","","","","1","2","22","12","10","54.55"
"Deodongar","","","","","1","9","255","167","88","65.49"
"Deogaon","","","","","1","4","248","212","36","85.48"
"Deogaon","","","","","1","4","131","34","97","25.95"
"Deori(Bar)","","","","","1","6","311","260","51","83.60"
"Deoribalaji","","","","","1","1","233","205","28","87.98"
"Devinawagaon","","","","","1","4","243","178","65","73.25"
"Devipara","","","","","1","1","21","0","21","0.00"
"Devipur","","","","","1","2","109","68","41","62.39"
"Devkongera","","","","","1","4","102","77","25","75.49"
"Devpur","","","","","1","2","142","94","48","66.20"
"Dhaneli","","","","","1","3","177","114","63","64.41"
"Dhanelikanhar","","","","","1","13","317","231","86","72.87"
"Dhanesara","","","","","1","1","311","291","20","93.57"
"Dhangudra","","","","","1","3","65","46","19","70.77"
"Dhanora","","","","","1","1","91","76","15","83.52"
"Dhantulsi","","","","","1","6","87","66","21","75.86"
"Dhanwa Phulchur","","","","","1","3","73","44","29","60.27"
"Dharampur","","","","","1","3","106","62","44","58.49"
"Dhaunsa Chhote","","","","","1","4","88","40","48","45.45"
"Dhaunsakalan","","","","","1","1","46","33","13","71.74"
"Dhedkohka","","","","","1","11","622","399","223","64.15"
"Dheklawan","","","","","1","4","57","42","15","73.68"
"Dhekuna","","","","","1","1","284","237","47","83.45"
"Dhodrapahar","","","","","1","6","141","82","59","58.16"
"Dhorkatta","","","","","1","3","79","47","32","59.49"
"Dhourabhat","","","","","1","5","146","108","38","73.97"
"Dhutapipli","","","","","1","3","95","48","47","50.53"
"Diyagaon","","","","","1","2","52","35","17","67.31"
"Dodade","","","","","1","2","67","53","14","79.10"
"Dodadekadar","","","","","1","3","94","62","32","65.96"
"Dodakawahi","","","","","1","7","199","158","41","79.40"
"Dokala","","","","","1","11","358","270","88","75.42"
"Domaharra","","","","","1","6","152","114","38","75.00"
