"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"1Balasar","1","1","0","0","1","1","200","145","55","72.50"
"Aamaguhan","","","","","1","6","170","136","34","80.00"
"Aanwari","","","","","1","11","498","422","76","84.74"
"Adanbeda","","","","","1","5","189","156","33","82.54"
"Adenga","","","","","1","14","812","711","101","87.56"
"Adnar","1","1","0","0","1","6","161","148","13","91.93"
"Adwal","","","","","1","9","186","186","0","100.00"
"Adwal","","","","","1","4","109","109","0","100.00"
"Ahkali","1","1","0","0","1","5","102","94","8","92.16"
"Almer","1","1","0","0","1","6","228","207","21","90.79"
"Alor","","","","","1","14","866","786","80","90.76"
"Amgaon","1","1","0","0","1","7","316","287","29","90.82"
"Amgaon","1","1","0","0","1","6","168","168","0","100.00"
"Amgaon","1","1","0","0","1","4","132","132","0","100.00"
"Amrawati","","","","","1","13","263","162","101","61.60"
"Amrawati","","","","","1","1","20","16","4","80.00"
"Anantpur","","","","","1","12","523","428","95","81.84"
"Arandi","","","","","1","17","811","700","111","86.31"
"Arandwal","","","","","1","4","74","74","0","100.00"
"Arangula","","","","","1","4","103","71","32","68.93"
"Arla","","","","","1","9","299","250","49","83.61"
"Babai","","","","","1","13","414","305","109","73.67"
"Badagaon","","","","","1","8","229","229","0","100.00"
"Badagaon","","","","","1","7","192","192","0","100.00"
"Badaloor","1","1","0","0","1","3","67","62","5","92.54"
"Badbattar","","","","","1","8","639","567","72","88.73"
"Bade Odagaon","1","1","0","0","1","9","260","238","22","91.54"
"Badebanjoda","","","","","1","12","321","249","72","77.57"
"Badebendri","","","","","1","15","860","738","122","85.81"
"Badebhirawand","","","","","1","6","358","308","50","86.03"
"Badedongar","","","","","1","24","892","677","215","75.90"
"Badeghodasara","","","","","1","11","282","217","65","76.95"
"Badekanera","1","1","0","0","1","36","1710","1554","156","90.88"
"Badekhauli","1","1","0","0","1","12","483","442","41","91.51"
"Badekurusnar","","","","","1","14","547","314","233","57.40"
"Baderajpur","1","1","0","0","1","17","1071","972","99","90.76"
"Badeusari","","","","","1","2","61","42","19","68.85"
"Badgai","","","","","1","5","204","132","72","64.71"
"Badgaon","","","","","1","5","132","71","61","53.79"
"Badko","","","","","1","5","125","125","0","100.00"
"Badra","","","","","1","7","197","197","0","100.00"
"Badwar","","","","","1","9","300","300","0","100.00"
"Bafna","","","","","1","16","490","348","142","71.02"
"Bagbeda","1","1","0","0","1","9","348","317","31","91.09"
"Baijanpuri","1","1","0","0","1","6","249","227","22","91.16"
"Bail","","","","","1","6","229","209","20","91.27"
