"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhaypur","","","","","1","2","135","135","0","100.00"
"Achankpur","","","","","1","3","63","26","37","41.27"
"Adsara","","","","","1","8","370","370","0","100.00"
"Aitama","","","","","1","3","307","304","3","99.02"
"Ajgarbahar","","","","","1","3","207","207","0","100.00"
"Akharapali","","","","","1","2","163","163","0","100.00"
"Akhrapali","","","","","1","1","302","201","101","66.56"
"Alagidand","","","","","1","4","450","450","0","100.00"
"Along","","","","","1","1","162","136","26","83.95"
"Amakhokhara","","","","","1","6","295","250","45","84.75"
"Amaldiha","","","","","1","4","237","163","74","68.78"
"Amaldiha","","","","","1","1","308","276","32","89.61"
"Amaldiha","","","","","1","6","321","171","150","53.27"
"Amali Bahra","","","","","1","3","106","106","0","100.00"
"Amali Bhauna","","","","","1","1","76","74","2","97.37"
"Amarpur","","","","","1","2","152","152","0","100.00"
"Amatikara","","","","","1","3","218","215","3","98.62"
"Amgaon","","","","","1","3","281","281","0","100.00"
"Amgaon","","","","","1","1","128","128","0","100.00"
"Amhawa","","","","","1","5","121","110","11","90.91"
"Amjhar","","","","","1","5","174","174","0","100.00"
"Amjhar","","","","","1","3","284","277","7","97.54"
"Amlikunda","","","","","1","3","169","167","2","98.82"
"Anchhimar","","","","","1","2","111","111","0","100.00"
"Andikachhar","","","","","1","4","496","496","0","100.00"
"Antrauti","","","","","1","2","59","59","0","100.00"
"Arda","","","","","1","7","397","397","0","100.00"
"Aretara","","","","","1","5","252","252","0","100.00"
"Arisiya","","","","","1","2","250","246","4","98.40"
"Arsena","","","","","1","3","133","133","0","100.00"
"Atari","","","","","1","4","168","168","0","100.00"
"Aurabhatha","","","","","1","2","35","35","0","100.00"
"Aurai","","","","","1","3","220","220","0","100.00"
"Aurakachhar","","","","","1","3","131","131","0","100.00"
"Babupara","","","","","1","1","57","57","0","100.00"
"Badebanka","","","","","1","7","351","351","0","100.00"
"Badgaon","","","","","1","6","324","324","0","100.00"
"Badhvabatha","","","","","1","1","251","251","0","100.00"
"Badmar","","","","","1","2","300","300","0","100.00"
"Bagbuda","","","","","1","3","348","348","0","100.00"
"Bagdar","","","","","1","3","205","205","0","100.00"
"Bagdara","","","","","1","3","146","146","0","100.00"
"Bagdharidand","","","","","1","3","188","188","0","100.00"
"Baghindand","","","","","1","3","80","80","0","100.00"
"Bahanpath","","","","","1","4","222","222","0","100.00"
"Bahera","","","","","1","1","48","48","0","100.00"
"Baigapali","","","","","1","1","86","47","39","54.65"
"Baira","","","","","1","5","257","257","0","100.00"
"Baisemar","","","","","1","4","167","167","0","100.00"
"Baksahi","","","","","1","5","603","603","0","100.00"
"Bala","","","","","1","4","143","77","66","53.85"
"Balbahara","","","","","1","10","481","481","0","100.00"
"Balsengha","","","","","1","1","110","110","0","100.00"
"Bamhanikona","","","","","1","2","336","336","0","100.00"
"Bamhni Khurd","","","","","1","4","235","235","0","100.00"
"Banbandha","","","","","1","4","309","309","0","100.00"
"Bancher","","","","","1","2","75","75","0","100.00"
"Bandhakhar","","","","","1","3","425","425","0","100.00"
"Bandhapali","","","","","1","1","270","234","36","86.67"
"Banghiban","","","","","1","3","228","180","48","78.95"
"Bango","","","","","1","3","253","177","76","69.96"
"Baniya","","","","","1","9","338","338","0","100.00"
"Banjari","","","","","1","8","410","293","117","71.46"
"Banjari","","","","","1","1","65","49","16","75.38"
"Banjhiama","","","","","1","2","40","40","0","100.00"
"Bankheta","","","","","1","4","280","271","9","96.79"
"Banwar","","","","","1","1","192","144","48","75.00"
"Bapaputi","","","","","1","2","130","130","0","100.00"
"Barbaspur","","","","","1","1","168","166","2","98.81"
"Barbhatha","","","","","1","3","36","34","2","94.44"
"Barbhatta","","","","","1","1","56","56","0","100.00"
"Bari Umrao","","","","","1","4","202","202","0","100.00"
"Baridih","","","","","1","5","480","480","0","100.00"
"Barkonha","","","","","1","3","247","247","0","100.00"
"Barkuta","","","","","1","2","55","55","0","100.00"
"Barpali","","","","","1","2","1236","1236","0","100.00"
"Barpali","","","","","1","4","121","119","2","98.35"
"Barpali","","","","","1","5","863","863","0","100.00"
"Barra","","","","","1","1","192","192","0","100.00"
"Bartarai","","","","","1","4","233","162","71","69.53"
"Basantpur","","","","","1","4","281","281","0","100.00"
"Basibar","","","","","1","2","301","301","0","100.00"
"Basin","","","","","1","3","320","320","0","100.00"
"Basin","","","","","1","1","100","100","0","100.00"
"Bata","","","","","1","3","215","215","0","100.00"
"Batari","","","","","1","6","450","450","0","100.00"
"Batati","","","","","1","3","173","173","0","100.00"
"Batra","","","","","1","17","1212","1212","0","100.00"
"Beejadand","","","","","1","4","192","192","0","100.00"
"Beharchuwa","","","","","1","6","769","769","0","100.00"
"Bela","","","","","1","5","394","394","0","100.00"
"Belhiya","","","","","1","1","58","58","0","100.00"
"Beltikri","1","1","0","0","1","1","237","237","0","100.00"
"Bendarkona","","","","","1","3","561","561","0","100.00"
"Betalo","","","","","1","1","155","154","1","99.35"
"Bhada","","","","","1","2","175","165","10","94.29"
"Bhada","","","","","1","1","94","94","0","100.00"
"Bhaisamuda","","","","","1","3","578","578","0","100.00"
"Bhaisma","","","","","1","4","688","688","0","100.00"
"Bhalpahri","","","","","1","4","280","280","0","100.00"
"Bhalpahri","","","","","1","2","403","403","0","100.00"
"Bhandarkhoh","","","","","1","5","315","315","0","100.00"
"Bhanwer Kacchar","","","","","1","2","62","56","6","90.32"
"Bharrakuda","","","","","1","2","150","93","57","62.00"
"Bharuwamuda","","","","","1","3","96","96","0","100.00"
"Bhatgaon","","","","","1","4","259","259","0","100.00"
"Bhatikuda","","","","","1","2","370","370","0","100.00"
"Bhavarkhol","","","","","1","4","246","246","0","100.00"
"Bhawar","","","","","1","2","144","116","28","80.56"
"Bhejenara","","","","","1","3","213","213","0","100.00"
"Bhelvagudi","","","","","1","2","154","154","0","100.00"
"Bhelwatar","","","","","1","2","212","212","0","100.00"
"Bhelwatikara","","","","","1","7","303","303","0","100.00"
"Bhilaibazar","","","","","1","6","629","629","0","100.00"
"Bhondkachhar","","","","","1","1","67","56","11","83.58"
"Bhujung Kachhar","","","","","1","4","143","143","0","100.00"
"Bhula Jheriya","","","","","1","2","66","58","8","87.88"
"Bhulajheriya","","","","","1","1","42","42","0","100.00"
"Bhulasidih","","","","","1","4","205","202","3","98.54"
"Bhulsidih","","","","","1","10","1927","1927","0","100.00"
"Bijhkot","","","","","1","5","215","215","0","100.00"
"Bijhra","","","","","1","2","113","93","20","82.30"
"Bimalta","","","","","1","2","114","114","0","100.00"
"Binjhri","","","","","1","15","837","837","0","100.00"
"Birda","","","","","1","5","432","432","0","100.00"
"Birkona","","","","","1","2","97","97","0","100.00"
"Birtarai","","","","","1","1","287","202","85","70.38"
"Birwat","","","","","1","2","73","73","0","100.00"
"Bisanpur","","","","","1","2","262","262","0","100.00"
"Bisrampur","","","","","1","1","60","60","0","100.00"
"Bodajhap","","","","","1","1","58","58","0","100.00"
"Bodanala","","","","","1","1","221","218","3","98.64"
"Bofarada","","","","","1","3","239","239","0","100.00"
"Boida","","","","","1","8","877","877","0","100.00"
"Bokaramuda","","","","","1","2","145","145","0","100.00"
"Botali","","","","","1","3","577","577","0","100.00"
"Budapara","","","","","1","4","248","248","0","100.00"
"Budbud","","","","","1","3","399","399","0","100.00"
"Budhiyapali","","","","","1","4","324","324","0","100.00"
"Bundeli","","","","","1","1","131","131","0","100.00"
"Bundeli","","","","","1","7","493","493","0","100.00"
"Chachiya","","","","","1","5","3083","3081","2","99.94"
"Chainpur","","","","","1","1","221","153","68","69.23"
"Chainpur","","","","","1","4","202","100","102","49.50"
"Chainpur","","","","","1","1","152","98","54","64.47"
"Chaitma","","","","","1","9","843","843","0","100.00"
"Chakabuda","","","","","1","6","437","437","0","100.00"
"Chakamar","","","","","1","4","561","561","0","100.00"
"Champa","","","","","1","1","344","344","0","100.00"
"Chandauti","","","","","1","6","245","245","0","100.00"
"Charmar","","","","","1","1","243","243","0","100.00"
"Charra","","","","","1","2","151","148","3","98.01"
"Chatuwabhauna","","","","","1","2","176","176","0","100.00"
"Chepa","","","","","1","5","312","312","0","100.00"
"Chhatan","","","","","1","1","37","37","0","100.00"
"Chhatapath","","","","","1","3","230","230","0","100.00"
"Chhewdhara","","","","","1","4","157","148","9","94.27"
"Chhindiya","","","","","1","6","286","286","0","100.00"
"Chhindmer","","","","","1","1","26","23","3","88.46"
"Chhindpani","","","","","1","3","220","220","0","100.00"
"Chhindpur","","","","","1","3","269","269","0","100.00"
"Chhirhut","","","","","1","3","170","154","16","90.59"
"Chhirhut","","","","","1","2","154","83","71","53.90"
"Chhuidhoda","","","","","1","1","77","77","0","100.00"
"Chhuiha","","","","","1","2","206","144","62","69.90"
"Chhurikhurd","","","","","1","5","375","375","0","100.00"
"Chicholi","","","","","1","3","503","503","0","100.00"
"Chiknipali","","","","","1","2","546","546","0","100.00"
"Chirra","","","","","1","2","423","423","0","100.00"
"Chirri","","","","","1","1","294","240","54","81.63"
"Chitapali","","","","","1","1","332","270","62","81.33"
"Chodha","","","","","1","6","543","543","0","100.00"
"Chorbhatti","","","","","1","3","317","317","0","100.00"
"Chotiya","","","","","1","7","310","310","0","100.00"
"Chuiya","","","","","1","3","306","306","0","100.00"
"Churrail","","","","","1","2","121","121","0","100.00"
"Dadar","","","","","1","1","188","186","2","98.94"
"Dadarkalan","","","","","1","4","772","772","0","100.00"
"Daganiya","","","","","1","7","197","157","40","79.70"
"Damau Kunda","","","","","1","4","187","187","0","100.00"
"Damhamuda","","","","","1","5","265","265","0","100.00"
"Damiya","","","","","1","1","209","209","0","100.00"
"Damkhancha","","","","","1","2","260","260","0","100.00"
"Darga","","","","","1","5","202","202","0","100.00"
"Darrabhata","","","","","1","2","103","103","0","100.00"
"Darri","","","","","1","3","471","471","0","100.00"
"Deopahri","1","1","0","0","1","8","623","623","0","100.00"
"Devermal","","","","","1","2","332","332","0","100.00"
"Devlapath","","","","","1","2","304","304","0","100.00"
"Dewari","","","","","1","10","766","766","0","100.00"
"Dewgaon","","","","","1","7","476","476","0","100.00"
"Dhajak","","","","","1","5","486","457","29","94.03"
"Dhamnagudi","","","","","1","1","183","183","0","100.00"
"Dhandhani","","","","","1","2","337","337","0","100.00"
"Dhangaon","","","","","1","4","316","316","0","100.00"
"Dhanras","","","","","1","2","174","123","51","70.69"
"Dhanras","","","","","1","5","282","118","164","41.84"
"Dhanwa","","","","","1","1","162","141","21","87.04"
"Dhapdhap","","","","","1","4","215","215","0","100.00"
"Dhatura","","","","","1","2","291","291","0","100.00"
"Dhaurabhatha","","","","","1","2","306","306","0","100.00"
"Dhauramuda","","","","","1","2","113","113","0","100.00"
"Dhavalpur","","","","","1","7","222","222","0","100.00"
"Dhawaipur","","","","","1","5","634","634","0","100.00"
"Dheluwa","","","","","1","3","164","164","0","100.00"
