"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aetwar","","","","","1","1","28","0","28","0.00"
"Ajokalan","","","","","1","4","109","100","9","91.74"
"Ajokhurd","","","","","1","7","131","101","30","77.10"
"Akharadand","","","","","1","6","138","56","82","40.58"
"Aklasarai","","","","","1","5","140","115","25","82.14"
"Aktawar","","","","","1","5","344","217","127","63.08"
"Amadamak","","","","","1","2","78","17","61","21.79"
"Amadand","","","","","1","9","160","95","65","59.38"
"Amapara","","","","","1","11","315","265","50","84.13"
"Amaradandi","","","","","1","2","69","69","0","100.00"
"Amarpur","","","","","1","6","205","179","26","87.32"
"Amgaon","","","","","1","7","354","314","40","88.70"
"Amhar","","","","","1","8","263","243","20","92.40"
"Amhar","","","","","1","1","43","38","5","88.37"
"Amka","","","","","1","6","190","174","16","91.58"
"Amra","","","","","1","3","123","74","49","60.16"
"Amratpur","","","","","1","2","107","0","107","0.00"
"Amritdhara","","","","","1","7","60","0","60","0.00"
"Anandpur","","","","","1","3","116","91","25","78.45"
"Anandpur","","","","","1","2","82","0","82","0.00"
"Anga","","","","","1","8","177","114","63","64.41"
"Angwahi","","","","","1","3","94","88","6","93.62"
"Ani","","","","","1","9","434","395","39","91.01"
"Ara","","","","","1","4","114","79","35","69.30"
"Bachara","","","","","1","9","219","187","32","85.39"
"Badekelua","","","","","1","8","204","167","37","81.86"
"Badera","","","","","1","1","45","0","45","0.00"
"Badesalhi","","","","","1","9","456","174","282","38.16"
"Badgaon","","","","","1","10","254","174","80","68.50"
"Badgaon Kalan","","","","","1","7","140","0","140","0.00"
"Badgaon Khurd","","","","","1","2","47","0","47","0.00"
"Badkabahara","","","","","1","7","165","81","84","49.09"
"Badkadol","","","","","1","4","80","66","14","82.50"
"Badra","","","","","1","3","42","17","25","40.48"
"Badwahi","","","","","1","6","361","48","313","13.30"
"Badwar","","","","","1","1","110","0","110","0.00"
"Badwar","","","","","1","5","113","87","26","76.99"
"Baghail","","","","","1","1","31","16","15","51.61"
"Baghwar","","","","","1","5","77","0","77","0.00"
"Bagridand","","","","","1","3","44","0","44","0.00"
"Bahalpur","","","","","1","1","31","22","9","70.97"
"Baherabandh","","","","","1","1","10","9","1","90.00"
"Baheratola","","","","","1","3","84","79","5","94.05"
"Bahi","","","","","1","6","93","55","38","59.14"
"Bahrasi","","","","","1","5","199","135","64","67.84"
"Baima","","","","","1","6","400","155","245","38.75"
"Bairagi","","","","","1","3","93","44","49","47.31"
"Bakira","","","","","1","1","69","66","3","95.65"
"Bala","","","","","1","4","87","69","18","79.31"
"Balauda","","","","","1","1","29","0","29","0.00"
"Balshiv","","","","","1","4","79","52","27","65.82"
"Balsota","","","","","1","2","48","42","6","87.50"
"Bangi","","","","","1","3","230","139","91","60.43"
"Banjaridand","","","","","1","11","272","185","87","68.01"
"Banji","","","","","1","9","331","305","26","92.15"
"Banshipur","","","","","1","2","77","0","77","0.00"
"Barail","","","","","1","4","66","57","9","86.36"
"Barampur","","","","","1","5","205","133","72","64.88"
"Barauta","1","1","0","0","1","5","107","86","21","80.37"
"Barbaspur","","","","","1","12","269","214","55","79.55"
"Barchha","","","","","1","2","34","18","16","52.94"
"Bardar","","","","","1","10","175","105","70","60.00"
"Bardiya","","","","","1","6","225","211","14","93.78"
"Barhori","","","","","1","4","189","189","0","100.00"
"Bari","","","","","1","6","206","78","128","37.86"
"Barkela","","","","","1","5","115","96","19","83.48"
"Barpara","","","","","1","5","207","195","12","94.20"
"Baser","","","","","1","5","109","0","109","0.00"
"Basti","","","","","1","7","200","166","34","83.00"
"Basudeopur","","","","","1","3","83","73","10","87.95"
"Baswahi","","","","","1","2","46","40","6","86.96"
"Bauridand","","","","","1","10","317","235","82","74.13"
"Bela","","","","","1","6","68","60","8","88.24"
"Belad","","","","","1","2","97","0","97","0.00"
"Belbahara","","","","","1","9","162","126","36","77.78"
"Belbehara","","","","","1","7","145","92","53","63.45"
"Belgaon","","","","","1","4","121","94","27","77.69"
"Beliya","","","","","1","3","105","89","16","84.76"
"Belkamar","","","","","1","4","77","51","26","66.23"
"Benipura","","","","","1","3","54","0","54","0.00"
"Bhagwanpur","","","","","1","5","571","481","90","84.24"
"Bhagwatpur","","","","","1","1","27","0","27","0.00"
"Bhaiswar","","","","","1","5","140","114","26","81.43"
"Bhakhar","","","","","1","3","39","32","7","82.05"
"Bhalaur","","","","","1","7","125","107","18","85.60"
"Bhaluwar","","","","","1","2","49","0","49","0.00"
"Bhandar Dei","","","","","1","3","44","25","19","56.82"
"Bhandarpara","","","","","1","10","320","295","25","92.19"
"Bharatpur","","","","","1","4","98","81","17","82.65"
"Bharatpur","","","","","1","2","37","30","7","81.08"
"Bharda","","","","","1","7","174","73","101","41.95"
"Bhattipara","","","","","1","2","33","27","6","81.82"
"Bhauta","","","","","1","14","158","137","21","86.71"
"Bhawarkhoh","","","","","1","1","43","0","43","0.00"
"Bhuiharipara","","","","","1","2","44","40","4","90.91"
"Bhuiharipara","","","","","1","4","76","71","5","93.42"
"Bhukbhuki","","","","","1","5","80","52","28","65.00"
"Bhumka","","","","","1","2","81","0","81","0.00"
"Bhumka","","","","","1","5","133","27","106","20.30"
"Bichhali","","","","","1","6","103","79","24","76.70"
"Bichhiyatola","","","","","1","5","114","91","23","79.82"
"Biharpur","","","","","1","7","198","104","94","52.53"
"Bilaro","","","","","1","5","129","90","39","69.77"
"Birauridand","","","","","1","3","119","59","60","49.58"
"Birawlidand","","","","","1","1","30","11","19","36.67"
"Bodar","","","","","1","3","89","70","19","78.65"
"Bodar","","","","","1","21","1386","1253","133","90.40"
"Bodemuda","","","","","1","16","348","280","68","80.46"
"Bodritola","","","","","1","3","38","28","10","73.68"
"Botaraksa","","","","","1","1","10","9","1","90.00"
"Budeli","","","","","1","7","316","254","62","80.38"
"Bulakitola","","","","","1","3","77","69","8","89.61"
"Burhwa Dand","","","","","1","1","15","0","15","0.00"
"Chainpur","","","","","1","9","397","346","51","87.15"
"Chakdand","","","","","1","4","127","118","9","92.91"
"Champajhar","","","","","1","11","352","227","125","64.49"
"Chandela","1","1","0","0","1","1","21","15","6","71.43"
"Chandha","","","","","1","2","132","0","132","0.00"
"Chanti","","","","","1","4","161","51","110","31.68"
"Chanwaridand","","","","","1","15","475","374","101","78.74"
"Chanwaridand","","","","","1","2","27","0","27","0.00"
"Charkhar","","","","","1","4","109","68","41","62.39"
"Charpara","","","","","1","8","306","286","20","93.46"
"Charwahi","","","","","1","7","193","157","36","81.35"
"Chaughada","","","","","1","8","212","141","71","66.51"
"Cherwapara","","","","","1","6","270","224","46","82.96"
"Chharchha","","","","","1","6","172","136","36","79.07"
"Chharchha","","","","","1","5","81","55","26","67.90"
"Chhatauda","1","1","0","0","1","3","24","8","16","33.33"
"Chhigura","","","","","1","2","55","0","55","0.00"
"Chhindiya","","","","","1","10","422","390","32","92.42"
"Chhipchhipi","","","","","1","6","180","167","13","92.78"
"Chhirhatola","","","","","1","4","119","37","82","31.09"
"Chhote Kaluwa","","","","","1","8","154","93","61","60.39"
"Chhotesalhi","","","","","1","9","147","115","32","78.23"
"Chhuri","","","","","1","7","227","210","17","92.51"
"Chidaula","","","","","1","6","260","208","52","80.00"
"Chikhali","","","","","1","1","20","0","20","0.00"
"Chilka","","","","","1","7","139","127","12","91.37"
"Chiraipani","","","","","1","8","111","84","27","75.68"
"Chirguda","","","","","1","7","225","213","12","94.67"
"Chirmi","","","","","1","20","588","426","162","72.45"
"Chiutimar","","","","","1","4","78","62","16","79.49"
"Chopan","","","","","1","6","124","94","30","75.81"
"Chopan","","","","","1","3","39","34","5","87.18"
"Chuil","","","","","1","3","130","56","74","43.08"
"Chuladar","","","","","1","2","69","0","69","0.00"
"Chutki","","","","","1","3","95","14","81","14.74"
"Dabripara","","","","","1","7","172","154","18","89.53"
"Dagaura","","","","","1","9","150","138","12","92.00"
"Dahiyadand","","","","","1","2","43","0","43","0.00"
"Dakaipara","","","","","1","9","227","152","75","66.96"
"Damuj","","","","","1","5","123","85","38","69.11"
"Dandhanswahi","","","","","1","7","141","24","117","17.02"
"Dandwajhar","","","","","1","1","14","0","14","0.00"
"Darri Tola","","","","","1","10","221","196","25","88.69"
"Darritola","","","","","1","1","31","31","0","100.00"
"Daser","","","","","1","1","11","0","11","0.00"
"Deogarh","","","","","1","8","263","244","19","92.78"
"Deogarhkhoh","","","","","1","2","43","0","43","0.00"
"Deora","","","","","1","1","17","0","17","0.00"
"Deori","","","","","1","6","128","112","16","87.50"
"Deosil","","","","","1","4","60","0","60","0.00"
"Dewadand","","","","","1","9","221","192","29","86.88"
"Dewtidand","","","","","1","2","54","0","54","0.00"
"Dhab","","","","","1","1","25","0","25","0.00"
"Dhab Tumadi","","","","","1","1","44","0","44","0.00"
"Dhanauli","","","","","1","2","76","55","21","72.37"
"Dhanhar","","","","","1","2","25","0","25","0.00"
"Dhanpur","","","","","1","1","13","0","13","0.00"
"Dhanpur","","","","","1","5","157","59","98","37.58"
"Dharampur","","","","","1","2","50","47","3","94.00"
"Dharampur","","","","","1","2","22","8","14","36.36"
"Dhauramuda","","","","","1","3","40","1","39","2.50"
"Dhawalpur","","","","","1","11","271","223","48","82.29"
"Dhhumadand","","","","","1","1","26","26","0","100.00"
"Dhobatal","","","","","1","5","92","60","32","65.22"
"Dhodhibahra","","","","","1","4","147","125","22","85.03"
"Dhulku","","","","","1","4","69","56","13","81.16"
"Dhummadol","","","","","1","1","32","22","10","68.75"
"Dihuli","","","","","1","4","151","105","46","69.54"
"Dobhapani","","","","","1","4","88","76","12","86.36"
"Dohadapara","","","","","1","6","96","85","11","88.54"
"Domanapara","","","","","1","4","129","119","10","92.25"
"Domhara","","","","","1","5","120","90","30","75.00"
"Dongripara","","","","","1","3","105","44","61","41.90"
"Dongritola","","","","","1","6","140","121","19","86.43"
"Dongritola","","","","","1","5","100","86","14","86.00"
"Dorki","","","","","1","3","62","50","12","80.65"
"Dubchhola","","","","","1","7","220","146","74","66.36"
"Dudhaniya Kalan","","","","","1","5","251","216","35","86.06"
"Dudhaniya Khurd","","","","","1","3","54","27","27","50.00"
"Dudhniya Khurd","","","","","1","2","124","113","11","91.13"
"Duggi","","","","","1","9","219","106","113","48.40"
"Dugla","","","","","1","6","136","108","28","79.41"
"Dulari","","","","","1","1","17","1","16","5.88"
"Dumariya","","","","","1","8","264","253","11","95.83"
"Dundhasi","","","","","1","3","140","110","30","78.57"
"Durgapur","","","","","1","2","56","40","16","71.43"
"Gadbadi","","","","","1","10","307","224","83","72.96"
"Gadhaura","","","","","1","5","181","138","43","76.24"
"Gadhtar","","","","","1","10","242","232","10","95.87"
"Gadrakund","","","","","1","1","10","0","10","0.00"
"Gadwar","","","","","1","2","56","22","34","39.29"
"Ganeshpur","","","","","1","7","167","114","53","68.26"
"Gangapur","","","","","1","1","10","9","1","90.00"
"Ganjar","","","","","1","7","107","51","56","47.66"
"Ganpatpur","","","","","1","2","36","32","4","88.89"
"Garnai","","","","","1","1","29","0","29","0.00"
"Garuddol","","","","","1","3","77","53","24","68.83"
"Gengi","","","","","1","7","299","242","57","80.94"
"Ghaghara","","","","","1","7","179","110","69","61.45"
"Ghaghra","","","","","1","5","93","82","11","88.17"
"Ghatai","","","","","1","7","152","76","76","50.00"
"Ghatma","","","","","1","1","29","0","29","0.00"
"Ghodbandha","","","","","1","5","125","64","61","51.20"
"Ghordhara","","","","","1","3","106","19","87","17.92"
"Ghughari","","","","","1","3","134","94","40","70.15"
"Ghugra","","","","","1","6","170","159","11","93.53"
"Ghutara","","","","","1","13","257","93","164","36.19"
"Giddhmudi","","","","","1","15","321","245","76","76.32"
"Gidhdand","","","","","1","7","110","68","42","61.82"
"Gidher","","","","","1","1","25","24","1","96.00"
"Gidher","","","","","1","2","22","17","5","77.27"
"Girjapur","","","","","1","7","193","180","13","93.26"
"Girwani","","","","","1","3","53","45","8","84.91"
"Goini","","","","","1","2","28","0","28","0.00"
"Golhaghat","","","","","1","3","147","103","44","70.07"
"Gopatnagar","","","","","1","1","20","0","20","0.00"
"Govindpur","","","","","1","6","214","86","128","40.19"
"Hanspur","","","","","1","2","44","0","44","0.00"
"Hanumanpur","","","","","1","1","6","6","0","100.00"
"Harchoka","","","","","1","7","232","115","117","49.57"
"Harrai","","","","","1","1","10","9","1","90.00"
"Harrapara","","","","","1","8","225","172","53","76.44"
"Harri","1","1","0","0","1","6","168","52","116","30.95"
"Harridih","","","","","1","2","44","0","44","0.00"
"Hastinapur","","","","","1","6","126","115","11","91.27"
"Hathwar","","","","","1","6","154","122","32","79.22"
"Hathwari","","","","","1","1","108","108","0","100.00"
"Indarpur","","","","","1","8","178","121","57","67.98"
"Jadhari","","","","","1","6","145","124","21","85.52"
"Jagatpur","","","","","1","7","229","64","165","27.95"
"Jagdishpur","","","","","1","1","47","34","13","72.34"
"Jaipur","","","","","1","4","117","108","9","92.31"
"Jaiti","","","","","1","3","75","61","14","81.33"
"Jaliyadand","","","","","1","4","160","136","24","85.00"
"Jamdi","","","","","1","7","142","127","15","89.44"
"Jamghana","","","","","1","4","128","99","29","77.34"
"Jampani","","","","","1","7","186","155","31","83.33"
"Jampara","","","","","1","1","27","24","3","88.89"
"Jamthan","","","","","1","6","134","81","53","60.45"
"Jamtikra","","","","","1","2","40","35","5","87.50"
"Jamuniha","","","","","1","4","123","0","123","0.00"
"Janakpur","","","","","1","13","252","205","47","81.35"
"Janaura","","","","","1","1","24","24","0","100.00"
"Janua","","","","","1","5","160","129","31","80.63"
"Jardol","","","","","1","1","10","9","1","90.00"
"Jaroudha","","","","","1","15","335","273","62","81.49"
"Jatasemar","","","","","1","5","129","99","30","76.74"
"Jawaritola","","","","","1","3","94","73","21","77.66"
"Jhanpar","","","","","1","3","50","0","50","0.00"
"Jharnapara","","","","","1","8","265","227","38","85.66"
"Jilda","","","","","1","9","448","183","265","40.85"
"Jilibandh","","","","","1","7","182","140","42","76.92"
"Jogia","","","","","1","1","31","0","31","0.00"
"Jolgi","","","","","1","3","75","71","4","94.67"
"Juili","","","","","1","4","190","178","12","93.68"
