"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achanakmar","","","","","1","1","127","127","0","100.00"
"Achankpur","","","","","1","1","146","146","0","100.00"
"Akhrar","","","","","1","1","854","845","9","98.95"
"Amaldiha","","","","","1","1","326","262","64","80.37"
"Amaldihi","","","","","1","2","468","403","65","86.11"
"Amalidih","","","","","1","1","233","175","58","75.11"
"Amlidih","","","","","1","2","386","265","121","68.65"
"Amlidih","","","","","1","1","150","93","57","62.00"
"Amlikapa","","","","","1","1","284","220","64","77.46"
"Amora","","","","","1","1","255","191","64","74.90"
"Anantpur","","","","","1","1","99","52","47","52.53"
"Anchhidongri","","","","","1","1","244","189","55","77.46"
"Anda","","","","","1","1","259","195","64","75.29"
"Atariakhar","","","","","1","1","202","202","0","100.00"
"Atariya","","","","","1","1","301","239","62","79.40"
"Aurabandha","","","","","1","1","132","72","60","54.55"
"Aurabandha","","","","","1","1","242","187","55","77.27"
"Aurapani","","","","","1","1","126","126","0","100.00"
"Bachhera","","","","","1","1","267","203","64","76.03"
"Badiadih","","","","","1","1","294","220","74","74.83"
"Badra","","","","","1","1","191","126","65","65.97"
"Badra","","","","","1","1","269","205","64","76.21"
"Bagbudwa","","","","","1","1","270","206","64","76.30"
"Baghamuda","","","","","1","1","158","98","60","62.03"
"Baghani Bhanwar","","","","","1","2","195","138","57","70.77"
"Bagharra","","","","","1","1","166","109","57","65.66"
"Baghmar","","","","","1","1","264","209","55","79.17"
"Baharmuda","","","","","1","1","199","136","63","68.34"
"Baharpur","","","","","1","2","274","144","130","52.55"
"Bahaud","","","","","1","1","165","165","0","100.00"
"Baigakapa","","","","","1","1","248","192","56","77.42"
"Baigna","","","","","1","1","233","169","64","72.53"
"Baihakapa","","","","","1","1","99","41","58","41.41"
"Baihakapa","","","","","1","1","137","77","60","56.20"
"Baiharsari","","","","","1","2","230","102","128","44.35"
"Baijalpur","","","","","1","1","334","279","55","83.53"
"Balaudi","","","","","1","1","238","179","59","75.21"
"Bamhani","","","","","1","1","99","99","0","100.00"
"Bamurhadih","","","","","1","1","238","174","64","73.11"
"Bandha","","","","","1","3","466","411","55","88.20"
"Bandhi","","","","","1","1","216","161","55","74.54"
"Bandhwa","","","","","1","1","280","225","55","80.36"
