"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aadermad","1","1","0","0","1","4","49","4","45","8.16"
"Aadimpar","1","1","0","0","1","1","19","19","0","100.00"
"Aadpal","","","","","1","7","162","116","46","71.60"
"Aalnar","1","1","0","0","1","3","57","53","4","92.98"
"Aamasara","","","","","1","5","115","43","72","37.39"
"Aamgaon","","","","","1","4","95","68","27","71.58"
"Aatargaon","","","","","1","4","138","106","32","76.81"
"Acheli","1","1","0","0","1","1","37","35","2","94.59"
"Adnar","","","","","1","5","149","0","149","0.00"
"Akabeda","1","1","0","0","1","1","62","56","6","90.32"
"Alwada","1","0","0","1","1","1","17","0","17","0.00"
"Alwar Alias Gattakal","1","1","0","0","1","2","41","41","0","100.00"
"Anjrel","1","1","0","0","1","1","65","59","6","90.77"
"Bade Jamhari","","","","","1","4","122","89","33","72.95"
"Bade Tondabeda","1","1","0","0","1","3","61","56","5","91.80"
"Badebedkot","1","0","0","1","1","1","17","0","17","0.00"
"Badgaon","","","","","1","7","214","149","65","69.63"
"Badkanar","1","1","0","0","1","1","7","19","-12","271.43"
"Bagdongri","","","","","1","7","166","115","51","69.28"
"Bagjhar","","","","","1","10","270","200","70","74.07"
"Bakoor","","","","","1","1","18","0","18","0.00"
"Bakulwahi","","","","","1","5","172","117","55","68.02"
"Balebeda Urf Palemeta","1","1","0","0","1","1","17","0","17","0.00"
"Bamhani","","","","","1","5","129","87","42","67.44"
"Banhker","","","","","1","2","39","21","18","53.85"
"Banspal","","","","","1","2","45","30","15","66.67"
"Barungbhat","","","","","1","1","27","0","27","0.00"
"Basing","","","","","1","4","85","0","85","0.00"
"Bawadi","","","","","1","4","92","63","29","68.48"
"Bayonar","1","0","0","1","1","1","18","0","18","0.00"
"Becha","1","1","0","0","1","2","41","38","3","92.68"
"Bedma","1","1","0","0","1","1","30","17","13","56.67"
"Bedmakot","","","","","1","5","95","66","29","69.47"
"Belgaon","","","","","1","5","214","152","62","71.03"
"Benoor","","","","","1","11","432","316","116","73.15"
"Bettekal","1","1","0","0","1","1","18","18","0","100.00"
"Bharanda","","","","","1","3","94","69","25","73.40"
"Bhatbenda","","","","","1","1","29","0","29","0.00"
"Bhatpal","","","","","1","6","250","189","61","75.60"
"Bhiragaon","","","","","1","3","67","3","64","4.48"
"Bhurwal","","","","","1","4","133","96","37","72.18"
"Biler","1","1","0","0","1","1","17","0","17","0.00"
"Biller","1","1","0","0","1","1","8","0","8","0.00"
"Binagunda","1","1","0","0","1","3","56","0","56","0.00"
"Binjlee","","","","","1","9","261","183","78","70.11"
"Bogan","1","1","0","0","1","1","17","0","17","0.00"
"Bondum","","","","","1","1","33","0","33","0.00"
"Borand","","","","","1","8","301","221","80","73.42"
"Boranirpi","","","","","1","2","42","0","42","0.00"
"Borawand","","","","","1","5","148","114","34","77.03"
"Borgaon","","","","","1","2","61","46","15","75.41"
"Borpal","","","","","1","9","203","65","138","32.02"
"Boter","1","1","0","0","1","1","35","35","0","100.00"
"Botha","1","1","0","0","1","4","115","106","9","92.17"
"Botor","","","","","1","1","22","0","22","0.00"
"Brehabeda","1","1","0","0","1","4","76","0","76","0.00"
"Brehbeda","","","","","1","1","31","0","31","0.00"
"Brehbeda","","","","","1","1","79","1","78","1.27"
"Brehbeda","","","","","1","2","38","0","38","0.00"
"Brehebeda","1","1","0","0","1","1","26","0","26","0.00"
"Brehebeda","1","1","0","0","1","1","27","25","2","92.59"
"Chalcher","1","0","0","1","1","5","97","0","97","0.00"
"Chameli","","","","","1","3","71","51","20","71.83"
"Chandagaon","","","","","1","2","38","26","12","68.42"
"Chhinari","","","","","1","9","196","146","50","74.49"
"Chhindpur","1","1","0","0","1","1","17","0","17","0.00"
"Chhote Tondabeda","1","1","0","0","1","1","17","0","17","0.00"
"Chhotebade Kot(Mar)","","","","","1","1","31","0","31","0.00"
"Chhotedongar","","","","","1","18","632","439","193","69.46"
"Chhotesuhnar","","","","","1","2","52","37","15","71.15"
"Chihra","","","","","1","1","23","15","8","65.22"
"Chihukapal","1","1","0","0","1","1","17","0","17","0.00"
"Chiprel","","","","","1","4","103","73","30","70.87"
"Dandwan","","","","","1","4","101","72","29","71.29"
"Dargarh","","","","","1","1","24","0","24","0.00"
"Deogaon","","","","","1","5","149","101","48","67.79"
"Dhanora","","","","","1","4","96","63","33","65.63"
"Dhobe","1","0","0","1","1","1","17","0","17","0.00"
