"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Aadmuda","","","","","1","1","127","127","0","100.00"
"Aamanara","","","","","1","3","143","143","0","100.00"
"Aamgaon","","","","","1","3","441","426","15","96.60"
"Achanak Pali","","","","","1","3","79","77","2","97.47"
"Achanak Pali Alias Churela","","","","","1","2","195","191","4","97.95"
"Adajhar","","","","","1","2","198","190","8","95.96"
"Adbahal","","","","","1","2","51","43","8","84.31"
"Adbhar","","","","","1","2","101","101","0","100.00"
"Adpathra","","","","","1","3","167","164","3","98.20"
"Adukala","","","","","1","6","236","218","18","92.37"
"Agasmar","","","","","1","1","93","83","10","89.25"
"Ainkra","","","","","1","3","64","64","0","100.00"
"Ajijgarh","","","","","1","1","48","48","0","100.00"
"Akabartola","","","","","1","2","31","28","3","90.32"
"Alola","","","","","1","6","277","277","0","100.00"
"Ama Koni","","","","","1","2","69","62","7","89.86"
"Amadol","","","","","1","1","49","44","5","89.80"
"Amaghat","","","","","1","6","261","256","5","98.08"
"Amakoni","","","","","1","5","53","24","29","45.28"
"Amakoni Bade","","","","","1","1","152","146","6","96.05"
"Amakoni Chhote","","","","","1","2","80","76","4","95.00"
"Amal Diha","","","","","1","1","370","370","0","100.00"
"Amaldiha","","","","","1","2","217","211","6","97.24"
"Amalibhauna","","","","","1","1","149","146","3","97.99"
"Amalidhondha","","","","","1","2","152","152","0","100.00"
"Amalidipa","","","","","1","2","150","145","5","96.67"
"Amalipali","","","","","1","1","53","50","3","94.34"
"Amalipali","","","","","1","2","42","41","1","97.62"
"Amalipali","","","","","1","1","39","39","0","100.00"
"Amalipali","","","","","1","1","65","62","3","95.38"
"Amalipali","","","","","1","6","587","571","16","97.27"
"Amalitikra","","","","","1","10","398","398","0","100.00"
"Amaljharia","","","","","1","1","30","27","3","90.00"
"Amapal","","","","","1","4","122","115","7","94.26"
"Amapali","","","","","1","3","126","117","9","92.86"
"Amapali","","","","","1","2","98","91","7","92.86"
"Amapali","","","","","1","2","180","174","6","96.67"
"Amapali","","","","","1","7","302","232","70","76.82"
"Amapali","","","","","1","2","249","245","4","98.39"
"Amapali","","","","","1","6","139","139","0","100.00"
"Ameri","","","","","1","3","113","105","8","92.92"
"Amethi","","","","","1","2","126","118","8","93.65"
"Amgaon","","","","","1","3","47","47","0","100.00"
"Amjhar","","","","","1","3","158","152","6","96.20"
"Amli Pali","","","","","1","2","138","119","19","86.23"
"Amlidih","","","","","1","4","316","300","16","94.94"
"Amoda","","","","","1","3","206","198","8","96.12"
"Amurra","","","","","1","1","314","314","0","100.00"
"Andola","","","","","1","4","528","517","11","97.92"
"Angekela","","","","","1","2","107","100","7","93.46"
"Anjoripali","","","","","1","3","300","283","17","94.33"
"Arsipali","","","","","1","3","172","163","9","94.77"
"Aunrabhantha","","","","","1","5","220","212","8","96.36"
"Auorajor","","","","","1","1","59","59","0","100.00"
"Auraimuda","","","","","1","1","116","87","29","75.00"
"Auranara","","","","","1","3","62","20","42","32.26"
"Aurda","","","","","1","3","449","443","6","98.66"
"Aurda","","","","","1","3","250","180","70","72.00"
"Bade Bhandar","","","","","1","1","216","216","0","100.00"
"Bade Dumarpali","","","","","1","3","278","244","34","87.77"
"Bade Gumda","","","","","1","5","206","153","53","74.27"
"Bade Jampali","","","","","1","2","129","129","0","100.00"
"Badedeogaon","","","","","1","2","538","532","6","98.88"
"Badehaldi","","","","","1","2","303","303","0","100.00"
"Badgaon","","","","","1","2","364","358","6","98.35"
"Badmal","","","","","1","2","95","89","6","93.68"
"Badpali","","","","","1","1","81","81","0","100.00"
"Bag Bidar","","","","","1","1","12","1","11","8.33"
"Bagbadi","","","","","1","2","112","112","0","100.00"
"Bagbandh","","","","","1","2","72","70","2","97.22"
"Bagbuda","","","","","1","2","44","41","3","93.18"
"Bagchaba","","","","","1","4","165","132","33","80.00"
"Bagdahi","","","","","1","4","141","141","0","100.00"
"Bagdewa","","","","","1","3","144","140","4","97.22"
"Baghadula","","","","","1","2","202","196","6","97.03"
"Baghanpur","","","","","1","1","63","61","2","96.83"
"Baghanpur","","","","","1","1","138","138","0","100.00"
"Bagjhar","","","","","1","1","32","28","4","87.50"
"Bagudega","","","","","1","7","345","315","30","91.30"
"Bagursiya","","","","","1","4","143","137","6","95.80"
"Bahalidih","","","","","1","1","84","81","3","96.43"
"Bahama","","","","","1","9","367","278","89","75.75"
"Baheramuda","","","","","1","5","131","93","38","70.99"
"Bahirkela","","","","","1","5","541","515","26","95.19"
"Baigin Jhariya","","","","","1","5","268","232","36","86.57"
"Baigindih","","","","","1","1","91","91","0","100.00"
"Baigindih","","","","","1","3","209","203","6","97.13"
"Baigindih","","","","","1","2","123","111","12","90.24"
"Baihamuda","","","","","1","5","437","395","42","90.39"
"Bairagi","","","","","1","1","25","25","0","100.00"
"Baiskimuda","","","","","1","10","475","353","122","74.32"
"Baispali","","","","","1","5","583","569","14","97.60"
"Baisy Colony","","","","","1","6","472","472","0","100.00"
"Bajarmuda","","","","","1","5","305","248","57","81.31"
"Bakalo","","","","","1","4","220","220","0","100.00"
"Bakaruma","","","","","1","7","250","250","0","100.00"
"Bakeli","","","","","1","2","178","146","32","82.02"
"Balakpondi","","","","","1","10","354","238","116","67.23"
"Balamgoda","","","","","1","4","310","297","13","95.81"
"Balbhadrapur","","","","","1","2","97","91","6","93.81"
"Baljor","","","","","1","3","91","69","22","75.82"
"Balpeda","","","","","1","4","214","214","0","100.00"
"Bamhanipali","","","","","1","1","52","49","3","94.23"
"Bamhanpali","","","","","1","2","55","52","3","94.55"
"Banai","","","","","1","4","166","147","19","88.55"
"Bandhanpur","","","","","1","2","74","74","0","100.00"
"Bandhanpur","","","","","1","8","224","224","0","100.00"
"Bandhapali","","","","","1","3","112","112","0","100.00"
"Bandhapali","","","","","1","1","127","127","0","100.00"
"Bandimal","","","","","1","2","131","130","1","99.24"
"Banekela","","","","","1","4","179","164","15","91.62"
"Bangarsuta","","","","","1","4","258","239","19","92.64"
"Banhar","","","","","1","1","86","81","5","94.19"
"Banhar","","","","","1","2","250","250","0","100.00"
"Banhar","","","","","1","2","151","151","0","100.00"
"Banhar","","","","","1","3","196","187","9","95.41"
"Banipathar","","","","","1","1","291","291","0","100.00"
"Banjari","","","","","1","3","211","200","11","94.79"
"Banjh Ama","","","","","1","3","172","163","9","94.77"
"Banjikhol","","","","","1","2","69","69","0","100.00"
"Banjipali","","","","","1","1","85","85","0","100.00"
"Banora","","","","","1","4","466","458","8","98.28"
"Bansajhar","","","","","1","4","288","288","0","100.00"
"Bansdand","","","","","1","7","416","346","70","83.17"
"Bansiya","","","","","1","3","232","220","12","94.83"
"Bansmuda","","","","","1","1","193","182","11","94.30"
"Banwaspali","","","","","1","2","73","71","2","97.26"
"Bar","","","","","1","5","819","813","6","99.27"
"Bar Bhantha","","","","","1","1","245","238","7","97.14"
"Bara Dawan","","","","","1","4","86","82","4","95.35"
"Baradoli","","","","","1","2","152","146","6","96.05"
"Barampura","","","","","1","1","43","41","2","95.35"
"Baratangar","","","","","1","2","39","39","0","100.00"
"Baratapali","","","","","1","6","168","149","19","88.69"
"Baraud","","","","","1","4","247","244","3","98.79"
"Barbahli","","","","","1","1","49","49","0","100.00"
"Barbaspur","","","","","1","5","86","71","15","82.56"
"Barbhantha","","","","","1","1","55","54","1","98.18"
"Barbhantha","","","","","1","2","76","68","8","89.47"
"Barbhauna","","","","","1","2","270","234","36","86.67"
"Bardapuri","","","","","1","4","402","393","9","97.76"
"Bardarha","","","","","1","1","46","46","0","100.00"
"Bardih","","","","","1","3","133","130","3","97.74"
"Bardula","","","","","1","2","648","647","1","99.85"
"Bargaon","","","","","1","2","325","325","0","100.00"
"Bargarh","","","","","1","4","182","164","18","90.11"
"Barkachar","","","","","1","3","76","68","8","89.47"
"Barkaspali","","","","","1","3","298","260","38","87.25"
"Barliya","","","","","1","2","163","160","3","98.16"
"Barmuda","","","","","1","3","214","211","3","98.60"
"Baronakunda","","","","","1","3","315","303","12","96.19"
"Barpali","","","","","1","3","312","307","5","98.40"
"Barpali","","","","","1","1","108","105","3","97.22"
"Barpali","","","","","1","2","218","215","3","98.62"
"Barpali","","","","","1","3","229","222","7","96.94"
"Barpali","","","","","1","4","290","270","20","93.10"
"Barra","","","","","1","3","398","382","16","95.98"
"Bartunga","","","","","1","1","135","132","3","97.78"
"Basanpali","","","","","1","1","226","226","0","100.00"
"Basanpali","","","","","1","3","324","322","2","99.38"
"Basanpali","","","","","1","5","423","380","43","89.83"
"Basanpali","","","","","1","2","74","71","3","95.95"
"Basanpali","","","","","1","2","44","42","2","95.45"
"Basantpur","","","","","1","1","110","90","20","81.82"
"Basantpur","","","","","1","6","359","359","0","100.00"
"Basin Bahra","","","","","1","1","80","74","6","92.50"
"Basnajhar","","","","","1","3","262","256","6","97.71"
"Batati","","","","","1","4","161","122","39","75.78"
"Bataupali","","","","","1","2","161","157","4","97.52"
"Bataupali","","","","","1","1","236","236","0","100.00"
"Batura Kachar","","","","","1","4","340","314","26","92.35"
"Bayang","","","","","1","5","836","809","27","96.77"
"Bayasi","","","","","1","6","454","454","0","100.00"
"Behara Bahal","","","","","1","1","29","28","1","96.55"
"Beharapali","","","","","1","2","155","153","2","98.71"
"Behra Chuwa","","","","","1","1","16","12","4","75.00"
"Behrabahal","","","","","1","1","50","48","2","96.00"
"Behramar","","","","","1","7","395","362","33","91.65"
"Belpali","","","","","1","2","152","147","5","96.71"
"Belpali","","","","","1","2","77","69","8","89.61"
"Belriya","","","","","1","2","450","446","4","99.11"
"Beltikri","","","","","1","1","61","61","0","100.00"
