"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achholi","","","","","1","1","166","143","23","86.14"
"Adsena","","","","","1","2","553","552","1","99.82"
"Akoldih Alias (Khapari)","","","","","1","1","148","148","0","100.00"
"Akoli Kalan-1 (Akolikal","","","","","1","3","156","128","28","82.05"
"Akoli Khurd-1 (Akolikhu","","","","","1","4","95","95","0","100.00"
"Akoli-1(Akoli)","","","","","1","2","121","120","1","99.17"
"Akoli-2 (Akoli)","","","","","1","3","167","167","0","100.00"
"Akolikalan-2 (Akolikala","","","","","1","2","153","145","8","94.77"
"Akolikhurd-2 (Akolikhur","","","","","1","1","167","167","0","100.00"
"Alda","","","","","1","2","193","193","0","100.00"
"Alekhuta","","","","","1","3","247","238","9","96.36"
"Alesur","","","","","1","2","215","195","20","90.70"
"Ama Seoni","","","","","1","3","524","524","0","100.00"
"Amadi","","","","","1","4","270","240","30","88.89"
"Ameri","","","","","1","3","156","156","0","100.00"
"Amethi","","","","","1","2","180","180","0","100.00"
"Amlitalab","","","","","1","2","104","104","0","100.00"
"Amner","","","","","1","2","298","274","24","91.95"
"Amodi","","","","","1","3","303","293","10","96.70"
"Amsena","","","","","1","3","380","379","1","99.74"
"Asaunda","","","","","1","2","411","411","0","100.00"
"Badgaon","","","","","1","2","296","285","11","96.28"
"Baheradih","","","","","1","2","35","35","0","100.00"
"Bahesar","","","","","1","1","368","355","13","96.47"
"Bahesar-2 (Bahesar)","","","","","1","3","136","124","12","91.18"
"Bahnakadi","","","","","1","2","212","183","29","86.32"
"Baihar","","","","","1","3","260","229","31","88.08"
"Bakatra-1 (Baktra)","","","","","1","3","251","251","0","100.00"
"Baktara-2 (Baktara)","","","","","1","4","559","559","0","100.00"
"Balaudi Khurd","","","","","1","1","29","29","0","100.00"
"Ban Charauda","","","","","1","1","141","133","8","94.33"
"Bana-1 (Bana)","","","","","1","8","413","402","11","97.34"
"Bana-2 (Bana)","","","","","1","2","348","348","0","100.00"
"Banarsi-I (Banarsi)","","","","","1","4","502","489","13","97.41"
"Bangoli","","","","","1","2","337","337","0","100.00"
"Banjari","","","","","1","2","72","72","0","100.00"
"Baratnara","","","","","1","3","135","135","0","100.00"
"Barauda","","","","","1","3","359","342","17","95.26"
"Barauda-1 (Barauda)","","","","","1","1","302","279","23","92.38"
"Barbanda","","","","","1","2","409","409","0","100.00"
"Barbhata","","","","","1","2","159","159","0","100.00"
"Barchha","","","","","1","3","176","167","9","94.89"
"Bardih","","","","","1","1","81","71","10","87.65"
"Baronda","","","","","1","2","261","253","8","96.93"
"Bartori","","","","","1","1","228","215","13","94.30"
