"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achanakpur","","","","","1","3","161","75","86","46.58"
"Achanakpur","","","","","1","1","251","251","0","100.00"
"Achanakpur Nawagaon","","","","","1","1","102","102","0","100.00"
"Achholi","","","","","1","1","102","102","0","100.00"
"Achholi","","","","","1","4","179","133","46","74.30"
"Achholi","","","","","1","1","189","189","0","100.00"
"Adamagondi","","","","","1","6","348","259","89","74.43"
"Adasmeta","","","","","1","2","53","37","16","69.81"
"Adejhar","","","","","1","4","344","337","7","97.97"
"Adhaikatta/Dandasur","","","","","1","3","111","80","31","72.07"
"Adjal","","","","","1","3","207","207","0","100.00"
"Akatkanhar","","","","","1","2","137","121","16","88.32"
"Akrajan","","","","","1","2","174","174","0","100.00"
"Alidand","","","","","1","2","108","108","0","100.00"
"Alikhunta","","","","","1","2","134","134","0","100.00"
"Alikhunta","","","","","1","1","129","129","0","100.00"
"Aliwara","","","","","1","5","101","74","27","73.27"
"Aliwara","","","","","1","2","90","42","48","46.67"
"Alkanhar","1","1","0","0","1","3","273","233","40","85.35"
"Alkanhar","1","1","0","0","1","2","59","59","0","100.00"
"Ama Tola","","","","","1","8","381","334","47","87.66"
"Amadula","","","","","1","3","193","172","21","89.12"
"Amagaon","","","","","1","1","296","282","14","95.27"
"Amaghat Kanda","","","","","1","5","429","216","213","50.35"
"Amakatta","","","","","1","2","115","80","35","69.57"
"Amakodo","","","","","1","2","58","58","0","100.00"
"Amalipara","","","","","1","1","70","70","0","100.00"
"Amarpur","","","","","1","1","33","22","11","66.67"
"Amdani","","","","","1","2","150","136","14","90.67"
"Amgaon","","","","","1","1","162","156","6","96.30"
"Amgaon","","","","","1","1","206","100","106","48.54"
"Amgaon","","","","","1","7","293","200","93","68.26"
"Amlidih","","","","","1","1","210","210","0","100.00"
"Amlidih","","","","","1","1","165","165","0","100.00"
"Amlidih","","","","","1","3","127","89","38","70.08"
"Amlidih Kalan","","","","","1","2","462","462","0","100.00"
"Ampayali","","","","","1","1","55","55","0","100.00"
"Andi","","","","","1","4","462","378","84","81.82"
"Angara","","","","","1","3","110","48","62","43.64"
"Aniya Tola","","","","","1","1","12","6","6","50.00"
"Anjora","","","","","1","3","1288","1288","0","100.00"
"Ankalkuwa","","","","","1","1","53","32","21","60.38"
"Anko","","","","","1","2","164","102","62","62.20"
"Arai Kund","","","","","1","1","143","76","67","53.15"
"Araj Kund","","","","","1","8","353","293","60","83.00"
"Arbira","","","","","1","1","157","157","0","100.00"
"Archedabri","","","","","1","1","87","87","0","100.00"
"Argaon","","","","","1","1","53","53","0","100.00"
"Ari","","","","","1","4","454","414","40","91.19"
"Arjuni","","","","","1","4","696","692","4","99.43"
"Arla","","","","","1","3","363","363","0","100.00"
"Arsi Tola","","","","","1","3","198","198","0","100.00"
"Asara","","","","","1","4","698","698","0","100.00"
"Atargaon","","","","","1","1","100","18","82","18.00"
"Atargaon","","","","","1","6","235","220","15","93.62"
"Ataria","","","","","1","2","534","519","15","97.19"
"Atariya","","","","","1","2","85","32","53","37.65"
"Ategarda","","","","","1","4","148","123","25","83.11"
"Atra","","","","","1","3","140","127","13","90.71"
"Atra","","","","","1","3","191","82","109","42.93"
"Aundhi","","","","","1","4","339","277","62","81.71"
"Aurda","","","","","1","2","164","142","22","86.59"
"Aveli","","","","","1","1","258","258","0","100.00"
"Ayabandha","","","","","1","1","147","122","25","82.99"
"Babunawagaon","","","","","1","2","79","56","23","70.89"
"Bachhera Batha","","","","","1","1","188","188","0","100.00"
"Badbhum","","","","","1","3","310","310","0","100.00"
"Badgada","","","","","1","1","40","40","0","100.00"
"Badgaon","","","","","1","2","78","78","0","100.00"
"Badgaon","","","","","1","2","290","210","80","72.41"
"Badgaon  Charbhatha","","","","","1","6","451","451","0","100.00"
"Badhai Tola","","","","","1","3","294","288","6","97.96"
"Badma","","","","","1","2","78","67","11","85.90"
"Badra Tola","","","","","1","3","256","142","114","55.47"
"Bagaijhori","","","","","1","1","23","23","0","100.00"
"Bagarjhola","","","","","1","3","141","72","69","51.06"
"Bagdai","","","","","1","3","327","320","7","97.86"
"Bagdo","","","","","1","2","65","40","25","61.54"
"Bagdongari","","","","","1","5","137","117","20","85.40"
"Bagdur","","","","","1","2","151","50","101","33.11"
"Bagdwar","","","","","1","2","328","200","128","60.98"
"Baghera","","","","","1","4","436","436","0","100.00"
"Baghmar","","","","","1","2","77","77","0","100.00"
"Baghmarra","","","","","1","2","298","298","0","100.00"
"Baghmarra","","","","","1","1","108","48","60","44.44"
"Baginsur","","","","","1","2","91","91","0","100.00"
"Bagnadi","","","","","1","1","93","50","43","53.76"
"Bagnadi","","","","","1","1","59","38","21","64.41"
"Bagnara","","","","","1","4","276","245","31","88.77"
"Bagra Kasa","","","","","1","5","493","425","68","86.21"
"Bagtarai","","","","","1","2","183","183","0","100.00"
"Bagur","","","","","1","2","182","145","37","79.67"
"Bahera Bhata","","","","","1","2","67","50","17","74.63"
"Bahoranbhedi","","","","","1","2","213","198","15","92.96"
"Baiga Salhewara","","","","","1","1","62","28","34","45.16"
"Baiga Tola","","","","","1","1","267","267","0","100.00"
"Baigatola","","","","","1","1","207","207","0","100.00"
"Baihatola","","","","","1","2","189","170","19","89.95"
"Baikatori","","","","","1","2","116","50","66","43.10"
"Bairagi Bhendi","","","","","1","2","175","175","0","100.00"
"Bajguda","","","","","1","3","296","287","9","96.96"
"Bajrangidih","","","","","1","2","178","147","31","82.58"
"Bajrangpur","","","","","1","3","230","168","62","73.04"
"Bajrangpur","","","","","1","1","163","152","11","93.25"
"Bakalsarra","","","","","1","1","132","132","0","100.00"
"Bakar Katta","","","","","1","2","141","32","109","22.70"
"Bakhru Tola","","","","","1","1","124","50","74","40.32"
"Bakledi","","","","","1","1","157","157","0","100.00"
"Bakona","","","","","1","1","70","70","0","100.00"
"Baldeopur","","","","","1","1","209","209","0","100.00"
"Baler","","","","","1","1","45","45","0","100.00"
"Balrampur","","","","","1","1","22","14","8","63.64"
"Bamhanee","","","","","1","1","77","77","0","100.00"
"Bamhani Bhatha","","","","","1","3","411","411","0","100.00"
"Bamhni","","","","","1","1","116","116","0","100.00"
"Bamhni Charbhatha","","","","","1","5","446","351","95","78.70"
"Ban Nawagaon","","","","","1","1","280","224","56","80.00"
"Banbhedi","","","","","1","2","195","195","0","100.00"
"Bandbod","","","","","1","2","174","163","11","93.68"
"Bandhatola","","","","","1","1","79","72","7","91.14"
"Banhardi","","","","","1","3","165","149","16","90.30"
"Baniya Tola","","","","","1","2","163","163","0","100.00"
"Banjari","","","","","1","4","133","99","34","74.44"
"Banjari","","","","","1","2","119","96","23","80.67"
"Banjari","","","","","1","1","18","18","0","100.00"
"Banjarpur","","","","","1","2","214","190","24","88.79"
"Bankal","","","","","1","1","141","141","0","100.00"
"Bankal","","","","","1","3","237","208","29","87.76"
"Banshi Banjari","","","","","1","2","142","50","92","35.21"
"Banspahad","","","","","1","3","158","119","39","75.32"
"Baphara","","","","","1","1","153","153","0","100.00"
"Bapu Tola","","","","","1","4","261","188","73","72.03"
"Barampur","","","","","1","1","54","54","0","100.00"
"Barar Mundi","","","","","1","4","170","129","41","75.88"
"Barbaspur","","","","","1","3","61","24","37","39.34"
"Barbaspur","","","","","1","1","118","48","70","40.68"
"Barbaspur","","","","","1","2","161","148","13","91.93"
"Barbaspur","","","","","1","2","201","201","0","100.00"
"Barcha Kutumb","","","","","1","2","41","31","10","75.61"
"Barchha Tola","","","","","1","1","112","54","58","48.21"
"Bardih","","","","","1","1","41","22","19","53.66"
"Bareth Tola","","","","","1","1","59","58","1","98.31"
"Barga","","","","","1","2","331","331","0","100.00"
"Bargahi","","","","","1","2","153","153","0","100.00"
"Bargahi","","","","","1","2","155","132","23","85.16"
"Bargaon","","","","","1","1","51","51","0","100.00"
"Bargaon","","","","","1","3","166","147","19","88.55"
