"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achkat","","","","","1","4","92","67","25","72.83"
"Alampalli","1","0","0","1","1","4","123","76","47","61.79"
"Amapenta","1","0","0","1","1","1","5","0","5","0.00"
"Andumpal","","","","","1","3","83","56","27","67.47"
"Arepad","1","0","0","1","1","1","5","0","5","0.00"
"Argutta(Bodiguda)","1","1","0","0","1","6","98","0","98","0.00"
"Arlampalli","1","0","0","1","1","1","5","3","2","60.00"
"Arlapenta","1","1","0","0","1","2","10","0","10","0.00"
"Asirguda","","","","","1","3","78","47","31","60.26"
"Ategatta","1","1","0","0","1","1","15","0","15","0.00"
"Atkariras","","","","","1","8","253","180","73","71.15"
"Badanpal","","","","","1","3","71","44","27","61.97"
"Bade Gangulawa","","","","","1","3","48","29","19","60.42"
"Badehirma","1","0","0","1","1","2","10","0","10","0.00"
"Badekedwad","1","0","0","1","1","3","15","0","15","0.00"
"Badesatti","","","","","1","15","335","238","97","71.04"
"Bagdeguda","1","1","0","0","1","4","20","0","20","0.00"
"Bainpalli","1","0","0","1","1","3","15","0","15","0.00"
"Bakulaghat","","","","","1","3","95","72","23","75.79"
"Banda","1","0","0","1","1","5","125","0","125","0.00"
"Banjalwahi","1","0","0","1","1","4","20","0","20","0.00"
"Banjamguda","1","1","0","0","1","3","52","12","40","23.08"
"Banjepalli","","","","","1","4","58","35","23","60.34"
"Bankamadgu","1","1","0","0","1","1","46","26","20","56.52"
"Bardelpad (Tongguda)","1","0","0","1","1","4","54","22","32","40.74"
"Bater","1","0","0","1","1","1","5","0","5","0.00"
"Bedre","","","","","1","4","76","45","31","59.21"
"Bermaor","1","0","0","1","1","2","10","0","10","0.00"
"Bhandarchalka","1","0","0","1","1","2","10","0","10","0.00"
"Bhandarpadar","1","0","0","1","1","7","35","0","35","0.00"
"Bhandarras","","","","","1","3","76","55","21","72.37"
"Bhatpad","1","0","0","1","1","4","20","0","20","0.00"
"Bhattiguda","1","1","0","0","1","3","15","0","15","0.00"
"Bheji","1","0","0","1","1","9","240","106","134","44.17"
"Bhelwapal","","","","","1","8","230","162","68","70.43"
"Bhimapuram  (Karkanguda","","","","","1","3","82","50","32","60.98"
"Bhimapuram(Mishiguda)","1","0","0","1","1","4","20","0","20","0.00"
"Birabhatti","1","0","0","1","1","1","31","0","31","0.00"
"Birla","","","","","1","4","82","57","25","69.51"
"Birsatpal","","","","","1","6","191","110","81","57.59"
"Bodko","","","","","1","9","182","113","69","62.09"
"Bodrajpadar","1","0","0","1","1","1","5","0","5","0.00"
"Bodumpad","1","0","0","1","1","1","5","0","5","0.00"
"Bolangtong","1","0","0","1","1","1","5","0","5","0.00"
"Borguda","","","","","1","5","103","75","28","72.82"
"Buddi","","","","","1","1","19","12","7","63.16"
"Burkapal","1","0","0","1","1","4","63","36","27","57.14"
"Burklanka","1","0","0","1","1","5","25","0","25","0.00"
"Burungpad","1","1","0","0","1","1","5","0","5","0.00"
"Chhindgarh","","","","","1","14","738","673","65","91.19"
"Chhotegan Gulawa","1","0","0","1","1","1","5","0","5","0.00"
"Chhotekedwad","1","0","0","1","1","2","10","0","10","0.00"
"Chhuragatta","","","","","1","3","107","72","35","67.29"
"Chichorguda","1","1","0","0","1","3","140","120","20","85.71"
"Chidpal","","","","","1","8","200","134","66","67.00"
"Chikaras","","","","","1","1","30","24","6","80.00"
"Chikpal","","","","","1","1","33","25","8","75.76"
"Chikpalli","1","1","0","0","1","9","45","0","45","0.00"
"Chimli","","","","","1","3","47","36","11","76.60"
"Chimlilava","1","0","0","1","1","5","25","0","25","0.00"
"Chingawaram","","","","","1","4","67","47","20","70.15"
"Chinnabodkel","1","0","0","1","1","4","20","0","20","0.00"
"Chintagupha","1","0","0","1","1","7","35","21","14","60.00"
"Chintagupha","1","0","0","1","1","2","45","33","12","73.33"
"Chintakonta","","","","","1","1","31","26","5","83.87"
"Chintalnar","1","0","0","1","1","14","318","63","255","19.81"
"Chipurpal","","","","","1","8","303","224","79","73.93"
"Chirmur","","","","","1","2","42","27","15","64.29"
"Chitalnar","","","","","1","9","251","185","66","73.71"
"Chiurwada","","","","","1","6","126","83","43","65.87"
"Choupel","","","","","1","1","28","17","11","60.71"
"Chuleras","","","","","1","4","89","64","25","71.91"
"Dabba","1","1","0","0","1","5","25","0","25","0.00"
"Dabbakonta","1","0","0","1","1","3","15","0","15","0.00"
"Dabbapad","1","0","0","1","1","1","5","0","5","0.00"
"Dandabadi","","","","","1","8","189","137","52","72.49"
"Danteshapuram","1","0","0","1","1","3","15","0","15","0.00"
"Dewarpalli","","","","","1","1","19","12","7","63.16"
"Dhanikodta","1","1","0","0","1","5","99","55","44","55.56"
"Dharma Penta","1","1","0","0","1","1","5","0","5","0.00"
"Dharmaram","1","0","0","1","1","1","5","0","5","0.00"
"Dhobanpal","","","","","1","9","266","180","86","67.67"
"Dhondhara","","","","","1","10","297","198","99","66.67"
"Dodpal","","","","","1","15","538","382","156","71.00"
"Dokpad","1","0","0","1","1","2","10","0","10","0.00"
"Doleras","","","","","1","2","55","38","17","69.09"
"Dorabhangoo","1","1","0","0","1","1","18","15","3","83.33"
"Dubbamarka","1","0","0","1","1","1","5","0","5","0.00"
"Dubbamarka","1","0","0","1","1","5","89","54","35","60.67"
"Dubbatota","","","","","1","5","271","234","37","86.35"
"Duled","1","0","0","1","1","6","30","0","30","0.00"
"Durandarbha","","","","","1","7","103","58","45","56.31"
"Durma","1","0","0","1","1","1","5","0","5","0.00"
"Durma","1","0","0","1","1","4","20","0","20","0.00"
"Eladamdagoo","1","0","0","1","1","2","10","0","10","0.00"
"Elkan Guda","1","1","0","0","1","2","40","0","40","0.00"
"Elmagunda","1","0","0","1","1","4","20","0","20","0.00"
"Entapad","1","0","0","1","1","4","20","0","20","0.00"
"Errabore","","","","","1","11","478","325","153","67.99"
"Etampad","1","0","0","1","1","1","5","0","5","0.00"
"Gachanpalli","1","0","0","1","1","6","30","0","30","0.00"
"Gadiras","","","","","1","25","505","373","132","73.86"
"Gaganpalli","1","0","0","1","1","8","221","90","131","40.72"
"Gangarajpad","1","0","0","1","1","2","10","0","10","0.00"
"Gangrel","1","1","0","0","1","3","44","42","2","95.45"
"Ganjenar","","","","","1","10","269","189","80","70.26"
"Garipal","","","","","1","8","103","61","42","59.22"
"Gattapad","1","0","0","1","1","4","20","0","20","0.00"
"Gattapad","1","0","0","1","1","2","10","0","10","0.00"
"Geedam","","","","","1","7","117","62","55","52.99"
"Godelguda","1","0","0","1","1","3","79","47","32","59.49"
"Gogunda","","","","","1","6","94","56","38","59.57"
"Golabekur","","","","","1","8","245","177","68","72.24"
"Golagudiam","","","","","1","2","24","15","9","62.50"
"Golapalli","","","","","1","2","51","31","20","60.78"
"Gomapad","1","0","0","1","1","2","10","0","10","0.00"
"Gonderas","1","1","0","0","1","8","247","211","36","85.43"
"Gondiguda","","","","","1","3","63","39","24","61.90"
"Gondpalli","1","1","0","0","1","3","90","70","20","77.78"
"Gondpalli","1","1","0","0","1","7","236","170","66","72.03"
"Gondpalli (Mandi Marka)","1","0","0","1","1","5","25","0","25","0.00"
"Gongla","","","","","1","11","245","164","81","66.94"
"Gorgunda","","","","","1","5","210","180","30","85.71"
"Gorkha","1","1","0","0","1","2","43","31","12","72.09"
"Gorli","","","","","1","9","310","193","117","62.26"
"Gudra","","","","","1","5","59","36","23","61.02"
"Gudraj Pad","1","0","0","1","1","1","5","0","5","0.00"
"Gumma","","","","","1","14","219","153","66","69.86"
"Gumodi","1","0","0","1","1","3","15","0","15","0.00"
"Guphadi","1","1","0","0","1","8","210","85","125","40.48"
"Hamirgarh","","","","","1","6","109","67","42","61.47"
"Hikmiras","","","","","1","2","111","86","25","77.48"
"Injaram","","","","","1","3","127","119","8","93.70"
"Irpa","","","","","1","3","53","30","23","56.60"
"Itagupha","","","","","1","1","17","11","6","64.71"
"Itrajpad","1","0","0","1","1","4","20","0","20","0.00"
"Jabagatta","1","0","0","1","1","3","15","0","15","0.00"
"Jabeli","1","0","0","1","1","2","10","0","10","0.00"
"Jagaram","","","","","1","2","50","30","20","60.00"
"Jagargunda","1","1","0","0","1","9","45","0","45","0.00"
"Jagawaram","1","1","0","0","1","3","40","38","2","95.00"
"Jaimer","","","","","1","5","69","41","28","59.42"
"Jangampal","","","","","1","2","83","55","28","66.27"
"Jatapad","1","0","0","1","1","2","10","0","10","0.00"
"Jeerampal","","","","","1","19","315","197","118","62.54"
"Jhapra","","","","","1","5","130","104","26","80.00"
"Jinilanka","1","1","0","0","1","1","5","0","5","0.00"
"Jonaguda","1","0","0","1","1","3","15","0","15","0.00"
"Jorutong Alias Kokarpal","","","","","1","6","128","89","39","69.53"
"Kamaram","","","","","1","6","91","55","36","60.44"
"Kamrajpad","1","0","0","1","1","2","15","0","15","0.00"
"Kangaltong","1","0","0","1","1","6","30","0","30","0.00"
"Kanhaiguda","1","1","0","0","1","2","18","15","3","83.33"
"Kanhaiguda","1","1","0","0","1","2","43","0","43","0.00"
"Kanhaiguda","1","1","0","0","1","4","73","45","28","61.64"
"Kanhaiguda","1","1","0","0","1","2","10","0","10","0.00"
"Kanhaiguda (Nelmeta)","1","0","0","1","1","1","5","0","5","0.00"
"Kanhaimarka","1","1","0","0","1","3","15","0","15","0.00"
"Kanjipani","","","","","1","7","219","165","54","75.34"
"Kankerlanka","","","","","1","7","102","64","38","62.75"
"Kansaram","1","1","0","0","1","1","5","0","5","0.00"
"Karigudam","1","0","0","1","1","4","28","0","28","0.00"
"Karigundam","1","0","0","1","1","2","10","0","10","0.00"
"Kasalpar","1","0","0","1","1","4","20","0","20","0.00"
"Kawarakopa","","","","","1","9","202","146","56","72.28"
"Kawasiras","","","","","1","8","233","178","55","76.39"
"Keratong","","","","","1","3","97","62","35","63.92"
"Kerlapal","","","","","1","14","363","269","94","74.10"
"Kerlapenda","","","","","1","6","133","95","38","71.43"
"Kikirpal","","","","","1","9","224","154","70","68.75"
"Kindarelpad","1","0","0","1","1","3","15","0","15","0.00"
"Kindarwada","","","","","1","11","291","212","79","72.85"
"Kista Ram","","","","","1","3","147","88","59","59.86"
"Kistaram","1","1","0","0","1","2","120","0","120","0.00"
"Kodmer","1","0","0","1","1","2","10","0","10","0.00"
"Kodripal","","","","","1","7","165","124","41","75.15"
"Kokalpal","","","","","1","3","92","70","22","76.09"
"Konanguda","","","","","1","6","82","58","24","70.73"
"Kondasawali","","","","","1","7","120","71","49","59.17"
"Kondre","","","","","1","14","311","220","91","70.74"
"Kora","","","","","1","1","29","21","8","72.41"
"Korajguda","1","0","0","1","1","3","15","0","15","0.00"
"Korrapad","1","0","0","1","1","18","90","54","36","60.00"
"Kosa Bandar","","","","","1","4","107","79","28","73.83"
"Kosampad","1","0","0","1","1","2","10","0","10","0.00"
"Kotaguda","","","","","1","3","115","69","46","60.00"
"Kotaiguda","1","0","0","1","1","6","39","0","39","0.00"
"Kotapalli","","","","","1","6","115","70","45","60.87"
"Kotur","1","1","0","0","1","2","54","51","3","94.44"
"Koya Bekur","","","","","1","9","201","133","68","66.17"
"Kudkel","","","","","1","2","55","40","15","72.73"
"Kudukras","","","","","1","3","82","63","19","76.83"
"Kumad Tong","1","0","0","1","1","2","10","0","10","0.00"
"Kumakoleng","","","","","1","5","68","45","23","66.18"
"Kundanpal","","","","","1","15","359","246","113","68.52"
"Kunded","","","","","1","5","90","54","36","60.00"
"Kunna","","","","","1","11","440","281","159","63.86"
"Lakhapal","1","1","0","0","1","3","15","0","15","0.00"
"Leda","","","","","1","10","315","216","99","68.57"
"Lendra","1","0","0","1","1","6","112","21","91","18.75"
"Linganpalli","1","1","0","0","1","1","37","32","5","86.49"
"Litiras","","","","","1","6","189","125","64","66.14"
"Mahima","","","","","1","2","78","52","26","66.67"
"Mamirguda","1","1","0","0","1","9","45","0","45","0.00"
"Mandimarka","","","","","1","5","109","65","44","59.63"
"Mangalguda","1","1","0","0","1","1","5","0","5","0.00"
"Mangalguda","1","1","0","0","1","2","44","26","18","59.09"
"Mangipal","","","","","1","4","92","71","21","77.17"
"Manikonta","","","","","1","3","104","90","14","86.54"
"Mankapal","1","1","0","0","1","6","229","170","59","74.24"
"Maraiguda","1","1","0","0","1","1","5","0","5","0.00"
"Maraiguda","1","1","0","0","1","8","132","80","52","60.61"
"Marenga","","","","","1","9","239","149","90","62.34"
"Maroki","1","1","0","0","1","13","319","204","115","63.95"
"Medvahi (Tongguda)","1","0","0","1","1","6","191","63","128","32.98"
"Mehta","","","","","1","2","59","36","23","61.02"
"Mekhawaya","","","","","1","5","131","95","36","72.52"
"Melasur","1","0","0","1","1","5","25","0","25","0.00"
