"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhaypur","","","","","1","5","146","123","23","84.25"
"Agustpur Alias Dhodha","","","","","1","7","341","306","35","89.74"
"Ajabnagar","","","","","1","8","208","175","33","84.13"
"Ajirma","","","","","1","8","461","425","36","92.19"
"Akhora Kalan","","","","","1","6","422","351","71","83.18"
"Akshyapur","","","","","1","5","143","113","30","79.02"
"Amandon","","","","","1","8","231","192","39","83.12"
"Amgaon","","","","","1","7","281","241","40","85.77"
"Amgaon","","","","","1","11","354","276","78","77.97"
"Anandpur","","","","","1","4","97","89","8","91.75"
"Anantpur","","","","","1","9","248","146","102","58.87"
"Anjani","","","","","1","6","131","107","24","81.68"
"Annapurna","","","","","1","6","288","151","137","52.43"
"Anrokha","","","","","1","8","434","291","143","67.05"
"Anujnagar","","","","","1","6","250","215","35","86.00"
"Archoka","1","1","0","0","1","3","65","0","65","0.00"
"Arjun Nagar Alias Amakhoh","","","","","1","2","60","55","5","91.67"
"Arjunpur  Alias Amkhoh","","","","","1","11","302","250","52","82.78"
"Asura","","","","","1","5","88","3","85","3.41"
"Awantikapur","","","","","1","5","290","268","22","92.41"
"Babhana","","","","","1","3","95","85","10","89.47"
"Badrikasharam","","","","","1","5","122","109","13","89.34"
"Badsara","","","","","1","5","318","262","56","82.39"
"Badwar","","","","","1","4","83","4","79","4.82"
"Badwar","","","","","1","7","226","169","57","74.78"
"Bagda","","","","","1","11","470","366","104","77.87"
"Baijnathnagar","","","","","1","6","303","244","59","80.53"
"Baijnathpur","","","","","1","8","277","218","59","78.70"
"Baikona","","","","","1","9","353","329","24","93.20"
"Bakalo","","","","","1","13","380","284","96","74.74"
"Bakana","","","","","1","4","154","102","52","66.23"
"Bakirma","","","","","1","8","420","347","73","82.62"
"Baldevnagar","","","","","1","5","101","81","20","80.20"
"Balrampur","","","","","1","3","157","138","19","87.90"
"Bangawan","","","","","1","2","64","2","62","3.13"
"Banja","","","","","1","9","586","490","96","83.62"
"Bank","","","","","1","5","101","11","90","10.89"
"Banki","","","","","1","3","45","3","42","6.67"
"Bansapara","","","","","1","5","218","164","54","75.23"
"Banshipur","","","","","1","7","382","290","92","75.92"
"Baraudhi","","","","","1","7","343","321","22","93.59"
"Baraul","","","","","1","5","215","163","52","75.81"
"Baraul","","","","","1","6","96","81","15","84.38"
"Barbaspur","","","","","1","7","358","305","53","85.20"
"Barbaspur","","","","","1","11","473","369","104","78.01"
"Bargidih","","","","","1","3","58","45","13","77.59"
"Barhol","","","","","1","5","202","158","44","78.22"
