"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adchi","","","","","1","8","277","212","65","76.53"
"Agasi","","","","","1","4","190","143","47","75.26"
"Ajirma Kalan","","","","","1","6","205","175","30","85.37"
"Alga","","","","","1","4","60","47","13","78.33"
"Amadarha","","","","","1","8","117","89","28","76.07"
"Amalbhiti","","","","","1","5","560","483","77","86.25"
"Amatoli","","","","","1","5","351","252","99","71.79"
"Amdala","","","","","1","5","278","219","59","78.78"
"Amdi","","","","","1","5","263","252","11","95.82"
"Amera","","","","","1","4","82","62","20","75.61"
"Amgaon","1","1","0","0","1","5","236","211","25","89.41"
"Amgaon","1","1","0","0","1","5","172","156","16","90.70"
"Amgasi","","","","","1","5","306","261","45","85.29"
"Andhla","","","","","1","10","608","481","127","79.11"
"Ara","","","","","1","17","359","279","80","77.72"
"Argoti","","","","","1","7","361","233","128","64.54"
"Asandih","","","","","1","5","181","154","27","85.08"
"Asgawan","","","","","1","9","279","18","261","6.45"
"Askala","","","","","1","6","550","459","91","83.45"
"Askara Alias Madwasarai","","","","","1","5","133","113","20","84.96"
"Asola","","","","","1","7","206","127","79","61.65"
"Babouli","","","","","1","9","281","250","31","88.97"
"Bada Damali","","","","","1","11","551","409","142","74.23"
"Badani Jharia","","","","","1","5","160","153","7","95.63"
"Badegaon","","","","","1","5","98","80","18","81.63"
"Badgari","","","","","1","5","337","294","43","87.24"
"Badhiya Chuwan","","","","","1","3","45","40","5","88.89"
"Bagdarri","","","","","1","7","398","365","33","91.71"
"Bagdoli","","","","","1","5","208","176","32","84.62"
"Baheradih","","","","","1","4","154","122","32","79.22"
"Baijnathpur","","","","","1","2","19","14","5","73.68"
"Bakalo","","","","","1","8","227","201","26","88.55"
"Bakela","","","","","1","4","61","49","12","80.33"
"Bakirma","","","","","1","10","257","206","51","80.16"
"Bakmer","","","","","1","4","135","120","15","88.89"
"Bakna Kalan","","","","","1","11","459","350","109","76.25"
"Bakna Khurd","","","","","1","5","171","142","29","83.04"
"Bakoi","","","","","1","5","116","0","116","0.00"
"Balampur","","","","","1","4","131","119","12","90.84"
"Balsedi","","","","","1","4","208","180","28","86.54"
"Bamlaya","","","","","1","5","218","168","50","77.06"
"Bandana","","","","","1","11","547","392","155","71.66"
"Bandha","","","","","1","6","380","328","52","86.32"
"Baneya","","","","","1","10","365","309","56","84.66"
"Bangru","","","","","1","2","63","57","6","90.48"
"Bankheta","","","","","1","1","32","29","3","90.63"
"Bankipur","","","","","1","6","171","123","48","71.93"
"Bansa","","","","","1","4","188","137","51","72.87"
"Bansajhal","","","","","1","8","368","266","102","72.28"
"Banshipur","","","","","1","15","216","142","74","65.74"
"Barauli","","","","","1","1","36","24","12","66.67"
"Barbehla","","","","","1","7","211","174","37","82.46"
"Bardhodhi","","","","","1","6","248","224","24","90.32"
"Bardih","","","","","1","5","315","257","58","81.59"
"Bargai","","","","","1","3","156","130","26","83.33"
"Bargawan","","","","","1","7","373","318","55","85.25"
"Bargidih","","","","","1","8","378","281","97","74.34"
"Barima","","","","","1","11","403","327","76","81.14"
"Barkela","","","","","1","7","139","116","23","83.45"
"Barkol","","","","","1","11","335","238","97","71.04"
"Bartikra","","","","","1","5","203","172","31","84.73"
"Basen","","","","","1","5","143","134","9","93.71"
"Basen","","","","","1","4","104","82","22","78.85"
"Bataikela","","","","","1","8","366","322","44","87.98"
"Batauli","","","","","1","9","503","447","56","88.87"
"Batouli","","","","","1","3","100","63","37","63.00"
"Batwahi","","","","","1","13","830","697","133","83.98"
"Beldagi","1","1","0","0","1","10","460","363","97","78.91"
"Belgaon","","","","","1","10","266","193","73","72.56"
"Beljora","","","","","1","9","266","224","42","84.21"
"Belkharikha","","","","","1","9","399","299","100","74.94"
"Belkota","","","","","1","7","262","249","13","95.04"
"Benai","","","","","1","4","122","97","25","79.51"
"Bhadwahi","","","","","1","5","152","121","31","79.61"
"Bhafauli","","","","","1","7","236","213","23","90.25"
"Bhakura","","","","","1","7","445","385","60","86.52"
"Bhakurma","","","","","1","11","304","14","290","4.61"
"Bhalu Kachhar","","","","","1","3","123","107","16","86.99"
"Bhandargaon","","","","","1","2","108","66","42","61.11"
"Bharatpur","","","","","1","2","175","120","55","68.57"
"Bharatpur","","","","","1","19","272","192","80","70.59"
"Bhatko","","","","","1","11","436","417","19","95.64"
"Bhawradand","","","","","1","6","226","160","66","70.80"
"Bhediya","","","","","1","9","181","158","23","87.29"
"Bhelai Kalan","","","","","1","2","80","76","4","95.00"
"Bhithuwa","","","","","1","8","284","207","77","72.89"
"Bhitthi Kalan","","","","","1","9","501","485","16","96.81"
"Bhitthi Khurd","","","","","1","5","97","81","16","83.51"
"Bhusu","","","","","1","12","366","321","45","87.70"
"Bilaspur","","","","","1","8","393","383","10","97.46"
"Bilhama","","","","","1","9","411","394","17","95.86"
"Biniya","","","","","1","4","85","68","17","80.00"
"Binkara","","","","","1","7","389","333","56","85.60"
"Birimkela","","","","","1","6","238","218","20","91.60"
