"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abasna","","","","","1","1","285","285","0","100.00"
"Adroda","","","","","1","1","574","574","0","100.00"
"Adval","","","","","1","1","670","666","4","99.40"
"Aghar (Ashoknagar)","","","","","1","1","437","437","0","100.00"
"Akru","","","","","1","1","497","497","0","100.00"
"Amarpura","","","","","1","1","137","137","0","100.00"
"Ambaliyara","","","","","1","1","751","751","0","100.00"
"Ambareli","","","","","1","1","665","664","1","99.85"
"Ambethi","","","","","1","1","233","233","0","100.00"
"Ambli","","","","","1","1","405","405","0","100.00"
"Amipura","","","","","1","1","108","108","0","100.00"
"Anadej","","","","","1","1","870","865","5","99.43"
"Anandpur","","","","","1","1","126","126","0","100.00"
"Anandpura","","","","","1","1","52","52","0","100.00"
"Anandpura","","","","","1","1","3","3","0","100.00"
"Andhari","","","","","1","1","109","109","0","100.00"
"Aniyali","","","","","1","1","293","293","0","100.00"
"Aniyali Bhimji","","","","","1","1","172","172","0","100.00"
"Arnej","","","","","1","1","353","353","0","100.00"
"Asalgam","","","","","1","1","406","406","0","100.00"
"Aslali","","","","","1","1","1791","1791","0","100.00"
"Badarkha","","","","","1","1","1966","1966","0","100.00"
"Badodara","","","","","1","1","662","662","0","100.00"
"Bagodara","","","","","1","1","1058","1058","0","100.00"
"Bajarda","","","","","1","1","910","910","0","100.00"
"Bakrana","","","","","1","1","430","430","0","100.00"
"Bakrol Bujrang","","","","","1","1","668","668","0","100.00"
"Baldana","","","","","1","1","609","609","0","100.00"
"Balsasan","","","","","1","1","669","669","0","100.00"
"Bamroli","","","","","1","1","628","628","0","100.00"
"Bantai","","","","","1","1","279","279","0","100.00"
"Baraniya","","","","","1","1","399","399","0","100.00"
"Barejadi","","","","","1","1","336","336","0","100.00"
"Begva","","","","","1","1","252","252","0","100.00"
"Bhadana","","","","","1","1","306","306","0","100.00"
"Bhadiyad","","","","","1","1","445","445","0","100.00"
"Bhagapura","","","","","1","1","242","242","0","100.00"
"Bhalgamda","","","","","1","1","147","147","0","100.00"
"Bhamsara","","","","","1","1","422","422","0","100.00"
"Bhangadh","","","","","1","1","362","362","0","100.00"
"Bhankoda","","","","","1","1","424","424","0","100.00"
"Bharkunda","","","","","1","1","238","238","0","100.00"
"Bhat","","","","","1","1","1184","1184","0","100.00"
"Bhatariya","","","","","1","1","162","162","0","100.00"
"Bhavanpur","","","","","1","1","219","219","0","100.00"
"Bhavda","","","","","1","1","87","87","0","100.00"
"Bhavda","","","","","1","1","576","576","0","100.00"
"Bhayla","","","","","1","1","535","535","0","100.00"
"Bhetawada","","","","","1","1","462","462","0","100.00"
"Bhimtalav","","","","","1","1","29","29","0","100.00"
"Bhojva","","","","","1","1","886","886","0","100.00"
"Bholad","","","","","1","1","402","402","0","100.00"
"Bhonyni","","","","","1","1","330","330","0","100.00"
"Bhonynipura","","","","","1","1","82","82","0","100.00"
"Bhumli","","","","","1","1","202","202","0","100.00"
"Bhurkhi","","","","","1","1","351","351","0","100.00"
"Bhuval","","","","","1","1","620","620","0","100.00"
"Bhuvaldi","","","","","1","1","1478","1478","0","100.00"
"Bibipur","","","","","1","1","229","229","0","100.00"
"Bol","","","","","1","1","454","454","0","100.00"
"Boska","","","","","1","1","183","183","0","100.00"
"Buranpur","","","","","1","1","149","149","0","100.00"
"Chaloda","","","","","1","1","1880","1878","2","99.89"
"Chandarva","","","","","1","1","539","539","0","100.00"
"Chandisar","","","","","1","1","1001","1001","0","100.00"
"Chanothiya","","","","","1","1","110","110","0","100.00"
"Charal","","","","","1","1","421","421","0","100.00"
"Chekhla","","","","","1","1","924","924","0","100.00"
"Cher","","","","","1","1","58","58","0","100.00"
"Chhabasar","","","","","1","1","365","365","0","100.00"
"Chhaniyar","","","","","1","1","410","410","0","100.00"
"Chharodi","","","","","1","1","512","512","0","100.00"
"Chharodiya","","","","","1","1","187","187","0","100.00"
"Chhasiyana","","","","","1","1","430","430","0","100.00"
"Chiyada","","","","","1","1","619","619","0","100.00"
"Chosar","","","","","1","1","456","456","0","100.00"
"Chuninapura","","","","","1","1","66","66","0","100.00"
"Dabhsar","","","","","1","1","242","242","0","100.00"
"Dadhana","","","","","1","1","700","700","0","100.00"
"Daduka","","","","","1","1","440","440","0","100.00"
"Dadusar","","","","","1","1","373","373","0","100.00"
"Dahegamda","","","","","1","1","427","427","0","100.00"
"Dalod","","","","","1","1","534","534","0","100.00"
"Dalsana","","","","","1","1","440","440","0","100.00"
"Damodaripura","","","","","1","1","137","137","0","100.00"
"Dangarva","","","","","1","1","767","767","0","100.00"
"Daran","","","","","1","1","747","747","0","100.00"
"Dediyasan","","","","","1","1","230","230","0","100.00"
"Dekavada","","","","","1","1","680","677","3","99.56"
"Detroj","","","","","1","1","1339","1339","0","100.00"
"Devadthal","","","","","1","1","625","625","0","100.00"
"Devaliya","","","","","1","1","606","606","0","100.00"
"Devdholera","","","","","1","1","509","509","0","100.00"
"Devdi","","","","","1","1","584","584","0","100.00"
"Devpura","","","","","1","1","189","189","0","100.00"
"Dhakdi","","","","","1","1","288","288","0","100.00"
"Dhamatvan","","","","","1","1","1141","1140","1","99.91"
"Dhanala","","","","","1","1","179","179","0","100.00"
"Dhanwada","","","","","1","1","409","409","0","100.00"
"Dhedhal","","","","","1","1","603","603","0","100.00"
"Dhedhasana","","","","","1","1","106","106","0","100.00"
"Dhingda","","","","","1","1","289","289","0","100.00"
"Dholera","","","","","1","1","587","587","0","100.00"
"Dholi","","","","","1","1","178","178","0","100.00"
"Dodar","","","","","1","1","487","487","0","100.00"
"Dumali","","","","","1","1","197","197","0","100.00"
"Dumana","","","","","1","1","517","517","0","100.00"
"Durgi","","","","","1","1","1100","1093","7","99.36"
"Endla","","","","","1","1","317","317","0","100.00"
"Fangdi","","","","","1","1","576","576","0","100.00"
"Fatepura","","","","","1","1","82","82","0","100.00"
"Fattepur","","","","","1","1","191","191","0","100.00"
"Fedra","","","","","1","1","504","504","0","100.00"
"Galsana","","","","","1","1","628","628","0","100.00"
"Gamanpura","","","","","1","1","129","129","0","100.00"
"Gamdi","","","","","1","1","332","332","0","100.00"
"Gamph","","","","","1","1","460","460","0","100.00"
"Ganesar","","","","","1","1","118","118","0","100.00"
"Gangad","","","","","1","1","1216","1216","0","100.00"
"Ganol","","","","","1","1","336","336","0","100.00"
"Garodiya","","","","","1","1","330","330","0","100.00"
"Gatrad","","","","","1","1","1177","1172","5","99.58"
"Geratnagar","","","","","1","1","178","178","0","100.00"
"Geratpur","","","","","1","1","460","460","0","100.00"
"Ghatisana","","","","","1","1","168","168","0","100.00"
"Ghelda","","","","","1","1","238","238","0","100.00"
"Ghoda","","","","","1","1","681","681","0","100.00"
"Giramtha","","","","","1","1","863","863","0","100.00"
"Girand","","","","","1","1","207","207","0","100.00"
"Gogla","","","","","1","1","196","196","0","100.00"
"Goraiya","","","","","1","1","1003","1003","0","100.00"
"Goraj","","","","","1","1","950","941","9","99.05"
"Gorasu","","","","","1","1","376","376","0","100.00"
"Govinda","","","","","1","1","188","188","0","100.00"
"Gundanapara","","","","","1","1","140","140","0","100.00"
"Gundi","","","","","1","1","717","717","0","100.00"
"Gunjala","","","","","1","1","651","651","0","100.00"
"Gunjar","","","","","1","1","452","450","2","99.56"
"Hansalpur Becharaji","","","","","1","1","367","367","0","100.00"
"Hansalpur Sereshvar","","","","","1","1","1128","1128","0","100.00"
"Haripura","","","","","1","1","145","145","0","100.00"
"Harnivav","","","","","1","1","998","998","0","100.00"
"Hasannagar","","","","","1","1","317","317","0","100.00"
"Hathipura","","","","","1","1","219","219","0","100.00"
"Hebatpur","","","","","1","1","1003","1003","0","100.00"
"Hirapur","","","","","1","1","396","396","0","100.00"
"Hirapur","","","","","1","1","888","888","0","100.00"
"Huka","","","","","1","1","271","271","0","100.00"
"Indrapura","","","","","1","1","120","120","0","100.00"
"Ingoli","","","","","1","1","403","403","0","100.00"
"Istolabad","","","","","1","1","243","243","0","100.00"
"Iyava","","","","","1","1","514","514","0","100.00"
"Jakhda","","","","","1","1","442","442","0","100.00"
"Jakhwada","","","","","1","1","823","823","0","100.00"
"Jaksi","","","","","1","1","136","136","0","100.00"
"Jalalpur Godhaneshvar","","","","","1","1","194","194","0","100.00"
"Jalalpur Vazifa","","","","","1","1","846","846","0","100.00"
"Jalampura","","","","","1","1","369","369","0","100.00"
"Jalisana","","","","","1","1","506","506","0","100.00"
"Jaliya","","","","","1","1","312","312","0","100.00"
"Jaska","","","","","1","1","164","164","0","100.00"
"Jaspura","","","","","1","1","130","130","0","100.00"
"Javaraj","","","","","1","1","527","527","0","100.00"
"Jetalpur","","","","","1","1","1326","1326","0","100.00"
"Jetapur","","","","","1","1","544","544","0","100.00"
"Jethipura","","","","","1","1","101","101","0","100.00"
"Juda","","","","","1","1","425","425","0","100.00"
"Juna Padar","","","","","1","1","374","374","0","100.00"
"Juval Rupavati","","","","","1","1","324","324","0","100.00"
"Juwal","","","","","1","1","888","888","0","100.00"
"Kachrol","","","","","1","1","318","318","0","100.00"
"Kadipur","","","","","1","1","46","46","0","100.00"
"Kadipur","","","","","1","1","114","114","0","100.00"
"Kadipur","","","","","1","1","162","162","0","100.00"
"Kadvasan","","","","","1","1","318","318","0","100.00"
"Kalana","","","","","1","1","411","411","0","100.00"
"Kaliveji","","","","","1","1","130","130","0","100.00"
"Kaliyana","","","","","1","1","328","328","0","100.00"
"Kaliyapura","","","","","1","1","111","111","0","100.00"
"Kalyangadh","","","","","1","1","249","249","0","100.00"
"Kalyanpur","","","","","1","1","148","148","0","100.00"
"Kalyanpur (Shiyal)","","","","","1","1","257","257","0","100.00"
"Kamatalav","","","","","1","1","395","395","0","100.00"
"Kamijla","","","","","1","1","536","536","0","100.00"
"Kamiyala","","","","","1","1","197","197","0","100.00"
"Kankaravadi","","","","","1","1","212","212","0","100.00"
"Kanotar","","","","","1","1","327","327","0","100.00"
"Kanpura (Dalsana)","","","","","1","1","88","88","0","100.00"
"Kanpura (Sinaj)","","","","","1","1","145","145","0","100.00"
"Kantrodi","","","","","1","1","102","102","0","100.00"
"Kanz","","","","","1","1","659","659","0","100.00"
"Karakathal","","","","","1","1","1110","1105","5","99.55"
"Karangadh","","","","","1","1","106","106","0","100.00"
"Kariyana","","","","","1","1","116","116","0","100.00"
"Kariyana","","","","","1","1","232","232","0","100.00"
"Karshanpura","","","","","1","1","274","274","0","100.00"
"Kasindra","","","","","1","1","1700","1692","8","99.53"
"Kasindra","","","","","1","1","206","206","0","100.00"
"Kauka","","","","","1","1","785","785","0","100.00"
"Kavitha","","","","","1","1","1500","1500","0","100.00"
"Kavla","","","","","1","1","404","404","0","100.00"
"Kayla","","","","","1","1","684","684","0","100.00"
"Kerala","","","","","1","1","349","349","0","100.00"
"Kesaradi","","","","","1","1","716","716","0","100.00"
"Kesargadh","","","","","1","1","183","183","0","100.00"
"Khadol","","","","","1","1","312","312","0","100.00"
"Khanpur","","","","","1","1","271","271","0","100.00"
"Kharad","","","","","1","1","286","286","0","100.00"
"Kharanti","","","","","1","1","239","239","0","100.00"
"Khasta","","","","","1","1","265","265","0","100.00"
"Khatripur","","","","","1","1","205","205","0","100.00"
"Khengariya","","","","","1","1","237","237","0","100.00"
"Khicha","","","","","1","1","452","452","0","100.00"
"Khoda","","","","","1","1","360","360","0","100.00"
"Khodiyar","","","","","1","1","620","620","0","100.00"
"Khoraj","","","","","1","1","779","779","0","100.00"
"Khudad","","","","","1","1","604","604","0","100.00"
"Khun","","","","","1","1","245","245","0","100.00"
"Kochariya","","","","","1","1","588","588","0","100.00"
"Kodaliya","","","","","1","1","191","191","0","100.00"
"Kointiya","","","","","1","1","279","279","0","100.00"
"Kokta","","","","","1","1","426","425","1","99.77"
"Kolat","","","","","1","1","829","829","0","100.00"
"Kotda","","","","","1","1","496","496","0","100.00"
"Koth","","","","","1","1","2203","2201","2","99.91"
"Kothadiya","","","","","1","1","176","176","0","100.00"
"Kubadthal","","","","","1","1","750","750","0","100.00"
"Kuha","","","","","1","1","2015","2014","1","99.95"
"Kukvav","","","","","1","1","458","458","0","100.00"
"Kumarkhan","","","","","1","1","667","667","0","100.00"
"Kundal","","","","","1","1","419","419","0","100.00"
"Kunpur","","","","","1","1","353","353","0","100.00"
"Kunvar","","","","","1","1","891","891","0","100.00"
"Lagdana","","","","","1","1","236","236","0","100.00"
"Lalpur","","","","","1","1","101","101","0","100.00"
"Lana","","","","","1","1","267","267","0","100.00"
"Lapkaman","","","","","1","1","460","460","0","100.00"
"Lekhamba","","","","","1","1","302","302","0","100.00"
"Lilapur","","","","","1","1","289","289","0","100.00"
"Limbad","","","","","1","1","165","165","0","100.00"
"Liya","","","","","1","1","488","488","0","100.00"
"Lodariyal","","","","","1","1","378","378","0","100.00"
"Loliya","","","","","1","1","397","397","0","100.00"
"Madrisana","","","","","1","1","316","316","0","100.00"
"Mahadevpura","","","","","1","1","201","201","0","100.00"
"Mahijda","","","","","1","1","597","597","0","100.00"
"Makhiyav","","","","","1","1","760","760","0","100.00"
"Mandal","","","","","1","1","2874","2874","0","100.00"
"Mankol","","","","","1","1","1130","1130","0","100.00"
"Manpura","","","","","1","1","200","199","1","99.50"
"Marusana","","","","","1","1","245","245","0","100.00"
"Melaj","","","","","1","1","299","299","0","100.00"
"Melasana","","","","","1","1","339","339","0","100.00"
"Memadpur","","","","","1","1","278","278","0","100.00"
"Memadpura","","","","","1","1","413","413","0","100.00"
"Memar","","","","","1","1","310","310","0","100.00"
"Meni","","","","","1","1","404","404","0","100.00"
"Metal","","","","","1","1","645","645","0","100.00"
"Mingalpur","","","","","1","1","418","418","0","100.00"
"Miroli","","","","","1","1","661","661","0","100.00"
"Mithapur","","","","","1","1","652","652","0","100.00"
"Mithapur","","","","","1","1","151","151","0","100.00"
"Modasar","","","","","1","1","1063","1063","0","100.00"
"Morasiya","","","","","1","1","100","100","0","100.00"
"Mota Karanpura","","","","","1","1","88","88","0","100.00"
"Moti Boru","","","","","1","1","654","654","0","100.00"
"Moti Devti","","","","","1","1","594","594","0","100.00"
"Moti Kishol","","","","","1","1","269","269","0","100.00"
"Moti Kumad","","","","","1","1","360","360","0","100.00"
"Moti Rantai","","","","","1","1","201","201","0","100.00"
"Mujpur","","","","","1","1","87","87","0","100.00"
"Mundi","","","","","1","1","201","201","0","100.00"
