"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhrampara","","","","","1","1","384","384","0","100.00"
"Absang","","","","","1","1","465","465","0","100.00"
"Adpur","","","","","1","1","70","70","0","100.00"
"Adtala","","","","","1","1","458","458","0","100.00"
"Agariya Dhudiya","","","","","1","2","539","539","0","100.00"
"Agariya Mota","","","","","1","1","316","316","0","100.00"
"Agariya Nava","","","","","1","1","111","111","0","100.00"
"Akala","","","","","1","1","661","661","0","100.00"
"Aliudepur","","","","","1","1","187","187","0","100.00"
"Amaratpur","","","","","1","1","202","202","0","100.00"
"Amarpur(Varudi)","","","","","1","1","313","313","0","100.00"
"Amarvalpar","","","","","1","1","45","45","0","100.00"
"Amba","","","","","1","1","663","663","0","100.00"
"Ambaliyala","","","","","1","1","438","438","0","100.00"
"Ambardi","","","","","1","1","345","345","0","100.00"
"Ambardi","","","","","1","1","1321","1321","0","100.00"
"Ambardi","","","","","1","2","1882","1882","0","100.00"
"Amrapur","","","","","1","1","775","775","0","100.00"
"Amreli (OG)","","","","","1","1","500","500","0","100.00"
"Amrutvel","","","","","1","1","376","376","0","100.00"
"Amuli","","","","","1","1","107","107","0","100.00"
"Anida","","","","","1","1","512","512","0","100.00"
"Anida","","","","","1","1","425","425","0","100.00"
"Ankadiya Mota","","","","","1","1","1241","1241","0","100.00"
"Ankadiya Nana","","","","","1","1","571","571","0","100.00"
"Ankolada","","","","","1","1","140","140","0","100.00"
"Ansodar","","","","","1","1","616","616","0","100.00"
"Antaliya","","","","","1","1","221","221","0","100.00"
"Arjansukh","","","","","1","1","400","400","0","100.00"
"Babapur","","","","","1","1","475","475","0","100.00"
"Babariyadhar","","","","","1","1","419","419","0","100.00"
"Babarkot","","","","","1","1","796","796","0","100.00"
"Babarpur","","","","","1","1","110","110","0","100.00"
"Badanpur Juna","","","","","1","1","153","153","0","100.00"
"Badanpur Nava","","","","","1","1","56","56","0","100.00"
"Badhada","","","","","1","2","2087","2087","0","100.00"
"Bagoya","","","","","1","1","310","310","0","100.00"
"Balana","","","","","1","1","375","375","0","100.00"
"Balanivav","","","","","1","1","375","375","0","100.00"
"Balapar","","","","","1","1","146","146","0","100.00"
"Balapur","","","","","1","1","467","467","0","100.00"
"Balel Pipariya","","","","","1","1","145","145","0","100.00"
"Bambhaniya","","","","","1","1","348","348","0","100.00"
"Bantwa-Devli","","","","","1","1","440","440","0","100.00"
"Barbatana","","","","","1","1","418","418","0","100.00"
"Barman Mota","","","","","1","1","603","603","0","100.00"
"Barman Nana","","","","","1","1","237","237","0","100.00"
"Barpatoli","","","","","1","1","105","105","0","100.00"
"Barvala","","","","","1","1","468","468","0","100.00"
"Barvala Baval","","","","","1","1","562","562","0","100.00"
"Barvala Bavishi","","","","","1","1","605","605","0","100.00"
"Bavada","","","","","1","1","120","120","0","100.00"
"Bavadi","","","","","1","1","123","123","0","100.00"
"Baxipur","","","","","1","1","194","194","0","100.00"
"Bhachadar","","","","","1","1","104","104","0","100.00"
"Bhad","","","","","1","1","319","319","0","100.00"
"Bhada","","","","","1","1","355","355","0","100.00"
"Bhader","","","","","1","1","847","847","0","100.00"
"Bhakshi","","","","","1","1","146","146","0","100.00"
"Bhalvav","","","","","1","1","379","379","0","100.00"
"Bhamar","","","","","1","1","334","334","0","100.00"
"Bhandariya Mota","","","","","1","1","359","359","0","100.00"
"Bhandariya Nana","","","","","1","1","275","275","0","100.00"
"Bhaniya","","","","","1","1","202","202","0","100.00"
"Bhankodar","","","","","1","1","375","375","0","100.00"
"Bharad","","","","","1","1","42","42","0","100.00"
"Bhatvadar","","","","","1","1","281","281","0","100.00"
"Bhatvadar","","","","","1","1","101","101","0","100.00"
"Bhavardi","","","","","1","2","575","575","0","100.00"
"Bhayavadar","","","","","1","1","64","64","0","100.00"
"Bhayavadar","","","","","1","1","311","311","0","100.00"
"Bhenkra","","","","","1","1","240","240","0","100.00"
"Bhensan","","","","","1","1","84","84","0","100.00"
"Bhensvadi","","","","","1","1","280","280","0","100.00"
"Bherai","","","","","1","1","892","892","0","100.00"
"Bhila","","","","","1","1","450","450","0","100.00"
"Bhildi","","","","","1","1","70","70","0","100.00"
"Bhingrad","","","","","1","1","518","518","0","100.00"
"Bhonkarva","","","","","1","3","846","846","0","100.00"
"Bhoringda","","","","","1","1","412","412","0","100.00"
"Bhukhli-Santhali","","","","","1","1","246","246","0","100.00"
"Bhundani","","","","","1","1","493","493","0","100.00"
"Bhurakhiya","","","","","1","1","461","461","0","100.00"
"Bhuva","","","","","1","1","394","394","0","100.00"
"Bodiya","","","","","1","1","123","123","0","100.00"
"Borala","","","","","1","1","187","187","0","100.00"
"Borala","","","","","1","1","422","422","0","100.00"
"Bordi","","","","","1","1","405","405","0","100.00"
"Chadiya","","","","","1","1","204","204","0","100.00"
"Chakkargadh","","","","","1","1","315","315","0","100.00"
"Chakrava","","","","","1","1","373","373","0","100.00"
"Chamardi","","","","","1","1","146","146","0","100.00"
"Champathal","","","","","1","1","293","293","0","100.00"
"Chanch","","","","","1","1","1571","1571","0","100.00"
"Chanchai","","","","","1","3","351","351","0","100.00"
"Chandgadh","","","","","1","1","193","193","0","100.00"
"Charan pipali","","","","","1","1","456","456","0","100.00"
"Charkha","","","","","1","1","689","689","0","100.00"
"Charkhadiya","","","","","1","1","117","117","0","100.00"
"Charodiya","","","","","1","1","146","146","0","100.00"
"Chavand","","","","","1","1","709","709","0","100.00"
"Chhabhadiya","","","","","1","1","554","554","0","100.00"
"Chhapri","","","","","1","1","316","316","0","100.00"
"Chhapri","","","","","1","1","200","200","0","100.00"
"Chhatadiya","","","","","1","1","423","423","0","100.00"
"Chhatradiya","","","","","1","1","318","318","0","100.00"
"Chhelana","","","","","1","1","249","249","0","100.00"
"Chikhali","","","","","1","1","309","309","0","100.00"
"Chital","","","","","1","1","1619","1619","0","100.00"
"Chitrasar","","","","","1","1","437","437","0","100.00"
"Chotra","","","","","1","1","146","146","0","100.00"
"Dabhali","","","","","1","1","69","69","0","100.00"
"Dadhiya","","","","","1","1","313","313","0","100.00"
"Dadhiyali","","","","","1","1","246","246","0","100.00"
"Dadli","","","","","1","1","187","187","0","100.00"
"Dadva(Randal)","","","","","1","1","398","398","0","100.00"
"Dahida","","","","","1","1","125","125","0","100.00"
"Dahida","","","","","1","1","307","307","0","100.00"
"Dahinthara","","","","","1","1","260","260","0","100.00"
