"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adas","","","","","1","1","2823","2823","0","100.00"
"Adruj","","","","","1","1","208","208","0","100.00"
"Agas","","","","","1","1","631","631","0","100.00"
"Ahima","","","","","1","1","511","511","0","100.00"
"Ajarpura","","","","","1","1","1217","1217","0","100.00"
"Akhol","","","","","1","1","70","70","0","100.00"
"Alarsa","","","","","1","1","1855","1855","0","100.00"
"Amaliyara","","","","","1","1","309","309","0","100.00"
"Ambali","","","","","1","1","916","818","98","89.30"
"Ambav","","","","","1","1","944","944","0","100.00"
"Amiyad","","","","","1","1","807","807","0","100.00"
"Amod","","","","","1","1","859","859","0","100.00"
"Amrol","","","","","1","1","1039","1037","2","99.81"
"Anklavdi","","","","","1","1","619","460","159","74.31"
"Ardi","","","","","1","1","830","636","194","76.63"
"Ardi","","","","","1","1","777","777","0","100.00"
"Asarma","","","","","1","1","803","803","0","100.00"
"Ashi","","","","","1","1","1026","1026","0","100.00"
"Ashipura","","","","","1","1","400","400","0","100.00"
"Asodar","","","","","1","1","2022","2022","0","100.00"
"Badalpur","","","","","1","1","1404","1404","0","100.00"
"Badapura","","","","","1","1","401","383","18","95.51"
"Balinta","","","","","1","1","762","762","0","100.00"
"Bamangam","","","","","1","1","1636","1489","147","91.01"
"Bamanva","","","","","1","1","1027","1027","0","100.00"
"Bamroli","","","","","1","1","1338","1338","0","100.00"
"Bandhni","","","","","1","1","1956","1956","0","100.00"
"Banejda","","","","","1","1","611","611","0","100.00"
"Bantwa","","","","","1","1","279","246","33","88.17"
"Bechari","","","","","1","1","818","818","0","100.00"
"Bedva","","","","","1","1","1115","1115","0","100.00"
"Bhadkad","","","","","1","1","719","719","0","100.00"
"Bhadran","","","","","1","1","2575","2575","0","100.00"
"Bhadraniya","","","","","1","1","733","672","61","91.68"
"Bhalej","","","","","1","1","3648","3648","0","100.00"
"Bhanderaj","","","","","1","1","348","293","55","84.20"
"Bhanpura","","","","","1","1","322","288","34","89.44"
"Bharel","","","","","1","1","362","362","0","100.00"
"Bharoda","","","","","1","1","1128","1128","0","100.00"
"Bhat Talavadi","","","","","1","1","73","67","6","91.78"
"Bhatiel","","","","","1","1","517","517","0","100.00"
"Bhatpura","","","","","1","1","634","534","100","84.23"
"Bhavanipura","","","","","1","1","733","733","0","100.00"
"Bhetasi (Talpad)","","","","","1","1","327","294","33","89.91"
"Bhetasi Ba Bhag","","","","","1","1","924","895","29","96.86"
"Bhetasi Vanta","","","","","1","1","1012","1012","0","100.00"
"Bhimtalav","","","","","1","1","407","407","0","100.00"
"Bhurakui","","","","","1","1","602","602","0","100.00"
"Bhuvel","","","","","1","1","563","563","0","100.00"
"Bilpad","","","","","1","1","708","581","127","82.06"
"Bochasan","","","","","1","1","1733","1733","0","100.00"
"Bodal","","","","","1","1","1157","1157","0","100.00"
"Boriya","","","","","1","1","1104","1104","0","100.00"
"Budhej","","","","","1","1","495","495","0","100.00"
"Chamara","","","","","1","1","1020","957","63","93.82"
"Changa","","","","","1","1","1814","1814","0","100.00"
"Changada","","","","","1","1","314","299","15","95.22"
"Chhatardi","","","","","1","1","129","114","15","88.37"
"Chikhaliya","","","","","1","1","134","134","0","100.00"
"Chikhodra","","","","","1","1","3443","3443","0","100.00"
"Chitarwada","","","","","1","1","269","269","0","100.00"
"Chuva","","","","","1","1","983","874","109","88.91"
"Dabhasi","","","","","1","1","976","939","37","96.21"
"Dabhou","","","","","1","1","1373","1373","0","100.00"
"Dagjipura","","","","","1","1","731","656","75","89.74"
"Daheda","","","","","1","1","538","538","0","100.00"
"Dahemi","","","","","1","1","1057","1057","0","100.00"
"Dahewan","","","","","1","1","2229","2136","93","95.83"
"Dali","","","","","1","1","264","264","0","100.00"
"Dali","","","","","1","1","619","619","0","100.00"
"Dantali","","","","","1","1","589","589","0","100.00"
"Danteli","","","","","1","1","656","621","35","94.66"
"Davalpura","","","","","1","1","484","484","0","100.00"
"Davol","","","","","1","1","2063","2063","0","100.00"
"Dedarda","","","","","1","1","1128","1128","0","100.00"
"Demol","","","","","1","1","773","773","0","100.00"
"Deva Talpad","","","","","1","1","1597","1590","7","99.56"
"Deva Vanta","","","","","1","1","532","532","0","100.00"
"Devapura","","","","","1","1","142","137","5","96.48"
"Devataj","","","","","1","1","704","687","17","97.59"
"Dhairyapura","","","","","1","1","417","381","36","91.37"
"Dhanavasi","","","","","1","1","239","192","47","80.33"
"Dharmaj","","","","","1","1","2827","2827","0","100.00"
"Dhobikui","","","","","1","1","219","219","0","100.00"
"Dholi","","","","","1","1","343","304","39","88.63"
"Dhuleta","","","","","1","1","757","721","36","95.24"
"Dhundakuva","","","","","1","1","453","453","0","100.00"
"Dhuvaran","","","","","1","1","1529","1393","136","91.11"
"Divel","","","","","1","1","682","682","0","100.00"
"Dugari","","","","","1","1","344","344","0","100.00"
"Fangani","","","","","1","1","762","762","0","100.00"
"Fatepura","","","","","1","1","285","250","35","87.72"
"Fatepura","","","","","1","1","299","299","0","100.00"
"Finav","","","","","1","1","1013","1013","0","100.00"
"Gada","","","","","1","1","831","831","0","100.00"
"Gajana","","","","","1","1","766","766","0","100.00"
"Galiyana","","","","","1","1","287","268","19","93.38"
"Gambhira","","","","","1","1","1345","1345","0","100.00"
"Gana","","","","","1","1","1039","1039","0","100.00"
"Gangapura","","","","","1","1","210","207","3","98.57"
"Ghora","","","","","1","1","572","551","21","96.33"
"Ghunteli","","","","","1","1","557","557","0","100.00"
"Golana","","","","","1","1","998","998","0","100.00"
"Gopalpura","","","","","1","1","664","664","0","100.00"
"Gorad","","","","","1","1","230","230","0","100.00"
"Gorel","","","","","1","1","794","768","26","96.73"
"Gorva","","","","","1","1","539","400","139","74.21"
"Gudel","","","","","1","1","394","394","0","100.00"
"Haldari","","","","","1","1","591","442","149","74.79"
