"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"""Nesda (Go)""","","","","","1","1","380","380","0","100.00"
"Abala","","","","","1","1","293","293","0","100.00"
"Abasana","","","","","1","1","484","484","0","100.00"
"Abhapura","","","","","1","1","150","150","0","100.00"
"Abhepura","","","","","1","1","194","194","0","100.00"
"Achhavadiya","","","","","1","1","200","200","0","100.00"
"Achhuva","","","","","1","1","268","268","0","100.00"
"Aderan (Danta)","","","","","1","1","222","222","0","100.00"
"Aderan (Mankadi)","","","","","1","1","1","1","0","100.00"
"Adhgam","","","","","1","1","508","508","0","100.00"
"Aeta","","","","","1","1","323","323","0","100.00"
"Agdol","","","","","1","1","238","238","0","100.00"
"Agthala","","","","","1","1","922","922","0","100.00"
"Ajapur Mota","","","","","1","1","183","183","0","100.00"
"Ajapur Vanka","","","","","1","1","249","249","0","100.00"
"Ajawada","","","","","1","1","343","343","0","100.00"
"Akedi","","","","","1","1","209","209","0","100.00"
"Akesan","","","","","1","1","317","317","0","100.00"
"Akhol Moti","","","","","1","1","512","512","0","100.00"
"Akhol Nani","","","","","1","1","900","900","0","100.00"
"Akoli","","","","","1","1","345","345","0","100.00"
"Akoli","","","","","1","1","305","305","0","100.00"
"Akoli Maharajvas","","","","","1","1","364","364","0","100.00"
"Akoli Thakorvas","","","","","1","1","424","424","0","100.00"
"Aligadh","","","","","1","1","275","275","0","100.00"
"Alwada","","","","","1","1","772","772","0","100.00"
"Amadpura (Ghodiyal)","","","","","1","1","130","130","0","100.00"
"Amadpura (Mumanvas)","","","","","1","1","165","165","0","100.00"
"Amarnesda","","","","","1","1","288","288","0","100.00"
"Ambaghanta","","","","","1","1","42","42","0","100.00"
"Ambaliyal","","","","","1","1","275","275","0","100.00"
"Ambapani","","","","","1","1","104","104","0","100.00"
"Ambetha","","","","","1","1","215","215","0","100.00"
"Amblimal","","","","","1","1","61","61","0","100.00"
"Amblivas","","","","","1","1","91","91","0","100.00"
"Amblun","","","","","1","1","259","259","0","100.00"
"Amirgadh","","","","","1","1","1235","1235","0","100.00"
"Amirpura","","","","","1","1","45","45","0","100.00"
"Amloi","","","","","1","1","94","94","0","100.00"
"Anandpura","","","","","1","1","215","215","0","100.00"
"Anapur Chhota","","","","","1","1","454","454","0","100.00"
"Anapurgadh","","","","","1","1","493","493","0","100.00"
"Andhariya","","","","","1","1","357","357","0","100.00"
"Anganwada","","","","","1","1","431","431","0","100.00"
"Angola","","","","","1","1","225","225","0","100.00"
"Antrol","","","","","1","1","349","349","0","100.00"
"Antroli","","","","","1","1","702","702","0","100.00"
"Arantva","","","","","1","1","212","212","0","100.00"
"Arduvada","","","","","1","1","137","137","0","100.00"
"Arjanpura","","","","","1","1","227","227","0","100.00"
"Arkhi","","","","","1","1","493","493","0","100.00"
"Arniwada","","","","","1","1","506","506","0","100.00"
"Asana","","","","","1","1","518","518","0","100.00"
