"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Achhalia","","","","","1","1","158","158","0","100.00"
"Achhod","","","","","1","1","1154","1154","0","100.00"
"Adadara","","","","","1","1","97","97","0","100.00"
"Adol","","","","","1","1","297","297","0","100.00"
"Adol","","","","","1","1","135","135","0","100.00"
"Adwala","","","","","1","1","171","171","0","100.00"
"Ajamnagar","","","","","1","1","68","68","0","100.00"
"Akhod","","","","","1","1","175","175","0","100.00"
"Aladar","","","","","1","1","166","166","0","100.00"
"Aliabet","","","","","1","1","92","92","0","100.00"
"Alonj","","","","","1","1","312","312","0","100.00"
"Alva","","","","","1","1","88","88","0","100.00"
"Amalzar","","","","","1","1","329","329","0","100.00"
"Amanpor Mota","","","","","1","1","205","205","0","100.00"
"Amanpor Nana","","","","","1","1","140","140","0","100.00"
"Amarpor Alias Simartha","","","","","1","1","114","114","0","100.00"
"Ambakhadi","","","","","1","1","86","86","0","100.00"
"Ambhel","","","","","1","1","182","182","0","100.00"
"Ambheta","","","","","1","1","229","229","0","100.00"
"Ambheta","","","","","1","1","375","375","0","100.00"
"Amboli","","","","","1","1","214","214","0","100.00"
"Ambos","","","","","1","1","239","239","0","100.00"
"Amdada","","","","","1","1","173","173","0","100.00"
"Amleshwar","","","","","1","1","494","494","0","100.00"
"Amod","","","","","1","1","188","188","0","100.00"
"Amod","","","","","1","1","206","206","0","100.00"
"Amrutpura","","","","","1","1","198","198","0","100.00"
"Anadhara","","","","","1","1","250","250","0","100.00"
"Anakhi","","","","","1","1","621","621","0","100.00"
"Andharkachhala","","","","","1","1","56","56","0","100.00"
"Angareshwar","","","","","1","1","400","400","0","100.00"
"Aniyadara","","","","","1","1","138","138","0","100.00"
"Anjoli","","","","","1","1","281","281","0","100.00"
"Ankalva","","","","","1","1","157","157","0","100.00"
"Ankot","","","","","1","1","162","162","0","100.00"
"Anor","","","","","1","1","448","448","0","100.00"
"Aragama","","","","","1","1","225","225","0","100.00"
"Arethi","","","","","1","1","227","227","0","100.00"
"Asanvad","","","","","1","1","72","72","0","100.00"
"Asarma","","","","","1","1","268","268","0","100.00"
