"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adapar","","","","","1","1","547","547","0","100.00"
"Adhelai","","","","","1","1","160","160","0","100.00"
"Adhewada","","","","","1","1","778","778","0","100.00"
"Adtala","","","","","1","1","582","582","0","100.00"
"Agiyali","","","","","1","1","433","433","0","100.00"
"Akhegadh","","","","","1","1","259","259","0","100.00"
"Akwada","","","","","1","1","1059","1059","0","100.00"
"Alampar","","","","","1","2","350","350","0","100.00"
"Alapar","","","","","1","1","35","35","0","100.00"
"Amargadh","","","","","1","1","748","748","0","100.00"
"Ambla","","","","","1","1","519","519","0","100.00"
"Ambla","","","","","1","1","995","995","0","100.00"
"Amrutvel","","","","","1","1","272","272","0","100.00"
"Anandpur","","","","","1","1","59","59","0","100.00"
"Anandpur","","","","","1","1","21","21","0","100.00"
"Anganka","","","","","1","1","125","125","0","100.00"
"Anida","","","","","1","1","337","337","0","100.00"
"Anida(Kumbhan)","","","","","1","1","51","51","0","100.00"
"Anida(Lakhavad)","","","","","1","1","242","242","0","100.00"
"Ankadiya","","","","","1","1","16","16","0","100.00"
"Ankolali","","","","","1","1","383","383","0","100.00"
"Avaniya","","","","","1","1","516","516","0","100.00"
"Ayavej","","","","","1","1","90","90","0","100.00"
"Babarkot","","","","","1","1","235","235","0","100.00"
"Badeli","","","","","1","1","148","148","0","100.00"
"Badi","","","","","1","1","154","154","0","100.00"
"Bagdana","","","","","1","1","1207","1207","0","100.00"
"Bahadurgadh","","","","","1","1","126","126","0","100.00"
"Bahadurpur","","","","","1","1","323","323","0","100.00"
"Bajud","","","","","1","1","667","667","0","100.00"
"Bakhalka","","","","","1","1","252","252","0","100.00"
"Bambhaniya","","","","","1","1","314","314","0","100.00"
"Bambhor","","","","","1","1","44","44","0","100.00"
"Banbhaniya","","","","","1","1","28","28","0","100.00"
"Bapada","","","","","1","1","344","344","0","100.00"
"Bapasara","","","","","1","1","198","198","0","100.00"
"Beda","","","","","1","1","370","370","0","100.00"
"Bekdi","","","","","1","1","105","105","0","100.00"
"Bela","","","","","1","1","309","309","0","100.00"
"Bela","","","","","1","1","225","225","0","100.00"
"Belada","","","","","1","1","211","211","0","100.00"
"Belampar","","","","","1","1","476","476","0","100.00"
"Bhadavav","","","","","1","1","329","329","0","100.00"
"Bhadbhediya","","","","","1","1","131","131","0","100.00"
"Bhadbhid","","","","","1","1","95","95","0","100.00"
"Bhadi","","","","","1","1","234","234","0","100.00"
"Bhadla","","","","","1","2","558","558","0","100.00"
"Bhadli","","","","","1","1","177","177","0","100.00"
"Bhadra","","","","","1","1","386","386","0","100.00"
"Bhadravadi","","","","","1","1","835","835","0","100.00"
"Bhadraval","","","","","1","1","868","868","0","100.00"
"Bhadrod","","","","","1","1","1523","1523","0","100.00"
"Bhaguda","","","","","1","1","249","249","0","100.00"
