"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Adalwada","","","","","1","1","78","78","0","100.00"
"Affava","","","","","1","1","449","449","0","100.00"
"Agara (U)","","","","","1","1","692","692","0","100.00"
"Agasvani","","","","","1","1","652","652","0","100.00"
"Agawada","","","","","1","1","708","708","0","100.00"
"Alindra","","","","","1","1","190","141","49","74.21"
"Amba Jharan","","","","","1","1","103","70","33","67.96"
"Ambakach","","","","","1","1","190","186","4","97.89"
"Ambli","","","","","1","1","609","609","0","100.00"
"Amblipani Chhotra","","","","","1","1","175","172","3","98.29"
"Amli Zoz","","","","","1","1","54","33","21","61.11"
"Andarpura","","","","","1","1","103","83","20","80.58"
"Andhari","","","","","1","1","356","356","0","100.00"
"Anika","","","","","1","1","380","372","8","97.89"
"Antela","","","","","1","1","1218","1218","0","100.00"
"Anvarpura","","","","","1","1","315","264","51","83.81"
"Apatalai","","","","","1","1","127","99","28","77.95"
"Asayadi","","","","","1","1","464","450","14","96.98"
"Aspur","","","","","1","1","205","201","4","98.05"
"Atarsumba","","","","","1","1","218","150","68","68.81"
"Bachkariya","","","","","1","1","69","69","0","100.00"
"Bachkariya (East)","","","","","1","1","201","201","0","100.00"
"Baina","","","","","1","1","780","777","3","99.62"
"Bajarvada","","","","","1","1","442","442","0","100.00"
"Balaiya","","","","","1","1","482","482","0","100.00"
"Bambela","","","","","1","1","430","383","47","89.07"
"Bamroli","","","","","1","1","182","182","0","100.00"
"Bamroli Mavuda","","","","","1","1","110","105","5","95.45"
"Bandibar","","","","","1","1","112","59","53","52.68"
"Bar","","","","","1","1","165","165","0","100.00"
"Bariyani Hathod","","","","","1","1","203","135","68","66.50"
"Barsaleda","","","","","1","1","285","280","5","98.25"
"Bavani Hathod","","","","","1","1","136","136","0","100.00"
"Bavka","","","","","1","1","1587","1587","0","100.00"
"Bedat","","","","","1","1","208","156","52","75.00"
"Bhaman","","","","","1","1","309","309","0","100.00"
"Bhambhori","","","","","1","1","295","280","15","94.92"
"Bhamela","","","","","1","1","224","201","23","89.73"
"Bhanpur (Kakadkhila)","","","","","1","1","430","400","30","93.02"
"Bharsada","","","","","1","1","611","576","35","94.27"
"Bhat Muvadi","","","","","1","1","171","171","0","100.00"
"Bhathiwada","","","","","1","1","876","876","0","100.00"
"Bhe","","","","","1","1","984","982","2","99.80"
"Bhichor","","","","","1","1","362","362","0","100.00"
"Bhimpura","","","","","1","1","137","109","28","79.56"
"Bhindol","","","","","1","1","115","111","4","96.52"
"Bhitodi","","","","","1","1","170","122","48","71.76"
"Bhojela","","","","","1","1","650","647","3","99.54"
"Bhorva","","","","","1","1","692","692","0","100.00"
"Bhular","","","","","1","1","150","145","5","96.67"
"Bhut Pagalan","","","","","1","1","115","114","1","99.13"
"Bhutardi","","","","","1","1","197","197","0","100.00"
"Bhutodi","","","","","1","1","330","328","2","99.39"
"Bhuval","","","","","1","1","295","295","0","100.00"
"Bilwani","","","","","1","1","465","463","2","99.57"
"Boda Dungar","","","","","1","1","221","221","0","100.00"
"Bodiya Bhint","","","","","1","1","172","172","0","100.00"
"Bogadva","","","","","1","1","292","292","0","100.00"
"Bor","","","","","1","1","147","126","21","85.71"
"Bordi Inami","","","","","1","1","413","348","65","84.26"
"Bordi Khurd","","","","","1","1","451","439","12","97.34"
