"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"(1) Pratappura","","","","","1","1","126","126","0","100.00"
"(2) Rampura","","","","","1","1","45","45","0","100.00"
"Adhana","","","","","1","1","107","107","0","100.00"
"Adraj Moti","","","","","1","1","1839","1839","0","100.00"
"Ahamadpur","","","","","1","1","297","297","0","100.00"
"Ajol","","","","","1","1","1347","1347","0","100.00"
"Alampur","","","","","1","1","567","567","0","100.00"
"Aluva","","","","","1","1","734","734","0","100.00"
"Amaja","","","","","1","1","609","609","0","100.00"
"Amarapur","","","","","1","1","362","362","0","100.00"
"Amarpura","","","","","1","1","278","278","0","100.00"
"Ambod","","","","","1","1","426","426","0","100.00"
"Amrajina Muvada","","","","","1","1","906","906","0","100.00"
"Anguthala","","","","","1","1","228","228","0","100.00"
"Anodiya","","","","","1","1","1095","1095","0","100.00"
"Antoli","","","","","1","1","312","312","0","100.00"
"Antroli","","","","","1","1","150","150","0","100.00"
"Arajanjina Muvada","","","","","1","1","314","314","0","100.00"
"Babra","","","","","1","1","184","184","0","100.00"
"Badpur","","","","","1","1","242","242","0","100.00"
"Badpura","","","","","1","1","719","719","0","100.00"
"Bahiyel","","","","","1","1","1974","1974","0","100.00"
"Balva","","","","","1","1","1340","1340","0","100.00"
"Bapupura","","","","","1","1","757","757","0","100.00"
"Bardoli (Bariya)","","","","","1","1","569","569","0","100.00"
"Bardoli (Kothi)","","","","","1","1","494","494","0","100.00"
"Bariya","","","","","1","1","923","923","0","100.00"
"Bhadol","","","","","1","1","226","226","0","100.00"
"Bhadroda","","","","","1","1","338","338","0","100.00"
"Bhavpura","","","","","1","1","223","223","0","100.00"
"Bhimasan","","","","","1","1","276","276","0","100.00"
"Bhimpura","","","","","1","1","787","787","0","100.00"
"Bhoyan Moti","","","","","1","1","1152","1152","0","100.00"
"Bhoyan Rathod","","","","","1","1","499","499","0","100.00"
"Bilamana","","","","","1","1","444","444","0","100.00"
"Bileshvarpura","","","","","1","1","432","432","0","100.00"
"Bilodra","","","","","1","1","1547","1547","0","100.00"
"Boru","","","","","1","1","992","992","0","100.00"
"Chadasana","","","","","1","1","483","483","0","100.00"
"Chamla","","","","","1","1","418","418","0","100.00"
"Chandisana","","","","","1","1","459","459","0","100.00"
"Chandrala","","","","","1","1","888","888","0","100.00"
"Charada","","","","","1","1","855","855","0","100.00"
"Chekhalarani","","","","","1","1","197","197","0","100.00"
"Chekhlapagi","","","","","1","1","766","766","0","100.00"
"Chhala","","","","","1","1","1741","1741","0","100.00"
"Chiloda (Dabhoda)","","","","","1","1","1450","1450","0","100.00"
"Chiskari","","","","","1","1","415","415","0","100.00"
"Dabhoda","","","","","1","1","2647","2647","0","100.00"
"Dantali","","","","","1","1","211","211","0","100.00"
"Dantali","","","","","1","1","332","332","0","100.00"
"Dashela","","","","","1","1","757","757","0","100.00"
"Delvad","","","","","1","1","676","676","0","100.00"
"Delvada","","","","","1","1","839","839","0","100.00"
"Demaliya","","","","","1","1","241","241","0","100.00"
"Devkaran Na Muvada","","","","","1","1","1541","1541","0","100.00"
"Dhamasna","","","","","1","1","1022","1022","0","100.00"
