"Village","UE Villages","UE Electrified","UE Unhabited","UE To Be Electrified","Total Villages","Habitations","Total Households","Electrified HH","Balance HH","%Electrified HH"
"Abhpara Nes","","","","","1","1","3","3","0","100.00"
"Alia","","","","","1","1","1225","1225","0","100.00"
"Ambala","","","","","1","1","150","150","0","100.00"
"Ambaliyara","","","","","1","1","166","166","0","100.00"
"Ambardi","","","","","1","1","387","387","0","100.00"
"Ambardi","","","","","1","1","257","257","0","100.00"
"Ambardi Bhupat","","","","","1","1","253","253","0","100.00"
"Ambardi Deri","","","","","1","1","162","162","0","100.00"
"Ambardi Jam","","","","","1","1","191","191","0","100.00"
"Ambardi Meghpar","","","","","1","1","94","94","0","100.00"
"Ambardi Mevasa","","","","","1","1","171","171","0","100.00"
"Amra","","","","","1","1","761","761","0","100.00"
"Amran","","","","","1","1","1212","1212","0","100.00"
"Amrapar","","","","","1","1","393","393","0","100.00"
"Anada","","","","","1","1","219","219","0","100.00"
"Anandpar","","","","","1","1","578","578","0","100.00"
"Aniari","","","","","1","1","79","73","6","92.41"
"Apia","","","","","1","1","257","257","0","100.00"
"Arablus","","","","","1","1","347","347","0","100.00"
"Arala","","","","","1","1","264","264","0","100.00"
"Arikhana","","","","","1","1","184","184","0","100.00"
"Ashiyavadar","","","","","1","1","154","154","0","100.00"
"Asota Mota","","","","","1","1","721","721","0","100.00"
"Babariya","","","","","1","1","75","75","0","100.00"
"Babarzar","","","","","1","1","263","263","0","100.00"
"Bada","","","","","1","1","267","267","0","100.00"
"Badanpar (Amran)","","","","","1","1","213","213","0","100.00"
"Badanpar (Jodiya)","","","","","1","1","434","434","0","100.00"
"Badhla","","","","","1","1","221","221","0","100.00"
"Bado Nes","","","","","1","1","22","22","0","100.00"
"Bagdhara","","","","","1","1","361","361","0","100.00"
"Bajana","","","","","1","1","438","438","0","100.00"
"Balachadi","","","","","1","1","253","253","0","100.00"
"Balambha","","","","","1","1","935","935","0","100.00"
"Balambhadi","","","","","1","1","296","296","0","100.00"
"Balambhdi","","","","","1","1","86","86","0","100.00"
"Balva","","","","","1","2","968","968","0","100.00"
"Bamanasa","","","","","1","1","238","238","0","100.00"
"Bamangam","","","","","1","1","298","298","0","100.00"
"Bamthiya","","","","","1","1","101","101","0","100.00"
"Banga","","","","","1","1","294","294","0","100.00"
"Bankodi","","","","","1","1","722","722","0","100.00"
"Baradia","","","","","1","1","387","387","0","100.00"
"Bava Khakhariya","","","","","1","1","256","256","0","100.00"
"Bavdidad","","","","","1","1","177","177","0","100.00"
"Bed","","","","","1","1","1236","1236","0","100.00"
"Bediya","","","","","1","1","110","110","0","100.00"
"Beh","","","","","1","1","449","449","0","100.00"
"Bela","","","","","1","1","302","302","0","100.00"
"Beraja","","","","","1","1","210","210","0","100.00"
"Beraja","","","","","1","1","210","210","0","100.00"
"Beraja","","","","","1","1","618","618","0","100.00"
"Beraja","","","","","1","1","361","361","0","100.00"
"Bhadra","","","","","1","1","391","391","0","100.00"
"Bhadthar","","","","","1","1","887","887","0","100.00"
"Bhagat Khijadiya","","","","","1","1","174","174","0","100.00"
"Bhandariya","","","","","1","1","327","327","0","100.00"
"Bhangda","","","","","1","1","69","69","0","100.00"
"Bhangor","","","","","1","1","927","927","0","100.00"
"Bhankhokhari","","","","","1","1","270","270","0","100.00"
"Bhara Beraja","","","","","1","1","66","66","0","100.00"
"Bharad Moti","","","","","1","1","114","114","0","100.00"
"Bharana","","","","","1","1","918","918","0","100.00"
"Bharatpur","","","","","1","2","774","774","0","100.00"
"Bhardki","","","","","1","1","115","115","0","100.00"
"Bharudiya Mota","","","","","1","2","216","216","0","100.00"
"Bhatel","","","","","1","2","692","692","0","100.00"
"Bhatgam","","","","","1","1","112","112","0","100.00"
"Bhatiya","","","","","1","1","3484","3484","0","100.00"
"Bhatvadiya","","","","","1","1","362","362","0","100.00"
"Bhavabhi Khijadiya","","","","","1","1","229","229","0","100.00"
"Bhavaneshvar","","","","","1","1","332","332","0","100.00"
"Bhayu Khakhariya","","","","","1","1","50","50","0","100.00"
"Bhenakvad","","","","","1","1","548","548","0","100.00"
"Bhensdad","","","","","1","1","305","305","0","100.00"
"Bhimanugam","","","","","1","1","112","112","0","100.00"
"Bhimkata","","","","","1","1","197","197","0","100.00"
"Bhimrana","","","","","1","1","868","868","0","100.00"
"Bhinda","","","","","1","1","403","403","0","100.00"
"Bhogat","","","","","1","1","1147","1147","0","100.00"
"Bhojabedi","","","","","1","1","237","237","0","100.00"
"Bhopalka","","","","","1","1","308","308","0","100.00"
"Bhoriya","","","","","1","1","131","131","0","100.00"
"Bijalka","","","","","1","1","69","69","0","100.00"
"Bodi","","","","","1","1","154","154","0","100.00"
"Bodka","","","","","1","1","222","222","0","100.00"
"Bodki","","","","","1","1","189","189","0","100.00"
"Butavadar","","","","","1","1","615","615","0","100.00"
"Chachlana","","","","","1","1","396","396","0","100.00"
"Champa Beraja","","","","","1","1","110","110","0","100.00"
"Chandraga","","","","","1","1","165","165","0","100.00"
"Chandragadh","","","","","1","1","355","355","0","100.00"
